Time,value
2023-04-26,76
2023-04-27,100
2023-04-28,70
2023-04-29,43
2023-04-30,58
2023-05-01,84
2023-05-02,85
2023-05-03,72
2023-05-04,69
2023-05-05,65
2023-05-06,34
2023-05-07,53
2023-05-08,79
2023-05-09,76
2023-05-10,70
2023-05-11,58
2023-05-12,55
2023-05-13,31
2023-05-14,38
2023-05-15,87
2023-05-16,70
2023-05-17,76
2023-05-18,72
2023-05-19,63
2023-05-20,33
2023-05-21,32
2023-05-22,67
2023-05-23,55
2023-05-24,39
2023-05-25,49
2023-05-26,43
2023-05-27,33
2023-05-28,35
2023-05-29,30
2023-05-30,50
2023-05-31,35
2023-06-01,43
2023-06-02,20
2023-06-03,17
2023-06-04,22
2023-06-05,46
2023-06-06,44
2023-06-07,38
2023-06-08,38
2023-06-09,29
2023-06-10,0
2023-06-11,33
2023-06-12,40
2023-06-13,33
2023-06-14,60
2023-06-15,37
2023-06-16,36
2023-06-17,34
2023-06-18,28
2023-06-19,40
2023-06-20,34
2023-06-21,58
2023-06-22,45
2023-06-23,33
2023-06-24,29
2023-06-25,37
2023-06-26,61
2023-06-27,50
2023-06-28,29
2023-06-29,32
2023-06-30,43
2023-07-01,27
2023-07-02,33
2023-07-03,40
2023-07-04,23
2023-07-05,29
2023-07-06,31
2023-07-07,35
2023-07-08,22
2023-07-09,36
2023-07-10,41
2023-07-11,49
2023-07-12,26
2023-07-13,35
2023-07-14,22
2023-07-15,35
2023-07-16,28
2023-07-17,37
2023-07-18,43
2023-07-19,48
2023-07-20,35
2023-07-21,31
2023-07-22,35
2023-07-23,28
2023-07-24,36
2023-07-25,35
2023-07-26,35
2023-07-27,40
2023-07-28,45
2023-07-29,21
2023-07-30,29
2023-07-31,42
2023-08-01,35
2023-08-02,35
2023-08-03,40
2023-08-04,37
2023-08-05,44
2023-08-06,25
2023-08-07,22
2023-08-08,43
2023-08-09,37
2023-08-10,27
2023-08-11,30
2023-08-12,22
2023-08-13,21
2023-08-14,32
2023-08-15,27
2023-08-16,31
2023-08-17,37
2023-08-18,43
2023-08-19,22
2023-08-20,25
2023-08-21,42
2023-08-22,47
2023-08-23,41
2023-08-24,42
2023-08-25,42
2023-08-26,24
2023-08-27,24
2023-08-28,40
2023-08-29,54
2023-08-30,40
2023-08-31,38
2023-09-01,46
2023-09-02,51
2023-09-03,36
2023-09-04,42
2023-09-05,60
2023-09-06,62
2023-09-07,53
2023-09-08,45
2023-09-09,28
2023-09-10,50
2023-09-11,50
2023-09-12,70
2023-09-13,59
2023-09-14,60
2023-09-15,56
2023-09-16,37
2023-09-17,55
2023-09-18,81
2023-09-19,74
2023-09-20,69
2023-09-21,91
2023-09-22,68
2023-09-23,44
2023-09-24,47
2023-09-25,89
2023-09-26,58
2023-09-27,73
2023-09-28,86
2023-09-29,59
2023-09-30,44
2023-10-01,43
2023-10-02,68
2023-10-03,92
2023-10-04,73
2023-10-05,70
2023-10-06,62
2023-10-07,33
2023-10-08,56
2023-10-09,71
2023-10-10,68
2023-10-11,74
2023-10-12,70
2023-10-13,76
2023-10-14,29
2023-10-15,52
2023-10-16,75
2023-10-17,76
2023-10-18,65
2023-10-19,72
2023-10-20,51
2023-10-21,50
2023-10-22,36
2023-10-23,85
2023-10-24,73
2023-10-25,67
2023-10-26,76
2023-10-27,73
2023-10-28,23
2023-10-29,45
2023-10-30,87
2023-10-31,62
2023-11-01,82
2023-11-02,89
2023-11-03,59
2023-11-04,44
2023-11-05,54
2023-11-06,91
2023-11-07,66
2023-11-08,65
2023-11-09,74
2023-11-10,61
2023-11-11,0
2023-11-12,63
2023-11-13,74
2023-11-14,83
2023-11-15,79
2023-11-16,86
2023-11-17,85
2023-11-18,56
2023-11-19,53
2023-11-20,72
2023-11-21,79
2023-11-22,50
2023-11-23,31
2023-11-24,32
2023-11-25,25
2023-11-26,45
2023-11-27,84
2023-11-28,71
2023-11-29,93
2023-11-30,91
2023-12-01,85
2023-12-02,41
2023-12-03,44
2023-12-04,96
2023-12-05,94
2023-12-06,85
2023-12-07,91
2023-12-08,99
2023-12-09,37
2023-12-10,51
2023-12-11,89
2023-12-12,68
2023-12-13,73
2023-12-14,70
2023-12-15,63
2023-12-16,47
2023-12-17,36
2023-12-18,58
2023-12-19,38
2023-12-20,52
2023-12-21,37
2023-12-22,35
2023-12-23,0
2023-12-24,23
2023-12-25,20
2023-12-26,21
2023-12-27,23
2023-12-28,16
2023-12-29,32
2023-12-30,28
2023-12-31,16
2024-01-01,27
2024-01-02,24
2024-01-03,36
2024-01-04,34
2024-01-05,56
2024-01-06,26
2024-01-07,38
2024-01-08,56
2024-01-09,43
2024-01-10,60
2024-01-11,67
2024-01-12,33
2024-01-13,36
2024-01-14,27
2024-01-15,30
2024-01-16,58
2024-01-17,67
2024-01-18,72
2024-01-19,54
