Time,value
2024-08-18,26
2024-08-19,29
2024-08-20,31
2024-08-21,30
2024-08-22,32
2024-08-23,29
2024-08-24,23
2024-08-25,25
2024-08-26,29
2024-08-27,32
2024-08-28,32
2024-08-29,29
2024-08-30,28
2024-08-31,24
2024-09-01,25
2024-09-02,28
2024-09-03,31
2024-09-04,35
2024-09-05,35
2024-09-06,29
2024-09-07,25
2024-09-08,25
2024-09-09,32
2024-09-10,37
2024-09-11,48
2024-09-12,44
2024-09-13,43
2024-09-14,27
2024-09-15,29
2024-09-16,36
2024-09-17,41
2024-09-18,37
2024-09-19,37
2024-09-20,29
2024-09-21,26
2024-09-22,27
2024-09-23,37
2024-09-24,38
2024-09-25,37
2024-09-26,34
2024-09-27,29
2024-09-28,25
2024-09-29,24
2024-09-30,34
2024-10-01,37
2024-10-02,39
2024-10-03,37
2024-10-04,31
2024-10-05,24
2024-10-06,26
2024-10-07,34
2024-10-08,37
2024-10-09,36
2024-10-10,32
2024-10-11,28
2024-10-12,25
2024-10-13,23
2024-10-14,32
2024-10-15,36
2024-10-16,37
2024-10-17,33
2024-10-18,31
2024-10-19,27
2024-10-20,27
2024-10-21,36
2024-10-22,38
2024-10-23,38
2024-10-24,38
2024-10-25,31
2024-10-26,28
2024-10-27,30
2024-10-28,39
2024-10-29,44
2024-10-30,45
2024-10-31,38
2024-11-01,29
2024-11-02,25
2024-11-03,27
2024-11-04,39
2024-11-05,36
2024-11-06,35
2024-11-07,45
2024-11-08,39
2024-11-09,26
2024-11-10,28
2024-11-11,40
2024-11-12,40
2024-11-13,43
2024-11-14,39
2024-11-15,35
2024-11-16,24
2024-11-17,27
2024-11-18,39
2024-11-19,37
2024-11-20,39
2024-11-21,37
2024-11-22,29
2024-11-23,24
2024-11-24,26
2024-11-25,32
2024-11-26,29
2024-11-27,26
2024-11-28,20
2024-11-29,18
2024-11-30,21
2024-12-01,25
2024-12-02,34
2024-12-03,40
2024-12-04,40
2024-12-05,38
2024-12-06,32
2024-12-07,25
2024-12-08,27
2024-12-09,35
2024-12-10,37
2024-12-11,38
2024-12-12,37
2024-12-13,29
2024-12-14,22
2024-12-15,25
2024-12-16,30
2024-12-17,33
2024-12-18,31
2024-12-19,30
2024-12-20,31
2024-12-21,23
2024-12-22,20
2024-12-23,20
2024-12-24,19
2024-12-25,13
2024-12-26,20
2024-12-27,24
2024-12-28,21
2024-12-29,26
2024-12-30,30
2024-12-31,25
2025-01-01,28
2025-01-02,41
2025-01-03,32
2025-01-04,32
2025-01-05,33
2025-01-06,39
2025-01-07,43
2025-01-08,45
2025-01-09,44
2025-01-10,39
2025-01-11,30
2025-01-12,35
2025-01-13,42
2025-01-14,44
2025-01-15,48
2025-01-16,43
2025-01-17,41
2025-01-18,31
2025-01-19,28
2025-01-20,37
2025-01-21,42
2025-01-22,44
2025-01-23,47
2025-01-24,43
2025-01-25,32
2025-01-26,34
2025-01-27,44
2025-01-28,49
2025-01-29,54
2025-01-30,45
2025-01-31,46
2025-02-01,40
2025-02-02,60
2025-02-03,71
2025-02-04,60
2025-02-05,58
2025-02-06,59
2025-02-07,49
2025-02-08,41
2025-02-09,36
2025-02-10,88
2025-02-11,54
2025-02-12,58
2025-02-13,54
2025-02-14,45
2025-02-15,36
2025-02-16,44
2025-02-17,47
2025-02-18,58
2025-02-19,60
2025-02-20,62
2025-02-21,52
2025-02-22,40
2025-02-23,44
2025-02-24,54
2025-02-25,63
2025-02-26,71
2025-02-27,63
2025-02-28,56
2025-03-01,42
2025-03-02,47
2025-03-03,56
2025-03-04,68
2025-03-05,69
2025-03-06,61
2025-03-07,54
2025-03-08,44
2025-03-09,43
2025-03-10,60
2025-03-11,61
2025-03-12,69
2025-03-13,63
2025-03-14,55
2025-03-15,41
2025-03-16,42
2025-03-17,53
2025-03-18,52
2025-03-19,57
2025-03-20,53
2025-03-21,50
2025-03-22,41
2025-03-23,43
2025-03-24,54
2025-03-25,55
2025-03-26,55
2025-03-27,56
2025-03-28,47
2025-03-29,39
2025-03-30,44
2025-03-31,52
2025-04-01,59
2025-04-02,66
2025-04-03,100
2025-04-04,88
2025-04-05,73
2025-04-06,70
2025-04-07,99
2025-04-08,88
2025-04-09,89
2025-04-10,75
2025-04-11,63
2025-04-12,50
2025-04-13,50
2025-04-14,56
2025-04-15,56
2025-04-16,59
2025-04-17,56
2025-04-18,43
2025-04-19,37
2025-04-20,39
2025-04-21,51
2025-04-22,59
2025-04-23,57
2025-04-24,54
2025-04-25,45
2025-04-26,37
2025-04-27,40
2025-04-28,54
2025-04-29,61
2025-04-30,57
2025-05-01,54
2025-05-02,49
2025-05-03,35
2025-05-04,41
2025-05-05,47
2025-05-06,53
2025-05-07,51
2025-05-08,54
2025-05-09,47
2025-05-10,32
2025-05-11,36
2025-05-12,48
2025-05-13,49
