Time,value
2024-08-18,85
2024-08-19,72
2024-08-20,61
2024-08-21,66
2024-08-22,65
2024-08-23,77
2024-08-24,77
2024-08-25,78
2024-08-26,76
2024-08-27,66
2024-08-28,70
2024-08-29,73
2024-08-30,76
2024-08-31,82
2024-09-01,77
2024-09-02,73
2024-09-03,66
2024-09-04,69
2024-09-05,70
2024-09-06,67
2024-09-07,78
2024-09-08,72
2024-09-09,61
2024-09-10,65
2024-09-11,67
2024-09-12,68
2024-09-13,64
2024-09-14,76
2024-09-15,74
2024-09-16,68
2024-09-17,66
2024-09-18,65
2024-09-19,66
2024-09-20,64
2024-09-21,81
2024-09-22,79
2024-09-23,67
2024-09-24,63
2024-09-25,66
2024-09-26,71
2024-09-27,74
2024-09-28,73
2024-09-29,74
2024-09-30,67
2024-10-01,63
2024-10-02,64
2024-10-03,71
2024-10-04,68
2024-10-05,72
2024-10-06,75
2024-10-07,67
2024-10-08,69
2024-10-09,72
2024-10-10,70
2024-10-11,71
2024-10-12,79
2024-10-13,76
2024-10-14,73
2024-10-15,70
2024-10-16,65
2024-10-17,66
2024-10-18,70
2024-10-19,72
2024-10-20,74
2024-10-21,72
2024-10-22,74
2024-10-23,74
2024-10-24,72
2024-10-25,83
2024-10-26,76
2024-10-27,84
2024-10-28,72
2024-10-29,73
2024-10-30,73
2024-10-31,77
2024-11-01,71
2024-11-02,66
2024-11-03,73
2024-11-04,73
2024-11-05,63
2024-11-06,52
2024-11-07,69
2024-11-08,73
2024-11-09,81
2024-11-10,63
2024-11-11,67
2024-11-12,71
2024-11-13,68
2024-11-14,70
2024-11-15,61
2024-11-16,74
2024-11-17,71
2024-11-18,75
2024-11-19,69
2024-11-20,71
2024-11-21,81
2024-11-22,77
2024-11-23,71
2024-11-24,78
2024-11-25,70
2024-11-26,71
2024-11-27,76
2024-11-28,78
2024-11-29,79
2024-11-30,81
2024-12-01,87
2024-12-02,75
2024-12-03,85
2024-12-04,87
2024-12-05,73
2024-12-06,78
2024-12-07,95
2024-12-08,81
2024-12-09,81
2024-12-10,79
2024-12-11,79
2024-12-12,80
2024-12-13,75
2024-12-14,93
2024-12-15,80
2024-12-16,74
2024-12-17,81
2024-12-18,78
2024-12-19,73
2024-12-20,83
2024-12-21,78
2024-12-22,88
2024-12-23,81
2024-12-24,87
2024-12-25,100
2024-12-26,82
2024-12-27,77
2024-12-28,75
2024-12-29,86
2024-12-30,73
2024-12-31,76
2025-01-01,94
2025-01-02,71
2025-01-03,70
2025-01-04,76
2025-01-05,79
2025-01-06,72
2025-01-07,73
2025-01-08,71
2025-01-09,75
2025-01-10,72
2025-01-11,82
2025-01-12,74
2025-01-13,70
2025-01-14,76
2025-01-15,74
2025-01-16,76
2025-01-17,76
2025-01-18,79
2025-01-19,70
2025-01-20,72
2025-01-21,73
2025-01-22,69
2025-01-23,72
2025-01-24,74
2025-01-25,77
2025-01-26,76
2025-01-27,77
2025-01-28,78
2025-01-29,82
2025-01-30,78
2025-01-31,71
2025-02-01,84
2025-02-02,77
2025-02-03,75
2025-02-04,66
2025-02-05,68
2025-02-06,74
2025-02-07,73
2025-02-08,81
2025-02-09,85
2025-02-10,77
2025-02-11,77
2025-02-12,79
2025-02-13,74
2025-02-14,84
2025-02-15,89
2025-02-16,89
2025-02-17,70
2025-02-18,78
2025-02-19,82
2025-02-20,81
2025-02-21,79
2025-02-22,84
2025-02-23,82
2025-02-24,78
2025-02-25,76
2025-02-26,73
2025-02-27,80
2025-02-28,82
2025-03-01,81
2025-03-02,75
2025-03-03,69
2025-03-04,76
2025-03-05,77
2025-03-06,72
2025-03-07,75
2025-03-08,75
2025-03-09,73
2025-03-10,74
2025-03-11,73
2025-03-12,72
2025-03-13,70
2025-03-14,71
2025-03-15,80
2025-03-16,69
2025-03-17,73
2025-03-18,76
2025-03-19,70
2025-03-20,74
2025-03-21,70
2025-03-22,82
2025-03-23,74
2025-03-24,68
2025-03-25,74
2025-03-26,78
2025-03-27,78
2025-03-28,79
2025-03-29,76
2025-03-30,78
2025-03-31,71
2025-04-01,73
2025-04-02,66
2025-04-03,74
2025-04-04,79
2025-04-05,75
2025-04-06,70
2025-04-07,71
2025-04-08,73
2025-04-09,68
2025-04-10,69
2025-04-11,71
2025-04-12,75
2025-04-13,75
2025-04-14,72
2025-04-15,69
2025-04-16,72
2025-04-17,73
2025-04-18,82
2025-04-19,76
2025-04-20,85
2025-04-21,70
2025-04-22,75
2025-04-23,76
2025-04-24,74
2025-04-25,69
2025-04-26,67
2025-04-27,79
2025-04-28,77
2025-04-29,71
2025-04-30,75
2025-05-01,76
2025-05-02,75
2025-05-03,72
2025-05-04,82
2025-05-05,77
2025-05-06,70
2025-05-07,73
2025-05-08,75
2025-05-09,75
2025-05-10,75
2025-05-11,87
2025-05-12,72
2025-05-13,77
