Time,value
2023-04-26,100
2023-04-27,75
2023-04-28,66
2023-04-29,71
2023-04-30,60
2023-05-01,58
2023-05-02,57
2023-05-03,53
2023-05-04,61
2023-05-05,58
2023-05-06,65
2023-05-07,55
2023-05-08,50
2023-05-09,49
2023-05-10,46
2023-05-11,50
2023-05-12,57
2023-05-13,62
2023-05-14,51
2023-05-15,48
2023-05-16,51
2023-05-17,51
2023-05-18,49
2023-05-19,51
2023-05-20,65
2023-05-21,51
2023-05-22,48
2023-05-23,50
2023-05-24,55
2023-05-25,51
2023-05-26,48
2023-05-27,61
2023-05-28,53
2023-05-29,49
2023-05-30,52
2023-05-31,51
2023-06-01,53
2023-06-02,57
2023-06-03,60
2023-06-04,56
2023-06-05,50
2023-06-06,50
2023-06-07,54
2023-06-08,54
2023-06-09,58
2023-06-10,67
2023-06-11,48
2023-06-12,53
2023-06-13,52
2023-06-14,51
2023-06-15,52
2023-06-16,52
2023-06-17,58
2023-06-18,52
2023-06-19,57
2023-06-20,50
2023-06-21,54
2023-06-22,52
2023-06-23,53
2023-06-24,55
2023-06-25,59
2023-06-26,55
2023-06-27,56
2023-06-28,52
2023-06-29,52
2023-06-30,55
2023-07-01,62
2023-07-02,59
2023-07-03,56
2023-07-04,52
2023-07-05,59
2023-07-06,55
2023-07-07,54
2023-07-08,60
2023-07-09,58
2023-07-10,56
2023-07-11,51
2023-07-12,54
2023-07-13,53
2023-07-14,56
2023-07-15,58
2023-07-16,50
2023-07-17,50
2023-07-18,53
2023-07-19,51
2023-07-20,54
2023-07-21,57
2023-07-22,87
2023-07-23,80
2023-07-24,61
2023-07-25,58
2023-07-26,53
2023-07-27,58
2023-07-28,60
2023-07-29,69
2023-07-30,64
2023-07-31,74
2023-08-01,61
2023-08-02,59
2023-08-03,59
2023-08-04,56
2023-08-05,57
2023-08-06,59
2023-08-07,70
2023-08-08,76
2023-08-09,65
2023-08-10,53
2023-08-11,60
2023-08-12,63
2023-08-13,54
2023-08-14,58
2023-08-15,54
2023-08-16,57
2023-08-17,52
2023-08-18,54
2023-08-19,62
2023-08-20,58
2023-08-21,54
2023-08-22,60
2023-08-23,55
2023-08-24,53
2023-08-25,57
2023-08-26,55
2023-08-27,52
2023-08-28,45
2023-08-29,58
2023-08-30,66
2023-08-31,56
2023-09-01,57
2023-09-02,65
2023-09-03,64
2023-09-04,57
2023-09-05,51
2023-09-06,54
2023-09-07,44
2023-09-08,50
2023-09-09,54
2023-09-10,54
2023-09-11,45
2023-09-12,44
2023-09-13,47
2023-09-14,49
2023-09-15,49
2023-09-16,55
2023-09-17,53
2023-09-18,45
2023-09-19,50
2023-09-20,48
2023-09-21,54
2023-09-22,53
2023-09-23,53
2023-09-24,48
2023-09-25,51
2023-09-26,47
2023-09-27,50
2023-09-28,51
2023-09-29,46
2023-09-30,49
2023-10-01,45
2023-10-02,44
2023-10-03,48
2023-10-04,46
2023-10-05,49
2023-10-06,53
2023-10-07,50
2023-10-08,45
2023-10-09,48
2023-10-10,47
2023-10-11,43
2023-10-12,51
2023-10-13,52
2023-10-14,61
2023-10-15,49
2023-10-16,48
2023-10-17,44
2023-10-18,43
2023-10-19,45
2023-10-20,44
2023-10-21,49
2023-10-22,49
2023-10-23,43
2023-10-24,46
2023-10-25,48
2023-10-26,46
2023-10-27,49
2023-10-28,58
2023-10-29,47
2023-10-30,51
2023-10-31,40
2023-11-01,46
2023-11-02,46
2023-11-03,44
2023-11-04,56
2023-11-05,48
2023-11-06,51
2023-11-07,52
2023-11-08,41
2023-11-09,50
2023-11-10,52
2023-11-11,67
2023-11-12,44
2023-11-13,51
2023-11-14,49
2023-11-15,51
2023-11-16,45
2023-11-17,45
2023-11-18,55
2023-11-19,50
2023-11-20,46
2023-11-21,45
2023-11-22,45
2023-11-23,34
2023-11-24,59
2023-11-25,59
2023-11-26,44
2023-11-27,45
2023-11-28,48
2023-11-29,47
2023-11-30,43
2023-12-01,46
2023-12-02,48
2023-12-03,41
2023-12-04,42
2023-12-05,44
2023-12-06,45
2023-12-07,45
2023-12-08,48
2023-12-09,54
2023-12-10,50
2023-12-11,44
2023-12-12,47
2023-12-13,47
2023-12-14,43
2023-12-15,51
2023-12-16,59
2023-12-17,46
2023-12-18,49
2023-12-19,48
2023-12-20,50
2023-12-21,48
2023-12-22,56
2023-12-23,54
2023-12-24,36
2023-12-25,28
2023-12-26,49
2023-12-27,55
2023-12-28,62
2023-12-29,55
2023-12-30,55
2023-12-31,40
2024-01-01,39
2024-01-02,48
2024-01-03,55
2024-01-04,52
2024-01-05,50
2024-01-06,67
2024-01-07,62
2024-01-08,47
2024-01-09,43
2024-01-10,49
2024-01-11,51
2024-01-12,48
2024-01-13,57
2024-01-14,47
2024-01-15,51
2024-01-16,43
2024-01-17,51
2024-01-18,42
2024-01-19,44
