Time,value
2022-01-01,19
2022-01-02,18
2022-01-03,23
2022-01-04,29
2022-01-05,28
2022-01-06,23
2022-01-07,27
2022-01-08,23
2022-01-09,18
2022-01-10,23
2022-01-11,28
2022-01-12,28
2022-01-13,30
2022-01-14,23
2022-01-15,23
2022-01-16,20
2022-01-17,22
2022-01-18,26
2022-01-19,28
2022-01-20,29
2022-01-21,28
2022-01-22,31
2022-01-23,27
2022-01-24,46
2022-01-25,38
2022-01-26,36
2022-01-27,39
2022-01-28,42
2022-01-29,41
2022-01-30,35
2022-01-31,41
2022-02-01,45
2022-02-02,43
2022-02-03,44
2022-02-04,43
2022-02-05,42
2022-02-06,37
2022-02-07,44
2022-02-08,49
2022-02-09,51
2022-02-10,37
2022-02-11,37
2022-02-12,34
2022-02-13,30
2022-02-14,35
2022-02-15,46
2022-02-16,42
2022-02-17,45
2022-02-18,44
2022-02-19,42
2022-02-20,39
2022-02-21,44
2022-02-22,45
2022-02-23,41
2022-02-24,43
2022-02-25,39
2022-02-26,40
2022-02-27,36
2022-02-28,44
2022-03-01,43
2022-03-02,38
2022-03-03,42
2022-03-04,38
2022-03-05,34
2022-03-06,32
2022-03-07,36
2022-03-08,39
2022-03-09,39
2022-03-10,37
2022-03-11,35
2022-03-12,34
2022-03-13,32
2022-03-14,37
2022-03-15,38
2022-03-16,36
2022-03-17,36
2022-03-18,35
2022-03-19,32
2022-03-20,31
2022-03-21,35
2022-03-22,36
2022-03-23,37
2022-03-24,36
2022-03-25,33
2022-03-26,31
2022-03-27,32
2022-03-28,35
2022-03-29,39
2022-03-30,41
2022-03-31,37
2022-04-01,34
2022-04-02,33
2022-04-03,35
2022-04-04,39
2022-04-05,41
2022-04-06,41
2022-04-07,42
2022-04-08,39
2022-04-09,39
2022-04-10,38
2022-04-11,47
2022-04-12,47
2022-04-13,50
2022-04-14,62
2022-04-15,62
2022-04-16,53
2022-04-17,58
2022-04-18,100
2022-04-19,69
2022-04-20,34
2022-04-21,34
2022-04-22,29
2022-04-23,25
2022-04-24,23
2022-04-25,29
2022-04-26,29
2022-04-27,29
2022-04-28,28
2022-04-29,27
2022-04-30,24
2022-05-01,21
2022-05-02,29
2022-05-03,28
2022-05-04,28
2022-05-05,29
2022-05-06,25
2022-05-07,22
2022-05-08,22
2022-05-09,25
2022-05-10,29
2022-05-11,28
2022-05-12,25
2022-05-13,24
2022-05-14,20
2022-05-15,18
2022-05-16,24
2022-05-17,25
2022-05-18,24
2022-05-19,25
2022-05-20,24
2022-05-21,21
2022-05-22,19
2022-05-23,24
2022-05-24,24
2022-05-25,23
2022-05-26,22
2022-05-27,22
2022-05-28,19
2022-05-29,16
2022-05-30,18
2022-05-31,24
2022-06-01,32
2022-06-02,27
2022-06-03,24
2022-06-04,20
2022-06-05,19
2022-06-06,23
2022-06-07,22
2022-06-08,23
2022-06-09,23
2022-06-10,20
2022-06-11,19
2022-06-12,18
2022-06-13,23
2022-06-14,24
2022-06-15,24
2022-06-16,22
2022-06-17,22
2022-06-18,19
2022-06-19,19
2022-06-20,21
2022-06-21,22
2022-06-22,25
2022-06-23,23
2022-06-24,25
2022-06-25,20
2022-06-26,18
2022-06-27,23
2022-06-28,24
2022-06-29,23
2022-06-30,23
2022-07-01,22
2022-07-02,21
2022-07-03,16
2022-07-04,16
2022-07-05,22
2022-07-06,22
2022-07-07,22
2022-07-08,21
2022-07-09,21
2022-07-10,18
2022-07-11,21
2022-07-12,21
2022-07-13,23
2022-07-14,21
2022-07-15,22
2022-07-16,19
2022-07-17,19
2022-07-18,22
2022-07-19,24
2022-07-20,23
2022-07-21,24
2022-07-22,22
2022-07-23,18
2022-07-24,19
2022-07-25,21
2022-07-26,24
2022-07-27,22
2022-07-28,21
2022-07-29,23
2022-07-30,20
2022-07-31,20
2022-08-01,24
2022-08-02,27
2022-08-03,24
2022-08-04,21
2022-08-05,24
2022-08-06,18
2022-08-07,20
2022-08-08,23
2022-08-09,24
2022-08-10,24
2022-08-11,25
2022-08-12,23
2022-08-13,19
2022-08-14,19
2022-08-15,22
2022-08-16,26
2022-08-17,27
2022-08-18,26
2022-08-19,23
2022-08-20,19
2022-08-21,21
2022-08-22,24
2022-08-23,26
2022-08-24,31
2022-08-25,31
2022-08-26,28
2022-08-27,21
2022-08-28,20
2022-08-29,24
2022-08-30,26
2022-08-31,23
2022-09-01,25
2022-09-02,22
2022-09-03,19
2022-09-04,19
2022-09-05,18
2022-09-06,23
2022-09-07,24
2022-09-08,23
2022-09-09,24
2022-09-10,19
2022-09-11,18
2022-09-12,25
2022-09-13,26
2022-09-14,23
2022-09-15,26
2022-09-16,25
2022-09-17,19
2022-09-18,19
2022-09-19,23
2022-09-20,24
2022-09-21,25
2022-09-22,24
2022-09-23,22
2022-09-24,20
2022-09-25,19
2022-09-26,22
