Time,value
2022-08-29,23
2022-08-30,24
2022-08-31,27
2022-09-01,26
2022-09-02,24
2022-09-03,19
2022-09-04,20
2022-09-05,22
2022-09-06,22
2022-09-07,22
2022-09-08,21
2022-09-09,20
2022-09-10,19
2022-09-11,19
2022-09-12,23
2022-09-13,25
2022-09-14,24
2022-09-15,24
2022-09-16,22
2022-09-17,21
2022-09-18,19
2022-09-19,23
2022-09-20,26
2022-09-21,31
2022-09-22,28
2022-09-23,29
2022-09-24,22
2022-09-25,21
2022-09-26,26
2022-09-27,28
2022-09-28,24
2022-09-29,23
2022-09-30,22
2022-10-01,18
2022-10-02,18
2022-10-03,25
2022-10-04,25
2022-10-05,24
2022-10-06,23
2022-10-07,23
2022-10-08,19
2022-10-09,20
2022-10-10,24
2022-10-11,23
2022-10-12,28
2022-10-13,30
2022-10-14,33
2022-10-15,28
2022-10-16,25
2022-10-17,31
2022-10-18,33
2022-10-19,30
2022-10-20,28
2022-10-21,27
2022-10-22,25
2022-10-23,27
2022-10-24,40
2022-10-25,41
2022-10-26,51
2022-10-27,49
2022-10-28,100
2022-10-29,69
2022-10-30,70
2022-10-31,86
2022-11-01,85
2022-11-02,67
2022-11-03,59
2022-11-04,55
2022-11-05,42
2022-11-06,45
2022-11-07,51
2022-11-08,42
2022-11-09,35
2022-11-10,34
2022-11-11,31
2022-11-12,28
2022-11-13,29
2022-11-14,32
2022-11-15,34
2022-11-16,34
2022-11-17,41
2022-11-18,35
2022-11-19,28
2022-11-20,25
2022-11-21,29
2022-11-22,30
2022-11-23,28
2022-11-24,21
2022-11-25,17
2022-11-26,20
2022-11-27,22
2022-11-28,25
2022-11-29,28
2022-11-30,26
2022-12-01,27
2022-12-02,24
2022-12-03,21
2022-12-04,20
2022-12-05,26
2022-12-06,29
2022-12-07,31
2022-12-08,31
2022-12-09,27
2022-12-10,23
2022-12-11,24
2022-12-12,33
2022-12-13,36
2022-12-14,30
2022-12-15,26
2022-12-16,25
2022-12-17,21
2022-12-18,19
2022-12-19,26
2022-12-20,31
2022-12-21,30
2022-12-22,28
2022-12-23,23
2022-12-24,24
2022-12-25,16
2022-12-26,21
2022-12-27,29
2022-12-28,32
2022-12-29,30
2022-12-30,28
2022-12-31,27
2023-01-01,20
2023-01-02,28
2023-01-03,32
2023-01-04,35
2023-01-05,36
2023-01-06,40
2023-01-07,34
2023-01-08,38
2023-01-09,44
2023-01-10,48
2023-01-11,44
2023-01-12,45
2023-01-13,41
2023-01-14,43
2023-01-15,37
2023-01-16,41
2023-01-17,44
2023-01-18,40
2023-01-19,38
2023-01-20,39
2023-01-21,30
2023-01-22,28
2023-01-23,32
2023-01-24,34
2023-01-25,33
2023-01-26,31
2023-01-27,27
2023-01-28,27
2023-01-29,25
2023-01-30,30
2023-01-31,37
2023-02-01,31
2023-02-02,34
2023-02-03,32
2023-02-04,23
2023-02-05,25
2023-02-06,35
2023-02-07,33
2023-02-08,29
2023-02-09,29
2023-02-10,31
2023-02-11,38
2023-02-12,23
2023-02-13,25
2023-02-14,26
2023-02-15,28
2023-02-16,27
2023-02-17,28
2023-02-18,21
2023-02-19,20
2023-02-20,24
2023-02-21,27
2023-02-22,28
2023-02-23,26
2023-02-24,25
2023-02-25,20
2023-02-26,21
2023-02-27,26
2023-02-28,26
2023-03-01,26
2023-03-02,25
2023-03-03,25
2023-03-04,28
2023-03-05,37
2023-03-06,27
2023-03-07,29
2023-03-08,26
2023-03-09,28
2023-03-10,24
2023-03-11,21
2023-03-12,18
2023-03-13,22
2023-03-14,23
2023-03-15,22
2023-03-16,20
2023-03-17,20
2023-03-18,15
2023-03-19,17
2023-03-20,23
2023-03-21,24
2023-03-22,22
2023-03-23,23
2023-03-24,20
2023-03-25,16
2023-03-26,16
2023-03-27,24
2023-03-28,21
2023-03-29,22
2023-03-30,20
2023-03-31,18
2023-04-01,13
2023-04-02,15
2023-04-03,20
2023-04-04,21
2023-04-05,19
2023-04-06,19
2023-04-07,17
2023-04-08,17
2023-04-09,14
2023-04-10,20
2023-04-11,20
2023-04-12,20
2023-04-13,19
2023-04-14,19
2023-04-15,20
2023-04-16,35
2023-04-17,37
2023-04-18,42
2023-04-19,38
2023-04-20,30
2023-04-21,25
2023-04-22,16
2023-04-23,15
2023-04-24,20
2023-04-25,20
2023-04-26,19
2023-04-27,18
2023-04-28,15
2023-04-29,14
2023-04-30,13
2023-05-01,18
2023-05-02,19
2023-05-03,20
2023-05-04,17
2023-05-05,16
2023-05-06,12
2023-05-07,13
2023-05-08,19
2023-05-09,18
2023-05-10,18
2023-05-11,16
2023-05-12,16
2023-05-13,14
2023-05-14,12
2023-05-15,20
2023-05-16,18
2023-05-17,18
2023-05-18,18
2023-05-19,17
2023-05-20,12
2023-05-21,14
2023-05-22,16
2023-05-23,17
2023-05-24,17
