Time,value
2022-01-01,28
2022-01-02,31
2022-01-03,48
2022-01-04,58
2022-01-05,59
2022-01-06,41
2022-01-07,46
2022-01-08,37
2022-01-09,27
2022-01-10,42
2022-01-11,45
2022-01-12,48
2022-01-13,57
2022-01-14,41
2022-01-15,32
2022-01-16,34
2022-01-17,51
2022-01-18,46
2022-01-19,52
2022-01-20,47
2022-01-21,43
2022-01-22,31
2022-01-23,27
2022-01-24,37
2022-01-25,40
2022-01-26,45
2022-01-27,41
2022-01-28,42
2022-01-29,32
2022-01-30,26
2022-01-31,51
2022-02-01,43
2022-02-02,51
2022-02-03,49
2022-02-04,50
2022-02-05,38
2022-02-06,35
2022-02-07,55
2022-02-08,61
2022-02-09,72
2022-02-10,65
2022-02-11,82
2022-02-12,87
2022-02-13,100
2022-02-14,69
2022-02-15,50
2022-02-16,54
2022-02-17,51
2022-02-18,44
2022-02-19,35
2022-02-20,34
2022-02-21,58
2022-02-22,50
2022-02-23,57
2022-02-24,48
2022-02-25,46
2022-02-26,30
2022-02-27,28
2022-02-28,47
2022-03-01,46
2022-03-02,53
2022-03-03,47
2022-03-04,47
2022-03-05,36
2022-03-06,28
2022-03-07,46
2022-03-08,42
2022-03-09,51
2022-03-10,43
2022-03-11,40
2022-03-12,30
2022-03-13,28
2022-03-14,41
2022-03-15,44
2022-03-16,51
2022-03-17,46
2022-03-18,40
2022-03-19,31
2022-03-20,31
2022-03-21,49
2022-03-22,44
2022-03-23,49
2022-03-24,51
2022-03-25,44
2022-03-26,33
2022-03-27,31
2022-03-28,52
2022-03-29,51
2022-03-30,55
2022-03-31,52
2022-04-01,50
2022-04-02,36
2022-04-03,34
2022-04-04,55
2022-04-05,53
2022-04-06,60
2022-04-07,51
2022-04-08,46
2022-04-09,39
2022-04-10,33
2022-04-11,53
2022-04-12,52
2022-04-13,57
2022-04-14,53
2022-04-15,50
2022-04-16,31
2022-04-17,29
2022-04-18,56
2022-04-19,52
2022-04-20,57
2022-04-21,57
2022-04-22,53
2022-04-23,35
2022-04-24,36
2022-04-25,51
2022-04-26,56
2022-04-27,63
2022-04-28,60
2022-04-29,67
2022-04-30,40
2022-05-01,32
2022-05-02,58
2022-05-03,53
2022-05-04,58
2022-05-05,54
2022-05-06,52
2022-05-07,35
2022-05-08,29
2022-05-09,56
2022-05-10,52
2022-05-11,62
2022-05-12,49
2022-05-13,49
2022-05-14,39
2022-05-15,30
2022-05-16,53
2022-05-17,51
2022-05-18,55
2022-05-19,47
2022-05-20,45
2022-05-21,36
2022-05-22,30
2022-05-23,51
2022-05-24,45
2022-05-25,47
2022-05-26,47
2022-05-27,46
2022-05-28,36
2022-05-29,39
2022-05-30,57
2022-05-31,71
2022-06-01,66
2022-06-02,62
2022-06-03,56
2022-06-04,41
2022-06-05,33
2022-06-06,50
2022-06-07,48
2022-06-08,54
2022-06-09,43
2022-06-10,40
2022-06-11,35
2022-06-12,29
2022-06-13,51
2022-06-14,45
2022-06-15,43
2022-06-16,42
2022-06-17,39
2022-06-18,35
2022-06-19,42
2022-06-20,61
2022-06-21,50
2022-06-22,46
2022-06-23,46
2022-06-24,39
2022-06-25,39
2022-06-26,31
2022-06-27,46
2022-06-28,43
2022-06-29,44
2022-06-30,45
2022-07-01,45
2022-07-02,40
2022-07-03,38
2022-07-04,50
2022-07-05,66
2022-07-06,73
2022-07-07,56
2022-07-08,53
2022-07-09,38
2022-07-10,33
2022-07-11,47
2022-07-12,43
2022-07-13,45
2022-07-14,42
2022-07-15,41
2022-07-16,42
2022-07-17,30
2022-07-18,45
2022-07-19,43
2022-07-20,43
2022-07-21,42
2022-07-22,38
2022-07-23,41
2022-07-24,31
2022-07-25,44
2022-07-26,42
2022-07-27,39
2022-07-28,39
2022-07-29,41
2022-07-30,40
2022-07-31,30
2022-08-01,48
2022-08-02,43
2022-08-03,42
2022-08-04,40
2022-08-05,36
2022-08-06,41
2022-08-07,26
2022-08-08,42
2022-08-09,46
2022-08-10,40
2022-08-11,41
2022-08-12,40
2022-08-13,43
2022-08-14,29
2022-08-15,44
2022-08-16,40
2022-08-17,38
2022-08-18,37
2022-08-19,37
2022-08-20,43
2022-08-21,30
2022-08-22,42
2022-08-23,42
2022-08-24,43
2022-08-25,40
2022-08-26,39
2022-08-27,44
2022-08-28,28
2022-08-29,43
2022-08-30,41
2022-08-31,42
2022-09-01,45
2022-09-02,43
2022-09-03,40
2022-09-04,35
2022-09-05,51
2022-09-06,58
2022-09-07,51
2022-09-08,46
2022-09-09,42
2022-09-10,38
2022-09-11,27
2022-09-12,43
2022-09-13,42
2022-09-14,41
2022-09-15,41
2022-09-16,39
2022-09-17,42
2022-09-18,26
2022-09-19,47
2022-09-20,43
2022-09-21,43
2022-09-22,41
2022-09-23,36
2022-09-24,40
2022-09-25,27
2022-09-26,47
