Time,rich
2022-01-01,25.0
2022-01-02,24.0
2022-01-03,22.0
2022-01-04,29.0
2022-01-05,26.0
2022-01-06,21.0
2022-01-07,25.0
2022-01-08,26.0
2022-01-09,25.0
2022-01-10,26.0
2022-01-11,25.0
2022-01-12,25.0
2022-01-13,30.0
2022-01-14,21.0
2022-01-15,26.0
2022-01-16,25.0
2022-01-17,24.0
2022-01-18,22.0
2022-01-19,25.0
2022-01-20,24.0
2022-01-21,22.0
2022-01-22,25.0
2022-01-23,25.0
2022-01-24,28.0
2022-01-25,23.0
2022-01-26,22.0
2022-01-27,23.0
2022-01-28,27.0
2022-01-29,25.0
2022-01-30,27.0
2022-01-31,26.0
2022-02-01,24.0
2022-02-02,28.0
2022-02-03,26.0
2022-02-04,26.0
2022-02-05,25.0
2022-02-06,28.0
2022-02-07,26.0
2022-02-08,28.0
2022-02-09,27.0
2022-02-10,21.0
2022-02-11,26.0
2022-02-12,28.0
2022-02-13,24.0
2022-02-14,27.0
2022-02-15,25.0
2022-02-16,28.0
2022-02-17,29.0
2022-02-18,28.0
2022-02-19,30.0
2022-02-20,28.0
2022-02-21,31.0
2022-02-22,29.0
2022-02-23,28.0
2022-02-24,26.0
2022-02-25,26.0
2022-02-26,27.0
2022-02-27,26.0
2022-02-28,26.0
2022-03-01,25.0
2022-03-02,25.0
2022-03-03,27.0
2022-03-04,25.0
2022-03-05,24.0
2022-03-06,25.0
2022-03-07,27.0
2022-03-08,24.0
2022-03-09,25.0
2022-03-10,29.0
2022-03-11,26.0
2022-03-12,26.0
2022-03-13,29.0
2022-03-14,27.0
2022-03-15,25.0
2022-03-16,26.0
2022-03-17,24.0
2022-03-18,24.0
2022-03-19,25.0
2022-03-20,27.0
2022-03-21,28.0
2022-03-22,26.0
2022-03-23,25.0
2022-03-24,25.0
2022-03-25,27.0
2022-03-26,25.0
2022-03-27,30.0
2022-03-28,26.0
2022-03-29,27.0
2022-03-30,25.0
2022-03-31,27.0
2022-04-01,27.0
2022-04-02,27.0
2022-04-03,25.0
2022-04-04,26.0
2022-04-05,26.0
2022-04-06,26.0
2022-04-07,27.0
2022-04-08,26.0
2022-04-09,25.0
2022-04-10,27.0
2022-04-11,26.0
2022-04-12,26.0
2022-04-13,24.0
2022-04-14,27.0
2022-04-15,25.0
2022-04-16,26.0
2022-04-17,26.0
2022-04-18,28.0
2022-04-19,26.0
2022-04-20,26.0
2022-04-21,27.0
2022-04-22,26.0
2022-04-23,26.0
2022-04-24,28.0
2022-04-25,28.0
2022-04-26,29.0
2022-04-27,29.0
2022-04-28,28.0
2022-04-29,27.0
2022-04-30,28.0
2022-05-01,28.0
2022-05-02,28.0
2022-05-03,26.0
2022-05-04,25.0
2022-05-05,26.0
2022-05-06,25.0
2022-05-07,72.0
2022-05-08,100.0
2022-05-09,66.0
2022-05-10,44.0
2022-05-11,39.0
2022-05-12,38.0
2022-05-13,38.0
2022-05-14,35.0
2022-05-15,32.0
2022-05-16,30.0
2022-05-17,31.0
2022-05-18,27.0
2022-05-19,31.0
2022-05-20,27.0
2022-05-21,42.0
2022-05-22,30.0
2022-05-23,26.0
2022-05-24,27.0
2022-05-25,26.0
2022-05-26,25.0
2022-05-27,22.0
2022-05-28,23.0
2022-05-29,27.0
2022-05-30,24.0
2022-05-31,24.0
2022-06-01,24.0
2022-06-02,26.0
2022-06-03,22.0
