"query","search interest","increase percent"
"olympics",100,"-20%"
"weather",64,"-9%"
"google",46,"30%"
"artistic swimming olympics",37,"Breakout"
"amazon",35,"4%"
"news",34,"30%"
"youtube",32,"0%"
"facebook",23,"-5%"
"hurricane",20,"50%"
"walmart",19,"-8%"
"olympics 2024",19,"-50%"
"medal count",18,"-30%"
"stock market",15,"1,800%"
"gmail",13,"50%"
"yahoo",13,"60%"
"translate",13,"30%"
"flights",12,"4%"
"calculator",12,"20%"
"gymnastics rings olympics",11,"-70%"
"dow",11,"1,550%"
"trump",10,"-10%"
"wordle",10,"4%"
"hurricane debby",10,"200%"
"simone biles",10,"-20%"
"target",10,"-10%"
"olympic medal count",10,"-30%"
"instagram",10,"-6%"
"deadpool",9,"-40%"
"costco",9,"-30%"
"home depot",9,"-7%"
"twitter",8,"0%"
"maps",8,"50%"
"chase",8,"40%"
"dow jones",7,"1,950%"
"netflix",7,"-20%"
"olympics schedule",7,"-30%"
"noah lyles",7,"-7%"
"usps",7,"100%"
"house of the dragon",7,"250%"
"kamala harris",7,"4%"
"cnn",6,"50%"
"cvs",6,"10%"
"bitcoin",6,"190%"
"ups",6,"20%"
"food near me",6,"-30%"
"roblox",6,"-10%"
"google translate",6,"20%"
"lowes",6,"-20%"
"ebay",6,"-2%"
"weather tomorrow",6,"0%"
