date,end_period_ts,ticker,price_close,price_open,price_high,price_low,price_mean,yes_bid_close,yes_ask_close,yes_mid_close,volume,open_interest
2024-09-20,1726804800,FED-25MAY-T2.75,,,,,,0.87,1.0,0.935,0.0,0.0
2024-09-21,1726891200,FED-25MAY-T2.75,,,,,,0.85,1.0,0.925,0.0,0.0
2024-09-26,1727323200,FED-25MAY-T2.75,,,,,,0.0,1.0,0.5,0.0,0.0
2024-10-02,1727841600,FED-25MAY-T2.75,,,,,,0.88,1.0,0.94,0.0,0.0
2024-10-03,1727928000,FED-25MAY-T2.75,,,,,,0.87,1.0,0.935,0.0,0.0
2024-10-04,1728014400,FED-25MAY-T2.75,,,,,,0.88,1.0,0.94,0.0,0.0
2024-10-05,1728100800,FED-25MAY-T2.75,,,,,,0.91,1.0,0.9550000000000001,0.0,0.0
2024-10-06,1728187200,FED-25MAY-T2.75,,,,,,0.92,1.0,0.96,0.0,0.0
2024-10-08,1728360000,FED-25MAY-T2.75,,,,,,0.93,1.0,0.9650000000000001,0.0,0.0
2024-10-10,1728532800,FED-25MAY-T2.75,,,,,,0.92,1.0,0.96,0.0,0.0
2024-10-11,1728619200,FED-25MAY-T2.75,,,,,,0.89,1.0,0.9450000000000001,0.0,0.0
2024-10-22,1729569600,FED-25MAY-T2.75,,,,,,0.88,1.0,0.94,0.0,0.0
2024-10-23,1729656000,FED-25MAY-T2.75,,,,,,0.88,1.0,0.94,0.0,0.0
2024-11-01,1730433600,FED-25MAY-T2.75,,,,,,0.88,0.99,0.935,0.0,0.0
2024-11-07,1730955600,FED-25MAY-T2.75,,,,,,0.01,0.99,0.5,0.0,0.0
2024-11-08,1731042000,FED-25MAY-T2.75,,,,,,0.74,0.99,0.865,0.0,0.0
2024-11-14,1731560400,FED-25MAY-T2.75,,,,,,0.01,0.99,0.5,0.0,0.0
2024-11-15,1731646800,FED-25MAY-T2.75,,,,,,0.01,0.99,0.5,0.0,0.0
2024-11-16,1731733200,FED-25MAY-T2.75,,,,,,0.0,1.0,0.5,0.0,0.0
2024-11-17,1731819600,FED-25MAY-T2.75,,,,,,0.92,1.0,0.96,0.0,0.0
