Time,adam_sandler
2022-01-01,16.0
2022-01-02,16.0
2022-01-03,13.0
2022-01-04,14.0
2022-01-05,16.0
2022-01-06,15.0
2022-01-07,21.0
2022-01-08,28.0
2022-01-09,29.0
2022-01-10,23.0
2022-01-11,67.0
2022-01-12,100.0
2022-01-13,63.0
2022-01-14,39.0
2022-01-15,55.0
2022-01-16,39.0
2022-01-17,26.0
2022-01-18,19.0
2022-01-19,16.0
2022-01-20,14.0
2022-01-21,15.0
2022-01-22,21.0
2022-01-23,22.0
2022-01-24,15.0
2022-01-25,11.0
2022-01-26,12.0
2022-01-27,11.0
2022-01-28,15.0
2022-01-29,27.0
2022-01-30,29.0
2022-01-31,16.0
2022-02-01,15.0
2022-02-02,14.0
2022-02-03,16.0
2022-02-04,17.0
2022-02-05,23.0
2022-02-06,27.0
2022-02-07,16.0
2022-02-08,16.0
2022-02-09,16.0
2022-02-10,10.0
2022-02-11,13.0
2022-02-12,18.0
2022-02-13,16.0
2022-02-14,12.0
2022-02-15,12.0
2022-02-16,10.0
2022-02-17,12.0
2022-02-18,15.0
2022-02-19,17.0
2022-02-20,17.0
2022-02-21,13.0
2022-02-22,11.0
2022-02-23,9.0
2022-02-24,10.0
2022-02-25,9.0
2022-02-26,13.0
2022-02-27,16.0
2022-02-28,10.0
2022-03-01,8.0
2022-03-02,9.0
2022-03-03,13.0
2022-03-04,11.0
2022-03-05,13.0
2022-03-06,14.0
2022-03-07,9.0
2022-03-08,9.0
2022-03-09,9.0
2022-03-10,9.0
2022-03-11,9.0
2022-03-12,12.0
2022-03-13,15.0
2022-03-14,12.0
2022-03-15,10.0
2022-03-16,9.0
2022-03-17,8.0
2022-03-18,9.0
2022-03-19,11.0
2022-03-20,12.0
2022-03-21,9.0
2022-03-22,8.0
2022-03-23,8.0
2022-03-24,9.0
2022-03-25,8.0
2022-03-26,12.0
2022-03-27,12.0
2022-03-28,18.0
2022-03-29,17.0
2022-03-30,16.0
2022-03-31,13.0
2022-04-01,11.0
2022-04-02,12.0
2022-04-03,13.0
2022-04-04,9.0
2022-04-05,9.0
2022-04-06,10.0
2022-04-07,9.0
2022-04-08,11.0
2022-04-09,17.0
2022-04-10,16.0
2022-04-11,11.0
2022-04-12,12.0
2022-04-13,11.0
2022-04-14,10.0
2022-04-15,11.0
2022-04-16,12.0
2022-04-17,18.0
2022-04-18,13.0
2022-04-19,11.0
2022-04-20,11.0
2022-04-21,10.0
2022-04-22,13.0
2022-04-23,12.0
2022-04-24,14.0
2022-04-25,13.0
2022-04-26,13.0
2022-04-27,12.0
2022-04-28,11.0
2022-04-29,10.0
2022-04-30,13.0
2022-05-01,15.0
2022-05-02,12.0
2022-05-03,12.0
2022-05-04,11.0
2022-05-05,11.0
2022-05-06,12.0
2022-05-07,15.0
2022-05-08,18.0
2022-05-09,16.0
2022-05-10,17.0
2022-05-11,17.0
2022-05-12,16.0
2022-05-13,13.0
2022-05-14,18.0
2022-05-15,21.0
2022-05-16,17.0
2022-05-17,14.0
2022-05-18,13.0
2022-05-19,13.0
2022-05-20,13.0
2022-05-21,17.0
2022-05-22,18.0
2022-05-23,16.0
2022-05-24,14.0
2022-05-25,13.0
2022-05-26,12.0
2022-05-27,13.0
2022-05-28,14.0
2022-05-29,18.0
2022-05-30,16.0
