Time,all_quiet_on_the_western_front
2022-01-01,8.0
2022-01-02,0.0
2022-01-03,9.0
2022-01-04,10.0
2022-01-05,10.0
2022-01-06,8.0
2022-01-07,9.0
2022-01-08,6.0
2022-01-09,12.0
2022-01-10,10.0
2022-01-11,9.0
2022-01-12,11.0
2022-01-13,11.0
2022-01-14,13.0
2022-01-15,9.0
2022-01-16,0.0
2022-01-17,7.0
2022-01-18,12.0
2022-01-19,10.0
2022-01-20,15.0
2022-01-21,15.0
2022-01-22,7.0
2022-01-23,5.0
2022-01-24,23.0
2022-01-25,16.0
2022-01-26,17.0
2022-01-27,18.0
2022-01-28,14.0
2022-01-29,12.0
2022-01-30,9.0
2022-01-31,14.0
2022-02-01,14.0
2022-02-02,15.0
2022-02-03,15.0
2022-02-04,16.0
2022-02-05,9.0
2022-02-06,10.0
2022-02-07,16.0
2022-02-08,11.0
2022-02-09,15.0
2022-02-10,10.0
2022-02-11,14.0
2022-02-12,6.0
2022-02-13,10.0
2022-02-14,19.0
2022-02-15,18.0
2022-02-16,16.0
2022-02-17,10.0
2022-02-18,15.0
2022-02-19,5.0
2022-02-20,11.0
2022-02-21,8.0
2022-02-22,15.0
2022-02-23,16.0
2022-02-24,14.0
2022-02-25,16.0
2022-02-26,10.0
2022-02-27,9.0
2022-02-28,15.0
2022-03-01,17.0
2022-03-02,14.0
2022-03-03,17.0
2022-03-04,16.0
2022-03-05,12.0
2022-03-06,8.0
2022-03-07,13.0
2022-03-08,12.0
2022-03-09,11.0
2022-03-10,15.0
2022-03-11,11.0
2022-03-12,7.0
2022-03-13,5.0
2022-03-14,18.0
2022-03-15,60.0
2022-03-16,17.0
2022-03-17,14.0
2022-03-18,16.0
2022-03-19,10.0
2022-03-20,11.0
2022-03-21,14.0
2022-03-22,15.0
2022-03-23,11.0
2022-03-24,14.0
2022-03-25,23.0
2022-03-26,7.0
2022-03-27,10.0
2022-03-28,22.0
2022-03-29,27.0
2022-03-30,17.0
2022-03-31,28.0
2022-04-01,19.0
2022-04-02,7.0
2022-04-03,8.0
2022-04-04,21.0
2022-04-05,22.0
2022-04-06,21.0
2022-04-07,21.0
2022-04-08,21.0
2022-04-09,11.0
2022-04-10,11.0
2022-04-11,14.0
2022-04-12,18.0
2022-04-13,15.0
2022-04-14,14.0
2022-04-15,10.0
2022-04-16,4.0
2022-04-17,8.0
2022-04-18,11.0
2022-04-19,18.0
2022-04-20,17.0
2022-04-21,19.0
2022-04-22,19.0
2022-04-23,8.0
2022-04-24,10.0
2022-04-25,13.0
2022-04-26,20.0
2022-04-27,17.0
2022-04-28,17.0
2022-04-29,17.0
2022-04-30,6.0
2022-05-01,14.0
2022-05-02,21.0
2022-05-03,22.0
2022-05-04,14.0
2022-05-05,18.0
2022-05-06,13.0
2022-05-07,8.0
2022-05-08,7.0
2022-05-09,17.0
2022-05-10,19.0
2022-05-11,14.0
2022-05-12,15.0
2022-05-13,14.0
2022-05-14,6.0
2022-05-15,0.0
2022-05-16,15.0
2022-05-17,20.0
2022-05-18,14.0
2022-05-19,17.0
2022-05-20,12.0
2022-05-21,0.0
2022-05-22,28.0
2022-05-23,14.0
2022-05-24,12.0
2022-05-25,11.0
2022-05-26,10.0
2022-05-27,10.0
2022-05-28,5.0
2022-05-29,0.0
2022-05-30,9.0
2022-05-31,13.0
2022-06-01,9.0
2022-06-02,10.0
2022-06-03,7.0
2022-06-04,5.0
2022-06-05,5.0
2022-06-06,10.0
2022-06-07,7.0
2022-06-08,6.0
2022-06-09,7.0
2022-06-10,9.0
2022-06-11,5.0
2022-06-12,7.0
2022-06-13,8.0
2022-06-14,8.0
2022-06-15,5.0
2022-06-16,8.0
2022-06-17,4.0
2022-06-18,0.0
2022-06-19,8.0
2022-06-20,6.0
2022-06-21,7.0
2022-06-22,6.0
2022-06-23,8.0
2022-06-24,0.0
2022-06-25,0.0
2022-06-26,5.0
2022-06-27,5.0
2022-06-28,0.0
2022-06-29,6.0
2022-06-30,6.0
2022-07-01,5.0
2022-07-02,5.0
2022-07-03,7.0
2022-07-04,6.0
2022-07-05,7.0
2022-07-06,4.0
2022-07-07,0.0
2022-07-08,6.0
2022-07-09,7.0
2022-07-10,5.0
2022-07-11,0.0
2022-07-12,6.0
2022-07-13,6.0
2022-07-14,0.0
2022-07-15,0.0
2022-07-16,44.0
2022-07-17,15.0
2022-07-18,13.0
2022-07-19,7.0
2022-07-20,5.0
2022-07-21,10.0
2022-07-22,0.0
2022-07-23,5.0
2022-07-24,7.0
2022-07-25,10.0
2022-07-26,8.0
2022-07-27,0.0
2022-07-28,7.0
2022-07-29,8.0
2022-07-30,10.0
2022-07-31,9.0
2022-08-01,5.0
2022-08-02,7.0
2022-08-03,6.0
2022-08-04,8.0
2022-08-05,6.0
2022-08-06,7.0
2022-08-07,9.0
2022-08-08,8.0
2022-08-09,12.0
2022-08-10,10.0
2022-08-11,8.0
2022-08-12,11.0
2022-08-13,0.0
2022-08-14,9.0
2022-08-15,11.0
2022-08-16,10.0
2022-08-17,13.0
2022-08-18,11.0
2022-08-19,9.0
2022-08-20,8.0
2022-08-21,6.0
2022-08-22,8.0
2022-08-23,8.0
2022-08-24,15.0
2022-08-25,26.0
2022-08-26,14.0
2022-08-27,7.0
2022-08-28,10.0
2022-08-29,4.5
2022-08-30,22.0
2022-08-31,5.0
2022-09-01,6.0
2022-09-02,3.5
2022-09-03,4.0
2022-09-04,4.5
2022-09-05,5.0
2022-09-06,101.0
2022-09-07,102.0
2022-09-08,55.5
2022-09-09,50.0
2022-09-10,49.5
2022-09-11,52.5
2022-09-12,99.5
2022-09-13,78.5
2022-09-14,74.5
2022-09-15,73.0
2022-09-16,50.5
2022-09-17,47.5
2022-09-18,46.5
2022-09-19,30.5
2022-09-20,32.5
2022-09-21,27.5
2022-09-22,26.0
2022-09-23,26.5
2022-09-24,29.0
2022-09-25,28.5
2022-09-26,27.0
2022-09-27,27.5
2022-09-28,52.0
2022-09-29,52.0
2022-09-30,52.0
2022-10-01,52.0
2022-10-02,26.0
2022-10-03,26.0
2022-10-04,52.0
2022-10-05,52.0
2022-10-06,52.0
2022-10-07,52.0
2022-10-08,52.0
2022-10-09,52.0
2022-10-10,52.0
2022-10-11,52.0
2022-10-12,52.0
2022-10-13,52.0
2022-10-14,52.0
2022-10-15,78.0
2022-10-16,78.0
2022-10-17,78.0
2022-10-18,78.0
2022-10-19,78.0
2022-10-20,234.0
2022-10-21,208.0
2022-10-22,156.0
2022-10-23,130.0
2022-10-24,130.0
2022-10-25,104.0
2022-10-26,130.0
2022-10-27,130.0
2022-10-28,520.0
2022-10-29,1118.0
2022-10-30,962.0
2022-10-31,702.0
2022-11-01,520.0
2022-11-02,468.0
2022-11-03,416.0
2022-11-04,390.0
2022-11-05,546.0
2022-11-06,468.0
2022-11-07,338.0
2022-11-08,338.0
2022-11-09,286.0
2022-11-10,260.0
2022-11-11,312.0
2022-11-12,390.0
2022-11-13,364.0
2022-11-14,260.0
2022-11-15,182.0
2022-11-16,182.0
2022-11-17,156.0
2022-11-18,156.0
2022-11-19,208.0
2022-11-20,208.0
2022-11-21,156.0
2022-11-22,156.0
2022-11-23,156.0
2022-11-24,156.0
2022-11-25,156.0
2022-11-26,156.0
2022-11-27,182.0
2022-11-28,104.0
2022-11-29,104.0
2022-11-30,104.0
2022-12-01,104.0
2022-12-02,104.0
2022-12-03,104.0
2022-12-04,130.0
2022-12-05,104.0
2022-12-06,104.0
2022-12-07,78.0
2022-12-08,104.0
2022-12-09,78.0
2022-12-10,104.0
2022-12-11,104.0
2022-12-12,104.0
2022-12-13,78.0
2022-12-14,78.0
2022-12-15,78.0
2022-12-16,78.0
2022-12-17,104.0
2022-12-18,78.0
2022-12-19,78.0
2022-12-20,78.0
2022-12-21,78.0
2022-12-22,78.0
2022-12-23,104.0
2022-12-24,104.0
2022-12-25,104.0
2022-12-26,130.0
2022-12-27,130.0
2022-12-28,104.0
2022-12-29,78.0
2022-12-30,78.0
2022-12-31,104.0
2023-01-01,78.0
2023-01-02,104.0
2023-01-03,78.0
2023-01-04,78.0
2023-01-05,78.0
2023-01-06,78.0
2023-01-07,104.0
2023-01-08,104.0
2023-01-09,104.0
2023-01-10,78.0
2023-01-11,78.0
2023-01-12,78.0
2023-01-13,78.0
2023-01-14,104.0
2023-01-15,78.0
2023-01-16,104.0
2023-01-17,104.0
2023-01-18,78.0
2023-01-19,104.0
2023-01-20,104.0
2023-01-21,104.0
2023-01-22,104.0
2023-01-23,78.0
2023-01-24,624.0
2023-01-25,442.0
2023-01-26,260.0
2023-01-27,260.0
2023-01-28,390.0
2023-01-29,390.0
2023-01-30,208.0
2023-01-31,182.0
2023-02-01,156.0
2023-02-02,156.0
2023-02-03,156.0
2023-02-04,234.0
2023-02-05,260.0
2023-02-06,156.0
2023-02-07,130.0
2023-02-08,104.0
2023-02-09,104.0
2023-02-10,104.0
2023-02-11,156.0
2023-02-12,156.0
2023-02-13,78.0
2023-02-14,104.0
2023-02-15,104.0
2023-02-16,104.0
2023-02-17,130.0
2023-02-18,156.0
2023-02-19,286.0
2023-02-20,338.0
2023-02-21,182.0
2023-02-22,156.0
2023-02-23,130.0
2023-02-24,130.0
2023-02-25,208.0
2023-02-26,234.0
2023-02-27,156.0
2023-02-28,130.0
2023-03-01,130.0
2023-03-02,130.0
2023-03-03,156.0
2023-03-04,208.0
2023-03-05,260.0
2023-03-06,208.0
2023-03-07,156.0
2023-03-08,156.0
2023-03-09,156.0
2023-03-10,182.0
2023-03-11,286.0
2023-03-12,416.0
2023-03-13,2600.0
2023-03-14,416.0
2023-03-15,260.0
2023-03-16,182.0
2023-03-17,182.0
2023-03-18,234.0
2023-03-19,260.0
2023-03-20,156.0
2023-03-21,130.0
2023-03-22,130.0
2023-03-23,130.0
2023-03-24,104.0
2023-03-25,156.0
2023-03-26,156.0
2023-03-27,104.0
2023-03-28,78.0
2023-03-29,78.0
2023-03-30,78.0
2023-03-31,78.0
2023-04-01,78.0
2023-04-02,104.0
2023-04-03,78.0
2023-04-04,52.0
2023-04-05,52.0
2023-04-06,52.0
2023-04-07,52.0
2023-04-08,78.0
2023-04-09,78.0
2023-04-10,52.0
2023-04-11,52.0
2023-04-12,52.0
2023-04-13,52.0
2023-04-14,52.0
2023-04-15,52.0
2023-04-16,52.0
2023-04-17,52.0
2023-04-18,52.0
2023-04-19,52.0
2023-04-20,52.0
2023-04-21,52.0
2023-04-22,52.0
2023-04-23,78.0
2023-04-24,52.0
2023-04-25,52.0
2023-04-26,53.06849315068493
2023-04-27,52.0
2023-04-28,50.93150684931507
2023-04-29,55.917808219178085
2023-04-30,57.6986301369863
2023-05-01,54.849315068493155
2023-05-02,53.42465753424658
2023-05-03,50.21917808219178
2023-05-04,49.50684931506849
