Time,arsenal real madrid
2022-08-29,0
2022-08-30,0
2022-08-31,0
2022-09-01,0
2022-09-02,0
2022-09-03,13
2022-09-04,11
2022-09-05,0
2022-09-06,5
2022-09-07,0
2022-09-08,0
2022-09-09,0
2022-09-10,0
2022-09-11,6
2022-09-12,0
2022-09-13,0
2022-09-14,0
2022-09-15,0
2022-09-16,0
2022-09-17,7
2022-09-18,22
2022-09-19,4
2022-09-20,0
2022-09-21,0
2022-09-22,0
2022-09-23,0
2022-09-24,0
2022-09-25,0
2022-09-26,0
2022-09-27,0
2022-09-28,0
2022-09-29,0
2022-09-30,0
2022-10-01,9
2022-10-02,0
2022-10-03,0
2022-10-04,0
2022-10-05,0
2022-10-06,0
2022-10-07,0
2022-10-08,11
2022-10-09,11
2022-10-10,0
2022-10-11,0
2022-10-12,4
2022-10-13,0
2022-10-14,0
2022-10-15,6
2022-10-16,77
2022-10-17,5
2022-10-18,4
2022-10-19,6
2022-10-20,5
2022-10-21,0
2022-10-22,8
2022-10-23,9
2022-10-24,4
2022-10-25,0
2022-10-26,0
2022-10-27,0
2022-10-28,0
2022-10-29,0
2022-10-30,36
2022-10-31,4
2022-11-01,0
2022-11-02,0
2022-11-03,0
2022-11-04,0
2022-11-05,7
2022-11-06,14
2022-11-07,7
2022-11-08,4
2022-11-09,0
2022-11-10,0
2022-11-11,4
2022-11-12,6
2022-11-13,0
2022-11-14,0
2022-11-15,0
2022-11-16,0
2022-11-17,0
2022-11-18,0
2022-11-19,0
2022-11-20,0
2022-11-21,0
2022-11-22,0
2022-11-23,0
2022-11-24,0
2022-11-25,0
2022-11-26,0
2022-11-27,0
2022-11-28,0
2022-11-29,0
2022-11-30,0
2022-12-01,0
2022-12-02,0
2022-12-03,0
2022-12-04,0
2022-12-05,0
2022-12-06,0
2022-12-07,0
2022-12-08,0
2022-12-09,4
2022-12-10,0
2022-12-11,0
2022-12-12,0
2022-12-13,0
2022-12-14,0
2022-12-15,0
2022-12-16,4
2022-12-17,0
2022-12-18,0
2022-12-19,0
2022-12-20,0
2022-12-21,0
2022-12-22,0
2022-12-23,0
2022-12-24,0
2022-12-25,0
2022-12-26,5
2022-12-27,0
2022-12-28,0
2022-12-29,0
2022-12-30,0
2022-12-31,7
2023-01-01,0
2023-01-02,0
2023-01-03,28
2023-01-04,5
2023-01-05,0
2023-01-06,0
2023-01-07,6
2023-01-08,4
2023-01-09,7
2023-01-10,4
2023-01-11,7
2023-01-12,0
2023-01-13,4
2023-01-14,9
2023-01-15,69
2023-01-16,8
2023-01-17,5
2023-01-18,4
2023-01-19,11
2023-01-20,6
2023-01-21,6
2023-01-22,40
2023-01-23,8
2023-01-24,4
2023-01-25,4
2023-01-26,14
2023-01-27,10
2023-01-28,0
2023-01-29,8
2023-01-30,5
2023-01-31,6
2023-02-01,4
2023-02-02,4
2023-02-03,5
2023-02-04,12
2023-02-05,8
2023-02-06,5
2023-02-07,0
2023-02-08,7
2023-02-09,6
2023-02-10,0
2023-02-11,28
2023-02-12,10
2023-02-13,0
2023-02-14,4
2023-02-15,93
2023-02-16,11
2023-02-17,7
2023-02-18,28
2023-02-19,7
2023-02-20,0
2023-02-21,10
2023-02-22,9
2023-02-23,0
2023-02-24,5
2023-02-25,38
2023-02-26,0
2023-02-27,5
2023-02-28,0
2023-03-01,10
2023-03-02,10
2023-03-03,8
2023-03-04,17
2023-03-05,15
2023-03-06,8
2023-03-07,5
2023-03-08,0
2023-03-09,8
2023-03-10,5
2023-03-11,14
2023-03-12,9
2023-03-13,5
2023-03-14,0
2023-03-15,8
2023-03-16,11
2023-03-17,7
2023-03-18,6
2023-03-19,32
2023-03-20,7
2023-03-21,4
2023-03-22,4
2023-03-23,0
2023-03-24,0
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,4
2023-04-01,12
2023-04-02,10
2023-04-03,0
2023-04-04,0
2023-04-05,8
2023-04-06,5
2023-04-07,0
2023-04-08,10
2023-04-09,24
2023-04-10,5
2023-04-11,6
2023-04-12,7
2023-04-13,6
2023-04-14,5
2023-04-15,16
2023-04-16,12
2023-04-17,5
2023-04-18,9
2023-04-19,4
2023-04-20,5
2023-04-21,17
2023-04-22,13
2023-04-23,0
2023-04-24,6
2023-04-25,19
2023-04-26,30
2023-04-27,8
2023-04-28,7
2023-04-29,16
2023-04-30,5
2023-05-01,6
2023-05-02,100
2023-05-03,19
2023-05-04,5
2023-05-05,6
2023-05-06,18
2023-05-07,8
2023-05-08,8
2023-05-09,12
2023-05-10,5
2023-05-11,0
2023-05-12,9
2023-05-13,19
2023-05-14,17
2023-05-15,6
2023-05-16,4
2023-05-17,13
2023-05-18,7
2023-05-19,0
2023-05-20,20
2023-05-21,7
2023-05-22,6
2023-05-23,4
2023-05-24,6
2023-05-25,4
