Time,bubble tea
2024-08-18,60
2024-08-19,38
2024-08-20,37
2024-08-21,38
2024-08-22,38
2024-08-23,40
2024-08-24,58
2024-08-25,55
2024-08-26,38
2024-08-27,33
2024-08-28,36
2024-08-29,44
2024-08-30,43
2024-08-31,50
2024-09-01,60
2024-09-02,57
2024-09-03,36
2024-09-04,63
2024-09-05,42
2024-09-06,42
2024-09-07,54
2024-09-08,56
2024-09-09,37
2024-09-10,34
2024-09-11,32
2024-09-12,41
2024-09-13,41
2024-09-14,55
2024-09-15,50
2024-09-16,31
2024-09-17,34
2024-09-18,34
2024-09-19,37
2024-09-20,42
2024-09-21,55
2024-09-22,48
2024-09-23,34
2024-09-24,32
2024-09-25,34
2024-09-26,37
2024-09-27,37
2024-09-28,48
2024-09-29,49
2024-09-30,35
2024-10-01,37
2024-10-02,38
2024-10-03,35
2024-10-04,37
2024-10-05,63
2024-10-06,51
2024-10-07,33
2024-10-08,27
2024-10-09,37
2024-10-10,39
2024-10-11,42
2024-10-12,57
2024-10-13,54
2024-10-14,42
2024-10-15,39
2024-10-16,33
2024-10-17,30
2024-10-18,38
2024-10-19,55
2024-10-20,48
2024-10-21,38
2024-10-22,34
2024-10-23,35
2024-10-24,35
2024-10-25,36
2024-10-26,48
2024-10-27,48
2024-10-28,31
2024-10-29,29
2024-10-30,36
2024-10-31,33
2024-11-01,36
2024-11-02,42
2024-11-03,47
2024-11-04,28
2024-11-05,26
2024-11-06,20
2024-11-07,31
2024-11-08,35
2024-11-09,45
2024-11-10,46
2024-11-11,33
2024-11-12,32
2024-11-13,32
2024-11-14,26
2024-11-15,52
2024-11-16,43
2024-11-17,45
2024-11-18,32
2024-11-19,25
2024-11-20,30
2024-11-21,68
2024-11-22,39
2024-11-23,40
2024-11-24,46
2024-11-25,29
2024-11-26,34
2024-11-27,31
2024-11-28,32
2024-11-29,33
2024-11-30,40
2024-12-01,41
2024-12-02,27
2024-12-03,29
2024-12-04,26
2024-12-05,24
2024-12-06,29
2024-12-07,39
2024-12-08,38
2024-12-09,28
2024-12-10,27
2024-12-11,27
2024-12-12,25
2024-12-13,31
2024-12-14,45
2024-12-15,45
2024-12-16,32
2024-12-17,33
2024-12-18,32
2024-12-19,34
2024-12-20,41
2024-12-21,44
2024-12-22,45
2024-12-23,37
2024-12-24,42
2024-12-25,35
2024-12-26,39
2024-12-27,42
2024-12-28,47
2024-12-29,51
2024-12-30,45
2024-12-31,43
2025-01-01,46
2025-01-02,34
2025-01-03,36
2025-01-04,49
2025-01-05,38
2025-01-06,25
2025-01-07,28
2025-01-08,29
2025-01-09,28
2025-01-10,31
2025-01-11,40
2025-01-12,43
2025-01-13,36
2025-01-14,35
2025-01-15,29
2025-01-16,38
2025-01-17,35
2025-01-18,55
2025-01-19,44
2025-01-20,40
2025-01-21,27
2025-01-22,29
2025-01-23,31
2025-01-24,33
2025-01-25,45
2025-01-26,50
2025-01-27,29
2025-01-28,32
2025-01-29,31
2025-01-30,34
2025-01-31,31
2025-02-01,48
2025-02-02,49
2025-02-03,29
2025-02-04,32
2025-02-05,30
2025-02-06,32
2025-02-07,37
2025-02-08,100
2025-02-09,50
2025-02-10,30
2025-02-11,31
2025-02-12,29
2025-02-13,27
2025-02-14,38
2025-02-15,47
2025-02-16,47
2025-02-17,39
2025-02-18,29
2025-02-19,33
2025-02-20,34
2025-02-21,35
2025-02-22,47
2025-02-23,49
2025-02-24,35
2025-02-25,28
2025-02-26,32
2025-02-27,31
2025-02-28,34
2025-03-01,50
2025-03-02,54
2025-03-03,34
2025-03-04,33
2025-03-05,31
2025-03-06,28
2025-03-07,36
2025-03-08,49
2025-03-09,58
2025-03-10,34
2025-03-11,33
2025-03-12,37
2025-03-13,36
2025-03-14,33
2025-03-15,50
2025-03-16,52
2025-03-17,35
2025-03-18,33
2025-03-19,38
2025-03-20,36
2025-03-21,39
2025-03-22,55
2025-03-23,54
2025-03-24,43
2025-03-25,38
2025-03-26,35
2025-03-27,35
2025-03-28,43
2025-03-29,57
2025-03-30,57
2025-03-31,35
2025-04-01,33
2025-04-02,36
2025-04-03,37
2025-04-04,41
2025-04-05,54
2025-04-06,47
2025-04-07,34
2025-04-08,39
2025-04-09,33
2025-04-10,37
2025-04-11,33
2025-04-12,54
2025-04-13,55
2025-04-14,35
2025-04-15,33
2025-04-16,33
2025-04-17,40
2025-04-18,45
2025-04-19,57
2025-04-20,53
2025-04-21,38
2025-04-22,36
2025-04-23,42
2025-04-24,45
2025-04-25,41
2025-04-26,50
2025-04-27,57
2025-04-28,40
2025-04-29,38
2025-04-30,62
2025-05-01,43
2025-05-02,39
2025-05-03,54
2025-05-04,68
2025-05-05,41
2025-05-06,39
2025-05-07,40
2025-05-08,39
2025-05-09,39
2025-05-10,56
2025-05-11,59
2025-05-12,41
2025-05-13,42
2025-05-14,38
