Time,credit karma
2023-04-26,92
2023-04-27,90
2023-04-28,87
2023-04-29,90
2023-04-30,80
2023-05-01,96
2023-05-02,93
2023-05-03,96
2023-05-04,95
2023-05-05,86
2023-05-06,89
2023-05-07,82
2023-05-08,91
2023-05-09,88
2023-05-10,91
2023-05-11,85
2023-05-12,86
2023-05-13,84
2023-05-14,93
2023-05-15,93
2023-05-16,100
2023-05-17,90
2023-05-18,93
2023-05-19,92
2023-05-20,86
2023-05-21,89
2023-05-22,91
2023-05-23,85
2023-05-24,89
2023-05-25,87
2023-05-26,86
2023-05-27,89
2023-05-28,81
2023-05-29,78
2023-05-30,85
2023-05-31,90
2023-06-01,86
2023-06-02,88
2023-06-03,93
2023-06-04,83
2023-06-05,96
2023-06-06,90
2023-06-07,98
2023-06-08,93
2023-06-09,92
2023-06-10,83
2023-06-11,81
2023-06-12,94
2023-06-13,89
2023-06-14,89
2023-06-15,94
2023-06-16,89
2023-06-17,83
2023-06-18,77
2023-06-19,89
2023-06-20,91
2023-06-21,93
2023-06-22,82
2023-06-23,86
2023-06-24,80
2023-06-25,75
2023-06-26,86
2023-06-27,88
2023-06-28,84
2023-06-29,88
2023-06-30,76
2023-07-01,78
2023-07-02,78
2023-07-03,82
2023-07-04,80
2023-07-05,84
2023-07-06,95
2023-07-07,95
2023-07-08,87
2023-07-09,85
2023-07-10,92
2023-07-11,95
2023-07-12,93
2023-07-13,93
2023-07-14,92
2023-07-15,89
2023-07-16,80
2023-07-17,92
2023-07-18,89
2023-07-19,90
2023-07-20,93
2023-07-21,92
2023-07-22,79
2023-07-23,81
2023-07-24,90
2023-07-25,83
2023-07-26,82
2023-07-27,83
2023-07-28,83
2023-07-29,79
2023-07-30,73
2023-07-31,81
2023-08-01,85
2023-08-02,94
2023-08-03,87
2023-08-04,87
2023-08-05,85
2023-08-06,80
2023-08-07,90
2023-08-08,92
2023-08-09,88
2023-08-10,84
2023-08-11,91
2023-08-12,82
2023-08-13,83
2023-08-14,86
2023-08-15,87
2023-08-16,85
2023-08-17,88
2023-08-18,87
2023-08-19,85
2023-08-20,76
2023-08-21,79
2023-08-22,82
2023-08-23,91
2023-08-24,79
2023-08-25,79
2023-08-26,77
2023-08-27,72
2023-08-28,81
2023-08-29,86
2023-08-30,76
2023-08-31,77
2023-09-01,83
2023-09-02,75
2023-09-03,77
2023-09-04,74
2023-09-05,85
2023-09-06,81
2023-09-07,85
2023-09-08,80
2023-09-09,75
2023-09-10,68
2023-09-11,79
2023-09-12,77
2023-09-13,78
2023-09-14,80
2023-09-15,78
2023-09-16,79
2023-09-17,71
2023-09-18,81
2023-09-19,78
2023-09-20,76
2023-09-21,78
2023-09-22,75
2023-09-23,73
2023-09-24,76
2023-09-25,75
2023-09-26,77
2023-09-27,80
2023-09-28,79
2023-09-29,73
2023-09-30,74
2023-10-01,67
2023-10-02,73
2023-10-03,82
2023-10-04,84
2023-10-05,78
2023-10-06,78
2023-10-07,79
2023-10-08,70
2023-10-09,75
2023-10-10,74
2023-10-11,75
2023-10-12,82
2023-10-13,76
2023-10-14,72
2023-10-15,70
2023-10-16,74
2023-10-17,77
2023-10-18,75
2023-10-19,80
2023-10-20,77
2023-10-21,67
2023-10-22,64
2023-10-23,74
2023-10-24,86
2023-10-25,71
2023-10-26,72
2023-10-27,73
2023-10-28,65
2023-10-29,58
2023-10-30,73
2023-10-31,70
2023-11-01,74
2023-11-02,78
2023-11-03,81
2023-11-04,80
2023-11-05,68
2023-11-06,83
2023-11-07,74
2023-11-08,80
2023-11-09,79
2023-11-10,85
2023-11-11,74
2023-11-12,68
2023-11-13,77
2023-11-14,76
2023-11-15,77
2023-11-16,84
2023-11-17,76
2023-11-18,73
2023-11-19,66
2023-11-20,76
2023-11-21,73
2023-11-22,82
2023-11-23,54
2023-11-24,65
2023-11-25,67
2023-11-26,63
2023-11-27,76
2023-11-28,72
2023-11-29,76
2023-11-30,78
2023-12-01,82
2023-12-02,72
2023-12-03,62
2023-12-04,76
2023-12-05,76
2023-12-06,78
2023-12-07,77
2023-12-08,71
2023-12-09,69
2023-12-10,72
2023-12-11,72
2023-12-12,71
2023-12-13,72
2023-12-14,72
2023-12-15,75
2023-12-16,72
2023-12-17,64
2023-12-18,75
2023-12-19,77
2023-12-20,78
2023-12-21,78
2023-12-22,76
2023-12-23,67
2023-12-24,55
2023-12-25,46
2023-12-26,73
2023-12-27,80
2023-12-28,77
2023-12-29,82
2023-12-30,72
2023-12-31,66
2024-01-01,69
2024-01-02,86
2024-01-03,91
2024-01-04,85
2024-01-05,85
2024-01-06,87
2024-01-07,78
2024-01-08,82
2024-01-09,75
2024-01-10,77
2024-01-11,76
2024-01-12,76
2024-01-13,77
2024-01-14,70
2024-01-15,73
2024-01-16,76
2024-01-17,78
2024-01-18,81
2024-01-19,90
2024-01-20,89
