Time,credit one
2022-08-29,72
2022-08-30,75
2022-08-31,77
2022-09-01,89
2022-09-02,94
2022-09-03,71
2022-09-04,61
2022-09-05,74
2022-09-06,80
2022-09-07,77
2022-09-08,75
2022-09-09,87
2022-09-10,71
2022-09-11,61
2022-09-12,75
2022-09-13,80
2022-09-14,81
2022-09-15,88
2022-09-16,85
2022-09-17,73
2022-09-18,63
2022-09-19,76
2022-09-20,78
2022-09-21,76
2022-09-22,74
2022-09-23,74
2022-09-24,66
2022-09-25,57
2022-09-26,74
2022-09-27,72
2022-09-28,73
2022-09-29,73
2022-09-30,80
2022-10-01,69
2022-10-02,75
2022-10-03,82
2022-10-04,75
2022-10-05,80
2022-10-06,76
2022-10-07,90
2022-10-08,70
2022-10-09,61
2022-10-10,73
2022-10-11,77
2022-10-12,79
2022-10-13,77
2022-10-14,86
2022-10-15,72
2022-10-16,62
2022-10-17,75
2022-10-18,75
2022-10-19,83
2022-10-20,79
2022-10-21,80
2022-10-22,66
2022-10-23,58
2022-10-24,72
2022-10-25,70
2022-10-26,69
2022-10-27,68
2022-10-28,73
2022-10-29,71
2022-10-30,56
2022-10-31,70
2022-11-01,80
2022-11-02,89
2022-11-03,86
2022-11-04,92
2022-11-05,70
2022-11-06,61
2022-11-07,76
2022-11-08,70
2022-11-09,71
2022-11-10,76
2022-11-11,75
2022-11-12,66
2022-11-13,61
2022-11-14,72
2022-11-15,89
2022-11-16,82
2022-11-17,78
2022-11-18,79
2022-11-19,69
2022-11-20,61
2022-11-21,73
2022-11-22,74
2022-11-23,85
2022-11-24,49
2022-11-25,71
2022-11-26,63
2022-11-27,65
2022-11-28,78
2022-11-29,71
2022-11-30,73
2022-12-01,79
2022-12-02,100
2022-12-03,73
2022-12-04,63
2022-12-05,78
2022-12-06,69
2022-12-07,77
2022-12-08,79
2022-12-09,81
2022-12-10,70
2022-12-11,67
2022-12-12,75
2022-12-13,75
2022-12-14,79
2022-12-15,82
2022-12-16,87
2022-12-17,73
2022-12-18,59
2022-12-19,76
2022-12-20,79
2022-12-21,74
2022-12-22,69
2022-12-23,72
2022-12-24,52
2022-12-25,34
2022-12-26,63
2022-12-27,79
2022-12-28,81
2022-12-29,79
2022-12-30,87
2022-12-31,72
2023-01-01,50
2023-01-02,77
2023-01-03,73
2023-01-04,83
2023-01-05,80
2023-01-06,74
2023-01-07,70
2023-01-08,62
2023-01-09,73
2023-01-10,78
2023-01-11,74
2023-01-12,76
2023-01-13,79
2023-01-14,72
2023-01-15,60
2023-01-16,67
2023-01-17,73
2023-01-18,75
2023-01-19,77
2023-01-20,84
2023-01-21,71
2023-01-22,61
2023-01-23,73
2023-01-24,74
2023-01-25,72
2023-01-26,71
2023-01-27,81
2023-01-28,75
2023-01-29,58
2023-01-30,73
2023-01-31,75
2023-02-01,85
2023-02-02,88
2023-02-03,84
2023-02-04,77
2023-02-05,73
2023-02-06,76
2023-02-07,78
2023-02-08,74
2023-02-09,80
2023-02-10,87
2023-02-11,74
2023-02-12,62
2023-02-13,69
2023-02-14,71
2023-02-15,86
2023-02-16,78
2023-02-17,88
2023-02-18,77
2023-02-19,64
2023-02-20,74
2023-02-21,73
2023-02-22,78
2023-02-23,82
2023-02-24,87
2023-02-25,68
2023-02-26,62
2023-02-27,78
2023-02-28,83
2023-03-01,92
2023-03-02,86
2023-03-03,87
2023-03-04,80
2023-03-05,71
2023-03-06,83
2023-03-07,81
2023-03-08,79
2023-03-09,83
2023-03-10,91
2023-03-11,78
2023-03-12,66
2023-03-13,77
2023-03-14,78
2023-03-15,81
2023-03-16,80
2023-03-17,86
2023-03-18,71
2023-03-19,64
2023-03-20,75
2023-03-21,80
2023-03-22,78
2023-03-23,77
2023-03-24,84
2023-03-25,70
2023-03-26,65
2023-03-27,76
2023-03-28,73
2023-03-29,71
2023-03-30,78
2023-03-31,90
2023-04-01,76
2023-04-02,70
2023-04-03,81
2023-04-04,79
2023-04-05,77
2023-04-06,95
2023-04-07,87
2023-04-08,78
2023-04-09,63
2023-04-10,84
2023-04-11,99
2023-04-12,97
2023-04-13,84
2023-04-14,88
2023-04-15,72
2023-04-16,65
2023-04-17,76
2023-04-18,79
2023-04-19,80
2023-04-20,74
2023-04-21,78
2023-04-22,71
2023-04-23,63
2023-04-24,71
2023-04-25,76
2023-04-26,78
2023-04-27,71
2023-04-28,82
2023-04-29,73
2023-04-30,66
2023-05-01,89
2023-05-02,76
2023-05-03,86
2023-05-04,85
2023-05-05,81
2023-05-06,72
2023-05-07,63
2023-05-08,81
2023-05-09,73
2023-05-10,73
2023-05-11,77
2023-05-12,84
2023-05-13,75
2023-05-14,59
2023-05-15,83
2023-05-16,80
2023-05-17,86
2023-05-18,78
2023-05-19,82
2023-05-20,73
2023-05-21,62
2023-05-22,76
2023-05-23,74
2023-05-24,78
2023-05-25,79
