Time,doctor strange 2
2023-04-26,0
2023-04-27,26
2023-04-28,25
2023-04-29,40
2023-04-30,55
2023-05-01,30
2023-05-02,32
2023-05-03,23
2023-05-04,31
2023-05-05,32
2023-05-06,60
2023-05-07,56
2023-05-08,74
2023-05-09,26
2023-05-10,41
2023-05-11,40
2023-05-12,36
2023-05-13,0
2023-05-14,60
2023-05-15,52
2023-05-16,40
2023-05-17,44
2023-05-18,0
2023-05-19,25
2023-05-20,53
2023-05-21,69
2023-05-22,42
2023-05-23,34
2023-05-24,43
2023-05-25,0
2023-05-26,43
2023-05-27,29
2023-05-28,47
2023-05-29,0
2023-05-30,25
2023-05-31,0
2023-06-01,36
2023-06-02,43
2023-06-03,45
2023-06-04,38
2023-06-05,34
2023-06-06,43
2023-06-07,41
2023-06-08,0
2023-06-09,38
2023-06-10,46
2023-06-11,38
2023-06-12,40
2023-06-13,42
2023-06-14,33
2023-06-15,29
2023-06-16,47
2023-06-17,40
2023-06-18,41
2023-06-19,27
2023-06-20,0
2023-06-21,0
2023-06-22,24
2023-06-23,35
2023-06-24,31
2023-06-25,58
2023-06-26,0
2023-06-27,0
2023-06-28,30
2023-06-29,39
2023-06-30,44
2023-07-01,0
2023-07-02,31
2023-07-03,50
2023-07-04,41
2023-07-05,32
2023-07-06,0
2023-07-07,27
2023-07-08,31
2023-07-09,32
2023-07-10,39
2023-07-11,31
2023-07-12,0
2023-07-13,0
2023-07-14,0
2023-07-15,31
2023-07-16,54
2023-07-17,39
2023-07-18,0
2023-07-19,38
2023-07-20,27
2023-07-21,0
2023-07-22,50
2023-07-23,0
2023-07-24,33
2023-07-25,27
2023-07-26,0
2023-07-27,0
2023-07-28,0
2023-07-29,32
2023-07-30,0
2023-07-31,0
2023-08-01,0
2023-08-02,44
2023-08-03,26
2023-08-04,27
2023-08-05,37
2023-08-06,37
2023-08-07,32
2023-08-08,0
2023-08-09,28
2023-08-10,27
2023-08-11,0
2023-08-12,44
2023-08-13,59
2023-08-14,44
2023-08-15,0
2023-08-16,37
2023-08-17,26
2023-08-18,31
2023-08-19,53
2023-08-20,70
2023-08-21,46
2023-08-22,37
2023-08-23,0
2023-08-24,0
2023-08-25,0
2023-08-26,37
2023-08-27,0
2023-08-28,0
2023-08-29,28
2023-08-30,26
2023-08-31,0
2023-09-01,42
2023-09-02,43
2023-09-03,42
2023-09-04,37
2023-09-05,40
2023-09-06,28
2023-09-07,31
2023-09-08,0
2023-09-09,0
2023-09-10,0
2023-09-11,0
2023-09-12,42
2023-09-13,24
2023-09-14,38
2023-09-15,29
2023-09-16,0
2023-09-17,0
2023-09-18,27
2023-09-19,0
2023-09-20,0
2023-09-21,0
2023-09-22,0
2023-09-23,0
2023-09-24,0
2023-09-25,0
2023-09-26,0
2023-09-27,57
2023-09-28,34
2023-09-29,0
2023-09-30,37
2023-10-01,31
2023-10-02,0
2023-10-03,46
2023-10-04,48
2023-10-05,0
2023-10-06,0
2023-10-07,31
2023-10-08,71
2023-10-09,64
2023-10-10,54
2023-10-11,46
2023-10-12,0
2023-10-13,29
2023-10-14,0
2023-10-15,0
2023-10-16,0
2023-10-17,29
2023-10-18,28
2023-10-19,38
2023-10-20,36
2023-10-21,45
2023-10-22,46
2023-10-23,29
2023-10-24,64
2023-10-25,31
2023-10-26,42
2023-10-27,44
2023-10-28,53
2023-10-29,52
2023-10-30,35
2023-10-31,0
2023-11-01,0
2023-11-02,35
2023-11-03,0
2023-11-04,49
2023-11-05,0
2023-11-06,42
2023-11-07,35
2023-11-08,36
2023-11-09,43
2023-11-10,100
2023-11-11,83
2023-11-12,81
2023-11-13,42
2023-11-14,41
2023-11-15,46
2023-11-16,57
2023-11-17,58
2023-11-18,53
2023-11-19,62
2023-11-20,52
2023-11-21,54
2023-11-22,73
2023-11-23,58
2023-11-24,48
2023-11-25,57
2023-11-26,66
2023-11-27,42
2023-11-28,30
2023-11-29,59
2023-11-30,48
2023-12-01,0
2023-12-02,37
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,39
2023-12-07,54
2023-12-08,25
2023-12-09,29
2023-12-10,55
2023-12-11,36
2023-12-12,21
2023-12-13,33
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,31
2023-12-19,42
2023-12-20,43
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,32
2023-12-25,33
2023-12-26,58
2023-12-27,51
2023-12-28,40
2023-12-29,29
2023-12-30,70
2023-12-31,65
2024-01-01,42
2024-01-02,31
2024-01-03,34
2024-01-04,27
2024-01-05,40
2024-01-06,46
2024-01-07,42
2024-01-08,27
2024-01-09,34
2024-01-10,26
2024-01-11,30
2024-01-12,0
2024-01-13,34
2024-01-14,0
2024-01-15,34
2024-01-16,38
2024-01-17,0
2024-01-18,32
2024-01-19,0
2024-01-20,47
