Time,fedex
2024-08-18,64
2024-08-19,80
2024-08-20,74
2024-08-21,75
2024-08-22,75
2024-08-23,68
2024-08-24,49
2024-08-25,44
2024-08-26,75
2024-08-27,70
2024-08-28,72
2024-08-29,73
2024-08-30,73
2024-08-31,50
2024-09-01,59
2024-09-02,42
2024-09-03,71
2024-09-04,73
2024-09-05,70
2024-09-06,65
2024-09-07,40
2024-09-08,30
2024-09-09,72
2024-09-10,73
2024-09-11,67
2024-09-12,66
2024-09-13,63
2024-09-14,39
2024-09-15,26
2024-09-16,64
2024-09-17,66
2024-09-18,70
2024-09-19,64
2024-09-20,65
2024-09-21,41
2024-09-22,26
2024-09-23,63
2024-09-24,67
2024-09-25,69
2024-09-26,61
2024-09-27,59
2024-09-28,38
2024-09-29,26
2024-09-30,62
2024-10-01,64
2024-10-02,65
2024-10-03,63
2024-10-04,60
2024-10-05,39
2024-10-06,25
2024-10-07,63
2024-10-08,65
2024-10-09,64
2024-10-10,61
2024-10-11,62
2024-10-12,43
2024-10-13,27
2024-10-14,65
2024-10-15,69
2024-10-16,68
2024-10-17,65
2024-10-18,64
2024-10-19,37
2024-10-20,27
2024-10-21,66
2024-10-22,64
2024-10-23,66
2024-10-24,62
2024-10-25,60
2024-10-26,37
2024-10-27,26
2024-10-28,63
2024-10-29,64
2024-10-30,65
2024-10-31,62
2024-11-01,60
2024-11-02,37
2024-11-03,25
2024-11-04,58
2024-11-05,56
2024-11-06,45
2024-11-07,62
2024-11-08,58
2024-11-09,39
2024-11-10,27
2024-11-11,67
2024-11-12,64
2024-11-13,64
2024-11-14,63
2024-11-15,62
2024-11-16,40
2024-11-17,27
2024-11-18,63
2024-11-19,67
2024-11-20,66
2024-11-21,65
2024-11-22,64
2024-11-23,43
2024-11-24,29
2024-11-25,65
2024-11-26,71
2024-11-27,73
2024-11-28,26
2024-11-29,52
2024-11-30,46
2024-12-01,39
2024-12-02,70
2024-12-03,81
2024-12-04,80
2024-12-05,81
2024-12-06,87
2024-12-07,65
2024-12-08,48
2024-12-09,81
2024-12-10,92
2024-12-11,88
2024-12-12,88
2024-12-13,83
2024-12-14,67
2024-12-15,48
2024-12-16,85
2024-12-17,95
2024-12-18,99
2024-12-19,100
2024-12-20,100
2024-12-21,71
2024-12-22,50
2024-12-23,87
2024-12-24,71
2024-12-25,24
2024-12-26,64
2024-12-27,69
2024-12-28,48
2024-12-29,34
2024-12-30,75
2024-12-31,66
2025-01-01,27
2025-01-02,68
2025-01-03,72
2025-01-04,50
2025-01-05,33
2025-01-06,68
2025-01-07,76
2025-01-08,72
2025-01-09,72
2025-01-10,70
2025-01-11,50
2025-01-12,36
2025-01-13,72
2025-01-14,76
2025-01-15,74
2025-01-16,69
2025-01-17,66
2025-01-18,44
2025-01-19,31
2025-01-20,68
2025-01-21,67
2025-01-22,66
2025-01-23,70
2025-01-24,66
2025-01-25,45
2025-01-26,28
2025-01-27,63
2025-01-28,67
2025-01-29,67
2025-01-30,61
2025-01-31,60
2025-02-01,38
2025-02-02,28
2025-02-03,58
2025-02-04,63
2025-02-05,64
2025-02-06,64
2025-02-07,61
2025-02-08,42
2025-02-09,26
2025-02-10,55
2025-02-11,70
2025-02-12,67
2025-02-13,67
2025-02-14,65
2025-02-15,40
2025-02-16,28
2025-02-17,61
2025-02-18,67
2025-02-19,67
2025-02-20,71
2025-02-21,72
2025-02-22,45
2025-02-23,30
2025-02-24,66
2025-02-25,70
2025-02-26,67
2025-02-27,66
2025-02-28,66
2025-03-01,47
2025-03-02,33
2025-03-03,65
2025-03-04,67
2025-03-05,63
2025-03-06,69
2025-03-07,65
2025-03-08,44
2025-03-09,29
2025-03-10,65
2025-03-11,67
2025-03-12,69
2025-03-13,66
2025-03-14,62
2025-03-15,41
2025-03-16,30
2025-03-17,64
2025-03-18,68
2025-03-19,70
2025-03-20,69
2025-03-21,63
2025-03-22,41
2025-03-23,29
2025-03-24,64
2025-03-25,67
2025-03-26,67
2025-03-27,66
2025-03-28,62
2025-03-29,44
2025-03-30,27
2025-03-31,66
2025-04-01,66
2025-04-02,63
2025-04-03,66
2025-04-04,68
2025-04-05,41
2025-04-06,30
2025-04-07,66
2025-04-08,69
2025-04-09,68
2025-04-10,66
2025-04-11,65
2025-04-12,43
2025-04-13,29
2025-04-14,66
2025-04-15,69
2025-04-16,68
2025-04-17,65
2025-04-18,60
2025-04-19,37
2025-04-20,23
2025-04-21,67
2025-04-22,69
2025-04-23,64
2025-04-24,62
2025-04-25,60
2025-04-26,39
2025-04-27,28
2025-04-28,66
2025-04-29,67
2025-04-30,62
2025-05-01,64
2025-05-02,61
2025-05-03,38
2025-05-04,29
2025-05-05,61
2025-05-06,63
2025-05-07,66
2025-05-08,66
2025-05-09,63
2025-05-10,42
2025-05-11,27
2025-05-12,65
2025-05-13,67
2025-05-14,66
