Time,food near me
2022-01-01,90
2022-01-02,81
2022-01-03,60
2022-01-04,60
2022-01-05,53
2022-01-06,43
2022-01-07,56
2022-01-08,76
2022-01-09,71
2022-01-10,51
2022-01-11,49
2022-01-12,50
2022-01-13,49
2022-01-14,49
2022-01-15,75
2022-01-16,62
2022-01-17,53
2022-01-18,40
2022-01-19,45
2022-01-20,48
2022-01-21,54
2022-01-22,76
2022-01-23,74
2022-01-24,61
2022-01-25,44
2022-01-26,42
2022-01-27,47
2022-01-28,56
2022-01-29,77
2022-01-30,74
2022-01-31,51
2022-02-01,50
2022-02-02,47
2022-02-03,49
2022-02-04,57
2022-02-05,78
2022-02-06,79
2022-02-07,52
2022-02-08,51
2022-02-09,51
2022-02-10,42
2022-02-11,57
2022-02-12,84
2022-02-13,67
2022-02-14,52
2022-02-15,59
2022-02-16,54
2022-02-17,56
2022-02-18,64
2022-02-19,92
2022-02-20,93
2022-02-21,64
2022-02-22,54
2022-02-23,52
2022-02-24,54
2022-02-25,61
2022-02-26,88
2022-02-27,92
2022-02-28,59
2022-03-01,57
2022-03-02,56
2022-03-03,53
2022-03-04,65
2022-03-05,92
2022-03-06,87
2022-03-07,58
2022-03-08,53
2022-03-09,55
2022-03-10,58
2022-03-11,63
2022-03-12,88
2022-03-13,94
2022-03-14,63
2022-03-15,60
2022-03-16,63
2022-03-17,61
2022-03-18,75
2022-03-19,94
2022-03-20,95
2022-03-21,64
2022-03-22,57
2022-03-23,58
2022-03-24,63
2022-03-25,64
2022-03-26,94
2022-03-27,89
2022-03-28,53
2022-03-29,50
2022-03-30,57
2022-03-31,53
2022-04-01,63
2022-04-02,97
2022-04-03,88
2022-04-04,57
2022-04-05,50
2022-04-06,52
2022-04-07,54
2022-04-08,64
2022-04-09,94
2022-04-10,90
2022-04-11,58
2022-04-12,53
2022-04-13,55
2022-04-14,60
2022-04-15,71
2022-04-16,89
2022-04-17,86
2022-04-18,60
2022-04-19,49
2022-04-20,52
2022-04-21,56
2022-04-22,65
2022-04-23,91
2022-04-24,93
2022-04-25,55
2022-04-26,51
2022-04-27,49
2022-04-28,55
2022-04-29,62
2022-04-30,95
2022-05-01,92
2022-05-02,55
2022-05-03,52
2022-05-04,52
2022-05-05,58
2022-05-06,66
2022-05-07,94
2022-05-08,92
2022-05-09,56
2022-05-10,53
2022-05-11,54
2022-05-12,57
2022-05-13,66
2022-05-14,89
2022-05-15,87
2022-05-16,59
2022-05-17,54
2022-05-18,55
2022-05-19,54
2022-05-20,69
2022-05-21,95
2022-05-22,90
2022-05-23,59
2022-05-24,57
2022-05-25,56
2022-05-26,58
2022-05-27,72
2022-05-28,96
2022-05-29,98
2022-05-30,92
2022-05-31,59
2022-06-01,62
2022-06-02,60
2022-06-03,68
2022-06-04,92
2022-06-05,94
2022-06-06,62
2022-06-07,60
2022-06-08,58
2022-06-09,63
2022-06-10,74
2022-06-11,90
2022-06-12,92
2022-06-13,70
2022-06-14,64
2022-06-15,62
2022-06-16,65
2022-06-17,72
2022-06-18,97
2022-06-19,94
2022-06-20,72
2022-06-21,65
2022-06-22,65
2022-06-23,66
2022-06-24,72
2022-06-25,95
2022-06-26,96
2022-06-27,73
2022-06-28,64
2022-06-29,66
2022-06-30,66
2022-07-01,78
2022-07-02,95
2022-07-03,96
2022-07-04,100
2022-07-05,73
2022-07-06,63
2022-07-07,67
2022-07-08,76
2022-07-09,95
2022-07-10,94
2022-07-11,69
2022-07-12,64
2022-07-13,61
2022-07-14,70
2022-07-15,77
2022-07-16,98
2022-07-17,94
2022-07-18,70
2022-07-19,63
2022-07-20,64
2022-07-21,66
2022-07-22,74
2022-07-23,98
2022-07-24,98
2022-07-25,71
2022-07-26,65
2022-07-27,64
2022-07-28,70
2022-07-29,79
2022-07-30,91
2022-07-31,96
2022-08-01,69
2022-08-02,66
2022-08-03,61
2022-08-04,65
2022-08-05,76
2022-08-06,92
2022-08-07,94
2022-08-08,65
2022-08-09,61
2022-08-10,61
2022-08-11,64
2022-08-12,71
2022-08-13,90
2022-08-14,95
2022-08-15,66
2022-08-16,59
2022-08-17,60
2022-08-18,64
2022-08-19,71
2022-08-20,93
2022-08-21,94
2022-08-22,61
2022-08-23,58
2022-08-24,56
2022-08-25,59
2022-08-26,68
2022-08-27,89
2022-08-28,90
2022-08-29,59
2022-08-30,53
2022-08-31,53
2022-09-01,58
2022-09-02,66
2022-09-03,85
2022-09-04,92
2022-09-05,89
2022-09-06,53
2022-09-07,53
2022-09-08,51
2022-09-09,60
2022-09-10,89
2022-09-11,76
2022-09-12,54
2022-09-13,52
2022-09-14,55
2022-09-15,55
2022-09-16,64
2022-09-17,90
2022-09-18,84
2022-09-19,56
2022-09-20,52
2022-09-21,52
2022-09-22,55
2022-09-23,62
2022-09-24,91
2022-09-25,84
2022-09-26,55
2022-09-27,51
