Time,iready
2023-04-26,61
2023-04-27,59
2023-04-28,53
2023-04-29,6
2023-04-30,7
2023-05-01,61
2023-05-02,61
2023-05-03,61
2023-05-04,66
2023-05-05,56
2023-05-06,5
2023-05-07,6
2023-05-08,70
2023-05-09,74
2023-05-10,71
2023-05-11,67
2023-05-12,59
2023-05-13,7
2023-05-14,6
2023-05-15,75
2023-05-16,74
2023-05-17,73
2023-05-18,71
2023-05-19,54
2023-05-20,6
2023-05-21,5
2023-05-22,59
2023-05-23,58
2023-05-24,58
2023-05-25,54
2023-05-26,38
2023-05-27,5
2023-05-28,4
2023-05-29,5
2023-05-30,43
2023-05-31,48
2023-06-01,44
2023-06-02,35
2023-06-03,5
2023-06-04,4
2023-06-05,34
2023-06-06,33
2023-06-07,27
2023-06-08,22
2023-06-09,18
2023-06-10,3
2023-06-11,3
2023-06-12,23
2023-06-13,20
2023-06-14,16
2023-06-15,16
2023-06-16,11
2023-06-17,2
2023-06-18,1
2023-06-19,4
2023-06-20,12
2023-06-21,11
2023-06-22,9
2023-06-23,6
2023-06-24,2
2023-06-25,1
2023-06-26,6
2023-06-27,7
2023-06-28,6
2023-06-29,5
2023-06-30,3
2023-07-01,2
2023-07-02,1
2023-07-03,3
2023-07-04,2
2023-07-05,4
2023-07-06,3
2023-07-07,3
2023-07-08,2
2023-07-09,1
2023-07-10,4
2023-07-11,5
2023-07-12,6
2023-07-13,4
2023-07-14,3
2023-07-15,2
2023-07-16,2
2023-07-17,5
2023-07-18,6
2023-07-19,5
2023-07-20,4
2023-07-21,3
2023-07-22,2
2023-07-23,2
2023-07-24,4
2023-07-25,5
2023-07-26,5
2023-07-27,4
2023-07-28,4
2023-07-29,1
2023-07-30,3
2023-07-31,5
2023-08-01,7
2023-08-02,7
2023-08-03,8
2023-08-04,6
2023-08-05,2
2023-08-06,3
2023-08-07,10
2023-08-08,12
2023-08-09,15
2023-08-10,16
2023-08-11,14
2023-08-12,3
2023-08-13,4
2023-08-14,25
2023-08-15,29
2023-08-16,31
2023-08-17,39
2023-08-18,29
2023-08-19,5
2023-08-20,5
2023-08-21,40
2023-08-22,54
2023-08-23,56
2023-08-24,56
2023-08-25,49
2023-08-26,8
2023-08-27,8
2023-08-28,57
2023-08-29,62
2023-08-30,59
2023-08-31,60
2023-09-01,53
2023-09-02,6
2023-09-03,5
2023-09-04,9
2023-09-05,65
2023-09-06,73
2023-09-07,76
2023-09-08,67
2023-09-09,10
2023-09-10,10
2023-09-11,73
2023-09-12,86
2023-09-13,96
2023-09-14,89
2023-09-15,74
2023-09-16,10
2023-09-17,10
2023-09-18,85
2023-09-19,100
2023-09-20,95
2023-09-21,96
2023-09-22,79
2023-09-23,10
2023-09-24,10
2023-09-25,61
2023-09-26,87
2023-09-27,88
2023-09-28,84
2023-09-29,70
2023-09-30,9
2023-10-01,10
2023-10-02,66
2023-10-03,73
2023-10-04,72
2023-10-05,70
2023-10-06,60
2023-10-07,7
2023-10-08,8
2023-10-09,42
2023-10-10,62
2023-10-11,65
2023-10-12,63
2023-10-13,55
2023-10-14,7
2023-10-15,9
2023-10-16,61
2023-10-17,65
2023-10-18,66
2023-10-19,66
2023-10-20,58
2023-10-21,7
2023-10-22,9
2023-10-23,65
2023-10-24,66
2023-10-25,65
2023-10-26,63
2023-10-27,54
2023-10-28,7
2023-10-29,10
2023-10-30,62
2023-10-31,47
2023-11-01,60
2023-11-02,62
2023-11-03,62
2023-11-04,8
2023-11-05,9
2023-11-06,60
2023-11-07,56
2023-11-08,63
2023-11-09,57
2023-11-10,34
2023-11-11,6
2023-11-12,8
2023-11-13,66
2023-11-14,65
2023-11-15,66
2023-11-16,63
2023-11-17,55
2023-11-18,7
2023-11-19,7
2023-11-20,38
2023-11-21,31
2023-11-22,14
2023-11-23,4
2023-11-24,3
2023-11-25,5
2023-11-26,7
2023-11-27,62
2023-11-28,70
2023-11-29,70
2023-11-30,70
2023-12-01,67
2023-12-02,8
2023-12-03,9
2023-12-04,73
2023-12-05,74
2023-12-06,82
2023-12-07,78
2023-12-08,65
2023-12-09,9
2023-12-10,9
2023-12-11,63
2023-12-12,69
2023-12-13,67
2023-12-14,69
2023-12-15,57
2023-12-16,7
2023-12-17,8
2023-12-18,49
2023-12-19,44
2023-12-20,40
2023-12-21,29
2023-12-22,10
2023-12-23,3
2023-12-24,3
2023-12-25,2
2023-12-26,3
2023-12-27,4
2023-12-28,4
2023-12-29,3
2023-12-30,4
2023-12-31,3
2024-01-01,4
2024-01-02,27
2024-01-03,40
2024-01-04,54
2024-01-05,54
2024-01-06,6
2024-01-07,7
2024-01-08,76
2024-01-09,86
2024-01-10,94
2024-01-11,99
2024-01-12,75
2024-01-13,8
2024-01-14,6
2024-01-15,11
2024-01-16,59
2024-01-17,82
2024-01-18,90
2024-01-19,70
2024-01-20,9
