Time,johnny_depp
2022-01-01,1.0
2022-01-02,1.0
2022-01-03,0.0
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,1.0
2022-01-09,1.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,1.0
2022-01-14,0.0
2022-01-15,1.0
2022-01-16,1.0
2022-01-17,1.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-22,1.0
2022-01-23,1.0
2022-01-24,1.0
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,1.0
2022-01-30,1.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,1.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-13,1.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,0.0
2022-02-18,0.0
2022-02-19,1.0
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.0
2022-03-02,0.0
2022-03-03,0.0
2022-03-04,0.0
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,0.0
2022-03-11,0.0
2022-03-12,0.0
2022-03-13,0.0
2022-03-14,0.0
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,1.0
2022-03-20,1.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,1.0
2022-03-27,1.0
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,0.0
2022-03-31,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,1.0
2022-04-04,1.0
2022-04-05,1.0
2022-04-06,1.0
2022-04-07,0.0
2022-04-08,1.0
2022-04-09,1.0
2022-04-10,1.0
2022-04-11,1.0
2022-04-12,2.0
2022-04-13,4.0
2022-04-14,5.0
2022-04-15,5.0
2022-04-16,4.0
2022-04-17,4.0
2022-04-18,5.0
2022-04-19,13.0
2022-04-20,22.0
2022-04-21,25.0
2022-04-22,24.0
2022-04-23,22.0
2022-04-24,18.0
2022-04-25,21.0
2022-04-26,25.0
2022-04-27,24.0
2022-04-28,20.0
2022-04-29,17.0
2022-04-30,16.0
2022-05-01,13.0
2022-05-02,14.0
2022-05-03,15.0
2022-05-04,16.0
2022-05-05,19.0
2022-05-06,18.0
2022-05-07,14.0
2022-05-08,12.0
2022-05-09,10.0
2022-05-10,9.0
2022-05-11,8.0
2022-05-12,8.0
2022-05-13,7.0
2022-05-14,7.0
2022-05-15,7.0
2022-05-16,12.0
2022-05-17,18.0
2022-05-18,18.0
2022-05-19,18.0
2022-05-20,16.0
2022-05-21,12.0
2022-05-22,10.0
2022-05-23,15.0
2022-05-24,17.0
2022-05-25,18.0
2022-05-26,18.0
2022-05-27,31.0
2022-05-28,28.0
2022-05-29,17.0
2022-05-30,18.0
2022-05-31,34.0
2022-06-01,100.0
2022-06-02,32.0
2022-06-03,13.0
2022-06-04,10.0
2022-06-05,9.0
2022-06-06,6.0
2022-06-07,5.0
2022-06-08,5.0
2022-06-09,6.0
2022-06-10,5.0
2022-06-11,5.0
2022-06-12,4.0
2022-06-13,3.0
2022-06-14,3.0
2022-06-15,3.0
2022-06-16,2.0
2022-06-17,2.0
2022-06-18,3.0
2022-06-19,3.0
2022-06-20,3.0
2022-06-21,2.0
2022-06-22,2.0
2022-06-23,2.0
2022-06-24,2.0
2022-06-25,2.0
2022-06-26,2.0
2022-06-27,3.0
2022-06-28,3.0
2022-06-29,2.0
2022-06-30,2.0
2022-07-01,2.0
2022-07-02,2.0
2022-07-03,2.0
2022-07-04,2.0
2022-07-05,1.0
2022-07-06,1.0
2022-07-07,1.0
2022-07-08,1.0
2022-07-09,1.0
