Time,khan academy
2022-01-01,11
2022-01-02,16
2022-01-03,30
2022-01-04,39
2022-01-05,40
2022-01-06,34
2022-01-07,37
2022-01-08,16
2022-01-09,20
2022-01-10,41
2022-01-11,46
2022-01-12,42
2022-01-13,44
2022-01-14,32
2022-01-15,18
2022-01-16,17
2022-01-17,21
2022-01-18,36
2022-01-19,43
2022-01-20,41
2022-01-21,36
2022-01-22,20
2022-01-23,20
2022-01-24,55
2022-01-25,42
2022-01-26,41
2022-01-27,42
2022-01-28,39
2022-01-29,20
2022-01-30,20
2022-01-31,41
2022-02-01,41
2022-02-02,41
2022-02-03,41
2022-02-04,38
2022-02-05,19
2022-02-06,22
2022-02-07,47
2022-02-08,48
2022-02-09,42
2022-02-10,37
2022-02-11,38
2022-02-12,22
2022-02-13,20
2022-02-14,32
2022-02-15,44
2022-02-16,43
2022-02-17,41
2022-02-18,34
2022-02-19,20
2022-02-20,19
2022-02-21,28
2022-02-22,38
2022-02-23,42
2022-02-24,39
2022-02-25,32
2022-02-26,21
2022-02-27,22
2022-02-28,41
2022-03-01,43
2022-03-02,44
2022-03-03,40
2022-03-04,34
2022-03-05,18
2022-03-06,21
2022-03-07,40
2022-03-08,43
2022-03-09,43
2022-03-10,40
2022-03-11,32
2022-03-12,19
2022-03-13,18
2022-03-14,33
2022-03-15,35
2022-03-16,34
2022-03-17,31
2022-03-18,26
2022-03-19,16
2022-03-20,19
2022-03-21,36
2022-03-22,39
2022-03-23,40
2022-03-24,35
2022-03-25,71
2022-03-26,23
2022-03-27,27
2022-03-28,78
2022-03-29,85
2022-03-30,39
2022-03-31,80
2022-04-01,69
2022-04-02,23
2022-04-03,26
2022-04-04,83
2022-04-05,83
2022-04-06,83
2022-04-07,81
2022-04-08,75
2022-04-09,26
2022-04-10,39
2022-04-11,86
2022-04-12,96
2022-04-13,82
2022-04-14,69
2022-04-15,37
2022-04-16,19
2022-04-17,22
2022-04-18,63
2022-04-19,75
2022-04-20,73
2022-04-21,70
2022-04-22,65
2022-04-23,20
2022-04-24,28
2022-04-25,91
2022-04-26,79
2022-04-27,74
2022-04-28,75
2022-04-29,73
2022-04-30,23
2022-05-01,27
2022-05-02,77
2022-05-03,75
2022-05-04,75
2022-05-05,73
2022-05-06,70
2022-05-07,26
2022-05-08,25
2022-05-09,75
2022-05-10,73
2022-05-11,71
2022-05-12,70
2022-05-13,60
2022-05-14,20
2022-05-15,23
2022-05-16,65
2022-05-17,67
2022-05-18,62
2022-05-19,61
2022-05-20,52
2022-05-21,20
2022-05-22,21
2022-05-23,60
2022-05-24,60
2022-05-25,50
2022-05-26,48
2022-05-27,40
2022-05-28,18
2022-05-29,18
2022-05-30,23
2022-05-31,45
2022-06-01,45
2022-06-02,46
2022-06-03,40
2022-06-04,21
2022-06-05,19
2022-06-06,41
2022-06-07,45
2022-06-08,42
2022-06-09,37
2022-06-10,31
2022-06-11,19
2022-06-12,19
2022-06-13,35
2022-06-14,37
2022-06-15,36
2022-06-16,33
2022-06-17,24
2022-06-18,17
2022-06-19,16
2022-06-20,32
2022-06-21,33
2022-06-22,32
2022-06-23,31
2022-06-24,24
2022-06-25,16
2022-06-26,20
2022-06-27,35
2022-06-28,31
2022-06-29,31
2022-06-30,27
2022-07-01,23
2022-07-02,17
2022-07-03,15
2022-07-04,19
2022-07-05,32
2022-07-06,33
2022-07-07,31
2022-07-08,24
2022-07-09,20
2022-07-10,16
2022-07-11,32
2022-07-12,32
2022-07-13,30
2022-07-14,29
2022-07-15,23
2022-07-16,17
2022-07-17,19
2022-07-18,30
2022-07-19,31
2022-07-20,29
2022-07-21,29
2022-07-22,22
2022-07-23,18
2022-07-24,18
2022-07-25,29
2022-07-26,30
2022-07-27,28
2022-07-28,26
2022-07-29,24
2022-07-30,17
2022-07-31,17
2022-08-01,28
2022-08-02,31
2022-08-03,30
2022-08-04,30
2022-08-05,26
2022-08-06,17
2022-08-07,20
2022-08-08,34
2022-08-09,37
2022-08-10,42
2022-08-11,48
2022-08-12,42
2022-08-13,19
2022-08-14,21
2022-08-15,49
2022-08-16,57
2022-08-17,63
2022-08-18,83
2022-08-19,67
2022-08-20,23
2022-08-21,27
2022-08-22,83
2022-08-23,82
2022-08-24,78
2022-08-25,81
2022-08-26,77
2022-08-27,26
2022-08-28,29
2022-08-29,83
2022-08-30,87
2022-08-31,94
2022-09-01,87
2022-09-02,73
2022-09-03,22
2022-09-04,23
2022-09-05,34
2022-09-06,87
2022-09-07,89
2022-09-08,97
2022-09-09,82
2022-09-10,27
2022-09-11,31
2022-09-12,97
2022-09-13,97
2022-09-14,100
2022-09-15,95
2022-09-16,83
2022-09-17,25
2022-09-18,33
2022-09-19,95
2022-09-20,97
2022-09-21,95
2022-09-22,98
2022-09-23,81
2022-09-24,25
2022-09-25,32
2022-09-26,81
2022-09-27,92
