Time,kohls
2022-01-01,95.0
2022-01-02,100.0
2022-01-03,76.0
2022-01-04,65.0
2022-01-05,58.0
2022-01-06,46.0
2022-01-07,54.0
2022-01-08,64.0
2022-01-09,62.0
2022-01-10,47.0
2022-01-11,50.0
2022-01-12,47.0
2022-01-13,58.0
2022-01-14,44.0
2022-01-15,62.0
2022-01-16,54.0
2022-01-17,49.0
2022-01-18,43.0
2022-01-19,41.0
2022-01-20,40.0
2022-01-21,44.0
2022-01-22,60.0
2022-01-23,58.0
2022-01-24,54.0
2022-01-25,36.0
2022-01-26,33.0
2022-01-27,38.0
2022-01-28,44.0
2022-01-29,51.0
2022-01-30,55.0
2022-01-31,44.0
2022-02-01,49.0
2022-02-02,40.0
2022-02-03,43.0
2022-02-04,44.0
2022-02-05,59.0
2022-02-06,61.0
2022-02-07,44.0
2022-02-08,42.0
2022-02-09,43.0
2022-02-10,38.0
2022-02-11,50.0
2022-02-12,63.0
2022-02-13,57.0
2022-02-14,44.0
2022-02-15,43.0
2022-02-16,44.0
2022-02-17,45.0
2022-02-18,47.0
2022-02-19,58.0
2022-02-20,64.0
2022-02-21,56.0
2022-02-22,46.0
2022-02-23,42.0
2022-02-24,41.0
2022-02-25,45.0
2022-02-26,57.0
2022-02-27,64.0
2022-02-28,46.0
2022-03-01,46.0
2022-03-02,43.0
2022-03-03,48.0
2022-03-04,50.0
2022-03-05,59.0
2022-03-06,64.0
2022-03-07,47.0
2022-03-08,43.0
2022-03-09,46.0
2022-03-10,45.0
2022-03-11,51.0
2022-03-12,61.0
2022-03-13,68.0
2022-03-14,46.0
2022-03-15,47.0
2022-03-16,46.0
2022-03-17,46.0
2022-03-18,47.0
2022-03-19,65.0
2022-03-20,76.0
2022-03-21,52.0
2022-03-22,44.0
2022-03-23,42.0
2022-03-24,47.0
2022-03-25,43.0
2022-03-26,56.0
2022-03-27,60.0
2022-03-28,37.0
2022-03-29,36.0
2022-03-30,38.0
2022-03-31,37.0
2022-04-01,47.0
2022-04-02,60.0
2022-04-03,64.0
2022-04-04,46.0
2022-04-05,41.0
2022-04-06,40.0
2022-04-07,45.0
2022-04-08,50.0
2022-04-09,63.0
2022-04-10,64.0
2022-04-11,46.0
2022-04-12,43.0
2022-04-13,44.0
2022-04-14,48.0
2022-04-15,62.0
2022-04-16,75.0
2022-04-17,67.0
2022-04-18,46.0
2022-04-19,40.0
2022-04-20,42.0
2022-04-21,45.0
2022-04-22,48.0
2022-04-23,57.0
2022-04-24,68.0
2022-04-25,46.0
2022-04-26,41.0
2022-04-27,47.0
2022-04-28,44.0
2022-04-29,46.0
2022-04-30,61.0
2022-05-01,68.0
2022-05-02,47.0
2022-05-03,44.0
2022-05-04,44.0
2022-05-05,46.0
2022-05-06,50.0
2022-05-07,64.0
2022-05-08,60.0
2022-05-09,43.0
2022-05-10,43.0
2022-05-11,42.0
2022-05-12,48.0
2022-05-13,49.0
2022-05-14,61.0
2022-05-15,71.0
2022-05-16,46.0
2022-05-17,43.0
2022-05-18,44.0
2022-05-19,46.0
2022-05-20,49.0
2022-05-21,59.0
2022-05-22,65.0
2022-05-23,43.0
2022-05-24,40.0
2022-05-25,37.0
2022-05-26,42.0
2022-05-27,46.0
2022-05-28,53.0
2022-05-29,60.0
2022-05-30,63.0
2022-05-31,46.0
2022-06-01,44.0
2022-06-02,44.0
2022-06-03,45.0
2022-06-04,50.0
2022-06-05,60.0
2022-06-06,41.0
2022-06-07,43.0
2022-06-08,44.0
2022-06-09,45.0
2022-06-10,51.0
2022-06-11,56.0
2022-06-12,57.0
2022-06-13,43.0
2022-06-14,42.0
2022-06-15,45.0
2022-06-16,46.0
2022-06-17,51.0
2022-06-18,63.0
2022-06-19,64.0
2022-06-20,48.0
2022-06-21,41.0
2022-06-22,39.0
2022-06-23,34.0
2022-06-24,35.0
2022-06-25,32.0
2022-06-26,37.0
2022-06-27,26.0
2022-06-28,27.0
2022-06-29,29.0
2022-06-30,33.0
2022-07-01,42.0
2022-07-02,46.0
2022-07-03,45.0
2022-07-04,46.0
2022-07-05,30.0
2022-07-06,29.0
2022-07-07,34.0
2022-07-08,37.0
2022-07-09,39.0
2022-07-10,44.0
2022-07-11,33.0
2022-07-12,37.0
2022-07-13,36.0
2022-07-14,34.0
2022-07-15,40.0
2022-07-16,41.0
2022-07-17,43.0
2022-07-18,36.0
2022-07-19,35.0
2022-07-20,32.0
2022-07-21,35.0
2022-07-22,35.0
2022-07-23,45.0
2022-07-24,51.0
2022-07-25,35.0
2022-07-26,30.0
2022-07-27,28.0
2022-07-28,33.0
2022-07-29,38.0
2022-07-30,43.0
2022-07-31,50.0
2022-08-01,37.0
2022-08-02,35.0
2022-08-03,36.0
2022-08-04,37.0
2022-08-05,40.0
2022-08-06,49.0
2022-08-07,51.0
2022-08-08,36.0
2022-08-09,33.0
2022-08-10,34.0
2022-08-11,35.0
2022-08-12,37.0
2022-08-13,43.0
2022-08-14,54.0
2022-08-15,40.0
2022-08-16,34.0
2022-08-17,33.0
2022-08-18,32.0
2022-08-19,38.0
2022-08-20,43.0
2022-08-21,49.0
2022-08-22,34.0
2022-08-23,30.0
2022-08-24,27.0
2022-08-25,29.0
2022-08-26,29.0
2022-08-27,37.0
2022-08-28,41.0
2022-08-29,26.968677494199536
2022-08-30,25.5707656612529
2022-08-31,28.366589327146173
2022-09-01,33.56032482598608
2022-09-02,33.56032482598608
2022-09-03,39.754060324825986
2022-09-04,43.54988399071926
2022-09-05,48.243619489559165
2022-09-06,28.866589327146173
2022-09-07,26.468677494199536
2022-09-08,28.366589327146173
2022-09-09,29.76450116009281
2022-09-10,32.662412993039446
2022-09-11,35.45823665893272
2022-09-12,27.468677494199536
2022-09-13,25.0707656612529
2022-09-14,25.0707656612529
2022-09-15,26.968677494199536
2022-09-16,32.662412993039446
2022-09-17,38.754060324825986
2022-09-18,37.35614849187935
2022-09-19,28.366589327146173
2022-09-20,26.968677494199536
2022-09-21,26.968677494199536
2022-09-22,26.968677494199536
2022-09-23,30.26450116009281
2022-09-24,43.04988399071926
2022-09-25,46.84570765661253
2022-09-26,30.76450116009281
2022-09-27,26.968677494199536
2022-09-28,26.937354988399072
2022-09-29,26.937354988399072
2022-09-30,35.91647331786543
2022-10-01,44.89559164733179
2022-10-02,44.89559164733179
2022-10-03,34.12064965197216
2022-10-04,32.32482598607889
2022-10-05,32.32482598607889
2022-10-06,34.12064965197216
2022-10-07,35.91647331786543
2022-10-08,41.303944315545245
2022-10-09,43.09976798143852
2022-10-10,32.32482598607889
2022-10-11,32.32482598607889
2022-10-12,32.32482598607889
2022-10-13,30.52900232018562
2022-10-14,35.91647331786543
2022-10-15,46.691415313225065
2022-10-16,50.283062645011604
2022-10-17,35.91647331786543
2022-10-18,30.52900232018562
2022-10-19,34.12064965197216
2022-10-20,37.712296983758705
2022-10-21,35.91647331786543
2022-10-22,43.09976798143852
2022-10-23,44.89559164733179
2022-10-24,30.52900232018562
2022-10-25,26.937354988399072
2022-10-26,30.52900232018562
2022-10-27,30.52900232018562
2022-10-28,32.32482598607889
2022-10-29,39.50812064965197
2022-10-30,39.50812064965197
2022-10-31,26.937354988399072
2022-11-01,26.937354988399072
2022-11-02,32.32482598607889
2022-11-03,34.12064965197216
2022-11-04,48.48723897911833
2022-11-05,53.874709976798144
2022-11-06,50.283062645011604
2022-11-07,39.50812064965197
2022-11-08,35.91647331786543
2022-11-09,34.12064965197216
2022-11-10,41.303944315545245
2022-11-11,59.262180974477964
2022-11-12,64.64965197215778
2022-11-13,68.24129930394432
2022-11-14,50.283062645011604
2022-11-15,44.89559164733179
2022-11-16,44.89559164733179
2022-11-17,48.48723897911833
2022-11-18,52.07888631090488
2022-11-19,68.24129930394432
2022-11-20,82.60788863109049
2022-11-21,61.05800464037124
2022-11-22,62.853828306264504
2022-11-23,70.0371229698376
2022-11-24,91.58700696055685
2022-11-25,179.58236658932717
2022-11-26,104.15777262180976
2022-11-27,82.60788863109049
2022-11-28,79.01624129930394
2022-11-29,61.05800464037124
2022-11-30,55.67053364269142
2022-12-01,64.64965197215778
2022-12-02,55.67053364269142
2022-12-03,68.24129930394432
2022-12-04,68.24129930394432
2022-12-05,53.874709976798144
2022-12-06,52.07888631090488
2022-12-07,53.874709976798144
2022-12-08,57.46635730858469
2022-12-09,55.67053364269142
2022-12-10,71.83294663573086
2022-12-11,77.22041763341068
2022-12-12,59.262180974477964
2022-12-13,52.07888631090488
2022-12-14,52.07888631090488
2022-12-15,53.874709976798144
2022-12-16,57.46635730858469
2022-12-17,73.62877030162413
2022-12-18,70.0371229698376
2022-12-19,61.05800464037124
2022-12-20,59.262180974477964
2022-12-21,61.05800464037124
2022-12-22,57.46635730858469
2022-12-23,59.262180974477964
2022-12-24,62.853828306264504
2022-12-25,32.32482598607889
2022-12-26,57.46635730858469
2022-12-27,48.48723897911833
2022-12-28,43.09976798143852
2022-12-29,43.09976798143852
2022-12-30,44.89559164733179
2022-12-31,50.283062645011604
2023-01-01,52.07888631090488
2023-01-02,43.09976798143852
2023-01-03,26.937354988399072
2023-01-04,26.937354988399072
2023-01-05,25.141531322505802
2023-01-06,28.733178654292345
2023-01-07,30.52900232018562
2023-01-08,32.32482598607889
2023-01-09,25.141531322505802
2023-01-10,21.54988399071926
2023-01-11,23.345707656612532
2023-01-12,23.345707656612532
2023-01-13,23.345707656612532
2023-01-14,30.52900232018562
2023-01-15,30.52900232018562
2023-01-16,30.52900232018562
2023-01-17,21.54988399071926
2023-01-18,21.54988399071926
2023-01-19,21.54988399071926
2023-01-20,23.345707656612532
2023-01-21,26.937354988399072
2023-01-22,30.52900232018562
2023-01-23,21.54988399071926
2023-01-24,17.958236658932716
2023-01-25,19.754060324825986
2023-01-26,19.754060324825986
2023-01-27,21.54988399071926
2023-01-28,25.141531322505802
2023-01-29,23.345707656612532
2023-01-30,26.937354988399072
2023-01-31,34.12064965197216
2023-02-01,30.52900232018562
2023-02-02,28.733178654292345
2023-02-03,30.52900232018562
2023-02-04,37.712296983758705
2023-02-05,34.12064965197216
2023-02-06,23.345707656612532
2023-02-07,21.54988399071926
2023-02-08,19.754060324825986
2023-02-09,19.754060324825986
2023-02-10,23.345707656612532
2023-02-11,28.733178654292345
2023-02-12,26.937354988399072
2023-02-13,21.54988399071926
2023-02-14,19.754060324825986
2023-02-15,19.754060324825986
2023-02-16,19.754060324825986
2023-02-17,21.54988399071926
2023-02-18,28.733178654292345
2023-02-19,28.733178654292345
2023-02-20,25.141531322505802
2023-02-21,21.54988399071926
2023-02-22,17.958236658932716
2023-02-23,19.754060324825986
2023-02-24,21.54988399071926
2023-02-25,26.937354988399072
2023-02-26,28.733178654292345
2023-02-27,19.754060324825986
2023-02-28,17.958236658932716
2023-03-01,21.54988399071926
2023-03-02,21.54988399071926
2023-03-03,26.937354988399072
2023-03-04,28.733178654292345
2023-03-05,28.733178654292345
2023-03-06,21.54988399071926
2023-03-07,19.754060324825986
2023-03-08,21.54988399071926
2023-03-09,21.54988399071926
2023-03-10,21.54988399071926
2023-03-11,26.937354988399072
2023-03-12,34.12064965197216
2023-03-13,25.141531322505802
2023-03-14,23.345707656612532
2023-03-15,21.54988399071926
2023-03-16,21.54988399071926
2023-03-17,23.345707656612532
2023-03-18,28.733178654292345
2023-03-19,32.32482598607889
2023-03-20,21.54988399071926
2023-03-21,19.754060324825986
2023-03-22,19.754060324825986
2023-03-23,19.754060324825986
2023-03-24,21.54988399071926
2023-03-25,26.937354988399072
2023-03-26,26.937354988399072
2023-03-27,19.754060324825986
2023-03-28,19.754060324825986
2023-03-29,19.754060324825986
2023-03-30,21.54988399071926
2023-03-31,23.345707656612532
2023-04-01,28.733178654292345
2023-04-02,32.32482598607889
2023-04-03,23.345707656612532
2023-04-04,23.345707656612532
2023-04-05,23.345707656612532
2023-04-06,23.345707656612532
2023-04-07,28.733178654292345
2023-04-08,37.712296983758705
2023-04-09,28.733178654292345
2023-04-10,23.345707656612532
2023-04-11,23.345707656612532
2023-04-12,23.345707656612532
2023-04-13,23.345707656612532
2023-04-14,26.937354988399072
2023-04-15,30.52900232018562
2023-04-16,34.12064965197216
2023-04-17,23.345707656612532
2023-04-18,21.54988399071926
2023-04-19,19.754060324825986
2023-04-20,19.754060324825986
2023-04-21,21.54988399071926
2023-04-22,28.733178654292345
2023-04-23,28.733178654292345
2023-04-24,19.754060324825986
2023-04-25,17.958236658932716
2023-04-26,19.933642691415315
2023-04-27,19.215313225058004
2023-04-28,21.54988399071926
2023-04-29,27.1169373549884
2023-04-30,30.34941995359629
2023-05-01,23.166125290023203
2023-05-02,19.933642691415315
2023-05-03,19.933642691415315
2023-05-04,23.166125290023203
2023-05-05,25.500696055684458
2023-05-06,25.500696055684458
2023-05-07,27.1169373549884
2023-05-08,21.54988399071926
2023-05-09,21.54988399071926
2023-05-10,21.54988399071926
2023-05-11,23.166125290023203
2023-05-12,23.166125290023203
2023-05-13,32.683990719257544
2023-05-14,31.965661252900237
2023-05-15,23.884454756380514
2023-05-16,22.26821345707657
2023-05-17,21.54988399071926
2023-05-18,23.166125290023203
2023-05-19,25.500696055684458
2023-05-20,30.34941995359629
2023-05-21,30.34941995359629
2023-05-22,23.884454756380514
2023-05-23,23.166125290023203
2023-05-24,23.166125290023203
2023-05-25,23.884454756380514
2023-05-26,24.423201856148495
2023-05-27,27.296519721577727
2023-05-28,28.733178654292345
2023-05-29,34.47981438515082
2023-05-30,25.859860788863113
2023-05-31,25.859860788863113
2023-06-01,28.733178654292345
2023-06-02,27.296519721577727
2023-06-03,28.733178654292345
2023-06-04,30.169837587006963
2023-06-05,22.986542923433877
2023-06-06,22.986542923433877
2023-06-07,22.986542923433877
2023-06-08,22.986542923433877
2023-06-09,25.859860788863113
2023-06-10,28.733178654292345
2023-06-11,30.169837587006963
2023-06-12,24.423201856148495
2023-06-13,21.54988399071926
2023-06-14,24.423201856148495
2023-06-15,24.423201856148495
2023-06-16,24.423201856148495
2023-06-17,33.043155452436196
2023-06-18,30.169837587006963
2023-06-19,25.859860788863113
2023-06-20,22.986542923433877
2023-06-21,21.54988399071926
2023-06-22,20.11322505800464
2023-06-23,21.54988399071926
2023-06-24,24.423201856148495
2023-06-25,25.859860788863113
2023-06-26,22.986542923433877
2023-06-27,22.986542923433877
2023-06-28,22.986542923433877
2023-06-29,22.986542923433877
2023-06-30,24.423201856148495
2023-07-01,27.296519721577727
2023-07-02,30.169837587006963
2023-07-03,25.859860788863113
2023-07-04,28.733178654292345
2023-07-05,22.986542923433877
2023-07-06,24.423201856148495
2023-07-07,22.986542923433877
2023-07-08,24.423201856148495
2023-07-09,24.423201856148495
2023-07-10,20.11322505800464
2023-07-11,21.54988399071926
2023-07-12,22.986542923433877
2023-07-13,24.423201856148495
2023-07-14,24.423201856148495
2023-07-15,28.733178654292345
2023-07-16,28.733178654292345
2023-07-17,24.423201856148495
2023-07-18,24.423201856148495
2023-07-19,22.986542923433877
2023-07-20,24.423201856148495
2023-07-21,24.423201856148495
2023-07-22,33.043155452436196
2023-07-23,40.22645011600928
2023-07-24,25.859860788863113
2023-07-25,22.986542923433877
2023-07-26,22.986542923433877
2023-07-27,24.423201856148495
2023-07-28,24.423201856148495
2023-07-29,30.169837587006963
2023-07-30,30.169837587006963
2023-07-31,24.423201856148495
2023-08-01,24.423201856148495
2023-08-02,24.423201856148495
2023-08-03,22.986542923433877
2023-08-04,28.733178654292345
2023-08-05,33.043155452436196
2023-08-06,31.60649651972158
2023-08-07,24.423201856148495
2023-08-08,22.986542923433877
2023-08-09,22.986542923433877
2023-08-10,24.423201856148495
2023-08-11,25.859860788863113
2023-08-12,27.296519721577727
2023-08-13,38.78979118329467
2023-08-14,28.733178654292345
2023-08-15,28.733178654292345
2023-08-16,25.859860788863113
2023-08-17,25.859860788863113
2023-08-18,24.423201856148495
2023-08-19,30.169837587006963
2023-08-20,34.47981438515082
2023-08-21,22.986542923433877
2023-08-22,21.54988399071926
2023-08-23,25.859860788863113
2023-08-24,25.859860788863113
2023-08-25,22.986542923433877
2023-08-26,27.296519721577727
2023-08-27,30.169837587006963
2023-08-28,21.54988399071926
2023-08-29,18.676566125290027
2023-08-30,20.11322505800464
2023-08-31,21.54988399071926
2023-09-01,22.986542923433877
2023-09-02,27.296519721577727
2023-09-03,27.296519721577727
2023-09-04,33.043155452436196
2023-09-05,21.54988399071926
2023-09-06,21.54988399071926
2023-09-07,21.54988399071926
2023-09-08,21.54988399071926
2023-09-09,24.423201856148495
2023-09-10,27.296519721577727
2023-09-11,20.11322505800464
2023-09-12,18.676566125290027
2023-09-13,20.11322505800464
2023-09-14,21.54988399071926
2023-09-15,22.986542923433877
2023-09-16,25.859860788863113
2023-09-17,27.296519721577727
2023-09-18,20.11322505800464
2023-09-19,20.11322505800464
2023-09-20,20.11322505800464
2023-09-21,20.11322505800464
2023-09-22,21.54988399071926
2023-09-23,25.859860788863113
2023-09-24,35.91647331786543
2023-09-25,21.54988399071926
