Time,lakers
2022-01-01,71
2022-01-02,26
2022-01-03,60
2022-01-04,29
2022-01-05,74
2022-01-06,22
2022-01-07,30
2022-01-08,72
2022-01-09,31
2022-01-10,65
2022-01-11,23
2022-01-12,26
2022-01-13,54
2022-01-14,20
2022-01-15,27
2022-01-16,47
2022-01-17,25
2022-01-18,64
2022-01-19,24
2022-01-20,57
2022-01-21,29
2022-01-22,60
2022-01-23,33
2022-01-24,53
2022-01-25,24
2022-01-26,63
2022-01-27,31
2022-01-28,66
2022-01-29,73
2022-01-30,50
2022-01-31,25
2022-02-01,21
2022-02-02,23
2022-02-03,52
2022-02-04,58
2022-02-05,29
2022-02-06,93
2022-02-07,25
2022-02-08,33
2022-02-09,91
2022-02-10,81
2022-02-11,35
2022-02-12,32
2022-02-13,72
2022-02-14,24
2022-02-15,22
2022-02-16,24
2022-02-17,64
2022-02-18,21
2022-02-19,17
2022-02-20,16
2022-02-21,15
2022-02-22,14
2022-02-23,15
2022-02-24,14
2022-02-25,18
2022-02-26,54
2022-02-27,22
2022-02-28,56
2022-03-01,28
2022-03-02,63
2022-03-03,25
2022-03-04,59
2022-03-05,27
2022-03-06,100
2022-03-07,41
2022-03-08,56
2022-03-09,25
2022-03-10,60
2022-03-11,21
2022-03-12,64
2022-03-13,36
2022-03-14,73
2022-03-15,66
2022-03-16,26
2022-03-17,52
2022-03-18,23
2022-03-19,73
2022-03-20,61
2022-03-21,40
2022-03-22,54
2022-03-23,28
2022-03-24,53
2022-03-25,21
2022-03-26,23
2022-03-27,36
2022-03-28,56
2022-03-29,34
2022-03-30,53
2022-03-31,28
2022-04-01,56
2022-04-02,96
2022-04-03,70
2022-04-04,52
2022-04-05,36
2022-04-06,86
2022-04-07,28
2022-04-08,48
2022-04-09,39
2022-04-10,23
2022-04-11,60
2022-04-12,26
2022-04-13,16
2022-04-14,14
2022-04-15,14
2022-04-16,16
2022-04-17,17
2022-04-18,24
2022-04-19,14
2022-04-20,14
2022-04-21,13
2022-04-22,14
2022-04-23,14
2022-04-24,15
2022-04-25,18
2022-04-26,17
2022-04-27,15
2022-04-28,12
2022-04-29,14
2022-04-30,15
2022-05-01,13
2022-05-02,18
2022-05-03,13
2022-05-04,12
2022-05-05,11
2022-05-06,11
2022-05-07,13
2022-05-08,14
2022-05-09,27
2022-05-10,15
2022-05-11,14
2022-05-12,16
2022-05-13,12
2022-05-14,13
2022-05-15,14
2022-05-16,12
2022-05-17,11
2022-05-18,13
2022-05-19,11
2022-05-20,11
2022-05-21,12
2022-05-22,13
2022-05-23,11
2022-05-24,12
2022-05-25,10
2022-05-26,11
2022-05-27,12
2022-05-28,22
2022-05-29,13
2022-05-30,15
2022-05-31,12
2022-06-01,11
2022-06-02,12
2022-06-03,12
2022-06-04,11
2022-06-05,12
2022-06-06,12
2022-06-07,11
2022-06-08,11
2022-06-09,11
2022-06-10,10
2022-06-11,11
2022-06-12,10
2022-06-13,11
2022-06-14,11
2022-06-15,9
2022-06-16,10
2022-06-17,16
2022-06-18,13
2022-06-19,12
2022-06-20,14
2022-06-21,14
2022-06-22,15
2022-06-23,18
2022-06-24,30
2022-06-25,19
2022-06-26,18
2022-06-27,19
2022-06-28,19
2022-06-29,18
2022-06-30,30
2022-07-01,47
2022-07-02,38
2022-07-03,47
2022-07-04,39
2022-07-05,31
2022-07-06,27
2022-07-07,22
2022-07-08,22
2022-07-09,26
2022-07-10,24
2022-07-11,21
2022-07-12,18
2022-07-13,17
2022-07-14,17
2022-07-15,16
2022-07-16,20
2022-07-17,18
2022-07-18,16
2022-07-19,17
2022-07-20,16
2022-07-21,17
2022-07-22,16
2022-07-23,15
2022-07-24,15
2022-07-25,15
2022-07-26,13
2022-07-27,13
2022-07-28,14
2022-07-29,14
2022-07-30,13
2022-07-31,14
2022-08-01,12
2022-08-02,14
2022-08-03,13
2022-08-04,12
2022-08-05,12
2022-08-06,12
2022-08-07,13
2022-08-08,12
2022-08-09,12
2022-08-10,13
2022-08-11,13
2022-08-12,12
2022-08-13,11
2022-08-14,13
2022-08-15,12
2022-08-16,14
2022-08-17,15
2022-08-18,15
2022-08-19,13
2022-08-20,12
2022-08-21,13
2022-08-22,12
2022-08-23,13
2022-08-24,12
2022-08-25,28
2022-08-26,17
2022-08-27,16
2022-08-28,15
2022-08-29,14
2022-08-30,14
2022-08-31,13
2022-09-01,14
2022-09-02,14
2022-09-03,13
2022-09-04,13
2022-09-05,15
2022-09-06,13
2022-09-07,12
2022-09-08,11
2022-09-09,10
2022-09-10,12
2022-09-11,10
2022-09-12,10
2022-09-13,10
2022-09-14,12
2022-09-15,11
2022-09-16,13
2022-09-17,16
2022-09-18,12
2022-09-19,12
2022-09-20,12
2022-09-21,12
2022-09-22,13
2022-09-23,12
2022-09-24,12
2022-09-25,12
2022-09-26,13
2022-09-27,13
