Time,lululemon
2022-01-01,65
2022-01-02,82
2022-01-03,66
2022-01-04,69
2022-01-05,67
2022-01-06,55
2022-01-07,53
2022-01-08,69
2022-01-09,74
2022-01-10,58
2022-01-11,57
2022-01-12,57
2022-01-13,72
2022-01-14,49
2022-01-15,68
2022-01-16,62
2022-01-17,57
2022-01-18,47
2022-01-19,53
2022-01-20,50
2022-01-21,54
2022-01-22,65
2022-01-23,66
2022-01-24,57
2022-01-25,49
2022-01-26,45
2022-01-27,50
2022-01-28,51
2022-01-29,59
2022-01-30,61
2022-01-31,50
2022-02-01,51
2022-02-02,52
2022-02-03,54
2022-02-04,56
2022-02-05,65
2022-02-06,68
2022-02-07,57
2022-02-08,56
2022-02-09,53
2022-02-10,45
2022-02-11,49
2022-02-12,57
2022-02-13,54
2022-02-14,46
2022-02-15,49
2022-02-16,46
2022-02-17,52
2022-02-18,48
2022-02-19,57
2022-02-20,60
2022-02-21,57
2022-02-22,53
2022-02-23,46
2022-02-24,47
2022-02-25,48
2022-02-26,54
2022-02-27,57
2022-02-28,49
2022-03-01,47
2022-03-02,44
2022-03-03,46
2022-03-04,49
2022-03-05,63
2022-03-06,65
2022-03-07,52
2022-03-08,55
2022-03-09,58
2022-03-10,59
2022-03-11,49
2022-03-12,60
2022-03-13,59
2022-03-14,49
2022-03-15,50
2022-03-16,52
2022-03-17,50
2022-03-18,53
2022-03-19,61
2022-03-20,68
2022-03-21,56
2022-03-22,69
2022-03-23,61
2022-03-24,58
2022-03-25,52
2022-03-26,63
2022-03-27,63
2022-03-28,54
2022-03-29,54
2022-03-30,53
2022-03-31,52
2022-04-01,56
2022-04-02,61
2022-04-03,66
2022-04-04,51
2022-04-05,50
2022-04-06,50
2022-04-07,56
2022-04-08,50
2022-04-09,58
2022-04-10,66
2022-04-11,50
2022-04-12,55
2022-04-13,56
2022-04-14,57
2022-04-15,57
2022-04-16,64
2022-04-17,59
2022-04-18,54
2022-04-19,55
2022-04-20,55
2022-04-21,58
2022-04-22,59
2022-04-23,63
2022-04-24,62
2022-04-25,54
2022-04-26,50
2022-04-27,49
2022-04-28,53
2022-04-29,51
2022-04-30,65
2022-05-01,65
2022-05-02,55
2022-05-03,55
2022-05-04,53
2022-05-05,51
2022-05-06,58
2022-05-07,67
2022-05-08,70
2022-05-09,58
2022-05-10,56
2022-05-11,58
2022-05-12,56
2022-05-13,59
2022-05-14,64
2022-05-15,67
2022-05-16,54
2022-05-17,55
2022-05-18,54
2022-05-19,56
2022-05-20,53
2022-05-21,68
2022-05-22,67
2022-05-23,53
2022-05-24,59
2022-05-25,52
2022-05-26,57
2022-05-27,57
2022-05-28,61
2022-05-29,65
2022-05-30,68
2022-05-31,61
2022-06-01,63
2022-06-02,64
2022-06-03,60
2022-06-04,64
2022-06-05,71
2022-06-06,60
2022-06-07,62
2022-06-08,60
2022-06-09,61
2022-06-10,65
2022-06-11,62
2022-06-12,78
2022-06-13,66
2022-06-14,66
2022-06-15,72
2022-06-16,63
2022-06-17,65
2022-06-18,72
2022-06-19,76
2022-06-20,70
2022-06-21,70
2022-06-22,69
2022-06-23,70
2022-06-24,60
2022-06-25,66
2022-06-26,71
2022-06-27,66
2022-06-28,70
2022-06-29,71
2022-06-30,70
2022-07-01,61
2022-07-02,73
2022-07-03,71
2022-07-04,63
2022-07-05,65
2022-07-06,72
2022-07-07,73
2022-07-08,70
2022-07-09,77
2022-07-10,77
2022-07-11,74
2022-07-12,78
2022-07-13,71
2022-07-14,75
2022-07-15,68
2022-07-16,73
2022-07-17,78
2022-07-18,71
2022-07-19,82
2022-07-20,76
2022-07-21,79
2022-07-22,77
2022-07-23,78
2022-07-24,86
2022-07-25,76
2022-07-26,84
2022-07-27,80
2022-07-28,84
2022-07-29,81
2022-07-30,85
2022-07-31,91
2022-08-01,79
2022-08-02,84
2022-08-03,77
2022-08-04,79
2022-08-05,74
2022-08-06,83
2022-08-07,90
2022-08-08,74
2022-08-09,78
2022-08-10,74
2022-08-11,77
2022-08-12,80
2022-08-13,85
2022-08-14,94
2022-08-15,79
2022-08-16,92
2022-08-17,87
2022-08-18,83
2022-08-19,67
2022-08-20,91
2022-08-21,100
2022-08-22,79
2022-08-23,76
2022-08-24,71
2022-08-25,66
2022-08-26,67
2022-08-27,81
2022-08-28,86
2022-08-29,64
2022-08-30,72
2022-08-31,63
2022-09-01,64
2022-09-02,68
2022-09-03,75
2022-09-04,79
2022-09-05,91
2022-09-06,67
2022-09-07,62
2022-09-08,55
2022-09-09,55
2022-09-10,67
2022-09-11,77
2022-09-12,59
2022-09-13,81
2022-09-14,77
2022-09-15,62
2022-09-16,57
2022-09-17,69
2022-09-18,75
2022-09-19,57
2022-09-20,66
2022-09-21,67
2022-09-22,67
2022-09-23,60
2022-09-24,68
2022-09-25,82
2022-09-26,62
2022-09-27,75
