Time,ncedcloud
2022-01-01,4
2022-01-02,6
2022-01-03,15
2022-01-04,45
2022-01-05,43
2022-01-06,33
2022-01-07,36
2022-01-08,8
2022-01-09,9
2022-01-10,37
2022-01-11,36
2022-01-12,34
2022-01-13,36
2022-01-14,26
2022-01-15,9
2022-01-16,7
2022-01-17,8
2022-01-18,20
2022-01-19,38
2022-01-20,34
2022-01-21,28
2022-01-22,9
2022-01-23,9
2022-01-24,36
2022-01-25,32
2022-01-26,33
2022-01-27,34
2022-01-28,33
2022-01-29,8
2022-01-30,8
2022-01-31,38
2022-02-01,37
2022-02-02,32
2022-02-03,35
2022-02-04,36
2022-02-05,6
2022-02-06,8
2022-02-07,37
2022-02-08,32
2022-02-09,33
2022-02-10,32
2022-02-11,30
2022-02-12,7
2022-02-13,6
2022-02-14,27
2022-02-15,30
2022-02-16,29
2022-02-17,31
2022-02-18,25
2022-02-19,7
2022-02-20,6
2022-02-21,15
2022-02-22,21
2022-02-23,32
2022-02-24,27
2022-02-25,25
2022-02-26,7
2022-02-27,7
2022-02-28,32
2022-03-01,24
2022-03-02,31
2022-03-03,30
2022-03-04,29
2022-03-05,7
2022-03-06,8
2022-03-07,31
2022-03-08,29
2022-03-09,27
2022-03-10,30
2022-03-11,26
2022-03-12,7
2022-03-13,9
2022-03-14,30
2022-03-15,28
2022-03-16,29
2022-03-17,28
2022-03-18,26
2022-03-19,8
2022-03-20,9
2022-03-21,34
2022-03-22,33
2022-03-23,32
2022-03-24,33
2022-03-25,76
2022-03-26,11
2022-03-27,11
2022-03-28,61
2022-03-29,71
2022-03-30,24
2022-03-31,64
2022-04-01,62
2022-04-02,7
2022-04-03,8
2022-04-04,79
2022-04-05,64
2022-04-06,68
2022-04-07,71
2022-04-08,63
2022-04-09,7
2022-04-10,8
2022-04-11,59
2022-04-12,52
2022-04-13,49
2022-04-14,37
2022-04-15,6
2022-04-16,5
2022-04-17,5
2022-04-18,15
2022-04-19,39
2022-04-20,38
2022-04-21,39
2022-04-22,39
2022-04-23,6
2022-04-24,9
2022-04-25,89
2022-04-26,68
2022-04-27,66
2022-04-28,64
2022-04-29,63
2022-04-30,8
2022-05-01,10
2022-05-02,74
2022-05-03,71
2022-05-04,68
2022-05-05,66
2022-05-06,75
2022-05-07,7
2022-05-08,10
2022-05-09,79
2022-05-10,71
2022-05-11,77
2022-05-12,81
2022-05-13,83
2022-05-14,9
2022-05-15,12
2022-05-16,88
2022-05-17,72
2022-05-18,81
2022-05-19,78
2022-05-20,69
2022-05-21,13
2022-05-22,14
2022-05-23,76
2022-05-24,66
2022-05-25,65
2022-05-26,63
2022-05-27,55
2022-05-28,12
2022-05-29,10
2022-05-30,14
2022-05-31,58
2022-06-01,43
2022-06-02,38
2022-06-03,33
2022-06-04,11
2022-06-05,9
2022-06-06,25
2022-06-07,23
2022-06-08,20
2022-06-09,15
2022-06-10,11
2022-06-11,6
2022-06-12,5
2022-06-13,8
2022-06-14,8
2022-06-15,8
2022-06-16,7
2022-06-17,4
2022-06-18,3
2022-06-19,3
2022-06-20,5
2022-06-21,6
2022-06-22,5
2022-06-23,5
2022-06-24,3
2022-06-25,2
2022-06-26,2
2022-06-27,7
2022-06-28,6
2022-06-29,5
2022-06-30,4
2022-07-01,2
2022-07-02,2
2022-07-03,2
2022-07-04,2
2022-07-05,3
2022-07-06,12
2022-07-07,14
2022-07-08,14
2022-07-09,10
2022-07-10,8
2022-07-11,9
2022-07-12,7
2022-07-13,6
2022-07-14,7
2022-07-15,5
2022-07-16,3
2022-07-17,4
2022-07-18,7
2022-07-19,8
2022-07-20,7
2022-07-21,7
2022-07-22,5
2022-07-23,3
2022-07-24,4
2022-07-25,7
2022-07-26,7
2022-07-27,7
2022-07-28,8
2022-07-29,6
2022-07-30,4
2022-07-31,6
2022-08-01,10
2022-08-02,12
2022-08-03,12
2022-08-04,11
2022-08-05,11
2022-08-06,9
2022-08-07,8
2022-08-08,16
2022-08-09,16
2022-08-10,16
2022-08-11,19
2022-08-12,16
2022-08-13,8
2022-08-14,8
2022-08-15,23
2022-08-16,23
2022-08-17,27
2022-08-18,28
2022-08-19,24
2022-08-20,12
2022-08-21,14
2022-08-22,39
2022-08-23,40
2022-08-24,40
2022-08-25,37
2022-08-26,31
2022-08-27,13
2022-08-28,20
2022-08-29,63
2022-08-30,56
2022-08-31,60
2022-09-01,62
2022-09-02,63
2022-09-03,8
2022-09-04,8
2022-09-05,13
2022-09-06,78
2022-09-07,80
2022-09-08,77
2022-09-09,81
2022-09-10,10
2022-09-11,13
2022-09-12,95
2022-09-13,87
2022-09-14,95
2022-09-15,93
2022-09-16,92
2022-09-17,12
2022-09-18,17
2022-09-19,92
2022-09-20,93
2022-09-21,86
2022-09-22,93
2022-09-23,91
2022-09-24,11
2022-09-25,14
2022-09-26,78
2022-09-27,100
