Time,netflix
2022-01-01,93.0
2022-01-02,97.0
2022-01-03,74.0
2022-01-04,74.0
2022-01-05,66.0
2022-01-06,55.0
2022-01-07,70.0
2022-01-08,88.0
2022-01-09,87.0
2022-01-10,61.0
2022-01-11,60.0
2022-01-12,64.0
2022-01-13,60.0
2022-01-14,58.0
2022-01-15,94.0
2022-01-16,82.0
2022-01-17,73.0
2022-01-18,53.0
2022-01-19,57.0
2022-01-20,61.0
2022-01-21,76.0
2022-01-22,85.0
2022-01-23,77.0
2022-01-24,73.0
2022-01-25,51.0
2022-01-26,52.0
2022-01-27,52.0
2022-01-28,62.0
2022-01-29,88.0
2022-01-30,87.0
2022-01-31,61.0
2022-02-01,62.0
2022-02-02,62.0
2022-02-03,67.0
2022-02-04,70.0
2022-02-05,77.0
2022-02-06,80.0
2022-02-07,59.0
2022-02-08,53.0
2022-02-09,52.0
2022-02-10,44.0
2022-02-11,59.0
2022-02-12,74.0
2022-02-13,70.0
2022-02-14,51.0
2022-02-15,55.0
2022-02-16,54.0
2022-02-17,57.0
2022-02-18,61.0
2022-02-19,75.0
2022-02-20,80.0
2022-02-21,68.0
2022-02-22,58.0
2022-02-23,59.0
2022-02-24,53.0
2022-02-25,57.0
2022-02-26,73.0
2022-02-27,81.0
2022-02-28,60.0
2022-03-01,54.0
2022-03-02,51.0
2022-03-03,50.0
2022-03-04,54.0
2022-03-05,70.0
2022-03-06,74.0
2022-03-07,59.0
2022-03-08,54.0
2022-03-09,51.0
2022-03-10,50.0
2022-03-11,54.0
2022-03-12,68.0
2022-03-13,75.0
2022-03-14,58.0
2022-03-15,51.0
2022-03-16,49.0
2022-03-17,56.0
2022-03-18,60.0
2022-03-19,72.0
2022-03-20,75.0
2022-03-21,56.0
2022-03-22,53.0
2022-03-23,52.0
2022-03-24,53.0
2022-03-25,55.0
2022-03-26,64.0
2022-03-27,70.0
2022-03-28,53.0
2022-03-29,50.0
2022-03-30,50.0
2022-03-31,50.0
2022-04-01,54.0
2022-04-02,68.0
2022-04-03,70.0
2022-04-04,50.0
2022-04-05,50.0
2022-04-06,51.0
2022-04-07,51.0
2022-04-08,54.0
2022-04-09,66.0
2022-04-10,72.0
2022-04-11,56.0
2022-04-12,52.0
2022-04-13,53.0
2022-04-14,56.0
2022-04-15,60.0
2022-04-16,68.0
2022-04-17,73.0
2022-04-18,62.0
2022-04-19,63.0
2022-04-20,94.0
2022-04-21,82.0
2022-04-22,71.0
2022-04-23,76.0
2022-04-24,81.0
2022-04-25,62.0
2022-04-26,56.0
2022-04-27,55.0
2022-04-28,54.0
2022-04-29,57.0
2022-04-30,71.0
2022-05-01,74.0
2022-05-02,56.0
2022-05-03,52.0
2022-05-04,51.0
2022-05-05,51.0
2022-05-06,56.0
2022-05-07,66.0
2022-05-08,70.0
2022-05-09,53.0
2022-05-10,50.0
2022-05-11,50.0
2022-05-12,54.0
2022-05-13,56.0
2022-05-14,69.0
2022-05-15,72.0
2022-05-16,56.0
2022-05-17,55.0
2022-05-18,55.0
2022-05-19,55.0
2022-05-20,56.0
2022-05-21,66.0
2022-05-22,67.0
2022-05-23,55.0
2022-05-24,55.0
2022-05-25,49.0
2022-05-26,52.0
2022-05-27,62.0
2022-05-28,67.0
2022-05-29,70.0
2022-05-30,70.0
2022-05-31,61.0
2022-06-01,60.0
2022-06-02,57.0
2022-06-03,54.0
2022-06-04,67.0
2022-06-05,70.0
2022-06-06,60.0
2022-06-07,57.0
2022-06-08,58.0
2022-06-09,57.0
2022-06-10,61.0
2022-06-11,67.0
2022-06-12,76.0
2022-06-13,61.0
2022-06-14,57.0
2022-06-15,61.0
2022-06-16,57.0
2022-06-17,56.0
2022-06-18,71.0
2022-06-19,74.0
2022-06-20,63.0
2022-06-21,59.0
2022-06-22,59.0
2022-06-23,55.0
2022-06-24,57.0
2022-06-25,65.0
