Time,nike
2022-01-01,71
2022-01-02,77
2022-01-03,67
2022-01-04,70
2022-01-05,67
2022-01-06,54
2022-01-07,64
2022-01-08,74
2022-01-09,70
2022-01-10,59
2022-01-11,62
2022-01-12,63
2022-01-13,70
2022-01-14,54
2022-01-15,73
2022-01-16,61
2022-01-17,56
2022-01-18,53
2022-01-19,57
2022-01-20,58
2022-01-21,61
2022-01-22,71
2022-01-23,75
2022-01-24,71
2022-01-25,56
2022-01-26,59
2022-01-27,59
2022-01-28,59
2022-01-29,73
2022-01-30,73
2022-01-31,62
2022-02-01,62
2022-02-02,79
2022-02-03,68
2022-02-04,65
2022-02-05,73
2022-02-06,74
2022-02-07,62
2022-02-08,65
2022-02-09,66
2022-02-10,53
2022-02-11,62
2022-02-12,77
2022-02-13,69
2022-02-14,58
2022-02-15,62
2022-02-16,67
2022-02-17,66
2022-02-18,65
2022-02-19,80
2022-02-20,82
2022-02-21,73
2022-02-22,69
2022-02-23,67
2022-02-24,63
2022-02-25,65
2022-02-26,75
2022-02-27,81
2022-02-28,70
2022-03-01,64
2022-03-02,73
2022-03-03,70
2022-03-04,70
2022-03-05,78
2022-03-06,83
2022-03-07,71
2022-03-08,65
2022-03-09,67
2022-03-10,66
2022-03-11,69
2022-03-12,78
2022-03-13,83
2022-03-14,67
2022-03-15,64
2022-03-16,68
2022-03-17,64
2022-03-18,64
2022-03-19,77
2022-03-20,83
2022-03-21,68
2022-03-22,67
2022-03-23,65
2022-03-24,69
2022-03-25,63
2022-03-26,80
2022-03-27,79
2022-03-28,65
2022-03-29,64
2022-03-30,70
2022-03-31,64
2022-04-01,65
2022-04-02,73
2022-04-03,78
2022-04-04,62
2022-04-05,61
2022-04-06,66
2022-04-07,65
2022-04-08,67
2022-04-09,81
2022-04-10,82
2022-04-11,68
2022-04-12,64
2022-04-13,65
2022-04-14,59
2022-04-15,66
2022-04-16,73
2022-04-17,74
2022-04-18,59
2022-04-19,62
2022-04-20,62
2022-04-21,64
2022-04-22,63
2022-04-23,69
2022-04-24,75
2022-04-25,60
2022-04-26,61
2022-04-27,64
2022-04-28,63
2022-04-29,63
2022-04-30,74
2022-05-01,80
2022-05-02,62
2022-05-03,59
2022-05-04,60
2022-05-05,59
2022-05-06,58
2022-05-07,67
2022-05-08,71
2022-05-09,58
2022-05-10,61
2022-05-11,63
2022-05-12,63
2022-05-13,59
2022-05-14,67
2022-05-15,66
2022-05-16,58
2022-05-17,57
2022-05-18,59
2022-05-19,58
2022-05-20,61
2022-05-21,74
2022-05-22,70
2022-05-23,57
2022-05-24,55
2022-05-25,54
2022-05-26,59
2022-05-27,61
2022-05-28,66
2022-05-29,71
2022-05-30,69
2022-05-31,60
2022-06-01,54
2022-06-02,59
2022-06-03,58
2022-06-04,66
2022-06-05,69
2022-06-06,58
2022-06-07,56
2022-06-08,61
2022-06-09,55
2022-06-10,60
2022-06-11,65
2022-06-12,69
2022-06-13,58
2022-06-14,58
2022-06-15,57
2022-06-16,61
2022-06-17,57
2022-06-18,68
2022-06-19,73
2022-06-20,62
2022-06-21,58
2022-06-22,61
2022-06-23,60
2022-06-24,55
2022-06-25,62
2022-06-26,63
2022-06-27,55
2022-06-28,56
2022-06-29,58
2022-06-30,59
2022-07-01,56
2022-07-02,69
2022-07-03,67
2022-07-04,60
2022-07-05,52
2022-07-06,63
2022-07-07,61
2022-07-08,64
2022-07-09,71
2022-07-10,71
2022-07-11,66
2022-07-12,65
2022-07-13,68
2022-07-14,64
2022-07-15,67
2022-07-16,80
2022-07-17,77
2022-07-18,70
2022-07-19,70
2022-07-20,65
2022-07-21,74
2022-07-22,67
2022-07-23,80
2022-07-24,81
2022-07-25,74
2022-07-26,72
2022-07-27,72
2022-07-28,71
2022-07-29,76
2022-07-30,86
2022-07-31,90
2022-08-01,77
2022-08-02,77
2022-08-03,77
2022-08-04,76
2022-08-05,82
2022-08-06,98
2022-08-07,100
2022-08-08,76
2022-08-09,77
2022-08-10,72
2022-08-11,82
2022-08-12,74
2022-08-13,87
2022-08-14,90
2022-08-15,76
2022-08-16,74
2022-08-17,72
2022-08-18,72
2022-08-19,70
2022-08-20,82
2022-08-21,81
2022-08-22,66
2022-08-23,70
2022-08-24,68
2022-08-25,68
2022-08-26,68
2022-08-27,79
2022-08-28,78
2022-08-29,65
2022-08-30,67
2022-08-31,66
2022-09-01,67
2022-09-02,67
2022-09-03,81
2022-09-04,81
2022-09-05,79
2022-09-06,64
2022-09-07,57
2022-09-08,56
2022-09-09,58
2022-09-10,70
2022-09-11,71
2022-09-12,60
2022-09-13,58
2022-09-14,58
2022-09-15,60
2022-09-16,61
2022-09-17,71
2022-09-18,72
2022-09-19,57
2022-09-20,55
2022-09-21,56
2022-09-22,61
2022-09-23,60
2022-09-24,71
2022-09-25,69
2022-09-26,61
2022-09-27,59
