Time,poki
2023-04-26,63
2023-04-27,65
2023-04-28,74
2023-04-29,51
2023-04-30,46
2023-05-01,58
2023-05-02,65
2023-05-03,63
2023-05-04,71
2023-05-05,74
2023-05-06,51
2023-05-07,46
2023-05-08,61
2023-05-09,62
2023-05-10,70
2023-05-11,73
2023-05-12,75
2023-05-13,52
2023-05-14,51
2023-05-15,65
2023-05-16,71
2023-05-17,70
2023-05-18,77
2023-05-19,75
2023-05-20,52
2023-05-21,48
2023-05-22,64
2023-05-23,65
2023-05-24,68
2023-05-25,67
2023-05-26,64
2023-05-27,50
2023-05-28,49
2023-05-29,44
2023-05-30,52
2023-05-31,58
2023-06-01,59
2023-06-02,56
2023-06-03,45
2023-06-04,43
2023-06-05,61
2023-06-06,52
2023-06-07,58
2023-06-08,53
2023-06-09,52
2023-06-10,44
2023-06-11,42
2023-06-12,45
2023-06-13,45
2023-06-14,45
2023-06-15,45
2023-06-16,45
2023-06-17,41
2023-06-18,42
2023-06-19,39
2023-06-20,39
2023-06-21,41
2023-06-22,40
2023-06-23,43
2023-06-24,41
2023-06-25,40
2023-06-26,37
2023-06-27,39
2023-06-28,39
2023-06-29,38
2023-06-30,39
2023-07-01,38
2023-07-02,39
2023-07-03,37
2023-07-04,35
2023-07-05,32
2023-07-06,34
2023-07-07,37
2023-07-08,37
2023-07-09,36
2023-07-10,34
2023-07-11,35
2023-07-12,34
2023-07-13,36
2023-07-14,39
2023-07-15,36
2023-07-16,36
2023-07-17,37
2023-07-18,34
2023-07-19,39
2023-07-20,38
2023-07-21,36
2023-07-22,37
2023-07-23,37
2023-07-24,37
2023-07-25,36
2023-07-26,37
2023-07-27,35
2023-07-28,37
2023-07-29,37
2023-07-30,38
2023-07-31,32
2023-08-01,36
2023-08-02,36
2023-08-03,40
2023-08-04,41
2023-08-05,38
2023-08-06,36
2023-08-07,36
2023-08-08,39
2023-08-09,41
2023-08-10,39
2023-08-11,48
2023-08-12,37
2023-08-13,38
2023-08-14,39
2023-08-15,46
2023-08-16,45
2023-08-17,51
2023-08-18,57
2023-08-19,45
2023-08-20,41
2023-08-21,48
2023-08-22,57
2023-08-23,55
2023-08-24,62
2023-08-25,65
2023-08-26,43
2023-08-27,43
2023-08-28,49
2023-08-29,56
2023-08-30,59
2023-08-31,62
2023-09-01,63
2023-09-02,46
2023-09-03,42
2023-09-04,44
2023-09-05,58
2023-09-06,66
2023-09-07,65
2023-09-08,77
2023-09-09,47
2023-09-10,47
2023-09-11,62
2023-09-12,67
2023-09-13,68
2023-09-14,66
2023-09-15,82
2023-09-16,51
2023-09-17,46
2023-09-18,59
2023-09-19,70
2023-09-20,66
2023-09-21,70
2023-09-22,86
2023-09-23,54
2023-09-24,51
2023-09-25,61
2023-09-26,68
2023-09-27,70
2023-09-28,76
2023-09-29,82
2023-09-30,57
2023-10-01,53
2023-10-02,59
2023-10-03,70
2023-10-04,74
2023-10-05,77
2023-10-06,81
2023-10-07,54
2023-10-08,53
2023-10-09,57
2023-10-10,65
2023-10-11,69
2023-10-12,72
2023-10-13,76
2023-10-14,56
2023-10-15,50
2023-10-16,65
2023-10-17,72
2023-10-18,68
2023-10-19,74
2023-10-20,83
2023-10-21,60
2023-10-22,53
2023-10-23,61
2023-10-24,68
2023-10-25,71
2023-10-26,77
2023-10-27,84
2023-10-28,57
2023-10-29,53
2023-10-30,68
2023-10-31,70
2023-11-01,71
2023-11-02,74
2023-11-03,85
2023-11-04,59
2023-11-05,57
2023-11-06,69
2023-11-07,69
2023-11-08,69
2023-11-09,80
2023-11-10,82
2023-11-11,60
2023-11-12,56
2023-11-13,73
2023-11-14,71
2023-11-15,78
2023-11-16,80
2023-11-17,99
2023-11-18,64
2023-11-19,57
2023-11-20,67
2023-11-21,79
2023-11-22,66
2023-11-23,69
2023-11-24,61
2023-11-25,51
2023-11-26,51
2023-11-27,59
2023-11-28,65
2023-11-29,80
2023-11-30,74
2023-12-01,92
2023-12-02,59
2023-12-03,53
2023-12-04,65
2023-12-05,74
2023-12-06,80
2023-12-07,81
2023-12-08,89
2023-12-09,58
2023-12-10,57
2023-12-11,66
2023-12-12,77
2023-12-13,81
2023-12-14,99
2023-12-15,100
2023-12-16,68
2023-12-17,60
2023-12-18,81
2023-12-19,84
2023-12-20,84
2023-12-21,91
2023-12-22,79
2023-12-23,65
2023-12-24,65
2023-12-25,59
2023-12-26,51
2023-12-27,47
2023-12-28,48
2023-12-29,49
2023-12-30,43
2023-12-31,45
2024-01-01,50
2024-01-02,49
2024-01-03,56
2024-01-04,64
2024-01-05,69
2024-01-06,49
2024-01-07,47
2024-01-08,61
2024-01-09,71
2024-01-10,71
2024-01-11,78
2024-01-12,88
2024-01-13,56
2024-01-14,53
2024-01-15,50
2024-01-16,61
2024-01-17,76
2024-01-18,76
2024-01-19,78
2024-01-20,56
