Time,prodigy
2022-08-29,47
2022-08-30,61
2022-08-31,68
2022-09-01,89
2022-09-02,97
2022-09-03,25
2022-09-04,17
2022-09-05,14
2022-09-06,57
2022-09-07,69
2022-09-08,76
2022-09-09,98
2022-09-10,21
2022-09-11,15
2022-09-12,58
2022-09-13,66
2022-09-14,74
2022-09-15,81
2022-09-16,100
2022-09-17,20
2022-09-18,15
2022-09-19,57
2022-09-20,70
2022-09-21,69
2022-09-22,83
2022-09-23,97
2022-09-24,19
2022-09-25,14
2022-09-26,48
2022-09-27,61
2022-09-28,66
2022-09-29,72
2022-09-30,85
2022-10-01,17
2022-10-02,13
2022-10-03,51
2022-10-04,61
2022-10-05,59
2022-10-06,71
2022-10-07,83
2022-10-08,17
2022-10-09,13
2022-10-10,32
2022-10-11,51
2022-10-12,59
2022-10-13,63
2022-10-14,73
2022-10-15,16
2022-10-16,13
2022-10-17,51
2022-10-18,58
2022-10-19,62
2022-10-20,65
2022-10-21,77
2022-10-22,16
2022-10-23,12
2022-10-24,50
2022-10-25,56
2022-10-26,59
2022-10-27,63
2022-10-28,74
2022-10-29,15
2022-10-30,11
2022-10-31,41
2022-11-01,49
2022-11-02,53
2022-11-03,64
2022-11-04,80
2022-11-05,16
2022-11-06,12
2022-11-07,42
2022-11-08,38
2022-11-09,46
2022-11-10,59
2022-11-11,51
2022-11-12,14
2022-11-13,12
2022-11-14,44
2022-11-15,54
2022-11-16,53
2022-11-17,61
2022-11-18,72
2022-11-19,16
2022-11-20,12
2022-11-21,30
2022-11-22,30
2022-11-23,16
2022-11-24,11
2022-11-25,10
2022-11-26,9
2022-11-27,9
2022-11-28,31
2022-11-29,42
2022-11-30,51
2022-12-01,52
2022-12-02,66
2022-12-03,15
2022-12-04,11
2022-12-05,43
2022-12-06,53
2022-12-07,52
2022-12-08,56
2022-12-09,70
2022-12-10,14
2022-12-11,11
2022-12-12,44
2022-12-13,52
2022-12-14,57
2022-12-15,62
2022-12-16,59
2022-12-17,14
2022-12-18,10
2022-12-19,29
2022-12-20,33
2022-12-21,28
2022-12-22,21
2022-12-23,14
2022-12-24,9
2022-12-25,8
2022-12-26,8
2022-12-27,8
2022-12-28,8
2022-12-29,9
2022-12-30,7
2022-12-31,7
2023-01-01,7
2023-01-02,9
2023-01-03,20
2023-01-04,28
2023-01-05,36
2023-01-06,52
2023-01-07,11
2023-01-08,9
2023-01-09,37
2023-01-10,49
2023-01-11,52
2023-01-12,59
2023-01-13,74
2023-01-14,15
2023-01-15,11
2023-01-16,11
2023-01-17,42
2023-01-18,49
2023-01-19,54
2023-01-20,67
2023-01-21,14
2023-01-22,11
2023-01-23,42
2023-01-24,54
2023-01-25,51
2023-01-26,58
2023-01-27,66
2023-01-28,14
2023-01-29,11
2023-01-30,44
2023-01-31,48
2023-02-01,46
2023-02-02,54
2023-02-03,69
2023-02-04,15
2023-02-05,12
2023-02-06,39
2023-02-07,49
2023-02-08,52
2023-02-09,55
2023-02-10,72
2023-02-11,15
2023-02-12,11
2023-02-13,36
2023-02-14,44
2023-02-15,52
2023-02-16,57
2023-02-17,60
2023-02-18,14
2023-02-19,10
2023-02-20,17
2023-02-21,36
2023-02-22,41
2023-02-23,48
2023-02-24,60
2023-02-25,13
2023-02-26,11
2023-02-27,41
2023-02-28,42
2023-03-01,48
2023-03-02,52
2023-03-03,62
2023-03-04,14
2023-03-05,12
2023-03-06,37
2023-03-07,45
2023-03-08,48
2023-03-09,57
2023-03-10,64
2023-03-11,14
2023-03-12,10
2023-03-13,28
2023-03-14,37
2023-03-15,36
2023-03-16,40
2023-03-17,39
2023-03-18,11
2023-03-19,10
2023-03-20,33
2023-03-21,42
2023-03-22,43
2023-03-23,52
2023-03-24,62
2023-03-25,13
2023-03-26,12
2023-03-27,38
2023-03-28,48
2023-03-29,49
2023-03-30,56
2023-03-31,64
2023-04-01,14
2023-04-02,11
2023-04-03,35
2023-04-04,39
2023-04-05,45
2023-04-06,59
2023-04-07,23
2023-04-08,10
2023-04-09,7
2023-04-10,28
2023-04-11,40
2023-04-12,45
2023-04-13,51
2023-04-14,63
2023-04-15,12
2023-04-16,10
2023-04-17,45
2023-04-18,51
2023-04-19,54
2023-04-20,60
2023-04-21,70
2023-04-22,14
2023-04-23,11
2023-04-24,48
2023-04-25,55
2023-04-26,57
2023-04-27,63
2023-04-28,73
2023-04-29,14
2023-04-30,10
2023-05-01,46
2023-05-02,51
2023-05-03,54
2023-05-04,59
2023-05-05,65
2023-05-06,14
2023-05-07,10
2023-05-08,50
2023-05-09,55
2023-05-10,57
2023-05-11,63
2023-05-12,70
2023-05-13,13
2023-05-14,10
2023-05-15,55
2023-05-16,59
2023-05-17,61
2023-05-18,67
2023-05-19,62
2023-05-20,13
2023-05-21,10
2023-05-22,46
2023-05-23,47
2023-05-24,47
2023-05-25,41
