Time,sabrina carpenter
2023-04-26,8
2023-04-27,10
2023-04-28,8
2023-04-29,10
2023-04-30,9
2023-05-01,9
2023-05-02,10
2023-05-03,9
2023-05-04,7
2023-05-05,6
2023-05-06,9
2023-05-07,10
2023-05-08,8
2023-05-09,8
2023-05-10,9
2023-05-11,12
2023-05-12,15
2023-05-13,16
2023-05-14,14
2023-05-15,9
2023-05-16,9
2023-05-17,9
2023-05-18,7
2023-05-19,7
2023-05-20,7
2023-05-21,7
2023-05-22,5
2023-05-23,5
2023-05-24,5
2023-05-25,6
2023-05-26,5
2023-05-27,6
2023-05-28,7
2023-05-29,6
2023-05-30,6
2023-05-31,6
2023-06-01,5
2023-06-02,11
2023-06-03,11
2023-06-04,8
2023-06-05,7
2023-06-06,7
2023-06-07,6
2023-06-08,6
2023-06-09,5
2023-06-10,5
2023-06-11,6
2023-06-12,5
2023-06-13,5
2023-06-14,4
2023-06-15,5
2023-06-16,6
2023-06-17,6
2023-06-18,5
2023-06-19,5
2023-06-20,6
2023-06-21,6
2023-06-22,5
2023-06-23,5
2023-06-24,5
2023-06-25,6
2023-06-26,5
2023-06-27,4
2023-06-28,4
2023-06-29,5
2023-06-30,6
2023-07-01,6
2023-07-02,8
2023-07-03,8
2023-07-04,8
2023-07-05,6
2023-07-06,7
2023-07-07,7
2023-07-08,6
2023-07-09,6
2023-07-10,6
2023-07-11,6
2023-07-12,7
2023-07-13,6
2023-07-14,6
2023-07-15,7
2023-07-16,8
2023-07-17,6
2023-07-18,5
2023-07-19,7
2023-07-20,6
2023-07-21,6
2023-07-22,6
2023-07-23,6
2023-07-24,6
2023-07-25,6
2023-07-26,6
2023-07-27,7
2023-07-28,6
2023-07-29,7
2023-07-30,9
2023-07-31,8
2023-08-01,6
2023-08-02,6
2023-08-03,6
2023-08-04,10
2023-08-05,13
2023-08-06,10
2023-08-07,8
2023-08-08,7
2023-08-09,7
2023-08-10,8
2023-08-11,8
2023-08-12,8
2023-08-13,7
2023-08-14,7
2023-08-15,6
2023-08-16,8
2023-08-17,8
2023-08-18,7
2023-08-19,10
2023-08-20,9
2023-08-21,6
2023-08-22,8
2023-08-23,7
2023-08-24,6
2023-08-25,11
2023-08-26,13
2023-08-27,17
2023-08-28,12
2023-08-29,9
2023-08-30,9
2023-08-31,9
2023-09-01,10
2023-09-02,9
2023-09-03,11
2023-09-04,9
2023-09-05,7
2023-09-06,6
2023-09-07,6
2023-09-08,8
2023-09-09,12
2023-09-10,11
2023-09-11,9
2023-09-12,11
2023-09-13,25
2023-09-14,14
2023-09-15,11
2023-09-16,11
2023-09-17,9
2023-09-18,8
2023-09-19,8
2023-09-20,8
2023-09-21,7
2023-09-22,7
2023-09-23,11
2023-09-24,10
2023-09-25,7
2023-09-26,7
2023-09-27,8
2023-09-28,7
2023-09-29,8
2023-09-30,9
2023-10-01,8
2023-10-02,54
2023-10-03,14
2023-10-04,9
2023-10-05,8
2023-10-06,7
2023-10-07,8
2023-10-08,8
2023-10-09,7
2023-10-10,6
2023-10-11,7
2023-10-12,7
2023-10-13,7
2023-10-14,8
2023-10-15,7
2023-10-16,6
2023-10-17,6
2023-10-18,9
2023-10-19,9
2023-10-20,7
2023-10-21,8
2023-10-22,7
2023-10-23,6
2023-10-24,7
2023-10-25,5
2023-10-26,6
2023-10-27,6
2023-10-28,6
2023-10-29,7
2023-10-30,6
2023-10-31,13
2023-11-01,11
2023-11-02,10
2023-11-03,11
2023-11-04,12
2023-11-05,11
2023-11-06,12
2023-11-07,13
2023-11-08,11
2023-11-09,8
2023-11-10,11
2023-11-11,11
2023-11-12,16
2023-11-13,14
2023-11-14,13
2023-11-15,12
2023-11-16,14
2023-11-17,20
2023-11-18,18
2023-11-19,17
2023-11-20,15
2023-11-21,13
2023-11-22,14
2023-11-23,16
2023-11-24,12
2023-11-25,17
2023-11-26,19
2023-11-27,16
2023-11-28,15
2023-11-29,20
2023-11-30,20
2023-12-01,24
2023-12-02,23
2023-12-03,28
2023-12-04,23
2023-12-05,17
2023-12-06,18
2023-12-07,16
2023-12-08,17
2023-12-09,22
2023-12-10,20
2023-12-11,17
2023-12-12,15
2023-12-13,14
2023-12-14,18
2023-12-15,21
2023-12-16,22
2023-12-17,23
2023-12-18,17
2023-12-19,17
2023-12-20,17
2023-12-21,17
2023-12-22,32
2023-12-23,22
2023-12-24,22
2023-12-25,21
2023-12-26,17
2023-12-27,17
2023-12-28,16
2023-12-29,17
2023-12-30,16
2023-12-31,17
2024-01-01,100
2024-01-02,23
2024-01-03,20
2024-01-04,19
2024-01-05,15
2024-01-06,17
2024-01-07,24
2024-01-08,20
2024-01-09,17
2024-01-10,16
2024-01-11,17
2024-01-12,16
2024-01-13,21
2024-01-14,26
2024-01-15,23
2024-01-16,18
2024-01-17,17
2024-01-18,16
2024-01-19,17
2024-01-20,21
