Time,stock futures
2022-01-01,5
2022-01-02,13
2022-01-03,44
2022-01-04,36
2022-01-05,36
2022-01-06,34
2022-01-07,33
2022-01-08,6
2022-01-09,12
2022-01-10,66
2022-01-11,33
2022-01-12,29
2022-01-13,38
2022-01-14,29
2022-01-15,4
2022-01-16,8
2022-01-17,27
2022-01-18,43
2022-01-19,41
2022-01-20,39
2022-01-21,43
2022-01-22,12
2022-01-23,22
2022-01-24,86
2022-01-25,53
2022-01-26,44
2022-01-27,47
2022-01-28,48
2022-01-29,8
2022-01-30,20
2022-01-31,59
2022-02-01,40
2022-02-02,44
2022-02-03,44
2022-02-04,45
2022-02-05,5
2022-02-06,17
2022-02-07,54
2022-02-08,35
2022-02-09,34
2022-02-10,36
2022-02-11,40
2022-02-12,10
2022-02-13,18
2022-02-14,50
2022-02-15,39
2022-02-16,40
2022-02-17,37
2022-02-18,46
2022-02-19,8
2022-02-20,14
2022-02-21,72
2022-02-22,91
2022-02-23,50
2022-02-24,100
2022-02-25,54
2022-02-26,12
2022-02-27,37
2022-02-28,90
2022-03-01,52
2022-03-02,49
2022-03-03,43
2022-03-04,49
2022-03-05,9
2022-03-06,24
2022-03-07,74
2022-03-08,62
2022-03-09,51
2022-03-10,51
2022-03-11,47
2022-03-12,8
2022-03-13,25
2022-03-14,66
2022-03-15,54
2022-03-16,47
2022-03-17,43
2022-03-18,38
2022-03-19,8
2022-03-20,27
2022-03-21,56
2022-03-22,34
2022-03-23,36
2022-03-24,34
2022-03-25,30
2022-03-26,5
2022-03-27,19
2022-03-28,41
2022-03-29,30
2022-03-30,34
2022-03-31,31
2022-04-01,28
2022-04-02,5
2022-04-03,15
2022-04-04,36
2022-04-05,26
2022-04-06,32
2022-04-07,30
2022-04-08,27
2022-04-09,5
2022-04-10,14
2022-04-11,38
2022-04-12,33
2022-04-13,31
2022-04-14,27
2022-04-15,18
2022-04-16,5
2022-04-17,15
2022-04-18,37
2022-04-19,28
2022-04-20,28
2022-04-21,28
2022-04-22,29
2022-04-23,8
2022-04-24,21
2022-04-25,61
2022-04-26,34
2022-04-27,40
2022-04-28,33
2022-04-29,33
2022-04-30,8
2022-05-01,24
2022-05-02,56
2022-05-03,30
2022-05-04,28
2022-05-05,36
2022-05-06,44
2022-05-07,6
2022-05-08,21
2022-05-09,79
2022-05-10,51
2022-05-11,47
2022-05-12,51
2022-05-13,39
2022-05-14,8
2022-05-15,25
2022-05-16,68
2022-05-17,39
2022-05-18,43
2022-05-19,54
2022-05-20,39
2022-05-21,6
2022-05-22,24
2022-05-23,77
2022-05-24,44
2022-05-25,38
2022-05-26,41
2022-05-27,36
2022-05-28,6
2022-05-29,9
2022-05-30,34
2022-05-31,57
2022-06-01,35
2022-06-02,35
2022-06-03,37
2022-06-04,5
2022-06-05,19
2022-06-06,42
2022-06-07,36
2022-06-08,35
2022-06-09,34
2022-06-10,35
2022-06-11,8
2022-06-12,24
2022-06-13,84
2022-06-14,59
2022-06-15,46
2022-06-16,57
2022-06-17,49
2022-06-18,9
2022-06-19,17
2022-06-20,54
2022-06-21,60
2022-06-22,49
2022-06-23,43
2022-06-24,37
2022-06-25,9
2022-06-26,24
2022-06-27,65
2022-06-28,39
2022-06-29,40
2022-06-30,38
2022-07-01,36
2022-07-02,4
2022-07-03,6
2022-07-04,28
2022-07-05,51
2022-07-06,37
2022-07-07,36
2022-07-08,34
2022-07-09,6
2022-07-10,16
2022-07-11,45
2022-07-12,34
2022-07-13,38
2022-07-14,38
2022-07-15,34
2022-07-16,6
2022-07-17,22
2022-07-18,46
2022-07-19,33
2022-07-20,41
2022-07-21,37
2022-07-22,36
2022-07-23,5
2022-07-24,19
2022-07-25,43
2022-07-26,36
2022-07-27,37
2022-07-28,40
2022-07-29,40
2022-07-30,6
2022-07-31,20
2022-08-01,48
2022-08-02,36
2022-08-03,34
2022-08-04,37
2022-08-05,35
2022-08-06,5
2022-08-07,17
2022-08-08,42
2022-08-09,35
2022-08-10,36
2022-08-11,35
2022-08-12,31
2022-08-13,6
2022-08-14,19
2022-08-15,40
2022-08-16,35
2022-08-17,34
2022-08-18,32
2022-08-19,29
2022-08-20,4
2022-08-21,16
2022-08-22,40
2022-08-23,35
2022-08-24,31
2022-08-25,31
2022-08-26,26
2022-08-27,8
2022-08-28,24
2022-08-29,46
2022-08-30,37
2022-08-31,37
2022-09-01,35
2022-09-02,26
2022-09-03,4
2022-09-04,8
2022-09-05,26
2022-09-06,40
2022-09-07,32
2022-09-08,31
2022-09-09,27
2022-09-10,5
2022-09-11,15
2022-09-12,34
2022-09-13,38
2022-09-14,43
2022-09-15,33
2022-09-16,33
2022-09-17,5
2022-09-18,16
2022-09-19,40
2022-09-20,30
2022-09-21,35
2022-09-22,36
2022-09-23,32
2022-09-24,7
2022-09-25,19
2022-09-26,48
2022-09-27,38
