Time,trump_news
2022-01-01,11.0
2022-01-02,12.0
2022-01-03,14.0
2022-01-04,16.0
2022-01-05,18.0
2022-01-06,20.0
2022-01-07,20.0
2022-01-08,15.0
2022-01-09,12.0
2022-01-10,13.0
2022-01-11,15.0
2022-01-12,15.0
2022-01-13,19.0
2022-01-14,14.0
2022-01-15,15.0
2022-01-16,19.0
2022-01-17,14.0
2022-01-18,13.0
2022-01-19,15.0
2022-01-20,19.0
2022-01-21,17.0
2022-01-22,17.0
2022-01-23,15.0
2022-01-24,20.0
2022-01-25,14.0
2022-01-26,15.0
2022-01-27,15.0
2022-01-28,16.0
2022-01-29,16.0
2022-01-30,17.0
2022-01-31,17.0
2022-02-01,16.0
2022-02-02,17.0
2022-02-03,17.0
2022-02-04,17.0
2022-02-05,17.0
2022-02-06,16.0
2022-02-07,17.0
2022-02-08,17.0
2022-02-09,15.0
2022-02-10,15.0
2022-02-11,17.0
2022-02-12,16.0
2022-02-13,15.0
2022-02-14,16.0
2022-02-15,21.0
2022-02-16,18.0
2022-02-17,19.0
2022-02-18,20.0
2022-02-19,18.0
2022-02-20,17.0
2022-02-21,18.0
2022-02-22,20.0
2022-02-23,26.0
2022-02-24,37.0
2022-02-25,33.0
2022-02-26,28.0
2022-02-27,28.0
2022-02-28,22.0
2022-03-01,21.0
2022-03-02,20.0
2022-03-03,21.0
2022-03-04,18.0
2022-03-05,19.0
2022-03-06,18.0
2022-03-07,17.0
2022-03-08,17.0
2022-03-09,18.0
2022-03-10,18.0
2022-03-11,16.0
2022-03-12,15.0
2022-03-13,16.0
2022-03-14,15.0
2022-03-15,15.0
2022-03-16,15.0
2022-03-17,15.0
2022-03-18,14.0
2022-03-19,14.0
2022-03-20,13.0
2022-03-21,13.0
2022-03-22,13.0
2022-03-23,13.0
2022-03-24,16.0
2022-03-25,14.0
2022-03-26,15.0
2022-03-27,16.0
2022-03-28,14.0
2022-03-29,15.0
2022-03-30,16.0
2022-03-31,14.0
2022-04-01,13.0
2022-04-02,13.0
2022-04-03,14.0
2022-04-04,13.0
2022-04-05,14.0
2022-04-06,13.0
2022-04-07,13.0
2022-04-08,13.0
2022-04-09,14.0
2022-04-10,14.0
2022-04-11,13.0
2022-04-12,12.0
2022-04-13,12.0
2022-04-14,12.0
2022-04-15,12.0
2022-04-16,12.0
2022-04-17,11.0
2022-04-18,13.0
2022-04-19,11.0
2022-04-20,11.0
2022-04-21,13.0
2022-04-22,12.0
2022-04-23,12.0
2022-04-24,13.0
2022-04-25,15.0
2022-04-26,14.0
2022-04-27,13.0
2022-04-28,11.0
2022-04-29,12.0
2022-04-30,11.0
2022-05-01,12.0
2022-05-02,11.0
2022-05-03,11.0
2022-05-04,12.0
2022-05-05,11.0
2022-05-06,11.0
2022-05-07,12.0
2022-05-08,11.0
2022-05-09,11.0
2022-05-10,11.0
2022-05-11,11.0
2022-05-12,11.0
2022-05-13,11.0
2022-05-14,10.0
2022-05-15,12.0
2022-05-16,10.0
2022-05-17,10.0
2022-05-18,12.0
2022-05-19,9.0
2022-05-20,10.0
2022-05-21,10.0
2022-05-22,10.0
2022-05-23,11.0
2022-05-24,12.0
2022-05-25,12.0
2022-05-26,12.0
2022-05-27,13.0
2022-05-28,12.0
2022-05-29,12.0
2022-05-30,11.0
2022-05-31,11.0
2022-06-01,12.0
2022-06-02,11.0
2022-06-03,11.0
2022-06-04,11.0
2022-06-05,11.0
2022-06-06,11.0
2022-06-07,12.0
2022-06-08,12.0
2022-06-09,12.0
2022-06-10,27.0
2022-06-11,18.0
2022-06-12,16.0
2022-06-13,19.0
2022-06-14,22.0
2022-06-15,17.0
2022-06-16,16.0
2022-06-17,18.0
2022-06-18,15.0
2022-06-19,14.0
2022-06-20,15.0
2022-06-21,19.0
2022-06-22,20.0
2022-06-23,19.0
2022-06-24,21.0
2022-06-25,17.0
2022-06-26,16.0
2022-06-27,15.0
2022-06-28,29.0
2022-06-29,42.0
2022-06-30,23.0
2022-07-01,19.0
2022-07-02,17.0
2022-07-03,17.0
2022-07-04,17.0
2022-07-05,19.0
2022-07-06,18.0
2022-07-07,17.0
2022-07-08,18.0
2022-07-09,17.0
2022-07-10,17.0
2022-07-11,16.0
2022-07-12,21.0
2022-07-13,22.0
2022-07-14,40.0
2022-07-15,35.0
2022-07-16,25.0
2022-07-17,20.0
2022-07-18,19.0
2022-07-19,19.0
2022-07-20,21.0
2022-07-21,21.0
2022-07-22,28.0
2022-07-23,20.0
2022-07-24,19.0
2022-07-25,18.0
2022-07-26,19.0
2022-07-27,20.0
2022-07-28,20.0
2022-07-29,18.0
2022-07-30,20.0
2022-07-31,22.0
2022-08-01,21.0
2022-08-02,19.0
2022-08-03,18.0
2022-08-04,14.0
2022-08-05,15.0
2022-08-06,15.0
2022-08-07,15.0
2022-08-08,27.0
2022-08-09,100.0
2022-08-10,50.0
2022-08-11,45.0
2022-08-12,83.0
2022-08-13,57.0
2022-08-14,45.0
2022-08-15,40.0
2022-08-16,39.0
2022-08-17,34.0
2022-08-18,34.0
2022-08-19,28.0
2022-08-20,25.0
2022-08-21,24.0
2022-08-22,23.0
2022-08-23,28.0
2022-08-24,27.0
2022-08-25,24.0
2022-08-26,35.0
2022-08-27,31.0
2022-08-28,25.0
2022-08-29,25.825000000000003
2022-08-30,29.85
2022-08-31,35.05
2022-09-01,33.375
2022-09-02,31.525
2022-09-03,28.175
2022-09-04,27.0
2022-09-05,27.0
2022-09-06,22.975
2022-09-07,25.825000000000003
2022-09-08,26.5
2022-09-09,24.65
2022-09-10,22.975
2022-09-11,21.3
2022-09-12,35.05
2022-09-13,27.0
2022-09-14,22.975
2022-09-15,24.15
2022-09-16,22.475
2022-09-17,20.125
2022-09-18,17.775
2022-09-19,21.3
