Time,wbc
2024-08-18,26
2024-08-19,38
2024-08-20,46
2024-08-21,49
2024-08-22,48
2024-08-23,44
2024-08-24,34
2024-08-25,29
2024-08-26,38
2024-08-27,45
2024-08-28,44
2024-08-29,49
2024-08-30,44
2024-08-31,33
2024-09-01,28
2024-09-02,26
2024-09-03,36
2024-09-04,44
2024-09-05,45
2024-09-06,43
2024-09-07,38
2024-09-08,28
2024-09-09,39
2024-09-10,45
2024-09-11,48
2024-09-12,47
2024-09-13,45
2024-09-14,36
2024-09-15,32
2024-09-16,43
2024-09-17,50
2024-09-18,54
2024-09-19,49
2024-09-20,46
2024-09-21,40
2024-09-22,29
2024-09-23,41
2024-09-24,44
2024-09-25,44
2024-09-26,45
2024-09-27,43
2024-09-28,35
2024-09-29,29
2024-09-30,39
2024-10-01,47
2024-10-02,46
2024-10-03,48
2024-10-04,48
2024-10-05,41
2024-10-06,31
2024-10-07,43
2024-10-08,46
2024-10-09,47
2024-10-10,47
2024-10-11,49
2024-10-12,37
2024-10-13,34
2024-10-14,41
2024-10-15,50
2024-10-16,50
2024-10-17,45
2024-10-18,45
2024-10-19,38
2024-10-20,31
2024-10-21,42
2024-10-22,54
2024-10-23,51
2024-10-24,53
2024-10-25,46
2024-10-26,38
2024-10-27,30
2024-10-28,45
2024-10-29,48
2024-10-30,48
2024-10-31,50
2024-11-01,49
2024-11-02,36
2024-11-03,31
2024-11-04,41
2024-11-05,47
2024-11-06,36
2024-11-07,46
2024-11-08,51
2024-11-09,37
2024-11-10,35
2024-11-11,42
2024-11-12,49
2024-11-13,51
2024-11-14,50
2024-11-15,54
2024-11-16,100
2024-11-17,36
2024-11-18,47
2024-11-19,50
2024-11-20,51
2024-11-21,50
2024-11-22,47
2024-11-23,37
2024-11-24,33
2024-11-25,43
2024-11-26,45
2024-11-27,48
2024-11-28,34
2024-11-29,29
2024-11-30,26
2024-12-01,30
2024-12-02,42
2024-12-03,45
2024-12-04,47
2024-12-05,45
2024-12-06,46
2024-12-07,39
2024-12-08,29
2024-12-09,42
2024-12-10,50
2024-12-11,47
2024-12-12,46
2024-12-13,44
2024-12-14,34
2024-12-15,29
2024-12-16,37
2024-12-17,50
2024-12-18,48
2024-12-19,48
2024-12-20,43
2024-12-21,29
2024-12-22,27
2024-12-23,36
2024-12-24,34
2024-12-25,23
2024-12-26,31
2024-12-27,39
2024-12-28,30
2024-12-29,28
2024-12-30,34
2024-12-31,38
2025-01-01,27
2025-01-02,35
2025-01-03,44
2025-01-04,37
2025-01-05,29
2025-01-06,36
2025-01-07,43
2025-01-08,43
2025-01-09,47
2025-01-10,48
2025-01-11,33
2025-01-12,28
2025-01-13,40
2025-01-14,52
2025-01-15,51
2025-01-16,52
2025-01-17,49
2025-01-18,40
2025-01-19,29
2025-01-20,38
2025-01-21,45
2025-01-22,45
2025-01-23,52
2025-01-24,46
2025-01-25,39
2025-01-26,32
2025-01-27,43
2025-01-28,54
2025-01-29,56
2025-01-30,50
2025-01-31,50
2025-02-01,45
2025-02-02,39
2025-02-03,45
2025-02-04,52
2025-02-05,55
2025-02-06,55
2025-02-07,52
2025-02-08,44
2025-02-09,33
2025-02-10,45
2025-02-11,49
2025-02-12,55
2025-02-13,52
2025-02-14,51
2025-02-15,40
2025-02-16,37
2025-02-17,46
2025-02-18,56
2025-02-19,54
2025-02-20,54
2025-02-21,70
2025-02-22,53
2025-02-23,50
2025-02-24,50
2025-02-25,68
2025-02-26,60
2025-02-27,59
2025-02-28,57
2025-03-01,49
2025-03-02,44
2025-03-03,56
2025-03-04,67
2025-03-05,57
2025-03-06,60
2025-03-07,59
2025-03-08,48
2025-03-09,39
2025-03-10,44
2025-03-11,52
2025-03-12,52
2025-03-13,56
2025-03-14,54
2025-03-15,42
2025-03-16,33
2025-03-17,44
2025-03-18,54
2025-03-19,56
2025-03-20,55
2025-03-21,54
2025-03-22,44
2025-03-23,37
2025-03-24,45
2025-03-25,52
2025-03-26,58
2025-03-27,57
2025-03-28,51
2025-03-29,39
2025-03-30,34
2025-03-31,43
2025-04-01,52
2025-04-02,48
2025-04-03,52
2025-04-04,47
2025-04-05,41
2025-04-06,36
2025-04-07,42
2025-04-08,52
2025-04-09,53
2025-04-10,56
2025-04-11,52
2025-04-12,42
2025-04-13,33
2025-04-14,58
2025-04-15,66
2025-04-16,56
2025-04-17,58
2025-04-18,52
2025-04-19,40
2025-04-20,36
2025-04-21,49
2025-04-22,52
2025-04-23,54
2025-04-24,52
2025-04-25,46
2025-04-26,40
2025-04-27,33
2025-04-28,46
2025-04-29,53
2025-04-30,50
2025-05-01,51
2025-05-02,44
2025-05-03,40
2025-05-04,33
2025-05-05,42
2025-05-06,50
2025-05-07,48
2025-05-08,47
2025-05-09,47
2025-05-10,39
2025-05-11,33
2025-05-12,42
2025-05-13,57
2025-05-14,55
