Time,who is the president of the united states
2022-01-01,8
2022-01-02,17
2022-01-03,23
2022-01-04,38
2022-01-05,45
2022-01-06,37
2022-01-07,36
2022-01-08,19
2022-01-09,25
2022-01-10,38
2022-01-11,42
2022-01-12,44
2022-01-13,41
2022-01-14,37
2022-01-15,18
2022-01-16,22
2022-01-17,17
2022-01-18,29
2022-01-19,43
2022-01-20,41
2022-01-21,41
2022-01-22,15
2022-01-23,25
2022-01-24,56
2022-01-25,47
2022-01-26,41
2022-01-27,42
2022-01-28,52
2022-01-29,25
2022-01-30,26
2022-01-31,38
2022-02-01,46
2022-02-02,35
2022-02-03,39
2022-02-04,34
2022-02-05,23
2022-02-06,27
2022-02-07,48
2022-02-08,58
2022-02-09,47
2022-02-10,43
2022-02-11,44
2022-02-12,23
2022-02-13,21
2022-02-14,42
2022-02-15,49
2022-02-16,48
2022-02-17,41
2022-02-18,50
2022-02-19,31
2022-02-20,36
2022-02-21,48
2022-02-22,63
2022-02-23,39
2022-02-24,59
2022-02-25,56
2022-02-26,32
2022-02-27,35
2022-02-28,59
2022-03-01,55
2022-03-02,58
2022-03-03,63
2022-03-04,58
2022-03-05,28
2022-03-06,27
2022-03-07,61
2022-03-08,43
2022-03-09,47
2022-03-10,59
2022-03-11,45
2022-03-12,27
2022-03-13,28
2022-03-14,53
2022-03-15,37
2022-03-16,49
2022-03-17,51
2022-03-18,36
2022-03-19,26
2022-03-20,22
2022-03-21,50
2022-03-22,40
2022-03-23,37
2022-03-24,56
2022-03-25,74
2022-03-26,31
2022-03-27,30
2022-03-28,83
2022-03-29,86
2022-03-30,57
2022-03-31,86
2022-04-01,100
2022-04-02,34
2022-04-03,33
2022-04-04,86
2022-04-05,78
2022-04-06,75
2022-04-07,91
2022-04-08,79
2022-04-09,27
2022-04-10,27
2022-04-11,63
2022-04-12,76
2022-04-13,55
2022-04-14,75
2022-04-15,48
2022-04-16,27
2022-04-17,23
2022-04-18,69
2022-04-19,72
2022-04-20,79
2022-04-21,88
2022-04-22,78
2022-04-23,37
2022-04-24,29
2022-04-25,92
2022-04-26,86
2022-04-27,81
2022-04-28,94
2022-04-29,87
2022-04-30,39
2022-05-01,34
2022-05-02,86
2022-05-03,82
2022-05-04,83
2022-05-05,95
2022-05-06,86
2022-05-07,35
2022-05-08,26
2022-05-09,92
2022-05-10,96
2022-05-11,96
2022-05-12,93
2022-05-13,92
2022-05-14,25
2022-05-15,26
2022-05-16,75
2022-05-17,80
2022-05-18,78
2022-05-19,74
2022-05-20,71
2022-05-21,27
2022-05-22,20
2022-05-23,72
2022-05-24,62
2022-05-25,67
2022-05-26,52
2022-05-27,39
2022-05-28,13
2022-05-29,22
2022-05-30,21
2022-05-31,45
2022-06-01,38
2022-06-02,47
2022-06-03,42
2022-06-04,18
2022-06-05,18
2022-06-06,47
2022-06-07,43
2022-06-08,40
2022-06-09,34
2022-06-10,31
2022-06-11,23
2022-06-12,23
2022-06-13,43
2022-06-14,37
2022-06-15,35
2022-06-16,41
2022-06-17,21
2022-06-18,25
2022-06-19,26
2022-06-20,35
2022-06-21,32
2022-06-22,27
2022-06-23,24
2022-06-24,31
2022-06-25,20
2022-06-26,24
2022-06-27,35
2022-06-28,26
2022-06-29,33
2022-06-30,29
2022-07-01,18
2022-07-02,20
2022-07-03,20
2022-07-04,28
2022-07-05,42
2022-07-06,26
2022-07-07,29
2022-07-08,27
2022-07-09,18
2022-07-10,21
2022-07-11,27
2022-07-12,20
2022-07-13,23
2022-07-14,29
2022-07-15,26
2022-07-16,25
2022-07-17,20
2022-07-18,23
2022-07-19,27
2022-07-20,23
2022-07-21,31
2022-07-22,25
2022-07-23,18
2022-07-24,17
2022-07-25,21
2022-07-26,26
2022-07-27,26
2022-07-28,22
2022-07-29,22
2022-07-30,18
2022-07-31,26
2022-08-01,21
2022-08-02,27
2022-08-03,24
2022-08-04,26
2022-08-05,25
2022-08-06,20
2022-08-07,18
2022-08-08,17
2022-08-09,34
2022-08-10,29
2022-08-11,31
2022-08-12,35
2022-08-13,20
2022-08-14,18
2022-08-15,25
2022-08-16,36
2022-08-17,35
2022-08-18,30
2022-08-19,37
2022-08-20,23
2022-08-21,24
2022-08-22,39
2022-08-23,34
2022-08-24,44
2022-08-25,44
2022-08-26,39
2022-08-27,17
2022-08-28,20
2022-08-29,46
2022-08-30,35
2022-08-31,44
2022-09-01,48
2022-09-02,44
2022-09-03,24
2022-09-04,19
2022-09-05,22
2022-09-06,48
2022-09-07,50
2022-09-08,56
2022-09-09,59
2022-09-10,20
2022-09-11,24
2022-09-12,43
2022-09-13,44
2022-09-14,63
2022-09-15,58
2022-09-16,54
2022-09-17,15
2022-09-18,23
2022-09-19,71
2022-09-20,59
2022-09-21,54
2022-09-22,54
2022-09-23,56
2022-09-24,19
2022-09-25,18
2022-09-26,49
2022-09-27,57
