Time,wordle_unlimited
2022-01-01,0.0
2022-01-02,0.0
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.0
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,1.0
2022-01-14,1.0
2022-01-15,1.0
2022-01-16,1.0
2022-01-17,2.0
2022-01-18,2.0
2022-01-19,3.0
2022-01-20,3.0
2022-01-21,4.0
2022-01-22,6.0
2022-01-23,6.0
2022-01-24,7.0
2022-01-25,8.0
2022-01-26,10.0
2022-01-27,13.0
2022-01-28,7.0
2022-01-29,9.0
2022-01-30,9.0
2022-01-31,7.0
2022-02-01,10.0
2022-02-02,9.0
2022-02-03,9.0
2022-02-04,10.0
2022-02-05,11.0
2022-02-06,10.0
2022-02-07,11.0
2022-02-08,12.0
2022-02-09,13.0
2022-02-10,11.0
2022-02-11,16.0
2022-02-12,16.0
2022-02-13,15.0
2022-02-14,16.0
2022-02-15,18.0
2022-02-16,19.0
2022-02-17,22.0
2022-02-18,22.0
2022-02-19,21.0
2022-02-20,25.0
2022-02-21,26.0
2022-02-22,27.0
2022-02-23,27.0
2022-02-24,31.0
2022-02-25,32.0
2022-02-26,28.0
2022-02-27,27.0
2022-02-28,33.0
2022-03-01,34.0
2022-03-02,36.0
2022-03-03,36.0
2022-03-04,36.0
2022-03-05,31.0
2022-03-06,34.0
2022-03-07,37.0
2022-03-08,38.0
2022-03-09,41.0
2022-03-10,37.0
2022-03-11,37.0
2022-03-12,39.0
2022-03-13,38.0
2022-03-14,37.0
2022-03-15,39.0
2022-03-16,39.0
2022-03-17,33.0
2022-03-18,37.0
2022-03-19,34.0
2022-03-20,33.0
2022-03-21,34.0
2022-03-22,36.0
2022-03-23,35.0
2022-03-24,34.0
2022-03-25,82.0
2022-03-26,33.0
2022-03-27,31.0
2022-03-28,68.0
2022-03-29,91.0
2022-03-30,51.0
2022-03-31,100.0
2022-04-01,83.0
2022-04-02,36.0
2022-04-03,34.0
2022-04-04,68.0
2022-04-05,62.0
2022-04-06,66.0
2022-04-07,63.0
2022-04-08,70.0
2022-04-09,35.0
2022-04-10,31.0
2022-04-11,50.0
2022-04-12,51.0
2022-04-13,53.0
2022-04-14,58.0
2022-04-15,37.0
2022-04-16,31.0
2022-04-17,33.0
2022-04-18,44.0
2022-04-19,48.0
2022-04-20,50.0
2022-04-21,52.0
2022-04-22,57.0
2022-04-23,27.0
2022-04-24,25.0
2022-04-25,42.0
2022-04-26,52.0
2022-04-27,56.0
2022-04-28,56.0
2022-04-29,56.0
2022-04-30,25.0
2022-05-01,22.0
2022-05-02,49.0
2022-05-03,50.0
2022-05-04,50.0
2022-05-05,49.0
2022-05-06,46.0
2022-05-07,22.0
2022-05-08,23.0
2022-05-09,43.0
2022-05-10,39.0
2022-05-11,39.0
2022-05-12,40.0
2022-05-13,38.0
2022-05-14,21.0
2022-05-15,18.0
2022-05-16,34.0
2022-05-17,33.0
2022-05-18,34.0
2022-05-19,35.0
2022-05-20,35.0
2022-05-21,18.0
2022-05-22,18.0
2022-05-23,28.0
2022-05-24,28.0
2022-05-25,25.0
2022-05-26,26.0
2022-05-27,24.0
2022-05-28,17.0
2022-05-29,17.0
2022-05-30,16.0
2022-05-31,21.0
2022-06-01,21.0
2022-06-02,21.0
2022-06-03,19.0
2022-06-04,14.0
2022-06-05,13.0
2022-06-06,17.0
2022-06-07,16.0
2022-06-08,15.0
2022-06-09,15.0
2022-06-10,14.0
2022-06-11,12.0
2022-06-12,12.0
2022-06-13,13.0
2022-06-14,13.0
2022-06-15,12.0
2022-06-16,12.0
2022-06-17,11.0
2022-06-18,11.0
2022-06-19,12.0
2022-06-20,10.0
2022-06-21,11.0
2022-06-22,10.0
2022-06-23,11.0
2022-06-24,11.0
2022-06-25,9.0
2022-06-26,10.0
2022-06-27,10.0
2022-06-28,10.0
2022-06-29,9.0
2022-06-30,8.0
2022-07-01,9.0
2022-07-02,9.0
2022-07-03,9.0
2022-07-04,9.0
2022-07-05,8.0
2022-07-06,8.0
2022-07-07,7.0
2022-07-08,8.0
2022-07-09,8.0
2022-07-10,9.0
2022-07-11,7.0
2022-07-12,8.0
2022-07-13,8.0
2022-07-14,8.0
2022-07-15,7.0
2022-07-16,8.0
2022-07-17,8.0
2022-07-18,8.0
2022-07-19,7.0
2022-07-20,8.0
2022-07-21,7.0
2022-07-22,7.0
2022-07-23,7.0
2022-07-24,8.0
2022-07-25,7.0
2022-07-26,7.0
2022-07-27,6.0
2022-07-28,7.0
2022-07-29,8.0
2022-07-30,7.0
2022-07-31,8.0
2022-08-01,6.0
2022-08-02,7.0
2022-08-03,7.0
2022-08-04,6.0
2022-08-05,7.0
2022-08-06,7.0
2022-08-07,7.0
2022-08-08,7.0
2022-08-09,7.0
2022-08-10,7.0
2022-08-11,8.0
2022-08-12,7.0
2022-08-13,7.0
2022-08-14,7.0
2022-08-15,7.0
2022-08-16,7.0
2022-08-17,8.0
2022-08-18,8.0
2022-08-19,8.0
2022-08-20,7.0
2022-08-21,7.0
2022-08-22,8.0
2022-08-23,8.0
2022-08-24,8.0
2022-08-25,9.0
2022-08-26,9.0
2022-08-27,7.0
2022-08-28,6.0
2022-08-29,8.003421727972626
2022-08-30,8.003421727972626
2022-08-31,8.18819503849444
2022-09-01,8.065012831479898
2022-09-02,8.872968349016254
2022-09-03,5.894781864841745
2022-09-04,6.887510692899914
2022-09-05,6.764328485885372
2022-09-06,7.195466210436271
2022-09-07,7.941830624465355
2022-09-08,8.996150556030795
2022-09-09,8.12660393498717
2022-09-10,5.14841745081266
2022-09-11,5.14841745081266
2022-09-12,7.941830624465355
2022-09-13,8.003421727972626
2022-09-14,8.872968349016254
2022-09-15,8.065012831479898
2022-09-16,8.996150556030795
2022-09-17,6.079555175363558
2022-09-18,5.14841745081266
2022-09-19,7.195466210436271
2022-09-20,8.18819503849444
2022-09-21,8.996150556030795
2022-09-22,8.74978614200171
2022-09-23,8.811377245508982
2022-09-24,5.894781864841745
2022-09-25,5.894781864841745
2022-09-26,7.133875106928999
2022-09-27,7.880239520958083
2022-09-28,7.390932420872541
2022-09-29,7.88366124893071
2022-09-30,8.622754491017965
2022-10-01,5.050470487596236
2022-10-02,5.296834901625321
2022-10-03,8.130025662959795
2022-10-04,7.88366124893071
2022-10-05,8.006843455945253
2022-10-06,8.992301112061591
2022-10-07,8.130025662959795
2022-10-08,6.405474764756201
2022-10-09,5.543199315654405
2022-10-10,7.390932420872541
2022-10-11,8.37639007698888
2022-10-12,7.88366124893071
2022-10-13,8.253207869974338
2022-10-14,9.97775876817793
2022-10-15,5.912745936698032
2022-10-16,6.282292557741659
2022-10-17,9.731394354148845
2022-10-18,9.608212147134303
2022-10-19,9.48502994011976
2022-10-20,8.745936698032507
2022-10-21,9.97775876817793
2022-10-22,5.78956372968349
2022-10-23,5.912745936698032
2022-10-24,7.7604790419161676
2022-10-25,9.361847733105218
2022-10-26,9.854576561163388
2022-10-27,9.361847733105218
2022-10-28,8.37639007698888
2022-10-29,5.420017108639863
2022-10-30,4.680923866552609
2022-10-31,7.021385799828914
2022-11-01,7.88366124893071
2022-11-02,8.992301112061591
2022-11-03,9.238665526090676
2022-11-04,8.37639007698888
2022-11-05,5.666381522668948
2022-11-06,6.282292557741659
2022-11-07,8.253207869974338
2022-11-08,7.267750213857998
2022-11-09,9.115483319076134
2022-11-10,9.115483319076134
2022-11-11,7.637296834901625
2022-11-12,5.78956372968349
2022-11-13,4.680923866552609
2022-11-14,8.992301112061591
2022-11-15,9.115483319076134
2022-11-16,9.97775876817793
2022-11-17,10.716852010265184
2022-11-18,10.347305389221557
2022-11-19,5.543199315654405
2022-11-20,6.0359281437125745
2022-11-21,6.8982035928143715
2022-11-22,8.499572284003422
2022-11-23,6.775021385799829
2022-11-24,6.159110350727117
2022-11-25,5.666381522668948
2022-11-26,5.666381522668948
2022-11-27,5.420017108639863
2022-11-28,7.267750213857998
2022-11-29,7.7604790419161676
2022-11-30,9.238665526090676
2022-12-01,8.992301112061591
2022-12-02,9.115483319076134
2022-12-03,5.543199315654405
2022-12-04,5.296834901625321
2022-12-05,7.637296834901625
2022-12-06,7.88366124893071
2022-12-07,8.745936698032507
2022-12-08,8.253207869974338
2022-12-09,7.88366124893071
2022-12-10,4.680923866552609
2022-12-11,4.557741659538067
2022-12-12,7.637296834901625
2022-12-13,7.7604790419161676
2022-12-14,7.88366124893071
2022-12-15,8.006843455945253
2022-12-16,8.622754491017965
2022-12-17,5.420017108639863
2022-12-18,5.912745936698032
2022-12-19,8.006843455945253
2022-12-20,8.37639007698888
2022-12-21,8.622754491017965
2022-12-22,6.159110350727117
2022-12-23,6.282292557741659
2022-12-24,6.282292557741659
2022-12-25,5.420017108639863
2022-12-26,5.420017108639863
2022-12-27,5.173652694610778
2022-12-28,4.927288280581694
2022-12-29,5.050470487596236
2022-12-30,5.050470487596236
2022-12-31,5.420017108639863
2023-01-01,5.78956372968349
2023-01-02,5.666381522668948
2023-01-03,6.159110350727117
2023-01-04,6.8982035928143715
2023-01-05,7.88366124893071
2023-01-06,7.514114627887083
2023-01-07,4.680923866552609
2023-01-08,5.173652694610778
2023-01-09,7.514114627887083
2023-01-10,8.622754491017965
2023-01-11,8.130025662959795
2023-01-12,8.622754491017965
2023-01-13,7.88366124893071
2023-01-14,4.927288280581694
2023-01-15,5.173652694610778
2023-01-16,5.543199315654405
2023-01-17,7.390932420872541
2023-01-18,8.130025662959795
2023-01-19,8.006843455945253
2023-01-20,9.361847733105218
2023-01-21,4.927288280581694
2023-01-22,5.420017108639863
2023-01-23,7.7604790419161676
2023-01-24,9.854576561163388
2023-01-25,7.144568006843456
2023-01-26,8.006843455945253
2023-01-27,8.86911890504705
2023-01-28,5.050470487596236
2023-01-29,5.543199315654405
2023-01-30,7.514114627887083
2023-01-31,8.499572284003422
2023-02-01,8.253207869974338
2023-02-02,8.253207869974338
2023-02-03,8.499572284003422
2023-02-04,5.050470487596236
2023-02-05,5.420017108639863
2023-02-06,7.637296834901625
2023-02-07,8.130025662959795
2023-02-08,8.37639007698888
2023-02-09,9.115483319076134
2023-02-10,10.224123182207014
2023-02-11,4.927288280581694
2023-02-12,5.666381522668948
2023-02-13,7.021385799828914
2023-02-14,8.499572284003422
2023-02-15,9.97775876817793
2023-02-16,9.48502994011976
2023-02-17,8.37639007698888
2023-02-18,5.296834901625321
2023-02-19,5.296834901625321
2023-02-20,6.0359281437125745
2023-02-21,8.745936698032507
2023-02-22,8.006843455945253
2023-02-23,7.7604790419161676
2023-02-24,8.253207869974338
2023-02-25,5.543199315654405
2023-02-26,5.050470487596236
2023-02-27,7.88366124893071
2023-02-28,7.88366124893071
2023-03-01,8.253207869974338
2023-03-02,8.130025662959795
2023-03-03,8.130025662959795
2023-03-04,5.173652694610778
2023-03-05,5.050470487596236
2023-03-06,8.253207869974338
2023-03-07,9.238665526090676
2023-03-08,9.238665526090676
2023-03-09,9.238665526090676
2023-03-10,7.637296834901625
2023-03-11,5.050470487596236
2023-03-12,5.173652694610778
2023-03-13,6.775021385799829
2023-03-14,7.021385799828914
2023-03-15,7.637296834901625
2023-03-16,7.637296834901625
2023-03-17,6.528656971770744
2023-03-18,4.311377245508982
2023-03-19,4.927288280581694
2023-03-20,7.021385799828914
2023-03-21,7.267750213857998
2023-03-22,7.7604790419161676
2023-03-23,9.854576561163388
2023-03-24,9.361847733105218
2023-03-25,5.296834901625321
2023-03-26,5.420017108639863
2023-03-27,7.7604790419161676
2023-03-28,8.130025662959795
2023-03-29,8.130025662959795
2023-03-30,9.361847733105218
2023-03-31,8.745936698032507
2023-04-01,5.420017108639863
2023-04-02,5.420017108639863
2023-04-03,7.144568006843456
2023-04-04,7.514114627887083
2023-04-05,7.267750213857998
2023-04-06,7.637296834901625
2023-04-07,5.173652694610778
2023-04-08,4.927288280581694
2023-04-09,4.680923866552609
2023-04-10,6.405474764756201
2023-04-11,6.651839178785287
2023-04-12,6.405474764756201
2023-04-13,6.8982035928143715
2023-04-14,7.637296834901625
2023-04-15,4.311377245508982
2023-04-16,4.434559452523525
2023-04-17,7.637296834901625
2023-04-18,8.499572284003422
2023-04-19,7.88366124893071
2023-04-20,9.361847733105218
2023-04-21,8.253207869974338
2023-04-22,4.18819503849444
2023-04-23,4.065012831479898
2023-04-24,7.021385799828914
2023-04-25,7.7604790419161676
2023-04-26,7.630813560848228
2023-04-27,8.989059475034892
2023-04-28,8.019810004052047
2023-04-29,4.654990770339022
2023-04-30,4.334068704695872
2023-05-01,7.760479041916168
2023-05-02,9.248390437170773
2023-05-03,8.538471928323805
2023-05-04,9.569312502813922
2023-05-05,7.890144522984107
2023-05-06,5.303318175678718
2023-05-07,5.173652694610778
2023-05-08,8.470397550763135
2023-05-09,9.8286434649498
2023-05-10,9.637386880374589
2023-05-11,10.347305389221557
2023-05-12,12.15613885011931
2023-05-13,5.8835712034577465
2023-05-14,6.081311062086353
2023-05-15,9.50772139930665
2023-05-16,10.476970870289495
2023-05-17,11.125298275629193
2023-05-18,12.28580433118725
2023-05-19,12.224213227679979
2023-05-20,5.8219800999504745
2023-05-21,6.272567646661564
2023-05-22,10.347305389221557
2023-05-23,10.476970870289495
2023-05-24,11.057223898068525
2023-05-25,11.186889379136463
2023-05-26,8.849669082886859
2023-05-27,6.807437756066815
2023-05-28,7.215884021430823
2023-05-29,7.352032776552159
2023-05-30,9.121966593129532
2023-05-31,9.53041285849354
2023-06-01,10.891900409706903
2023-06-02,10.61960289946423
2023-06-03,6.671289000945478
2023-06-04,7.624330286794832
2023-06-05,9.938859123857549
2023-06-06,10.61960289946423
2023-06-07,10.61960289946423
2023-06-08,9.394264103372203
2023-06-09,8.713520327765522
2023-06-10,6.671289000945478
2023-06-11,6.807437756066815
2023-06-12,7.760479041916168
2023-06-13,7.760479041916168
2023-06-14,7.352032776552159
2023-06-15,7.079735266309487
2023-06-16,6.398991490702805
2023-06-17,6.94358651118815
2023-06-18,6.807437756066815
2023-06-19,6.807437756066815
2023-06-20,7.760479041916168
2023-06-21,7.896627797037505
2023-06-22,7.624330286794832
2023-06-23,8.168925307280176
2023-06-24,8.168925307280176
2023-06-25,7.896627797037505
2023-06-26,6.535140245824142
2023-06-27,6.671289000945478
2023-06-28,6.94358651118815
2023-06-29,7.760479041916168
2023-06-30,7.215884021430823
2023-07-01,6.807437756066815
2023-07-02,7.488181531673495
2023-07-03,8.305074062401513
2023-07-04,8.44122281752285
2023-07-05,7.215884021430823
2023-07-06,7.352032776552159
2023-07-07,8.305074062401513
2023-07-08,8.849669082886859
2023-07-09,8.849669082886859
2023-07-10,7.079735266309487
2023-07-11,7.624330286794832
2023-07-12,7.896627797037505
2023-07-13,7.352032776552159
2023-07-14,6.671289000945478
2023-07-15,6.807437756066815
2023-07-16,6.94358651118815
2023-07-17,6.807437756066815
2023-07-18,7.352032776552159
2023-07-19,7.215884021430823
2023-07-20,7.215884021430823
2023-07-21,6.671289000945478
2023-07-22,6.126693980460133
2023-07-23,6.398991490702805
2023-07-24,6.398991490702805
2023-07-25,6.94358651118815
2023-07-26,6.94358651118815
2023-07-27,6.94358651118815
2023-07-28,6.671289000945478
2023-07-29,6.671289000945478
2023-07-30,6.535140245824142
2023-07-31,6.398991490702805
2023-08-01,5.309801449732115
2023-08-02,5.85439647021746
2023-08-03,6.398991490702805
2023-08-04,7.896627797037505
2023-08-05,6.807437756066815
2023-08-06,6.398991490702805
2023-08-07,5.582098959974788
2023-08-08,6.535140245824142
2023-08-09,7.760479041916168
2023-08-10,7.488181531673495
2023-08-11,8.168925307280176
2023-08-12,6.126693980460133
2023-08-13,6.94358651118815
2023-08-14,7.488181531673495
2023-08-15,7.079735266309487
2023-08-16,7.760479041916168
2023-08-17,7.624330286794832
2023-08-18,9.258115348250868
2023-08-19,4.492908919004098
2023-08-20,4.629057674125434
2023-08-21,6.671289000945478
2023-08-22,9.258115348250868
2023-08-23,8.44122281752285
2023-08-24,9.394264103372203
2023-08-25,10.483454144342893
2023-08-26,5.445950204853451
2023-08-27,5.582098959974788
2023-08-28,9.121966593129532
2023-08-29,10.61960289946423
2023-08-30,10.891900409706903
2023-08-31,11.300346675070912
2023-09-01,11.572644185313584
2023-09-02,5.309801449732115
2023-09-03,5.309801449732115
2023-09-04,5.445950204853451
2023-09-05,10.347305389221557
2023-09-06,11.436495430192249
2023-09-07,11.981090450677593
2023-09-08,13.20642924676962
2023-09-09,5.445950204853451
2023-09-10,5.309801449732115
2023-09-11,11.436495430192249
2023-09-12,13.20642924676962
2023-09-13,13.070280491648283
2023-09-14,12.661834226284274
2023-09-15,12.934131736526947
2023-09-16,4.492908919004098
2023-09-17,4.629057674125434
2023-09-18,11.436495430192249
2023-09-19,13.342578001890956
2023-09-20,12.661834226284274
2023-09-21,13.61487551213363
2023-09-22,13.478726757012293
2023-09-23,5.718247715096124
2023-09-24,5.445950204853451
2023-09-25,10.483454144342893
2023-09-26,11.436495430192249
2023-09-27,11.70879294043492
2023-09-28,12.661834226284274
2023-09-29,12.11723920579893
2023-09-30,4.76520642924677
2023-10-01,4.901355184368106
2023-10-02,10.347305389221557
2023-10-03,11.300346675070912
2023-10-04,12.253387960920266
2023-10-05,12.525685471162937
2023-10-06,12.525685471162937
2023-10-07,5.173652694610778
2023-10-08,4.356760163882761
2023-10-09,7.488181531673495
2023-10-10,10.483454144342893
2023-10-11,10.075007878978886
2023-10-12,10.891900409706903
2023-10-13,10.347305389221557
2023-10-14,4.492908919004098
2023-10-15,4.220611408761425
2023-10-16,9.802710368736212
2023-10-17,10.483454144342893
2023-10-18,10.075007878978886
