Time,xrp price
2023-04-26,8
2023-04-27,7
2023-04-28,6
2023-04-29,5
2023-04-30,6
2023-05-01,5
2023-05-02,6
2023-05-03,6
2023-05-04,5
2023-05-05,5
2023-05-06,5
2023-05-07,5
2023-05-08,6
2023-05-09,5
2023-05-10,5
2023-05-11,5
2023-05-12,4
2023-05-13,5
2023-05-14,5
2023-05-15,5
2023-05-16,5
2023-05-17,7
2023-05-18,7
2023-05-19,6
2023-05-20,5
2023-05-21,5
2023-05-22,6
2023-05-23,5
2023-05-24,5
2023-05-25,6
2023-05-26,5
2023-05-27,5
2023-05-28,5
2023-05-29,6
2023-05-30,10
2023-05-31,11
2023-06-01,8
2023-06-02,9
2023-06-03,8
2023-06-04,9
2023-06-05,10
2023-06-06,9
2023-06-07,9
2023-06-08,8
2023-06-09,11
2023-06-10,10
2023-06-11,7
2023-06-12,10
2023-06-13,14
2023-06-14,12
2023-06-15,9
2023-06-16,9
2023-06-17,6
2023-06-18,7
2023-06-19,8
2023-06-20,9
2023-06-21,9
2023-06-22,9
2023-06-23,9
2023-06-24,6
2023-06-25,6
2023-06-26,7
2023-06-27,7
2023-06-28,7
2023-06-29,7
2023-06-30,7
2023-07-01,5
2023-07-02,5
2023-07-03,7
2023-07-04,6
2023-07-05,7
2023-07-06,6
2023-07-07,6
2023-07-08,5
2023-07-09,5
2023-07-10,5
2023-07-11,6
2023-07-12,5
2023-07-13,100
2023-07-14,98
2023-07-15,38
2023-07-16,35
2023-07-17,35
2023-07-18,32
2023-07-19,47
2023-07-20,40
2023-07-21,30
2023-07-22,22
2023-07-23,20
2023-07-24,24
2023-07-25,21
2023-07-26,19
2023-07-27,17
2023-07-28,16
2023-07-29,13
2023-07-30,12
2023-07-31,17
2023-08-01,17
2023-08-02,16
2023-08-03,17
2023-08-04,13
2023-08-05,12
2023-08-06,11
2023-08-07,13
2023-08-08,14
2023-08-09,14
2023-08-10,14
2023-08-11,14
2023-08-12,13
2023-08-13,11
2023-08-14,12
2023-08-15,12
2023-08-16,13
2023-08-17,14
2023-08-18,16
2023-08-19,12
2023-08-20,9
2023-08-21,12
2023-08-22,11
2023-08-23,11
2023-08-24,11
2023-08-25,9
2023-08-26,8
2023-08-27,9
2023-08-28,9
2023-08-29,11
2023-08-30,11
2023-08-31,9
2023-09-01,8
2023-09-02,7
2023-09-03,7
2023-09-04,8
2023-09-05,9
2023-09-06,9
2023-09-07,7
2023-09-08,9
2023-09-09,6
2023-09-10,7
2023-09-11,8
2023-09-12,10
2023-09-13,9
2023-09-14,8
2023-09-15,9
2023-09-16,7
2023-09-17,7
2023-09-18,7
2023-09-19,10
2023-09-20,9
2023-09-21,10
2023-09-22,9
2023-09-23,7
2023-09-24,6
2023-09-25,8
2023-09-26,8
2023-09-27,8
2023-09-28,8
2023-09-29,11
2023-09-30,9
2023-10-01,8
2023-10-02,10
2023-10-03,9
2023-10-04,13
2023-10-05,10
2023-10-06,8
2023-10-07,7
2023-10-08,8
2023-10-09,9
2023-10-10,9
2023-10-11,8
2023-10-12,8
2023-10-13,8
2023-10-14,7
2023-10-15,7
2023-10-16,9
2023-10-17,7
2023-10-18,8
2023-10-19,11
2023-10-20,16
2023-10-21,11
2023-10-22,9
2023-10-23,14
2023-10-24,21
2023-10-25,14
2023-10-26,14
2023-10-27,12
2023-10-28,9
2023-10-29,10
2023-10-30,14
2023-10-31,18
2023-11-01,20
2023-11-02,17
2023-11-03,16
2023-11-04,13
2023-11-05,19
2023-11-06,37
2023-11-07,26
2023-11-08,23
2023-11-09,25
2023-11-10,20
2023-11-11,16
2023-11-12,14
2023-11-13,17
2023-11-14,19
2023-11-15,16
2023-11-16,15
2023-11-17,13
2023-11-18,11
2023-11-19,12
2023-11-20,14
2023-11-21,12
2023-11-22,13
2023-11-23,12
2023-11-24,13
2023-11-25,10
2023-11-26,12
2023-11-27,11
2023-11-28,11
2023-11-29,10
2023-11-30,11
2023-12-01,11
2023-12-02,10
2023-12-03,10
2023-12-04,15
2023-12-05,13
2023-12-06,14
2023-12-07,13
2023-12-08,15
2023-12-09,17
2023-12-10,13
2023-12-11,13
2023-12-12,12
2023-12-13,13
2023-12-14,13
2023-12-15,12
2023-12-16,10
2023-12-17,10
2023-12-18,10
2023-12-19,12
2023-12-20,11
2023-12-21,11
2023-12-22,12
2023-12-23,10
2023-12-24,9
2023-12-25,11
2023-12-26,12
2023-12-27,13
2023-12-28,14
2023-12-29,12
2023-12-30,10
2023-12-31,9
2024-01-01,10
2024-01-02,15
2024-01-03,14
2024-01-04,13
2024-01-05,12
2024-01-06,10
2024-01-07,10
2024-01-08,13
2024-01-09,12
2024-01-10,14
2024-01-11,17
2024-01-12,13
2024-01-13,11
2024-01-14,10
2024-01-15,10
2024-01-16,10
2024-01-17,10
2024-01-18,9
2024-01-19,10
2024-01-20,8
