Time,you tube
2022-08-29,86
2022-08-30,82
2022-08-31,87
2022-09-01,84
2022-09-02,84
2022-09-03,72
2022-09-04,75
2022-09-05,74
2022-09-06,85
2022-09-07,79
2022-09-08,83
2022-09-09,84
2022-09-10,71
2022-09-11,72
2022-09-12,86
2022-09-13,86
2022-09-14,82
2022-09-15,83
2022-09-16,83
2022-09-17,72
2022-09-18,72
2022-09-19,82
2022-09-20,90
2022-09-21,85
2022-09-22,83
2022-09-23,87
2022-09-24,74
2022-09-25,72
2022-09-26,78
2022-09-27,85
2022-09-28,86
2022-09-29,86
2022-09-30,83
2022-10-01,68
2022-10-02,75
2022-10-03,79
2022-10-04,77
2022-10-05,79
2022-10-06,83
2022-10-07,82
2022-10-08,68
2022-10-09,67
2022-10-10,78
2022-10-11,84
2022-10-12,83
2022-10-13,87
2022-10-14,84
2022-10-15,68
2022-10-16,68
2022-10-17,82
2022-10-18,89
2022-10-19,87
2022-10-20,88
2022-10-21,86
2022-10-22,66
2022-10-23,70
2022-10-24,83
2022-10-25,85
2022-10-26,91
2022-10-27,85
2022-10-28,86
2022-10-29,70
2022-10-30,67
2022-10-31,86
2022-11-01,78
2022-11-02,86
2022-11-03,85
2022-11-04,86
2022-11-05,72
2022-11-06,69
2022-11-07,83
2022-11-08,80
2022-11-09,79
2022-11-10,82
2022-11-11,78
2022-11-12,69
2022-11-13,72
2022-11-14,82
2022-11-15,84
2022-11-16,86
2022-11-17,87
2022-11-18,85
2022-11-19,69
2022-11-20,74
2022-11-21,79
2022-11-22,83
2022-11-23,76
2022-11-24,68
2022-11-25,64
2022-11-26,60
2022-11-27,69
2022-11-28,75
2022-11-29,83
2022-11-30,85
2022-12-01,83
2022-12-02,84
2022-12-03,74
2022-12-04,70
2022-12-05,83
2022-12-06,83
2022-12-07,83
2022-12-08,83
2022-12-09,94
2022-12-10,68
2022-12-11,72
2022-12-12,84
2022-12-13,81
2022-12-14,84
2022-12-15,92
2022-12-16,88
2022-12-17,71
2022-12-18,69
2022-12-19,79
2022-12-20,82
2022-12-21,85
2022-12-22,82
2022-12-23,75
2022-12-24,68
2022-12-25,70
2022-12-26,66
2022-12-27,70
2022-12-28,69
2022-12-29,69
2022-12-30,73
2022-12-31,64
2023-01-01,72
2023-01-02,66
2023-01-03,84
2023-01-04,82
2023-01-05,83
2023-01-06,82
2023-01-07,67
2023-01-08,73
2023-01-09,80
2023-01-10,84
2023-01-11,90
2023-01-12,89
2023-01-13,87
2023-01-14,71
2023-01-15,72
2023-01-16,77
2023-01-17,89
2023-01-18,88
2023-01-19,89
2023-01-20,87
2023-01-21,71
2023-01-22,77
2023-01-23,88
2023-01-24,88
2023-01-25,86
2023-01-26,86
2023-01-27,91
2023-01-28,79
2023-01-29,78
2023-01-30,81
2023-01-31,86
2023-02-01,86
2023-02-02,88
2023-02-03,87
2023-02-04,73
2023-02-05,75
2023-02-06,89
2023-02-07,89
2023-02-08,86
2023-02-09,89
2023-02-10,86
2023-02-11,74
2023-02-12,77
2023-02-13,85
2023-02-14,92
2023-02-15,86
2023-02-16,85
2023-02-17,89
2023-02-18,74
2023-02-19,71
2023-02-20,76
2023-02-21,85
2023-02-22,85
2023-02-23,83
2023-02-24,85
2023-02-25,76
2023-02-26,79
2023-02-27,86
2023-02-28,86
2023-03-01,87
2023-03-02,88
2023-03-03,85
2023-03-04,73
2023-03-05,72
2023-03-06,80
2023-03-07,84
2023-03-08,81
2023-03-09,83
2023-03-10,82
2023-03-11,70
2023-03-12,70
2023-03-13,81
2023-03-14,100
2023-03-15,80
2023-03-16,84
2023-03-17,84
2023-03-18,70
2023-03-19,65
2023-03-20,82
2023-03-21,85
2023-03-22,84
2023-03-23,84
2023-03-24,82
2023-03-25,69
2023-03-26,71
2023-03-27,84
2023-03-28,86
2023-03-29,83
2023-03-30,83
2023-03-31,83
2023-04-01,65
2023-04-02,68
2023-04-03,82
2023-04-04,81
2023-04-05,77
2023-04-06,82
2023-04-07,71
2023-04-08,65
2023-04-09,68
2023-04-10,72
2023-04-11,88
2023-04-12,78
2023-04-13,82
2023-04-14,84
2023-04-15,68
2023-04-16,70
2023-04-17,79
2023-04-18,81
2023-04-19,80
2023-04-20,80
2023-04-21,81
2023-04-22,68
2023-04-23,71
2023-04-24,83
2023-04-25,84
2023-04-26,83
2023-04-27,86
2023-04-28,82
2023-04-29,68
2023-04-30,65
2023-05-01,81
2023-05-02,80
2023-05-03,80
2023-05-04,77
2023-05-05,78
2023-05-06,61
2023-05-07,65
2023-05-08,77
2023-05-09,81
2023-05-10,72
2023-05-11,75
2023-05-12,79
2023-05-13,61
2023-05-14,64
2023-05-15,75
2023-05-16,77
2023-05-17,74
2023-05-18,78
2023-05-19,78
2023-05-20,67
2023-05-21,64
2023-05-22,70
2023-05-23,75
2023-05-24,77
2023-05-25,74
