"query","search interest","increase percent"
"google",100,"-4%"
"weather",95,"-5%"
"youtube",61,"6%"
"amazon",57,"1%"
"news",52,"0%"
"facebook",48,"10%"
"groundhog",42,"600%"
"calculator",32,"9%"
"groundhog day",28,"550%"
"translate",28,"1%"
"walmart",28,"4%"
"yahoo",23,"5%"
"gmail",23,"1%"
"nba",21,"-3%"
"wordle",21,"-1%"
"groundhog day 2023",18,"750%"
"flights",16,"-1%"
"netflix",16,"6%"
"instagram",16,"-1%"
"google translate",14,"-3%"
"twitter",14,"-3%"
"craigslist",14,"-5%"
"target",12,"-7%"
"traductor",12,"6%"
"home depot",12,"4%"
"nfl",11,"-10%"
"maps",11,"-20%"
"chase",11,"0%"
"google docs",11,"4%"
"costco",11,"-5%"
"blooket",10,"20%"
"nike",10,"4%"
"ups",10,"-8%"
"usps",10,"1%"
"yahoo mail",9,"10%"
"cvs",9,"2%"
"spanish to english",9,"-2%"
"ebay",9,"-1%"
"powerball",9,"140%"
"fox news",9,"1%"
"english to spanish",9,"-4%"
"irs",9,"0%"
"food near me",8,"6%"
"tiempo",8,"-2%"
"google classroom",8,"2%"
"outlook",8,"0%"
"google maps",8,"0%"
"indeed",8,"-2%"
"weather tomorrow",8,"1%"
"super bowl 2023",8,"5%"
