Time,ace hardware
2022-08-29,44
2022-08-30,43
2022-08-31,44
2022-09-01,41
2022-09-02,49
2022-09-03,67
2022-09-04,72
2022-09-05,82
2022-09-06,42
2022-09-07,43
2022-09-08,40
2022-09-09,44
2022-09-10,56
2022-09-11,52
2022-09-12,39
2022-09-13,41
2022-09-14,41
2022-09-15,40
2022-09-16,42
2022-09-17,56
2022-09-18,54
2022-09-19,40
2022-09-20,42
2022-09-21,38
2022-09-22,40
2022-09-23,41
2022-09-24,57
2022-09-25,59
2022-09-26,48
2022-09-27,47
2022-09-28,43
2022-09-29,42
2022-09-30,48
2022-10-01,58
2022-10-02,58
2022-10-03,40
2022-10-04,43
2022-10-05,41
2022-10-06,42
2022-10-07,47
2022-10-08,59
2022-10-09,58
2022-10-10,44
2022-10-11,42
2022-10-12,39
2022-10-13,42
2022-10-14,41
2022-10-15,55
2022-10-16,54
2022-10-17,40
2022-10-18,38
2022-10-19,44
2022-10-20,47
2022-10-21,43
2022-10-22,60
2022-10-23,51
2022-10-24,39
2022-10-25,41
2022-10-26,39
2022-10-27,40
2022-10-28,53
2022-10-29,57
2022-10-30,56
2022-10-31,42
2022-11-01,39
2022-11-02,37
2022-11-03,39
2022-11-04,41
2022-11-05,53
2022-11-06,57
2022-11-07,40
2022-11-08,38
2022-11-09,36
2022-11-10,40
2022-11-11,44
2022-11-12,54
2022-11-13,65
2022-11-14,40
2022-11-15,40
2022-11-16,38
2022-11-17,41
2022-11-18,44
2022-11-19,61
2022-11-20,62
2022-11-21,45
2022-11-22,45
2022-11-23,56
2022-11-24,60
2022-11-25,83
2022-11-26,67
2022-11-27,65
2022-11-28,44
2022-11-29,44
2022-11-30,42
2022-12-01,45
2022-12-02,42
2022-12-03,53
2022-12-04,56
2022-12-05,42
2022-12-06,39
2022-12-07,43
2022-12-08,41
2022-12-09,44
2022-12-10,55
2022-12-11,54
2022-12-12,42
2022-12-13,42
2022-12-14,40
2022-12-15,42
2022-12-16,48
2022-12-17,59
2022-12-18,59
2022-12-19,52
2022-12-20,62
2022-12-21,65
2022-12-22,78
2022-12-23,77
2022-12-24,100
2022-12-25,40
2022-12-26,65
2022-12-27,49
2022-12-28,52
2022-12-29,44
2022-12-30,47
2022-12-31,53
2023-01-01,53
2023-01-02,52
2023-01-03,35
2023-01-04,37
2023-01-05,37
2023-01-06,36
2023-01-07,52
2023-01-08,50
2023-01-09,33
2023-01-10,36
2023-01-11,33
2023-01-12,31
2023-01-13,34
2023-01-14,46
2023-01-15,48
2023-01-16,42
2023-01-17,34
2023-01-18,33
2023-01-19,33
2023-01-20,33
2023-01-21,43
2023-01-22,44
2023-01-23,38
2023-01-24,36
2023-01-25,33
2023-01-26,32
2023-01-27,34
2023-01-28,47
2023-01-29,46
2023-01-30,34
2023-01-31,35
2023-02-01,33
2023-02-02,33
2023-02-03,34
2023-02-04,46
2023-02-05,49
2023-02-06,32
2023-02-07,34
2023-02-08,32
2023-02-09,32
2023-02-10,35
2023-02-11,46
2023-02-12,46
2023-02-13,30
2023-02-14,31
2023-02-15,33
2023-02-16,32
2023-02-17,35
2023-02-18,50
2023-02-19,51
2023-02-20,44
2023-02-21,35
2023-02-22,36
2023-02-23,35
2023-02-24,40
2023-02-25,55
2023-02-26,52
2023-02-27,38
2023-02-28,36
2023-03-01,35
2023-03-02,37
2023-03-03,35
2023-03-04,56
2023-03-05,52
2023-03-06,41
2023-03-07,39
2023-03-08,38
2023-03-09,36
2023-03-10,41
2023-03-11,51
2023-03-12,50
2023-03-13,40
2023-03-14,37
2023-03-15,37
2023-03-16,37
2023-03-17,38
2023-03-18,53
2023-03-19,55
2023-03-20,40
2023-03-21,39
2023-03-22,38
2023-03-23,38
2023-03-24,42
2023-03-25,54
2023-03-26,62
2023-03-27,40
2023-03-28,41
2023-03-29,40
2023-03-30,42
2023-03-31,42
2023-04-01,58
2023-04-02,63
2023-04-03,43
2023-04-04,40
2023-04-05,44
2023-04-06,41
2023-04-07,47
2023-04-08,67
2023-04-09,63
2023-04-10,54
2023-04-11,47
2023-04-12,51
2023-04-13,51
2023-04-14,54
2023-04-15,77
2023-04-16,72
2023-04-17,43
2023-04-18,45
2023-04-19,46
2023-04-20,41
2023-04-21,48
2023-04-22,68
2023-04-23,70
2023-04-24,47
2023-04-25,45
2023-04-26,47
2023-04-27,43
2023-04-28,46
2023-04-29,69
2023-04-30,75
2023-05-01,45
2023-05-02,46
2023-05-03,47
2023-05-04,48
2023-05-05,54
2023-05-06,79
2023-05-07,82
2023-05-08,52
2023-05-09,51
2023-05-10,48
2023-05-11,51
2023-05-12,58
2023-05-13,88
2023-05-14,73
2023-05-15,52
2023-05-16,51
2023-05-17,51
2023-05-18,53
2023-05-19,58
2023-05-20,86
2023-05-21,92
2023-05-22,57
2023-05-23,56
2023-05-24,57
2023-05-25,55
