Time,adele
2022-08-29,10
2022-08-30,9
2022-08-31,9
2022-09-01,10
2022-09-02,10
2022-09-03,12
2022-09-04,13
2022-09-05,15
2022-09-06,12
2022-09-07,11
2022-09-08,10
2022-09-09,11
2022-09-10,11
2022-09-11,10
2022-09-12,9
2022-09-13,9
2022-09-14,9
2022-09-15,9
2022-09-16,9
2022-09-17,10
2022-09-18,10
2022-09-19,8
2022-09-20,9
2022-09-21,8
2022-09-22,9
2022-09-23,9
2022-09-24,10
2022-09-25,10
2022-09-26,8
2022-09-27,8
2022-09-28,9
2022-09-29,9
2022-09-30,10
2022-10-01,10
2022-10-02,10
2022-10-03,9
2022-10-04,10
2022-10-05,9
2022-10-06,9
2022-10-07,9
2022-10-08,10
2022-10-09,10
2022-10-10,9
2022-10-11,9
2022-10-12,9
2022-10-13,9
2022-10-14,8
2022-10-15,10
2022-10-16,9
2022-10-17,9
2022-10-18,8
2022-10-19,9
2022-10-20,9
2022-10-21,9
2022-10-22,11
2022-10-23,10
2022-10-24,9
2022-10-25,9
2022-10-26,12
2022-10-27,14
2022-10-28,12
2022-10-29,12
2022-10-30,10
2022-10-31,10
2022-11-01,11
2022-11-02,18
2022-11-03,14
2022-11-04,12
2022-11-05,12
2022-11-06,10
2022-11-07,9
2022-11-08,9
2022-11-09,9
2022-11-10,10
2022-11-11,9
2022-11-12,11
2022-11-13,10
2022-11-14,10
2022-11-15,11
2022-11-16,12
2022-11-17,12
2022-11-18,16
2022-11-19,32
2022-11-20,35
2022-11-21,23
2022-11-22,19
2022-11-23,18
2022-11-24,19
2022-11-25,14
2022-11-26,15
2022-11-27,17
2022-11-28,14
2022-11-29,14
2022-11-30,13
2022-12-01,15
2022-12-02,12
2022-12-03,15
2022-12-04,14
2022-12-05,11
2022-12-06,11
2022-12-07,11
2022-12-08,11
2022-12-09,11
2022-12-10,14
2022-12-11,18
2022-12-12,14
2022-12-13,12
2022-12-14,11
2022-12-15,10
2022-12-16,11
2022-12-17,14
2022-12-18,14
2022-12-19,12
2022-12-20,11
2022-12-21,10
2022-12-22,11
2022-12-23,11
2022-12-24,13
2022-12-25,16
2022-12-26,13
2022-12-27,13
2022-12-28,12
2022-12-29,13
2022-12-30,12
2022-12-31,14
2023-01-01,15
2023-01-02,13
2023-01-03,11
2023-01-04,13
2023-01-05,14
2023-01-06,12
2023-01-07,13
2023-01-08,13
2023-01-09,11
2023-01-10,12
2023-01-11,12
2023-01-12,11
2023-01-13,11
2023-01-14,15
2023-01-15,12
2023-01-16,11
2023-01-17,11
2023-01-18,9
2023-01-19,11
2023-01-20,12
2023-01-21,14
2023-01-22,16
2023-01-23,12
2023-01-24,12
2023-01-25,12
2023-01-26,12
2023-01-27,12
2023-01-28,16
2023-01-29,17
2023-01-30,14
2023-01-31,12
2023-02-01,13
2023-02-02,14
2023-02-03,14
2023-02-04,17
2023-02-05,23
2023-02-06,100
2023-02-07,42
2023-02-08,30
2023-02-09,25
2023-02-10,19
2023-02-11,22
2023-02-12,22
2023-02-13,30
2023-02-14,17
2023-02-15,15
2023-02-16,14
2023-02-17,14
2023-02-18,19
2023-02-19,22
2023-02-20,18
2023-02-21,15
2023-02-22,14
2023-02-23,13
2023-02-24,14
2023-02-25,17
2023-02-26,19
2023-02-27,15
2023-02-28,14
2023-03-01,13
2023-03-02,12
2023-03-03,13
2023-03-04,15
2023-03-05,16
2023-03-06,14
2023-03-07,12
2023-03-08,12
2023-03-09,12
2023-03-10,14
2023-03-11,14
2023-03-12,15
2023-03-13,13
2023-03-14,14
2023-03-15,12
2023-03-16,12
2023-03-17,12
2023-03-18,15
2023-03-19,15
2023-03-20,12
2023-03-21,11
2023-03-22,11
2023-03-23,11
2023-03-24,12
2023-03-25,14
2023-03-26,31
2023-03-27,23
2023-03-28,17
2023-03-29,16
2023-03-30,13
2023-03-31,12
2023-04-01,13
2023-04-02,13
2023-04-03,11
2023-04-04,15
2023-04-05,22
2023-04-06,17
2023-04-07,13
2023-04-08,13
2023-04-09,13
2023-04-10,11
2023-04-11,11
2023-04-12,10
2023-04-13,11
2023-04-14,18
2023-04-15,18
2023-04-16,14
2023-04-17,12
2023-04-18,11
2023-04-19,12
2023-04-20,12
2023-04-21,13
2023-04-22,13
2023-04-23,14
2023-04-24,19
2023-04-25,33
2023-04-26,25
2023-04-27,17
2023-04-28,32
2023-04-29,29
2023-04-30,22
2023-05-01,16
2023-05-02,15
2023-05-03,13
2023-05-04,14
2023-05-05,17
2023-05-06,16
2023-05-07,26
2023-05-08,11
2023-05-09,12
2023-05-10,13
2023-05-11,14
2023-05-12,12
2023-05-13,13
2023-05-14,14
2023-05-15,12
2023-05-16,13
2023-05-17,11
2023-05-18,12
2023-05-19,13
2023-05-20,12
2023-05-21,18
2023-05-22,11
2023-05-23,10
2023-05-24,11
2023-05-25,9
