Time,autozone
2024-08-18,82
2024-08-19,66
2024-08-20,70
2024-08-21,70
2024-08-22,71
2024-08-23,76
2024-08-24,100
2024-08-25,92
2024-08-26,72
2024-08-27,62
2024-08-28,65
2024-08-29,68
2024-08-30,83
2024-08-31,92
2024-09-01,86
2024-09-02,93
2024-09-03,65
2024-09-04,67
2024-09-05,63
2024-09-06,67
2024-09-07,83
2024-09-08,74
2024-09-09,64
2024-09-10,66
2024-09-11,56
2024-09-12,66
2024-09-13,71
2024-09-14,86
2024-09-15,69
2024-09-16,60
2024-09-17,59
2024-09-18,62
2024-09-19,65
2024-09-20,62
2024-09-21,80
2024-09-22,72
2024-09-23,57
2024-09-24,54
2024-09-25,60
2024-09-26,56
2024-09-27,56
2024-09-28,79
2024-09-29,65
2024-09-30,59
2024-10-01,54
2024-10-02,59
2024-10-03,61
2024-10-04,66
2024-10-05,86
2024-10-06,68
2024-10-07,61
2024-10-08,56
2024-10-09,52
2024-10-10,61
2024-10-11,70
2024-10-12,85
2024-10-13,73
2024-10-14,65
2024-10-15,58
2024-10-16,55
2024-10-17,62
2024-10-18,61
2024-10-19,76
2024-10-20,68
2024-10-21,61
2024-10-22,56
2024-10-23,53
2024-10-24,56
2024-10-25,59
2024-10-26,71
2024-10-27,65
2024-10-28,52
2024-10-29,54
2024-10-30,53
2024-10-31,52
2024-11-01,57
2024-11-02,70
2024-11-03,69
2024-11-04,54
2024-11-05,50
2024-11-06,38
2024-11-07,53
2024-11-08,60
2024-11-09,70
2024-11-10,64
2024-11-11,55
2024-11-12,53
2024-11-13,52
2024-11-14,52
2024-11-15,55
2024-11-16,66
2024-11-17,67
2024-11-18,52
2024-11-19,53
2024-11-20,50
2024-11-21,52
2024-11-22,56
2024-11-23,68
2024-11-24,65
2024-11-25,58
2024-11-26,58
2024-11-27,58
2024-11-28,65
2024-11-29,66
2024-11-30,65
2024-12-01,61
2024-12-02,51
2024-12-03,50
2024-12-04,58
2024-12-05,50
2024-12-06,52
2024-12-07,67
2024-12-08,59
2024-12-09,47
2024-12-10,53
2024-12-11,49
2024-12-12,49
2024-12-13,47
2024-12-14,67
2024-12-15,61
2024-12-16,53
2024-12-17,52
2024-12-18,51
2024-12-19,50
2024-12-20,54
2024-12-21,66
2024-12-22,60
2024-12-23,62
2024-12-24,65
2024-12-25,48
2024-12-26,65
2024-12-27,65
2024-12-28,72
2024-12-29,62
2024-12-30,62
2024-12-31,64
2025-01-01,56
2025-01-02,55
2025-01-03,57
2025-01-04,67
2025-01-05,61
2025-01-06,49
2025-01-07,52
2025-01-08,50
2025-01-09,51
2025-01-10,50
2025-01-11,58
2025-01-12,58
2025-01-13,51
2025-01-14,44
2025-01-15,50
2025-01-16,53
2025-01-17,53
2025-01-18,67
2025-01-19,54
2025-01-20,54
2025-01-21,49
2025-01-22,54
2025-01-23,55
2025-01-24,51
2025-01-25,79
2025-01-26,57
2025-01-27,50
2025-01-28,47
2025-01-29,50
2025-01-30,48
2025-01-31,53
2025-02-01,71
2025-02-02,60
2025-02-03,51
2025-02-04,51
2025-02-05,49
2025-02-06,50
2025-02-07,58
2025-02-08,76
2025-02-09,54
2025-02-10,43
2025-02-11,42
2025-02-12,48
2025-02-13,48
2025-02-14,50
2025-02-15,61
2025-02-16,58
2025-02-17,56
2025-02-18,50
2025-02-19,48
2025-02-20,51
2025-02-21,53
2025-02-22,75
2025-02-23,68
2025-02-24,54
2025-02-25,54
2025-02-26,55
2025-02-27,56
2025-02-28,64
2025-03-01,79
2025-03-02,75
2025-03-03,52
2025-03-04,52
2025-03-05,51
2025-03-06,52
2025-03-07,61
2025-03-08,81
2025-03-09,70
2025-03-10,58
2025-03-11,58
2025-03-12,58
2025-03-13,54
2025-03-14,65
2025-03-15,85
2025-03-16,66
2025-03-17,57
2025-03-18,54
2025-03-19,56
2025-03-20,58
2025-03-21,56
2025-03-22,78
2025-03-23,69
2025-03-24,50
2025-03-25,54
2025-03-26,57
2025-03-27,59
2025-03-28,59
2025-03-29,85
2025-03-30,69
2025-03-31,50
2025-04-01,52
2025-04-02,49
2025-04-03,55
2025-04-04,59
2025-04-05,73
2025-04-06,65
2025-04-07,51
2025-04-08,52
2025-04-09,52
2025-04-10,52
2025-04-11,58
2025-04-12,81
2025-04-13,69
2025-04-14,56
2025-04-15,54
2025-04-16,51
2025-04-17,58
2025-04-18,60
2025-04-19,73
2025-04-20,82
2025-04-21,57
2025-04-22,53
2025-04-23,55
2025-04-24,52
2025-04-25,55
2025-04-26,77
2025-04-27,64
2025-04-28,52
2025-04-29,51
2025-04-30,53
2025-05-01,54
2025-05-02,63
2025-05-03,79
2025-05-04,62
2025-05-05,54
2025-05-06,51
2025-05-07,51
2025-05-08,58
2025-05-09,61
2025-05-10,84
2025-05-11,65
2025-05-12,54
2025-05-13,54
2025-05-14,52
