Time,bitcoin
2023-04-26,29
2023-04-27,26
2023-04-28,24
2023-04-29,19
2023-04-30,21
2023-05-01,26
2023-05-02,25
2023-05-03,24
2023-05-04,26
2023-05-05,23
2023-05-06,21
2023-05-07,20
2023-05-08,27
2023-05-09,24
2023-05-10,24
2023-05-11,23
2023-05-12,23
2023-05-13,21
2023-05-14,18
2023-05-15,22
2023-05-16,22
2023-05-17,23
2023-05-18,19
2023-05-19,21
2023-05-20,19
2023-05-21,19
2023-05-22,23
2023-05-23,21
2023-05-24,21
2023-05-25,20
2023-05-26,19
2023-05-27,18
2023-05-28,18
2023-05-29,19
2023-05-30,19
2023-05-31,20
2023-06-01,19
2023-06-02,19
2023-06-03,17
2023-06-04,18
2023-06-05,23
2023-06-06,28
2023-06-07,24
2023-06-08,26
2023-06-09,20
2023-06-10,22
2023-06-11,19
2023-06-12,20
2023-06-13,19
2023-06-14,20
2023-06-15,22
2023-06-16,20
2023-06-17,17
2023-06-18,19
2023-06-19,20
2023-06-20,24
2023-06-21,36
2023-06-22,30
2023-06-23,29
2023-06-24,23
2023-06-25,22
2023-06-26,25
2023-06-27,24
2023-06-28,24
2023-06-29,24
2023-06-30,29
2023-07-01,21
2023-07-02,20
2023-07-03,25
2023-07-04,22
2023-07-05,23
2023-07-06,23
2023-07-07,23
2023-07-08,19
2023-07-09,20
2023-07-10,23
2023-07-11,22
2023-07-12,22
2023-07-13,30
2023-07-14,31
2023-07-15,22
2023-07-16,22
2023-07-17,22
2023-07-18,22
2023-07-19,24
2023-07-20,21
2023-07-21,20
2023-07-22,18
2023-07-23,19
2023-07-24,21
2023-07-25,20
2023-07-26,21
2023-07-27,21
2023-07-28,20
2023-07-29,18
2023-07-30,17
2023-07-31,19
2023-08-01,20
2023-08-02,20
2023-08-03,21
2023-08-04,20
2023-08-05,18
2023-08-06,19
2023-08-07,19
2023-08-08,20
2023-08-09,19
2023-08-10,19
2023-08-11,18
2023-08-12,18
2023-08-13,17
2023-08-14,18
2023-08-15,19
2023-08-16,18
2023-08-17,25
2023-08-18,36
2023-08-19,22
2023-08-20,21
2023-08-21,23
2023-08-22,24
2023-08-23,24
2023-08-24,20
2023-08-25,19
2023-08-26,18
2023-08-27,18
2023-08-28,18
2023-08-29,26
2023-08-30,21
2023-08-31,20
2023-09-01,19
2023-09-02,18
2023-09-03,18
2023-09-04,19
2023-09-05,17
2023-09-06,19
2023-09-07,20
2023-09-08,21
2023-09-09,17
2023-09-10,16
2023-09-11,18
2023-09-12,20
2023-09-13,18
2023-09-14,17
2023-09-15,17
2023-09-16,17
2023-09-17,16
2023-09-18,16
2023-09-19,18
2023-09-20,17
2023-09-21,16
2023-09-22,17
2023-09-23,15
2023-09-24,15
2023-09-25,16
2023-09-26,17
2023-09-27,17
2023-09-28,16
2023-09-29,16
2023-09-30,15
2023-10-01,16
2023-10-02,20
2023-10-03,20
2023-10-04,18
2023-10-05,17
2023-10-06,17
2023-10-07,16
2023-10-08,15
2023-10-09,17
2023-10-10,17
2023-10-11,17
2023-10-12,16
2023-10-13,17
2023-10-14,17
2023-10-15,17
2023-10-16,24
2023-10-17,20
2023-10-18,20
2023-10-19,18
2023-10-20,23
2023-10-21,24
2023-10-22,20
2023-10-23,35
2023-10-24,56
2023-10-25,40
2023-10-26,33
2023-10-27,26
2023-10-28,23
2023-10-29,21
2023-10-30,26
2023-10-31,25
2023-11-01,26
2023-11-02,28
2023-11-03,24
2023-11-04,21
2023-11-05,21
2023-11-06,25
2023-11-07,24
2023-11-08,24
2023-11-09,37
2023-11-10,33
2023-11-11,24
2023-11-12,22
2023-11-13,26
2023-11-14,27
2023-11-15,30
2023-11-16,29
2023-11-17,23
2023-11-18,20
2023-11-19,20
2023-11-20,26
2023-11-21,27
2023-11-22,27
2023-11-23,22
2023-11-24,25
2023-11-25,23
2023-11-26,23
2023-11-27,22
2023-11-28,23
2023-11-29,25
2023-11-30,22
2023-12-01,26
2023-12-02,23
2023-12-03,27
2023-12-04,50
2023-12-05,50
2023-12-06,48
2023-12-07,39
2023-12-08,37
2023-12-09,33
2023-12-10,28
2023-12-11,39
2023-12-12,31
2023-12-13,32
2023-12-14,32
2023-12-15,29
2023-12-16,24
2023-12-17,22
2023-12-18,28
2023-12-19,30
2023-12-20,32
2023-12-21,31
2023-12-22,32
2023-12-23,26
2023-12-24,27
2023-12-25,27
2023-12-26,29
2023-12-27,30
2023-12-28,30
2023-12-29,29
2023-12-30,23
2023-12-31,22
2024-01-01,23
2024-01-02,45
2024-01-03,47
2024-01-04,40
2024-01-05,41
2024-01-06,31
2024-01-07,27
2024-01-08,46
2024-01-09,55
2024-01-10,90
2024-01-11,100
2024-01-12,62
2024-01-13,41
2024-01-14,31
2024-01-15,34
2024-01-16,34
2024-01-17,34
2024-01-18,34
2024-01-19,33
2024-01-20,21
