Time,blooket
2022-01-01,1
2022-01-02,1
2022-01-03,4
2022-01-04,7
2022-01-05,9
2022-01-06,8
2022-01-07,11
2022-01-08,2
2022-01-09,2
2022-01-10,9
2022-01-11,10
2022-01-12,11
2022-01-13,14
2022-01-14,12
2022-01-15,3
2022-01-16,2
2022-01-17,2
2022-01-18,8
2022-01-19,10
2022-01-20,12
2022-01-21,13
2022-01-22,3
2022-01-23,2
2022-01-24,10
2022-01-25,9
2022-01-26,10
2022-01-27,13
2022-01-28,16
2022-01-29,4
2022-01-30,2
2022-01-31,10
2022-02-01,11
2022-02-02,11
2022-02-03,14
2022-02-04,15
2022-02-05,4
2022-02-06,3
2022-02-07,11
2022-02-08,12
2022-02-09,12
2022-02-10,12
2022-02-11,16
2022-02-12,4
2022-02-13,2
2022-02-14,10
2022-02-15,12
2022-02-16,13
2022-02-17,13
2022-02-18,14
2022-02-19,5
2022-02-20,3
2022-02-21,4
2022-02-22,9
2022-02-23,11
2022-02-24,11
2022-02-25,14
2022-02-26,5
2022-02-27,2
2022-02-28,10
2022-03-01,11
2022-03-02,11
2022-03-03,12
2022-03-04,15
2022-03-05,4
2022-03-06,3
2022-03-07,10
2022-03-08,11
2022-03-09,12
2022-03-10,13
2022-03-11,14
2022-03-12,4
2022-03-13,2
2022-03-14,7
2022-03-15,8
2022-03-16,9
2022-03-17,11
2022-03-18,12
2022-03-19,3
2022-03-20,2
2022-03-21,9
2022-03-22,9
2022-03-23,11
2022-03-24,11
2022-03-25,60
2022-03-26,5
2022-03-27,3
2022-03-28,34
2022-03-29,40
2022-03-30,12
2022-03-31,50
2022-04-01,63
2022-04-02,6
2022-04-03,3
2022-04-04,36
2022-04-05,42
2022-04-06,46
2022-04-07,54
2022-04-08,64
2022-04-09,6
2022-04-10,4
2022-04-11,38
2022-04-12,43
2022-04-13,49
2022-04-14,52
2022-04-15,21
2022-04-16,4
2022-04-17,3
2022-04-18,26
2022-04-19,40
2022-04-20,42
2022-04-21,51
2022-04-22,58
2022-04-23,5
2022-04-24,3
2022-04-25,47
2022-04-26,51
2022-04-27,53
2022-04-28,58
2022-04-29,71
2022-04-30,6
2022-05-01,4
2022-05-02,47
2022-05-03,54
2022-05-04,60
2022-05-05,66
2022-05-06,76
2022-05-07,7
2022-05-08,4
2022-05-09,62
2022-05-10,59
2022-05-11,60
2022-05-12,73
2022-05-13,80
2022-05-14,7
2022-05-15,4
2022-05-16,57
2022-05-17,62
2022-05-18,65
2022-05-19,68
2022-05-20,71
2022-05-21,7
2022-05-22,4
2022-05-23,58
2022-05-24,61
2022-05-25,55
2022-05-26,50
2022-05-27,40
2022-05-28,5
2022-05-29,3
2022-05-30,3
2022-05-31,29
2022-06-01,28
2022-06-02,30
2022-06-03,30
2022-06-04,3
2022-06-05,2
2022-06-06,23
2022-06-07,25
2022-06-08,26
2022-06-09,24
2022-06-10,21
2022-06-11,2
2022-06-12,2
2022-06-13,17
2022-06-14,20
2022-06-15,16
2022-06-16,17
2022-06-17,11
2022-06-18,2
2022-06-19,2
2022-06-20,7
2022-06-21,11
2022-06-22,11
2022-06-23,11
2022-06-24,6
2022-06-25,1
2022-06-26,1
2022-06-27,6
2022-06-28,6
2022-06-29,5
2022-06-30,5
2022-07-01,2
2022-07-02,1
2022-07-03,1
2022-07-04,1
2022-07-05,2
2022-07-06,3
2022-07-07,3
2022-07-08,2
2022-07-09,1
2022-07-10,1
2022-07-11,3
2022-07-12,3
2022-07-13,3
2022-07-14,3
2022-07-15,2
2022-07-16,1
2022-07-17,1
2022-07-18,2
2022-07-19,3
2022-07-20,3
2022-07-21,3
2022-07-22,2
2022-07-23,1
2022-07-24,1
2022-07-25,2
2022-07-26,3
2022-07-27,2
2022-07-28,3
2022-07-29,2
2022-07-30,1
2022-07-31,1
2022-08-01,2
2022-08-02,3
2022-08-03,3
2022-08-04,4
2022-08-05,6
2022-08-06,1
2022-08-07,1
2022-08-08,4
2022-08-09,6
2022-08-10,9
2022-08-11,12
2022-08-12,19
2022-08-13,2
2022-08-14,1
2022-08-15,12
2022-08-16,17
2022-08-17,22
2022-08-18,27
2022-08-19,39
2022-08-20,3
2022-08-21,2
2022-08-22,24
2022-08-23,31
2022-08-24,37
2022-08-25,46
2022-08-26,61
2022-08-27,4
2022-08-28,2
2022-08-29,35
2022-08-30,45
2022-08-31,50
2022-09-01,61
2022-09-02,69
2022-09-03,5
2022-09-04,3
2022-09-05,3
2022-09-06,41
2022-09-07,53
2022-09-08,64
2022-09-09,87
2022-09-10,6
2022-09-11,4
2022-09-12,46
2022-09-13,60
2022-09-14,69
2022-09-15,79
2022-09-16,100
2022-09-17,7
2022-09-18,5
2022-09-19,53
2022-09-20,72
2022-09-21,69
2022-09-22,82
2022-09-23,99
2022-09-24,9
2022-09-25,6
2022-09-26,47
2022-09-27,60
