Time,blooket join
2023-04-26,52
2023-04-27,54
2023-04-28,63
2023-04-29,4
2023-04-30,3
2023-05-01,50
2023-05-02,46
2023-05-03,49
2023-05-04,53
2023-05-05,58
2023-05-06,4
2023-05-07,3
2023-05-08,47
2023-05-09,44
2023-05-10,50
2023-05-11,53
2023-05-12,66
2023-05-13,4
2023-05-14,3
2023-05-15,53
2023-05-16,51
2023-05-17,53
2023-05-18,54
2023-05-19,56
2023-05-20,4
2023-05-21,3
2023-05-22,45
2023-05-23,46
2023-05-24,43
2023-05-25,40
2023-05-26,33
2023-05-27,3
2023-05-28,2
2023-05-29,2
2023-05-30,25
2023-05-31,23
2023-06-01,25
2023-06-02,24
2023-06-03,2
2023-06-04,1
2023-06-05,20
2023-06-06,20
2023-06-07,20
2023-06-08,19
2023-06-09,16
2023-06-10,1
2023-06-11,1
2023-06-12,13
2023-06-13,14
2023-06-14,11
2023-06-15,11
2023-06-16,7
2023-06-17,1
2023-06-18,1
2023-06-19,2
2023-06-20,6
2023-06-21,7
2023-06-22,7
2023-06-23,4
2023-06-24,1
2023-06-25,1
2023-06-26,4
2023-06-27,4
2023-06-28,4
2023-06-29,3
2023-06-30,2
2023-07-01,0
2023-07-02,1
2023-07-03,1
2023-07-04,1
2023-07-05,2
2023-07-06,2
2023-07-07,2
2023-07-08,1
2023-07-09,0
2023-07-10,2
2023-07-11,2
2023-07-12,3
2023-07-13,3
2023-07-14,2
2023-07-15,0
2023-07-16,1
2023-07-17,2
2023-07-18,2
2023-07-19,3
2023-07-20,3
2023-07-21,1
2023-07-22,1
2023-07-23,0
2023-07-24,2
2023-07-25,2
2023-07-26,2
2023-07-27,2
2023-07-28,2
2023-07-29,1
2023-07-30,1
2023-07-31,2
2023-08-01,2
2023-08-02,3
2023-08-03,4
2023-08-04,6
2023-08-05,0
2023-08-06,0
2023-08-07,4
2023-08-08,6
2023-08-09,8
2023-08-10,13
2023-08-11,20
2023-08-12,1
2023-08-13,1
2023-08-14,12
2023-08-15,18
2023-08-16,21
2023-08-17,26
2023-08-18,39
2023-08-19,2
2023-08-20,2
2023-08-21,24
2023-08-22,28
2023-08-23,34
2023-08-24,43
2023-08-25,52
2023-08-26,3
2023-08-27,2
2023-08-28,34
2023-08-29,41
2023-08-30,44
2023-08-31,52
2023-09-01,55
2023-09-02,3
2023-09-03,2
2023-09-04,2
2023-09-05,41
2023-09-06,48
2023-09-07,55
2023-09-08,80
2023-09-09,4
2023-09-10,2
2023-09-11,45
2023-09-12,54
2023-09-13,59
2023-09-14,72
2023-09-15,92
2023-09-16,4
2023-09-17,4
2023-09-18,49
2023-09-19,61
2023-09-20,72
2023-09-21,78
2023-09-22,100
2023-09-23,4
2023-09-24,4
2023-09-25,48
2023-09-26,61
2023-09-27,64
2023-09-28,73
2023-09-29,99
2023-09-30,4
2023-10-01,3
2023-10-02,52
2023-10-03,57
2023-10-04,66
2023-10-05,67
2023-10-06,88
2023-10-07,5
2023-10-08,3
2023-10-09,34
2023-10-10,57
2023-10-11,56
2023-10-12,60
2023-10-13,71
2023-10-14,5
2023-10-15,3
2023-10-16,45
2023-10-17,55
2023-10-18,55
2023-10-19,65
2023-10-20,75
2023-10-21,5
2023-10-22,3
2023-10-23,47
2023-10-24,54
2023-10-25,53
2023-10-26,65
2023-10-27,76
2023-10-28,4
2023-10-29,3
2023-10-30,47
2023-10-31,71
2023-11-01,56
2023-11-02,51
2023-11-03,65
2023-11-04,5
2023-11-05,3
2023-11-06,41
2023-11-07,39
2023-11-08,50
2023-11-09,58
2023-11-10,47
2023-11-11,4
2023-11-12,3
2023-11-13,43
2023-11-14,51
2023-11-15,58
2023-11-16,58
2023-11-17,91
2023-11-18,4
2023-11-19,4
2023-11-20,34
2023-11-21,47
2023-11-22,12
2023-11-23,3
2023-11-24,2
2023-11-25,1
2023-11-26,1
2023-11-27,38
2023-11-28,45
2023-11-29,50
2023-11-30,54
2023-12-01,66
2023-12-02,5
2023-12-03,3
2023-12-04,45
2023-12-05,50
2023-12-06,57
2023-12-07,61
2023-12-08,74
2023-12-09,6
2023-12-10,3
2023-12-11,51
2023-12-12,56
2023-12-13,72
2023-12-14,88
2023-12-15,99
2023-12-16,6
2023-12-17,4
2023-12-18,60
2023-12-19,71
2023-12-20,64
2023-12-21,58
2023-12-22,40
2023-12-23,4
2023-12-24,3
2023-12-25,2
2023-12-26,1
2023-12-27,1
2023-12-28,2
2023-12-29,2
2023-12-30,1
2023-12-31,1
2024-01-01,1
2024-01-02,12
2024-01-03,25
2024-01-04,32
2024-01-05,44
2024-01-06,2
2024-01-07,2
2024-01-08,39
2024-01-09,42
2024-01-10,49
2024-01-11,54
2024-01-12,71
2024-01-13,4
2024-01-14,3
2024-01-15,4
2024-01-16,31
2024-01-17,46
2024-01-18,54
2024-01-19,55
2024-01-20,4
