Time,britney_spears
2022-01-01,7.0
2022-01-02,6.0
2022-01-03,5.0
2022-01-04,6.0
2022-01-05,6.0
2022-01-06,8.0
2022-01-07,39.0
2022-01-08,23.0
2022-01-09,15.0
2022-01-10,14.0
2022-01-11,14.0
2022-01-12,13.0
2022-01-13,10.0
2022-01-14,14.0
2022-01-15,16.0
2022-01-16,10.0
2022-01-17,9.0
2022-01-18,11.0
2022-01-19,19.0
2022-01-20,24.0
2022-01-21,15.0
2022-01-22,12.0
2022-01-23,11.0
2022-01-24,9.0
2022-01-25,11.0
2022-01-26,10.0
2022-01-27,7.0
2022-01-28,7.0
2022-01-29,11.0
2022-01-30,9.0
2022-01-31,7.0
2022-02-01,7.0
2022-02-02,7.0
2022-02-03,6.0
2022-02-04,7.0
2022-02-05,7.0
2022-02-06,7.0
2022-02-07,5.0
2022-02-08,5.0
2022-02-09,6.0
2022-02-10,6.0
2022-02-11,7.0
2022-02-12,7.0
2022-02-13,6.0
2022-02-14,6.0
2022-02-15,8.0
2022-02-16,6.0
2022-02-17,6.0
2022-02-18,6.0
2022-02-19,6.0
2022-02-20,6.0
2022-02-21,6.0
2022-02-22,7.0
2022-02-23,6.0
2022-02-24,7.0
2022-02-25,7.0
2022-02-26,6.0
2022-02-27,6.0
2022-02-28,5.0
2022-03-01,25.0
2022-03-02,18.0
2022-03-03,13.0
2022-03-04,13.0
2022-03-05,11.0
2022-03-06,8.0
2022-03-07,8.0
2022-03-08,10.0
2022-03-09,8.0
2022-03-10,7.0
2022-03-11,6.0
2022-03-12,6.0
2022-03-13,7.0
2022-03-14,6.0
2022-03-15,6.0
2022-03-16,7.0
2022-03-17,9.0
2022-03-18,8.0
2022-03-19,7.0
2022-03-20,8.0
2022-03-21,6.0
2022-03-22,5.0
2022-03-23,6.0
2022-03-24,5.0
2022-03-25,7.0
2022-03-26,8.0
2022-03-27,7.0
2022-03-28,4.0
2022-03-29,6.0
2022-03-30,5.0
2022-03-31,5.0
2022-04-01,6.0
2022-04-02,6.0
2022-04-03,6.0
2022-04-04,4.0
2022-04-05,5.0
2022-04-06,5.0
2022-04-07,7.0
2022-04-08,10.0
2022-04-09,8.0
2022-04-10,6.0
2022-04-11,70.0
2022-04-12,100.0
2022-04-13,29.0
2022-04-14,17.0
2022-04-15,16.0
2022-04-16,12.0
2022-04-17,13.0
2022-04-18,10.0
2022-04-19,9.0
2022-04-20,8.0
2022-04-21,7.0
2022-04-22,10.0
2022-04-23,10.0
2022-04-24,7.0
2022-04-25,6.0
2022-04-26,7.0
2022-04-27,5.0
2022-04-28,7.0
2022-04-29,7.0
2022-04-30,6.0
2022-05-01,6.0
2022-05-02,5.0
2022-05-03,5.0
2022-05-04,7.0
2022-05-05,6.0
2022-05-06,7.0
2022-05-07,8.0
2022-05-08,7.0
2022-05-09,7.0
2022-05-10,30.0
2022-05-11,23.0
2022-05-12,15.0
2022-05-13,9.0
2022-05-14,26.0
2022-05-15,39.0
2022-05-16,14.0
2022-05-17,9.0
2022-05-18,6.0
2022-05-19,5.0
2022-05-20,6.0
2022-05-21,6.0
2022-05-22,6.0
2022-05-23,7.0
2022-05-24,6.0
2022-05-25,5.0
2022-05-26,5.0
2022-05-27,5.0
2022-05-28,7.0
2022-05-29,9.0
2022-05-30,7.0
2022-05-31,5.0
2022-06-01,5.0
2022-06-02,5.0
2022-06-03,4.0
2022-06-04,5.0
2022-06-05,5.0
2022-06-06,4.0
2022-06-07,5.0
2022-06-08,6.0
2022-06-09,23.0
2022-06-10,88.0
2022-06-11,45.0
2022-06-12,24.0
2022-06-13,16.0
2022-06-14,14.0
2022-06-15,13.0
2022-06-16,10.0
2022-06-17,10.0
2022-06-18,12.0
2022-06-19,11.0
2022-06-20,7.0
2022-06-21,7.0
2022-06-22,7.0
2022-06-23,9.0
2022-06-24,7.0
2022-06-25,8.0
2022-06-26,7.0
2022-06-27,6.0
2022-06-28,7.0
2022-06-29,7.0
2022-06-30,7.0
2022-07-01,7.0
2022-07-02,6.0
2022-07-03,6.0
2022-07-04,6.0
2022-07-05,6.0
2022-07-06,7.0
2022-07-07,6.0
2022-07-08,7.0
2022-07-09,8.0
2022-07-10,8.0
2022-07-11,6.0
2022-07-12,5.0
2022-07-13,7.0
2022-07-14,8.0
2022-07-15,7.0
2022-07-16,11.0
2022-07-17,12.0
2022-07-18,6.0
2022-07-19,6.0
2022-07-20,6.0
2022-07-21,9.0
2022-07-22,16.0
2022-07-23,10.0
2022-07-24,10.0
2022-07-25,10.0
2022-07-26,15.0
2022-07-27,10.0
2022-07-28,9.0
2022-07-29,7.0
2022-07-30,7.0
2022-07-31,8.0
2022-08-01,6.0
2022-08-02,5.0
2022-08-03,6.0
2022-08-04,9.0
2022-08-05,18.0
2022-08-06,13.0
2022-08-07,30.0
2022-08-08,19.0
2022-08-09,11.0
2022-08-10,10.0
2022-08-11,21.0
2022-08-12,21.0
2022-08-13,17.0
2022-08-14,14.0
2022-08-15,9.0
2022-08-16,8.0
2022-08-17,7.0
2022-08-18,9.0
2022-08-19,10.0
2022-08-20,9.0
2022-08-21,10.0
2022-08-22,7.0
2022-08-23,9.0
2022-08-24,10.0
2022-08-25,11.0
2022-08-26,28.0
2022-08-27,31.0
2022-08-28,22.0
2022-08-29,24.807692307692307
2022-08-30,14.015384615384615
2022-08-31,11.038461538461538
2022-09-01,10.792307692307693
2022-09-02,19.846153846153847
2022-09-03,16.0
2022-09-04,11.038461538461538
2022-09-05,12.9
2022-09-06,16.0
2022-09-07,11.907692307692308
2022-09-08,9.176923076923078
2022-09-09,7.938461538461539
2022-09-10,8.061538461538461
2022-09-11,9.176923076923078
2022-09-12,20.092307692307692
2022-09-13,15.007692307692308
2022-09-14,15.130769230769232
2022-09-15,9.923076923076923
2022-09-16,9.176923076923078
2022-09-17,8.184615384615384
2022-09-18,8.807692307692308
2022-09-19,6.076923076923077
2022-09-20,5.830769230769231
2022-09-21,5.953846153846154
2022-09-22,5.207692307692308
2022-09-23,4.961538461538462
2022-09-24,5.953846153846154
2022-09-25,5.830769230769231
2022-09-26,6.2
2022-09-27,4.961538461538462
2022-09-28,4.430769230769231
2022-09-29,5.415384615384616
2022-09-30,4.676923076923077
2022-10-01,5.661538461538462
2022-10-02,6.153846153846154
2022-10-03,4.676923076923077
2022-10-04,4.676923076923077
2022-10-05,6.892307692307693
2022-10-06,13.046153846153846
2022-10-07,10.338461538461539
2022-10-08,9.846153846153847
2022-10-09,9.353846153846154
2022-10-10,7.630769230769231
2022-10-11,7.630769230769231
2022-10-12,6.892307692307693
2022-10-13,6.4
2022-10-14,5.907692307692308
2022-10-15,6.6461538461538465
2022-10-16,6.892307692307693
2022-10-17,5.415384615384616
2022-10-18,4.923076923076923
2022-10-19,11.323076923076924
2022-10-20,10.092307692307692
2022-10-21,8.36923076923077
2022-10-22,9.846153846153847
2022-10-23,9.107692307692307
2022-10-24,6.4
2022-10-25,6.6461538461538465
2022-10-26,9.107692307692307
2022-10-27,8.36923076923077
2022-10-28,8.123076923076923
2022-10-29,10.092307692307692
2022-10-30,8.123076923076923
2022-10-31,6.892307692307693
2022-11-01,5.1692307692307695
2022-11-02,5.415384615384616
2022-11-03,4.430769230769231
2022-11-04,6.153846153846154
2022-11-05,8.36923076923077
2022-11-06,7.630769230769231
2022-11-07,6.4
2022-11-08,6.153846153846154
2022-11-09,5.415384615384616
2022-11-10,5.661538461538462
2022-11-11,6.153846153846154
2022-11-12,6.153846153846154
2022-11-13,6.4
2022-11-14,6.6461538461538465
2022-11-15,4.676923076923077
2022-11-16,4.430769230769231
2022-11-17,4.923076923076923
2022-11-18,5.661538461538462
2022-11-19,8.36923076923077
2022-11-20,8.123076923076923
2022-11-21,5.907692307692308
2022-11-22,5.661538461538462
2022-11-23,5.1692307692307695
2022-11-24,6.153846153846154
2022-11-25,5.661538461538462
2022-11-26,6.153846153846154
2022-11-27,9.846153846153847
2022-11-28,7.876923076923077
2022-11-29,5.907692307692308
2022-11-30,4.923076923076923
2022-12-01,5.415384615384616
2022-12-02,10.584615384615386
2022-12-03,17.96923076923077
2022-12-04,11.815384615384616
2022-12-05,7.876923076923077
2022-12-06,10.338461538461539
2022-12-07,11.323076923076924
2022-12-08,10.584615384615386
2022-12-09,8.123076923076923
2022-12-10,9.353846153846154
2022-12-11,9.846153846153847
2022-12-12,8.615384615384617
2022-12-13,7.630769230769231
2022-12-14,7.138461538461539
2022-12-15,6.6461538461538465
2022-12-16,9.353846153846154
2022-12-17,10.338461538461539
2022-12-18,10.584615384615386
2022-12-19,9.107692307692307
2022-12-20,9.600000000000001
2022-12-21,11.815384615384616
2022-12-22,7.630769230769231
2022-12-23,7.384615384615385
2022-12-24,7.876923076923077
2022-12-25,6.4
2022-12-26,7.384615384615385
2022-12-27,6.4
2022-12-28,7.384615384615385
2022-12-29,6.4
2022-12-30,7.384615384615385
2022-12-31,8.36923076923077
2023-01-01,14.03076923076923
2023-01-02,11.076923076923077
2023-01-03,8.615384615384617
2023-01-04,6.4
2023-01-05,6.892307692307693
2023-01-06,6.4
2023-01-07,8.123076923076923
2023-01-08,6.892307692307693
2023-01-09,6.4
2023-01-10,5.907692307692308
2023-01-11,5.661538461538462
2023-01-12,5.415384615384616
2023-01-13,5.415384615384616
2023-01-14,11.323076923076924
2023-01-15,17.47692307692308
2023-01-16,15.50769230769231
2023-01-17,11.076923076923077
2023-01-18,9.353846153846154
2023-01-19,6.892307692307693
2023-01-20,10.338461538461539
2023-01-21,10.338461538461539
2023-01-22,8.36923076923077
2023-01-23,5.907692307692308
2023-01-24,5.415384615384616
2023-01-25,8.36923076923077
2023-01-26,9.107692307692307
2023-01-27,8.861538461538462
2023-01-28,7.138461538461539
2023-01-29,6.6461538461538465
2023-01-30,7.630769230769231
2023-01-31,5.415384615384616
2023-02-01,5.1692307692307695
2023-02-02,5.1692307692307695
2023-02-03,5.415384615384616
2023-02-04,5.415384615384616
2023-02-05,5.415384615384616
2023-02-06,4.676923076923077
2023-02-07,5.415384615384616
2023-02-08,5.661538461538462
2023-02-09,7.630769230769231
2023-02-10,11.815384615384616
2023-02-11,9.600000000000001
2023-02-12,8.36923076923077
2023-02-13,7.138461538461539
2023-02-14,4.923076923076923
2023-02-15,4.676923076923077
2023-02-16,5.415384615384616
2023-02-17,5.661538461538462
2023-02-18,6.4
2023-02-19,7.384615384615385
2023-02-20,5.907692307692308
2023-02-21,5.907692307692308
2023-02-22,9.353846153846154
2023-02-23,10.092307692307692
2023-02-24,8.123076923076923
2023-02-25,8.123076923076923
2023-02-26,7.384615384615385
2023-02-27,5.661538461538462
2023-02-28,4.184615384615385
2023-03-01,4.184615384615385
2023-03-02,4.430769230769231
2023-03-03,4.430769230769231
2023-03-04,4.923076923076923
2023-03-05,6.892307692307693
2023-03-06,5.907692307692308
2023-03-07,4.923076923076923
2023-03-08,4.430769230769231
2023-03-09,3.9384615384615387
2023-03-10,4.923076923076923
2023-03-11,5.661538461538462
2023-03-12,5.415384615384616
2023-03-13,4.184615384615385
2023-03-14,4.430769230769231
2023-03-15,3.6923076923076925
2023-03-16,4.430769230769231
2023-03-17,4.676923076923077
2023-03-18,4.676923076923077
2023-03-19,5.1692307692307695
2023-03-20,4.676923076923077
2023-03-21,5.415384615384616
2023-03-22,4.430769230769231
2023-03-23,4.676923076923077
2023-03-24,4.430769230769231
2023-03-25,5.415384615384616
2023-03-26,5.1692307692307695
2023-03-27,4.184615384615385
2023-03-28,4.184615384615385
2023-03-29,4.676923076923077
2023-03-30,6.4
2023-03-31,9.846153846153847
2023-04-01,8.36923076923077
2023-04-02,6.892307692307693
2023-04-03,4.676923076923077
2023-04-04,4.430769230769231
2023-04-05,4.430769230769231
2023-04-06,5.415384615384616
2023-04-07,5.661538461538462
2023-04-08,5.415384615384616
2023-04-09,6.4
2023-04-10,6.892307692307693
2023-04-11,7.138461538461539
2023-04-12,5.661538461538462
2023-04-13,4.923076923076923
2023-04-14,4.923076923076923
2023-04-15,5.907692307692308
2023-04-16,6.153846153846154
2023-04-17,4.923076923076923
2023-04-18,5.1692307692307695
2023-04-19,4.923076923076923
2023-04-20,4.676923076923077
2023-04-21,4.430769230769231
2023-04-22,5.907692307692308
2023-04-23,5.907692307692308
2023-04-24,4.430769230769231
2023-04-25,4.676923076923077
2023-04-26,4.284249084249084
2023-04-27,3.8480376766091053
2023-04-28,4.407326007326008
2023-04-29,5.089691261119833
2023-04-30,5.525902668759812
2023-05-01,4.966614338042909
2023-05-02,4.966614338042909
2023-05-03,7.572998430141288
2023-05-04,5.772056514913658
2023-05-05,5.648979591836735
2023-05-06,7.013710099424385
2023-05-07,7.572998430141288
2023-05-08,7.013710099424385
2023-05-09,6.76755625327054
2023-05-10,6.76755625327054
2023-05-11,6.76755625327054
2023-05-12,7.4499215070643645
2023-05-13,8.009209837781267
2023-05-14,7.572998430141288
2023-05-15,9.373940345368917
2023-05-16,17.383150183150185
2023-05-17,12.539612768184197
2023-05-18,9.373940345368917
2023-05-19,8.13228676085819
2023-05-20,7.696075353218211
2023-05-21,7.4499215070643645
2023-05-22,5.648979591836735
2023-05-23,8.13228676085819
2023-05-24,5.648979591836735
2023-05-25,5.772056514913658
2023-05-26,6.262689691261119
2023-05-27,6.888958660387232
2023-05-28,6.262689691261119
2023-05-29,5.636420722135008
2023-05-30,5.010151753008896
2023-05-31,5.010151753008896
2023-06-01,6.262689691261119
2023-06-02,5.636420722135008
2023-06-03,5.636420722135008
2023-06-04,6.888958660387232
2023-06-05,5.636420722135008
2023-06-06,6.262689691261119
2023-06-07,5.010151753008896
2023-06-08,4.383882783882783
2023-06-09,5.010151753008896
2023-06-10,5.636420722135008
2023-06-11,13.151648351648351
2023-06-12,10.646572475143904
2023-06-13,8.141496598639456
2023-06-14,6.262689691261119
2023-06-15,6.262689691261119
2023-06-16,5.636420722135008
2023-06-17,5.636420722135008
2023-06-18,5.636420722135008
2023-06-19,5.010151753008896
2023-06-20,5.010151753008896
2023-06-21,6.888958660387232
2023-06-22,5.636420722135008
2023-06-23,6.262689691261119
2023-06-24,6.888958660387232
2023-06-25,6.888958660387232
2023-06-26,7.515227629513344
2023-06-27,8.141496598639456
2023-06-28,5.010151753008896
2023-06-29,5.010151753008896
2023-06-30,5.010151753008896
2023-07-01,5.010151753008896
2023-07-02,5.010151753008896
2023-07-03,5.010151753008896
2023-07-04,5.010151753008896
2023-07-05,6.262689691261119
2023-07-06,28.18210361067504
2023-07-07,62.626896912611194
2023-07-08,38.82867608581894
2023-07-09,21.91941391941392
2023-07-10,15.656724228152799
2023-07-11,15.030455259026688
2023-07-12,15.030455259026688
2023-07-13,10.020303506017791
2023-07-14,8.141496598639456
2023-07-15,8.141496598639456
2023-07-16,7.515227629513344
2023-07-17,5.010151753008896
2023-07-18,9.394034536891679
2023-07-19,10.646572475143904
2023-07-20,7.515227629513344
2023-07-21,8.767765567765567
2023-07-22,8.141496598639456
2023-07-23,8.141496598639456
2023-07-24,6.888958660387232
2023-07-25,6.888958660387232
2023-07-26,6.888958660387232
2023-07-27,6.888958660387232
2023-07-28,6.262689691261119
2023-07-29,6.888958660387232
2023-07-30,6.262689691261119
2023-07-31,5.636420722135008
2023-08-01,5.636420722135008
2023-08-02,5.010151753008896
2023-08-03,5.636420722135008
2023-08-04,5.636420722135008
2023-08-05,6.888958660387232
2023-08-06,5.636420722135008
2023-08-07,4.383882783882783
2023-08-08,4.383882783882783
2023-08-09,4.383882783882783
2023-08-10,4.383882783882783
2023-08-11,4.383882783882783
2023-08-12,5.636420722135008
2023-08-13,7.515227629513344
2023-08-14,8.141496598639456
2023-08-15,6.262689691261119
2023-08-16,18.161800104657246
2023-08-17,51.35405546834118
2023-08-18,30.687179487179485
2023-08-19,28.80837257980115
2023-08-20,28.80837257980115
2023-08-21,34.44479330193616
2023-08-22,26.303296703296702
2023-08-23,15.030455259026688
2023-08-24,13.151648351648351
2023-08-25,15.656724228152799
2023-08-26,13.777917320774463
2023-08-27,18.161800104657246
2023-08-28,13.151648351648351
2023-08-29,7.515227629513344
2023-08-30,7.515227629513344
2023-08-31,7.515227629513344
2023-09-01,6.888958660387232
2023-09-02,10.020303506017791
2023-09-03,10.646572475143904
2023-09-04,8.767765567765567
2023-09-05,6.888958660387232
2023-09-06,8.141496598639456
2023-09-07,8.767765567765567
2023-09-08,7.515227629513344
2023-09-09,8.141496598639456
2023-09-10,7.515227629513344
2023-09-11,6.888958660387232
2023-09-12,8.141496598639456
2023-09-13,16.90926216640502
2023-09-14,33.192255363683934
2023-09-15,26.929565672422815
2023-09-16,12.525379382522239
2023-09-17,8.141496598639456
2023-09-18,6.262689691261119
2023-09-19,6.262689691261119
2023-09-20,5.010151753008896
2023-09-21,6.262689691261119
2023-09-22,6.888958660387232
2023-09-23,7.515227629513344
2023-09-24,8.767765567765567
2023-09-25,6.262689691261119
2023-09-26,12.525379382522239
2023-09-27,18.161800104657246
2023-09-28,16.90926216640502
2023-09-29,20.666875981161695
2023-09-30,17.535531135531134
2023-10-01,15.030455259026688
2023-10-02,11.272841444270016
2023-10-03,8.767765567765567
2023-10-04,10.020303506017791
2023-10-05,8.141496598639456
2023-10-06,7.515227629513344
2023-10-07,8.141496598639456
2023-10-08,7.515227629513344
2023-10-09,8.767765567765567
2023-10-10,7.515227629513344
2023-10-11,8.767765567765567
2023-10-12,6.888958660387232
2023-10-13,8.767765567765567
2023-10-14,8.141496598639456
2023-10-15,8.767765567765567
2023-10-16,6.262689691261119
2023-10-17,28.80837257980115
2023-10-18,60.74809000523286
2023-10-19,43.83882783882784
2023-10-20,40.707482993197274
2023-10-21,35.69733124018838
2023-10-22,23.798220826792253
2023-10-23,21.91941391941392
2023-10-24,44.46509680795395
2023-10-25,51.980324437467296
2023-10-26,56.99047619047619
2023-10-27,55.111669283097854
2023-10-28,42.586289900575615
2023-10-29,38.20240711669283
2023-10-30,27.555834641548927
2023-10-31,20.666875981161695
2023-11-01,18.788069073783358
2023-11-02,26.929565672422815
2023-11-03,30.060910518053376
2023-11-04,19.41433804290947
2023-11-05,18.161800104657246
2023-11-06,14.404186289900576
2023-11-07,13.777917320774463
2023-11-08,15.030455259026688
2023-11-09,14.404186289900576
2023-11-10,15.030455259026688
2023-11-11,14.404186289900576
2023-11-12,14.404186289900576
2023-11-13,11.899110413396127
2023-11-14,10.646572475143904
2023-11-15,10.020303506017791
2023-11-16,9.394034536891679
2023-11-17,10.020303506017791
2023-11-18,10.020303506017791
2023-11-19,11.272841444270016
2023-11-20,10.020303506017791
2023-11-21,10.020303506017791
2023-11-22,9.394034536891679
2023-11-23,8.767765567765567
2023-11-24,8.141496598639456
2023-11-25,8.141496598639456
2023-11-26,8.767765567765567
2023-11-27,7.515227629513344
2023-11-28,7.515227629513344
2023-11-29,10.020303506017791
2023-11-30,10.020303506017791
2023-12-01,8.141496598639456
2023-12-02,11.272841444270016
2023-12-03,15.656724228152799
2023-12-04,9.394034536891679
2023-12-05,8.141496598639456
2023-12-06,9.394034536891679
2023-12-07,8.767765567765567
2023-12-08,6.888958660387232
2023-12-09,6.888958660387232
2023-12-10,7.515227629513344
2023-12-11,6.262689691261119
2023-12-12,6.262689691261119
2023-12-13,6.262689691261119
2023-12-14,5.636420722135008
2023-12-15,6.262689691261119
2023-12-16,7.515227629513344
2023-12-17,7.515227629513344
2023-12-18,6.262689691261119
2023-12-19,6.888958660387232
2023-12-20,6.888958660387232
2023-12-21,6.888958660387232
2023-12-22,6.847677265316218
2023-12-23,8.12840737581206
2023-12-24,7.553488434701112
2023-12-25,6.141866095931323
2023-12-26,6.9785694935901645
2023-12-27,6.847677265316218
2023-12-28,6.403650552479215
2023-12-29,6.847677265316218
