Time,buffalo wild wings
2022-01-01,50
2022-01-02,45
2022-01-03,28
2022-01-04,38
2022-01-05,31
2022-01-06,28
2022-01-07,38
2022-01-08,49
2022-01-09,45
2022-01-10,29
2022-01-11,34
2022-01-12,31
2022-01-13,40
2022-01-14,32
2022-01-15,49
2022-01-16,45
2022-01-17,28
2022-01-18,29
2022-01-19,27
2022-01-20,31
2022-01-21,33
2022-01-22,52
2022-01-23,54
2022-01-24,33
2022-01-25,30
2022-01-26,27
2022-01-27,30
2022-01-28,34
2022-01-29,41
2022-01-30,51
2022-01-31,25
2022-02-01,26
2022-02-02,27
2022-02-03,31
2022-02-04,34
2022-02-05,41
2022-02-06,41
2022-02-07,24
2022-02-08,29
2022-02-09,29
2022-02-10,27
2022-02-11,37
2022-02-12,52
2022-02-13,100
2022-02-14,29
2022-02-15,29
2022-02-16,24
2022-02-17,28
2022-02-18,29
2022-02-19,37
2022-02-20,45
2022-02-21,28
2022-02-22,26
2022-02-23,25
2022-02-24,29
2022-02-25,29
2022-02-26,38
2022-02-27,39
2022-02-28,24
2022-03-01,26
2022-03-02,26
2022-03-03,29
2022-03-04,30
2022-03-05,39
2022-03-06,42
2022-03-07,25
2022-03-08,26
2022-03-09,26
2022-03-10,28
2022-03-11,30
2022-03-12,37
2022-03-13,36
2022-03-14,24
2022-03-15,29
2022-03-16,27
2022-03-17,35
2022-03-18,36
2022-03-19,42
2022-03-20,43
2022-03-21,24
2022-03-22,29
2022-03-23,25
2022-03-24,32
2022-03-25,31
2022-03-26,40
2022-03-27,37
2022-03-28,21
2022-03-29,25
2022-03-30,26
2022-03-31,27
2022-04-01,28
2022-04-02,39
2022-04-03,37
2022-04-04,22
2022-04-05,25
2022-04-06,23
2022-04-07,28
2022-04-08,29
2022-04-09,37
2022-04-10,39
2022-04-11,22
2022-04-12,27
2022-04-13,25
2022-04-14,29
2022-04-15,31
2022-04-16,36
2022-04-17,39
2022-04-18,23
2022-04-19,25
2022-04-20,26
2022-04-21,28
2022-04-22,28
2022-04-23,35
2022-04-24,37
2022-04-25,21
2022-04-26,25
2022-04-27,22
2022-04-28,29
2022-04-29,28
2022-04-30,35
2022-05-01,35
2022-05-02,22
2022-05-03,27
2022-05-04,23
2022-05-05,30
2022-05-06,32
2022-05-07,39
2022-05-08,42
2022-05-09,22
2022-05-10,25
2022-05-11,22
2022-05-12,30
2022-05-13,31
2022-05-14,38
2022-05-15,36
2022-05-16,22
2022-05-17,25
2022-05-18,26
2022-05-19,30
2022-05-20,30
2022-05-21,39
2022-05-22,35
2022-05-23,23
2022-05-24,29
2022-05-25,24
2022-05-26,30
2022-05-27,34
2022-05-28,38
2022-05-29,42
2022-05-30,37
2022-05-31,26
2022-06-01,24
2022-06-02,31
2022-06-03,32
2022-06-04,36
2022-06-05,35
2022-06-06,22
2022-06-07,26
2022-06-08,25
2022-06-09,32
2022-06-10,31
2022-06-11,36
2022-06-12,36
2022-06-13,23
2022-06-14,27
2022-06-15,25
2022-06-16,32
2022-06-17,33
2022-06-18,35
2022-06-19,41
2022-06-20,27
2022-06-21,27
2022-06-22,27
2022-06-23,32
2022-06-24,32
2022-06-25,33
2022-06-26,36
2022-06-27,24
2022-06-28,27
2022-06-29,28
2022-06-30,32
2022-07-01,31
2022-07-02,36
2022-07-03,37
2022-07-04,37
2022-07-05,28
2022-07-06,24
2022-07-07,30
2022-07-08,32
2022-07-09,40
2022-07-10,35
2022-07-11,25
2022-07-12,29
2022-07-13,27
2022-07-14,33
2022-07-15,32
2022-07-16,36
2022-07-17,35
2022-07-18,25
2022-07-19,29
2022-07-20,27
2022-07-21,37
2022-07-22,34
2022-07-23,39
2022-07-24,37
2022-07-25,26
2022-07-26,30
2022-07-27,27
2022-07-28,33
2022-07-29,41
2022-07-30,39
2022-07-31,38
2022-08-01,24
2022-08-02,29
2022-08-03,27
2022-08-04,35
2022-08-05,35
2022-08-06,34
2022-08-07,41
2022-08-08,23
2022-08-09,28
2022-08-10,26
2022-08-11,32
2022-08-12,32
2022-08-13,42
2022-08-14,38
2022-08-15,24
2022-08-16,27
2022-08-17,26
2022-08-18,35
2022-08-19,32
2022-08-20,37
2022-08-21,41
2022-08-22,22
2022-08-23,26
2022-08-24,24
2022-08-25,29
2022-08-26,30
2022-08-27,37
2022-08-28,34
2022-08-29,22
2022-08-30,27
2022-08-31,23
2022-09-01,31
2022-09-02,37
2022-09-03,44
2022-09-04,38
2022-09-05,36
2022-09-06,24
2022-09-07,22
2022-09-08,32
2022-09-09,29
2022-09-10,41
2022-09-11,49
2022-09-12,24
2022-09-13,24
2022-09-14,23
2022-09-15,30
2022-09-16,29
2022-09-17,40
2022-09-18,46
2022-09-19,25
2022-09-20,24
2022-09-21,22
2022-09-22,28
2022-09-23,27
2022-09-24,43
2022-09-25,38
2022-09-26,21
2022-09-27,23
