Time,cbs sports
2023-04-26,24
2023-04-27,25
2023-04-28,31
2023-04-29,39
2023-04-30,30
2023-05-01,19
2023-05-02,19
2023-05-03,20
2023-05-04,20
2023-05-05,18
2023-05-06,23
2023-05-07,23
2023-05-08,19
2023-05-09,25
2023-05-10,24
2023-05-11,20
2023-05-12,19
2023-05-13,22
2023-05-14,22
2023-05-15,17
2023-05-16,18
2023-05-17,25
2023-05-18,21
2023-05-19,21
2023-05-20,28
2023-05-21,32
2023-05-22,18
2023-05-23,18
2023-05-24,19
2023-05-25,17
2023-05-26,17
2023-05-27,19
2023-05-28,22
2023-05-29,17
2023-05-30,17
2023-05-31,17
2023-06-01,17
2023-06-02,16
2023-06-03,17
2023-06-04,25
2023-06-05,18
2023-06-06,15
2023-06-07,17
2023-06-08,19
2023-06-09,15
2023-06-10,28
2023-06-11,23
2023-06-12,14
2023-06-13,17
2023-06-14,18
2023-06-15,19
2023-06-16,20
2023-06-17,20
2023-06-18,21
2023-06-19,19
2023-06-20,16
2023-06-21,18
2023-06-22,18
2023-06-23,19
2023-06-24,17
2023-06-25,21
2023-06-26,12
2023-06-27,16
2023-06-28,15
2023-06-29,17
2023-06-30,16
2023-07-01,21
2023-07-02,35
2023-07-03,16
2023-07-04,16
2023-07-05,16
2023-07-06,17
2023-07-07,18
2023-07-08,21
2023-07-09,20
2023-07-10,15
2023-07-11,14
2023-07-12,23
2023-07-13,15
2023-07-14,15
2023-07-15,21
2023-07-16,26
2023-07-17,18
2023-07-18,18
2023-07-19,16
2023-07-20,19
2023-07-21,18
2023-07-22,20
2023-07-23,19
2023-07-24,16
2023-07-25,17
2023-07-26,19
2023-07-27,18
2023-07-28,16
2023-07-29,19
2023-07-30,21
2023-07-31,17
2023-08-01,20
2023-08-02,19
2023-08-03,21
2023-08-04,20
2023-08-05,20
2023-08-06,26
2023-08-07,19
2023-08-08,16
2023-08-09,19
2023-08-10,19
2023-08-11,21
2023-08-12,25
2023-08-13,25
2023-08-14,18
2023-08-15,17
2023-08-16,19
2023-08-17,20
2023-08-18,17
2023-08-19,24
2023-08-20,31
2023-08-21,20
2023-08-22,19
2023-08-23,24
2023-08-24,26
2023-08-25,20
2023-08-26,39
2023-08-27,37
2023-08-28,21
2023-08-29,25
2023-08-30,25
2023-08-31,29
2023-09-01,31
2023-09-02,63
2023-09-03,46
2023-09-04,30
2023-09-05,30
2023-09-06,32
2023-09-07,38
2023-09-08,34
2023-09-09,49
2023-09-10,98
2023-09-11,36
2023-09-12,36
2023-09-13,29
2023-09-14,32
2023-09-15,32
2023-09-16,57
2023-09-17,100
2023-09-18,32
2023-09-19,33
2023-09-20,29
2023-09-21,28
2023-09-22,28
2023-09-23,58
2023-09-24,86
2023-09-25,31
2023-09-26,31
2023-09-27,27
2023-09-28,34
2023-09-29,27
2023-09-30,53
2023-10-01,79
2023-10-02,28
2023-10-03,28
2023-10-04,25
2023-10-05,28
2023-10-06,27
2023-10-07,49
2023-10-08,78
2023-10-09,29
2023-10-10,27
2023-10-11,23
2023-10-12,29
2023-10-13,26
2023-10-14,46
2023-10-15,70
2023-10-16,25
2023-10-17,27
2023-10-18,25
2023-10-19,28
2023-10-20,28
2023-10-21,48
2023-10-22,74
2023-10-23,28
2023-10-24,30
2023-10-25,25
2023-10-26,26
2023-10-27,25
2023-10-28,49
2023-10-29,76
2023-10-30,27
2023-10-31,30
2023-11-01,25
2023-11-02,27
2023-11-03,27
2023-11-04,51
2023-11-05,74
2023-11-06,36
2023-11-07,29
2023-11-08,21
2023-11-09,27
2023-11-10,25
2023-11-11,43
2023-11-12,72
2023-11-13,29
2023-11-14,27
2023-11-15,23
2023-11-16,26
2023-11-17,27
2023-11-18,44
2023-11-19,64
2023-11-20,31
2023-11-21,30
2023-11-22,29
2023-11-23,51
2023-11-24,45
2023-11-25,53
2023-11-26,69
2023-11-27,33
2023-11-28,26
2023-11-29,23
2023-11-30,25
2023-12-01,27
2023-12-02,69
2023-12-03,78
2023-12-04,32
2023-12-05,28
2023-12-06,22
2023-12-07,23
2023-12-08,24
2023-12-09,37
2023-12-10,61
2023-12-11,30
2023-12-12,28
2023-12-13,22
2023-12-14,24
2023-12-15,25
2023-12-16,47
2023-12-17,65
2023-12-18,28
2023-12-19,26
2023-12-20,23
2023-12-21,28
2023-12-22,26
2023-12-23,31
2023-12-24,53
2023-12-25,47
2023-12-26,30
2023-12-27,24
2023-12-28,27
2023-12-29,34
2023-12-30,36
2023-12-31,61
2024-01-01,38
2024-01-02,30
2024-01-03,20
2024-01-04,20
2024-01-05,18
2024-01-06,32
2024-01-07,62
2024-01-08,35
2024-01-09,26
2024-01-10,20
2024-01-11,23
2024-01-12,19
2024-01-13,33
2024-01-14,42
2024-01-15,57
2024-01-16,30
2024-01-17,20
2024-01-18,20
2024-01-19,18
2024-01-20,31
