Time,cnn
2022-08-29,29
2022-08-30,28
2022-08-31,26
2022-09-01,28
2022-09-02,30
2022-09-03,27
2022-09-04,25
2022-09-05,25
2022-09-06,30
2022-09-07,28
2022-09-08,52
2022-09-09,33
2022-09-10,24
2022-09-11,23
2022-09-12,30
2022-09-13,31
2022-09-14,32
2022-09-15,31
2022-09-16,30
2022-09-17,25
2022-09-18,23
2022-09-19,36
2022-09-20,30
2022-09-21,32
2022-09-22,31
2022-09-23,29
2022-09-24,23
2022-09-25,23
2022-09-26,29
2022-09-27,32
2022-09-28,45
2022-09-29,41
2022-09-30,32
2022-10-01,23
2022-10-02,23
2022-10-03,29
2022-10-04,31
2022-10-05,30
2022-10-06,32
2022-10-07,31
2022-10-08,25
2022-10-09,24
2022-10-10,28
2022-10-11,29
2022-10-12,29
2022-10-13,33
2022-10-14,30
2022-10-15,21
2022-10-16,22
2022-10-17,28
2022-10-18,30
2022-10-19,28
2022-10-20,29
2022-10-21,29
2022-10-22,21
2022-10-23,21
2022-10-24,30
2022-10-25,29
2022-10-26,29
2022-10-27,27
2022-10-28,29
2022-10-29,24
2022-10-30,24
2022-10-31,29
2022-11-01,29
2022-11-02,28
2022-11-03,31
2022-11-04,27
2022-11-05,22
2022-11-06,21
2022-11-07,27
2022-11-08,39
2022-11-09,100
2022-11-10,54
2022-11-11,44
2022-11-12,43
2022-11-13,45
2022-11-14,41
2022-11-15,45
2022-11-16,43
2022-11-17,35
2022-11-18,34
2022-11-19,25
2022-11-20,24
2022-11-21,29
2022-11-22,29
2022-11-23,28
2022-11-24,22
2022-11-25,23
2022-11-26,21
2022-11-27,23
2022-11-28,27
2022-11-29,26
2022-11-30,29
2022-12-01,28
2022-12-02,28
2022-12-03,24
2022-12-04,22
2022-12-05,27
2022-12-06,31
2022-12-07,42
2022-12-08,31
2022-12-09,30
2022-12-10,22
2022-12-11,22
2022-12-12,29
2022-12-13,27
2022-12-14,29
2022-12-15,27
2022-12-16,27
2022-12-17,21
2022-12-18,22
2022-12-19,33
2022-12-20,32
2022-12-21,32
2022-12-22,29
2022-12-23,26
2022-12-24,24
2022-12-25,25
2022-12-26,25
2022-12-27,26
2022-12-28,26
2022-12-29,26
2022-12-30,30
2022-12-31,27
2023-01-01,37
2023-01-02,26
2023-01-03,42
2023-01-04,40
2023-01-05,43
2023-01-06,41
2023-01-07,35
2023-01-08,25
2023-01-09,29
2023-01-10,28
2023-01-11,31
2023-01-12,30
2023-01-13,31
2023-01-14,23
2023-01-15,22
2023-01-16,24
2023-01-17,28
2023-01-18,27
2023-01-19,27
2023-01-20,27
2023-01-21,20
2023-01-22,24
2023-01-23,27
2023-01-24,29
2023-01-25,27
2023-01-26,27
2023-01-27,29
2023-01-28,34
2023-01-29,23
2023-01-30,28
2023-01-31,27
2023-02-01,27
2023-02-02,27
2023-02-03,29
2023-02-04,30
2023-02-05,27
2023-02-06,32
2023-02-07,30
2023-02-08,30
2023-02-09,27
2023-02-10,29
2023-02-11,26
2023-02-12,27
2023-02-13,32
2023-02-14,35
2023-02-15,29
2023-02-16,29
2023-02-17,28
2023-02-18,24
2023-02-19,24
2023-02-20,30
2023-02-21,30
2023-02-22,29
2023-02-23,28
2023-02-24,29
2023-02-25,22
2023-02-26,23
2023-02-27,26
2023-02-28,27
2023-03-01,26
2023-03-02,27
2023-03-03,28
2023-03-04,22
2023-03-05,25
2023-03-06,29
2023-03-07,28
2023-03-08,27
2023-03-09,27
2023-03-10,28
2023-03-11,22
2023-03-12,23
2023-03-13,30
2023-03-14,29
2023-03-15,27
2023-03-16,27
2023-03-17,27
2023-03-18,25
2023-03-19,24
2023-03-20,31
2023-03-21,37
2023-03-22,32
2023-03-23,31
2023-03-24,27
2023-03-25,23
2023-03-26,25
2023-03-27,37
2023-03-28,35
2023-03-29,30
2023-03-30,35
2023-03-31,36
2023-04-01,26
2023-04-02,23
2023-04-03,31
2023-04-04,51
2023-04-05,34
2023-04-06,32
2023-04-07,29
2023-04-08,24
2023-04-09,23
2023-04-10,32
2023-04-11,30
2023-04-12,29
2023-04-13,28
2023-04-14,27
2023-04-15,21
2023-04-16,23
2023-04-17,29
2023-04-18,30
2023-04-19,30
2023-04-20,32
2023-04-21,31
2023-04-22,24
2023-04-23,23
2023-04-24,45
2023-04-25,41
2023-04-26,33
2023-04-27,30
2023-04-28,28
2023-04-29,24
2023-04-30,23
2023-05-01,28
2023-05-02,29
2023-05-03,31
2023-05-04,30
2023-05-05,27
2023-05-06,25
2023-05-07,29
2023-05-08,31
2023-05-09,33
2023-05-10,39
2023-05-11,62
2023-05-12,40
2023-05-13,26
2023-05-14,27
2023-05-15,29
2023-05-16,30
2023-05-17,28
2023-05-18,30
2023-05-19,27
2023-05-20,22
2023-05-21,22
2023-05-22,27
2023-05-23,27
2023-05-24,31
2023-05-25,29
