Time,cool math games
2022-01-01,6
2022-01-02,6
2022-01-03,11
2022-01-04,19
2022-01-05,23
2022-01-06,21
2022-01-07,25
2022-01-08,10
2022-01-09,8
2022-01-10,21
2022-01-11,26
2022-01-12,23
2022-01-13,34
2022-01-14,25
2022-01-15,11
2022-01-16,8
2022-01-17,7
2022-01-18,20
2022-01-19,23
2022-01-20,25
2022-01-21,27
2022-01-22,12
2022-01-23,9
2022-01-24,26
2022-01-25,21
2022-01-26,24
2022-01-27,28
2022-01-28,32
2022-01-29,12
2022-01-30,10
2022-01-31,21
2022-02-01,24
2022-02-02,24
2022-02-03,25
2022-02-04,25
2022-02-05,12
2022-02-06,10
2022-02-07,23
2022-02-08,25
2022-02-09,25
2022-02-10,23
2022-02-11,29
2022-02-12,12
2022-02-13,8
2022-02-14,17
2022-02-15,21
2022-02-16,21
2022-02-17,24
2022-02-18,23
2022-02-19,10
2022-02-20,9
2022-02-21,10
2022-02-22,19
2022-02-23,20
2022-02-24,21
2022-02-25,23
2022-02-26,14
2022-02-27,8
2022-02-28,19
2022-03-01,20
2022-03-02,20
2022-03-03,22
2022-03-04,26
2022-03-05,10
2022-03-06,8
2022-03-07,18
2022-03-08,20
2022-03-09,21
2022-03-10,22
2022-03-11,23
2022-03-12,11
2022-03-13,8
2022-03-14,14
2022-03-15,15
2022-03-16,17
2022-03-17,17
2022-03-18,19
2022-03-19,8
2022-03-20,8
2022-03-21,16
2022-03-22,20
2022-03-23,18
2022-03-24,20
2022-03-25,82
2022-03-26,14
2022-03-27,10
2022-03-28,50
2022-03-29,60
2022-03-30,19
2022-03-31,71
2022-04-01,83
2022-04-02,13
2022-04-03,11
2022-04-04,53
2022-04-05,64
2022-04-06,66
2022-04-07,76
2022-04-08,86
2022-04-09,14
2022-04-10,11
2022-04-11,53
2022-04-12,60
2022-04-13,62
2022-04-14,71
2022-04-15,31
2022-04-16,11
2022-04-17,10
2022-04-18,38
2022-04-19,54
2022-04-20,58
2022-04-21,67
2022-04-22,80
2022-04-23,12
2022-04-24,10
2022-04-25,60
2022-04-26,73
2022-04-27,71
2022-04-28,76
2022-04-29,88
2022-04-30,14
2022-05-01,11
2022-05-02,64
2022-05-03,75
2022-05-04,77
2022-05-05,80
2022-05-06,98
2022-05-07,14
2022-05-08,11
2022-05-09,68
2022-05-10,80
2022-05-11,77
2022-05-12,92
2022-05-13,100
2022-05-14,15
2022-05-15,11
2022-05-16,75
2022-05-17,81
2022-05-18,86
2022-05-19,92
2022-05-20,97
2022-05-21,15
2022-05-22,12
2022-05-23,76
2022-05-24,81
2022-05-25,75
2022-05-26,67
2022-05-27,56
2022-05-28,14
2022-05-29,11
2022-05-30,10
2022-05-31,40
2022-06-01,42
2022-06-02,43
2022-06-03,39
2022-06-04,10
2022-06-05,9
2022-06-06,29
2022-06-07,31
2022-06-08,32
2022-06-09,27
2022-06-10,27
2022-06-11,9
2022-06-12,9
2022-06-13,23
2022-06-14,23
2022-06-15,24
2022-06-16,22
2022-06-17,19
2022-06-18,7
2022-06-19,7
2022-06-20,12
2022-06-21,18
2022-06-22,18
2022-06-23,18
2022-06-24,13
2022-06-25,8
2022-06-26,6
2022-06-27,12
2022-06-28,11
2022-06-29,12
2022-06-30,12
2022-07-01,8
2022-07-02,6
2022-07-03,6
2022-07-04,6
2022-07-05,7
2022-07-06,8
2022-07-07,9
2022-07-08,8
2022-07-09,7
2022-07-10,5
2022-07-11,9
2022-07-12,9
2022-07-13,9
2022-07-14,9
2022-07-15,8
2022-07-16,6
2022-07-17,6
2022-07-18,8
2022-07-19,8
2022-07-20,8
2022-07-21,8
2022-07-22,7
2022-07-23,5
2022-07-24,6
2022-07-25,8
2022-07-26,8
2022-07-27,8
2022-07-28,8
2022-07-29,8
2022-07-30,6
2022-07-31,6
2022-08-01,8
2022-08-02,9
2022-08-03,10
2022-08-04,13
2022-08-05,15
2022-08-06,7
2022-08-07,6
2022-08-08,13
2022-08-09,18
2022-08-10,20
2022-08-11,23
2022-08-12,32
2022-08-13,9
2022-08-14,8
2022-08-15,26
2022-08-16,35
2022-08-17,43
2022-08-18,52
2022-08-19,68
2022-08-20,12
2022-08-21,10
2022-08-22,44
2022-08-23,58
2022-08-24,62
2022-08-25,68
2022-08-26,85
2022-08-27,14
2022-08-28,10
2022-08-29,57
2022-08-30,68
2022-08-31,70
2022-09-01,73
2022-09-02,87
2022-09-03,15
2022-09-04,11
2022-09-05,11
2022-09-06,58
2022-09-07,70
2022-09-08,72
2022-09-09,95
2022-09-10,16
2022-09-11,11
2022-09-12,61
2022-09-13,73
2022-09-14,71
2022-09-15,79
2022-09-16,94
2022-09-17,16
2022-09-18,12
2022-09-19,60
2022-09-20,69
2022-09-21,67
2022-09-22,75
2022-09-23,94
2022-09-24,17
2022-09-25,12
2022-09-26,50
2022-09-27,62
