Time,cooper flagg
2023-04-26,3
2023-04-27,2
2023-04-28,2
2023-04-29,3
2023-04-30,3
2023-05-01,1
2023-05-02,2
2023-05-03,2
2023-05-04,4
2023-05-05,4
2023-05-06,3
2023-05-07,4
2023-05-08,2
2023-05-09,1
2023-05-10,2
2023-05-11,3
2023-05-12,1
2023-05-13,4
2023-05-14,5
2023-05-15,6
2023-05-16,4
2023-05-17,4
2023-05-18,3
2023-05-19,3
2023-05-20,4
2023-05-21,4
2023-05-22,2
2023-05-23,2
2023-05-24,2
2023-05-25,2
2023-05-26,2
2023-05-27,3
2023-05-28,7
2023-05-29,7
2023-05-30,5
2023-05-31,5
2023-06-01,3
2023-06-02,2
2023-06-03,2
2023-06-04,2
2023-06-05,2
2023-06-06,1
2023-06-07,1
2023-06-08,2
2023-06-09,1
2023-06-10,0
2023-06-11,0
2023-06-12,2
2023-06-13,2
2023-06-14,2
2023-06-15,1
2023-06-16,2
2023-06-17,1
2023-06-18,0
2023-06-19,2
2023-06-20,0
2023-06-21,0
2023-06-22,2
2023-06-23,2
2023-06-24,2
2023-06-25,1
2023-06-26,2
2023-06-27,1
2023-06-28,2
2023-06-29,5
2023-06-30,4
2023-07-01,4
2023-07-02,3
2023-07-03,3
2023-07-04,3
2023-07-05,8
2023-07-06,31
2023-07-07,39
2023-07-08,46
2023-07-09,51
2023-07-10,33
2023-07-11,23
2023-07-12,13
2023-07-13,14
2023-07-14,15
2023-07-15,11
2023-07-16,9
2023-07-17,10
2023-07-18,8
2023-07-19,6
2023-07-20,6
2023-07-21,6
2023-07-22,7
2023-07-23,9
2023-07-24,8
2023-07-25,8
2023-07-26,5
2023-07-27,4
2023-07-28,4
2023-07-29,4
2023-07-30,5
2023-07-31,2
2023-08-01,3
2023-08-02,28
2023-08-03,21
2023-08-04,12
2023-08-05,15
2023-08-06,10
2023-08-07,9
2023-08-08,8
2023-08-09,7
2023-08-10,8
2023-08-11,49
2023-08-12,57
2023-08-13,26
2023-08-14,15
2023-08-15,11
2023-08-16,6
2023-08-17,6
2023-08-18,5
2023-08-19,5
2023-08-20,20
2023-08-21,17
2023-08-22,14
2023-08-23,23
2023-08-24,15
2023-08-25,10
2023-08-26,8
2023-08-27,6
2023-08-28,6
2023-08-29,5
2023-08-30,2
2023-08-31,3
2023-09-01,3
2023-09-02,4
2023-09-03,5
2023-09-04,3
2023-09-05,3
2023-09-06,3
2023-09-07,3
2023-09-08,2
2023-09-09,4
2023-09-10,3
2023-09-11,3
2023-09-12,3
2023-09-13,2
2023-09-14,3
2023-09-15,3
2023-09-16,3
2023-09-17,3
2023-09-18,2
2023-09-19,2
2023-09-20,3
2023-09-21,3
2023-09-22,7
2023-09-23,6
2023-09-24,4
2023-09-25,3
2023-09-26,5
2023-09-27,6
2023-09-28,5
2023-09-29,4
2023-09-30,2
2023-10-01,3
2023-10-02,4
2023-10-03,8
2023-10-04,6
2023-10-05,5
2023-10-06,4
2023-10-07,5
2023-10-08,2
2023-10-09,3
2023-10-10,3
2023-10-11,6
2023-10-12,5
2023-10-13,3
2023-10-14,6
2023-10-15,6
2023-10-16,7
2023-10-17,6
2023-10-18,6
2023-10-19,6
2023-10-20,12
2023-10-21,20
2023-10-22,14
2023-10-23,11
2023-10-24,18
2023-10-25,19
2023-10-26,18
2023-10-27,12
2023-10-28,9
2023-10-29,8
2023-10-30,100
2023-10-31,37
2023-11-01,19
2023-11-02,11
2023-11-03,8
2023-11-04,8
2023-11-05,6
2023-11-06,7
2023-11-07,7
2023-11-08,9
2023-11-09,7
2023-11-10,5
2023-11-11,9
2023-11-12,5
2023-11-13,4
2023-11-14,9
2023-11-15,11
2023-11-16,8
2023-11-17,8
2023-11-18,7
2023-11-19,5
2023-11-20,6
2023-11-21,5
2023-11-22,5
2023-11-23,7
2023-11-24,5
2023-11-25,7
2023-11-26,6
2023-11-27,5
2023-11-28,5
2023-11-29,5
2023-11-30,5
2023-12-01,9
2023-12-02,9
2023-12-03,3
2023-12-04,3
2023-12-05,4
2023-12-06,5
2023-12-07,5
2023-12-08,5
2023-12-09,8
2023-12-10,4
2023-12-11,5
2023-12-12,4
2023-12-13,6
2023-12-14,4
2023-12-15,3
2023-12-16,5
2023-12-17,5
2023-12-18,4
2023-12-19,5
2023-12-20,5
2023-12-21,7
2023-12-22,4
2023-12-23,13
2023-12-24,12
2023-12-25,8
2023-12-26,4
2023-12-27,5
2023-12-28,5
2023-12-29,5
2023-12-30,5
2023-12-31,5
2024-01-01,4
2024-01-02,3
2024-01-03,5
2024-01-04,5
2024-01-05,9
2024-01-06,30
2024-01-07,13
2024-01-08,7
2024-01-09,5
2024-01-10,6
2024-01-11,6
2024-01-12,4
2024-01-13,8
2024-01-14,6
2024-01-15,9
2024-01-16,4
2024-01-17,7
2024-01-18,5
2024-01-19,5
2024-01-20,4
