Time,covid vaccine near me
2024-08-18,30
2024-08-19,46
2024-08-20,52
2024-08-21,38
2024-08-22,67
2024-08-23,84
2024-08-24,72
2024-08-25,57
2024-08-26,92
2024-08-27,100
2024-08-28,96
2024-08-29,94
2024-08-30,99
2024-08-31,93
2024-09-01,85
2024-09-02,61
2024-09-03,75
2024-09-04,73
2024-09-05,86
2024-09-06,83
2024-09-07,45
2024-09-08,47
2024-09-09,65
2024-09-10,79
2024-09-11,59
2024-09-12,92
2024-09-13,76
2024-09-14,65
2024-09-15,57
2024-09-16,65
2024-09-17,75
2024-09-18,63
2024-09-19,67
2024-09-20,65
2024-09-21,65
2024-09-22,47
2024-09-23,65
2024-09-24,74
2024-09-25,51
2024-09-26,59
2024-09-27,60
2024-09-28,53
2024-09-29,48
2024-09-30,65
2024-10-01,50
2024-10-02,49
2024-10-03,64
2024-10-04,41
2024-10-05,44
2024-10-06,37
2024-10-07,61
2024-10-08,47
2024-10-09,47
2024-10-10,59
2024-10-11,62
2024-10-12,64
2024-10-13,29
2024-10-14,51
2024-10-15,48
2024-10-16,36
2024-10-17,44
2024-10-18,44
2024-10-19,17
2024-10-20,39
2024-10-21,40
2024-10-22,34
2024-10-23,40
2024-10-24,35
2024-10-25,36
2024-10-26,30
2024-10-27,30
2024-10-28,32
2024-10-29,44
2024-10-30,30
2024-10-31,38
2024-11-01,32
2024-11-02,31
2024-11-03,27
2024-11-04,31
2024-11-05,26
2024-11-06,19
2024-11-07,26
2024-11-08,27
2024-11-09,32
2024-11-10,26
2024-11-11,38
2024-11-12,17
2024-11-13,33
2024-11-14,22
2024-11-15,30
2024-11-16,26
2024-11-17,41
2024-11-18,27
2024-11-19,27
2024-11-20,15
2024-11-21,35
2024-11-22,33
2024-11-23,19
2024-11-24,0
2024-11-25,19
2024-11-26,16
2024-11-27,0
2024-11-28,0
2024-11-29,22
2024-11-30,0
2024-12-01,20
2024-12-02,25
2024-12-03,0
2024-12-04,16
2024-12-05,28
2024-12-06,28
2024-12-07,0
2024-12-08,0
2024-12-09,17
2024-12-10,19
2024-12-11,0
2024-12-12,26
2024-12-13,18
2024-12-14,0
2024-12-15,0
2024-12-16,21
2024-12-17,0
2024-12-18,17
2024-12-19,20
2024-12-20,29
2024-12-21,17
2024-12-22,0
2024-12-23,0
2024-12-24,19
2024-12-25,0
2024-12-26,0
2024-12-27,0
2024-12-28,18
2024-12-29,0
2024-12-30,18
2024-12-31,0
2025-01-01,0
2025-01-02,19
2025-01-03,0
2025-01-04,0
2025-01-05,23
2025-01-06,31
2025-01-07,0
2025-01-08,0
2025-01-09,0
2025-01-10,0
2025-01-11,0
2025-01-12,0
2025-01-13,29
2025-01-14,0
2025-01-15,13
2025-01-16,14
2025-01-17,14
2025-01-18,0
2025-01-19,0
2025-01-20,0
2025-01-21,15
2025-01-22,15
2025-01-23,0
2025-01-24,18
2025-01-25,16
2025-01-26,17
2025-01-27,16
2025-01-28,0
2025-01-29,16
2025-01-30,14
2025-01-31,0
2025-02-01,17
2025-02-02,0
2025-02-03,0
2025-02-04,0
2025-02-05,0
2025-02-06,0
2025-02-07,0
2025-02-08,0
2025-02-09,0
2025-02-10,13
2025-02-11,0
2025-02-12,0
2025-02-13,0
2025-02-14,0
2025-02-15,0
2025-02-16,0
2025-02-17,0
2025-02-18,0
2025-02-19,0
2025-02-20,0
2025-02-21,0
2025-02-22,0
2025-02-23,0
2025-02-24,0
2025-02-25,21
2025-02-26,0
2025-02-27,0
2025-02-28,0
2025-03-01,17
2025-03-02,0
2025-03-03,0
2025-03-04,0
2025-03-05,0
2025-03-06,16
2025-03-07,15
2025-03-08,0
2025-03-09,0
2025-03-10,0
2025-03-11,15
2025-03-12,0
2025-03-13,0
2025-03-14,0
2025-03-15,0
2025-03-16,0
2025-03-17,0
2025-03-18,0
2025-03-19,0
2025-03-20,0
2025-03-21,0
2025-03-22,0
2025-03-23,0
2025-03-24,0
2025-03-25,0
2025-03-26,14
2025-03-27,0
2025-03-28,0
2025-03-29,0
2025-03-30,0
2025-03-31,0
2025-04-01,0
2025-04-02,0
2025-04-03,0
2025-04-04,0
2025-04-05,0
2025-04-06,0
2025-04-07,20
2025-04-08,0
2025-04-09,0
2025-04-10,0
2025-04-11,0
2025-04-12,0
2025-04-13,0
2025-04-14,0
2025-04-15,0
2025-04-16,0
2025-04-17,0
2025-04-18,0
2025-04-19,0
2025-04-20,0
2025-04-21,0
2025-04-22,0
2025-04-23,20
2025-04-24,15
2025-04-25,0
2025-04-26,0
2025-04-27,0
2025-04-28,20
2025-04-29,18
2025-04-30,13
2025-05-01,20
2025-05-02,0
2025-05-03,0
2025-05-04,17
2025-05-05,19
2025-05-06,0
2025-05-07,20
2025-05-08,0
2025-05-09,0
2025-05-10,0
2025-05-11,0
2025-05-12,0
2025-05-13,0
2025-05-14,0
