Time,dairy queen
2022-08-29,28
2022-08-30,26
2022-08-31,29
2022-09-01,27
2022-09-02,30
2022-09-03,41
2022-09-04,45
2022-09-05,46
2022-09-06,26
2022-09-07,24
2022-09-08,23
2022-09-09,24
2022-09-10,35
2022-09-11,35
2022-09-12,23
2022-09-13,22
2022-09-14,25
2022-09-15,25
2022-09-16,26
2022-09-17,35
2022-09-18,37
2022-09-19,25
2022-09-20,21
2022-09-21,21
2022-09-22,21
2022-09-23,23
2022-09-24,30
2022-09-25,36
2022-09-26,23
2022-09-27,20
2022-09-28,20
2022-09-29,21
2022-09-30,23
2022-10-01,30
2022-10-02,31
2022-10-03,21
2022-10-04,19
2022-10-05,20
2022-10-06,20
2022-10-07,23
2022-10-08,31
2022-10-09,36
2022-10-10,33
2022-10-11,20
2022-10-12,20
2022-10-13,20
2022-10-14,22
2022-10-15,29
2022-10-16,33
2022-10-17,20
2022-10-18,17
2022-10-19,17
2022-10-20,18
2022-10-21,21
2022-10-22,29
2022-10-23,32
2022-10-24,20
2022-10-25,17
2022-10-26,17
2022-10-27,20
2022-10-28,20
2022-10-29,27
2022-10-30,27
2022-10-31,18
2022-11-01,17
2022-11-02,16
2022-11-03,17
2022-11-04,19
2022-11-05,27
2022-11-06,29
2022-11-07,18
2022-11-08,17
2022-11-09,16
2022-11-10,17
2022-11-11,21
2022-11-12,25
2022-11-13,25
2022-11-14,17
2022-11-15,16
2022-11-16,15
2022-11-17,16
2022-11-18,15
2022-11-19,23
2022-11-20,24
2022-11-21,17
2022-11-22,17
2022-11-23,20
2022-11-24,20
2022-11-25,16
2022-11-26,20
2022-11-27,25
2022-11-28,15
2022-11-29,15
2022-11-30,16
2022-12-01,16
2022-12-02,17
2022-12-03,23
2022-12-04,26
2022-12-05,17
2022-12-06,15
2022-12-07,16
2022-12-08,16
2022-12-09,17
2022-12-10,23
2022-12-11,25
2022-12-12,17
2022-12-13,15
2022-12-14,15
2022-12-15,16
2022-12-16,17
2022-12-17,21
2022-12-18,23
2022-12-19,18
2022-12-20,17
2022-12-21,17
2022-12-22,16
2022-12-23,16
2022-12-24,19
2022-12-25,18
2022-12-26,17
2022-12-27,19
2022-12-28,20
2022-12-29,23
2022-12-30,24
2022-12-31,30
2023-01-01,33
2023-01-02,30
2023-01-03,19
2023-01-04,18
2023-01-05,17
2023-01-06,19
2023-01-07,27
2023-01-08,31
2023-01-09,20
2023-01-10,17
2023-01-11,16
2023-01-12,18
2023-01-13,18
2023-01-14,27
2023-01-15,29
2023-01-16,26
2023-01-17,17
2023-01-18,16
2023-01-19,17
2023-01-20,19
2023-01-21,26
2023-01-22,29
2023-01-23,18
2023-01-24,16
2023-01-25,17
2023-01-26,17
2023-01-27,18
2023-01-28,26
2023-01-29,26
2023-01-30,18
2023-01-31,17
2023-02-01,19
2023-02-02,19
2023-02-03,22
2023-02-04,33
2023-02-05,36
2023-02-06,23
2023-02-07,18
2023-02-08,19
2023-02-09,19
2023-02-10,22
2023-02-11,30
2023-02-12,34
2023-02-13,18
2023-02-14,20
2023-02-15,19
2023-02-16,17
2023-02-17,20
2023-02-18,27
2023-02-19,32
2023-02-20,26
2023-02-21,18
2023-02-22,18
2023-02-23,19
2023-02-24,21
2023-02-25,28
2023-02-26,33
2023-02-27,22
2023-02-28,18
2023-03-01,21
2023-03-02,21
2023-03-03,23
2023-03-04,34
2023-03-05,35
2023-03-06,24
2023-03-07,21
2023-03-08,22
2023-03-09,23
2023-03-10,23
2023-03-11,31
2023-03-12,36
2023-03-13,25
2023-03-14,23
2023-03-15,24
2023-03-16,25
2023-03-17,26
2023-03-18,33
2023-03-19,40
2023-03-20,100
2023-03-21,52
2023-03-22,24
2023-03-23,24
2023-03-24,26
2023-03-25,35
2023-03-26,44
2023-03-27,27
2023-03-28,27
2023-03-29,30
2023-03-30,34
2023-03-31,32
2023-04-01,43
2023-04-02,54
2023-04-03,33
2023-04-04,32
2023-04-05,29
2023-04-06,29
2023-04-07,34
2023-04-08,40
2023-04-09,57
2023-04-10,44
2023-04-11,41
2023-04-12,39
2023-04-13,36
2023-04-14,39
2023-04-15,47
2023-04-16,59
2023-04-17,29
2023-04-18,26
2023-04-19,28
2023-04-20,29
2023-04-21,33
2023-04-22,42
2023-04-23,46
2023-04-24,27
2023-04-25,24
2023-04-26,24
2023-04-27,25
2023-04-28,26
2023-04-29,36
2023-04-30,40
2023-05-01,28
2023-05-02,25
2023-05-03,25
2023-05-04,26
2023-05-05,28
2023-05-06,40
2023-05-07,46
2023-05-08,30
2023-05-09,27
2023-05-10,27
2023-05-11,29
2023-05-12,32
2023-05-13,44
2023-05-14,57
2023-05-15,32
2023-05-16,27
2023-05-17,27
2023-05-18,28
2023-05-19,30
2023-05-20,43
2023-05-21,47
2023-05-22,31
2023-05-23,28
2023-05-24,29
2023-05-25,31
