Time,dow futures
2023-04-26,61
2023-04-27,66
2023-04-28,63
2023-04-29,10
2023-04-30,29
2023-05-01,79
2023-05-02,65
2023-05-03,73
2023-05-04,72
2023-05-05,68
2023-05-06,11
2023-05-07,34
2023-05-08,82
2023-05-09,67
2023-05-10,69
2023-05-11,61
2023-05-12,59
2023-05-13,7
2023-05-14,27
2023-05-15,75
2023-05-16,67
2023-05-17,67
2023-05-18,68
2023-05-19,60
2023-05-20,10
2023-05-21,30
2023-05-22,88
2023-05-23,70
2023-05-24,61
2023-05-25,72
2023-05-26,61
2023-05-27,9
2023-05-28,34
2023-05-29,64
2023-05-30,100
2023-05-31,77
2023-06-01,88
2023-06-02,87
2023-06-03,13
2023-06-04,45
2023-06-05,98
2023-06-06,67
2023-06-07,65
2023-06-08,67
2023-06-09,60
2023-06-10,10
2023-06-11,24
2023-06-12,77
2023-06-13,72
2023-06-14,70
2023-06-15,75
2023-06-16,68
2023-06-17,7
2023-06-18,22
2023-06-19,71
2023-06-20,88
2023-06-21,60
2023-06-22,52
2023-06-23,50
2023-06-24,8
2023-06-25,27
2023-06-26,74
2023-06-27,57
2023-06-28,53
2023-06-29,57
2023-06-30,55
2023-07-01,8
2023-07-02,23
2023-07-03,61
2023-07-04,28
2023-07-05,71
2023-07-06,56
2023-07-07,56
2023-07-08,8
2023-07-09,23
2023-07-10,65
2023-07-11,54
2023-07-12,61
2023-07-13,59
2023-07-14,59
2023-07-15,9
2023-07-16,27
2023-07-17,67
2023-07-18,56
2023-07-19,60
2023-07-20,63
2023-07-21,58
2023-07-22,8
2023-07-23,26
2023-07-24,63
2023-07-25,56
2023-07-26,52
2023-07-27,59
2023-07-28,55
2023-07-29,6
2023-07-30,28
2023-07-31,73
2023-08-01,56
2023-08-02,66
2023-08-03,60
2023-08-04,56
2023-08-05,8
2023-08-06,25
2023-08-07,68
2023-08-08,58
2023-08-09,55
2023-08-10,58
2023-08-11,52
2023-08-12,6
2023-08-13,21
2023-08-14,60
2023-08-15,53
2023-08-16,53
2023-08-17,57
2023-08-18,56
2023-08-19,7
2023-08-20,19
2023-08-21,61
2023-08-22,53
2023-08-23,50
2023-08-24,58
2023-08-25,48
2023-08-26,6
2023-08-27,23
2023-08-28,58
2023-08-29,51
2023-08-30,51
2023-08-31,54
2023-09-01,49
2023-09-02,7
2023-09-03,11
2023-09-04,34
2023-09-05,64
2023-09-06,48
2023-09-07,52
2023-09-08,46
2023-09-09,7
2023-09-10,18
2023-09-11,55
2023-09-12,44
2023-09-13,44
2023-09-14,45
2023-09-15,48
2023-09-16,7
2023-09-17,20
2023-09-18,53
2023-09-19,44
2023-09-20,46
2023-09-21,46
2023-09-22,50
2023-09-23,7
2023-09-24,16
2023-09-25,58
2023-09-26,50
2023-09-27,48
2023-09-28,49
2023-09-29,50
2023-09-30,8
2023-10-01,28
2023-10-02,60
2023-10-03,51
2023-10-04,70
2023-10-05,58
2023-10-06,57
2023-10-07,13
2023-10-08,41
2023-10-09,83
2023-10-10,57
2023-10-11,53
2023-10-12,52
2023-10-13,49
2023-10-14,11
2023-10-15,21
2023-10-16,59
2023-10-17,53
2023-10-18,49
2023-10-19,51
2023-10-20,50
2023-10-21,14
2023-10-22,27
2023-10-23,64
2023-10-24,54
2023-10-25,56
2023-10-26,53
2023-10-27,55
2023-10-28,9
2023-10-29,23
2023-10-30,69
2023-10-31,56
2023-11-01,61
2023-11-02,54
2023-11-03,70
2023-11-04,11
2023-11-05,26
2023-11-06,76
2023-11-07,56
2023-11-08,47
2023-11-09,54
2023-11-10,50
2023-11-11,8
2023-11-12,22
2023-11-13,59
2023-11-14,58
2023-11-15,72
2023-11-16,62
2023-11-17,51
2023-11-18,10
2023-11-19,22
2023-11-20,73
2023-11-21,56
2023-11-22,50
2023-11-23,19
2023-11-24,50
2023-11-25,8
2023-11-26,22
2023-11-27,69
2023-11-28,56
2023-11-29,52
2023-11-30,53
2023-12-01,50
2023-12-02,12
2023-12-03,21
2023-12-04,75
2023-12-05,52
2023-12-06,52
2023-12-07,46
2023-12-08,42
2023-12-09,8
2023-12-10,25
2023-12-11,66
2023-12-12,60
2023-12-13,55
2023-12-14,74
2023-12-15,62
2023-12-16,9
2023-12-17,22
2023-12-18,73
2023-12-19,52
2023-12-20,55
2023-12-21,60
2023-12-22,60
2023-12-23,7
2023-12-24,7
2023-12-25,22
2023-12-26,63
2023-12-27,56
2023-12-28,50
2023-12-29,48
2023-12-30,6
2023-12-31,9
2024-01-01,26
2024-01-02,64
2024-01-03,50
2024-01-04,47
2024-01-05,46
2024-01-06,5
2024-01-07,16
2024-01-08,52
2024-01-09,43
2024-01-10,47
2024-01-11,46
2024-01-12,43
2024-01-13,5
2024-01-14,10
2024-01-15,35
2024-01-16,50
2024-01-17,47
2024-01-18,41
2024-01-19,40
2024-01-20,7
