Time,ebay
2022-01-01,79
2022-01-02,83
2022-01-03,80
2022-01-04,100
2022-01-05,88
2022-01-06,69
2022-01-07,84
2022-01-08,89
2022-01-09,85
2022-01-10,80
2022-01-11,77
2022-01-12,79
2022-01-13,84
2022-01-14,73
2022-01-15,85
2022-01-16,78
2022-01-17,79
2022-01-18,77
2022-01-19,76
2022-01-20,79
2022-01-21,81
2022-01-22,87
2022-01-23,85
2022-01-24,97
2022-01-25,75
2022-01-26,74
2022-01-27,77
2022-01-28,80
2022-01-29,91
2022-01-30,85
2022-01-31,83
2022-02-01,82
2022-02-02,82
2022-02-03,84
2022-02-04,85
2022-02-05,91
2022-02-06,93
2022-02-07,89
2022-02-08,83
2022-02-09,79
2022-02-10,74
2022-02-11,83
2022-02-12,90
2022-02-13,85
2022-02-14,76
2022-02-15,82
2022-02-16,82
2022-02-17,85
2022-02-18,85
2022-02-19,93
2022-02-20,95
2022-02-21,95
2022-02-22,89
2022-02-23,87
2022-02-24,82
2022-02-25,81
2022-02-26,93
2022-02-27,92
2022-02-28,87
2022-03-01,86
2022-03-02,83
2022-03-03,85
2022-03-04,83
2022-03-05,91
2022-03-06,91
2022-03-07,84
2022-03-08,85
2022-03-09,81
2022-03-10,82
2022-03-11,85
2022-03-12,93
2022-03-13,91
2022-03-14,85
2022-03-15,85
2022-03-16,79
2022-03-17,81
2022-03-18,84
2022-03-19,88
2022-03-20,94
2022-03-21,86
2022-03-22,86
2022-03-23,84
2022-03-24,81
2022-03-25,82
2022-03-26,88
2022-03-27,92
2022-03-28,76
2022-03-29,81
2022-03-30,79
2022-03-31,81
2022-04-01,78
2022-04-02,90
2022-04-03,94
2022-04-04,86
2022-04-05,80
2022-04-06,80
2022-04-07,80
2022-04-08,77
2022-04-09,88
2022-04-10,91
2022-04-11,79
2022-04-12,76
2022-04-13,78
2022-04-14,76
2022-04-15,82
2022-04-16,84
2022-04-17,87
2022-04-18,82
2022-04-19,80
2022-04-20,77
2022-04-21,81
2022-04-22,76
2022-04-23,88
2022-04-24,87
2022-04-25,74
2022-04-26,77
2022-04-27,76
2022-04-28,78
2022-04-29,76
2022-04-30,86
2022-05-01,89
2022-05-02,81
2022-05-03,79
2022-05-04,78
2022-05-05,76
2022-05-06,76
2022-05-07,86
2022-05-08,84
2022-05-09,76
2022-05-10,71
2022-05-11,75
2022-05-12,74
2022-05-13,77
2022-05-14,86
2022-05-15,82
2022-05-16,77
2022-05-17,72
2022-05-18,73
2022-05-19,74
2022-05-20,74
2022-05-21,82
2022-05-22,84
2022-05-23,73
2022-05-24,78
2022-05-25,72
2022-05-26,77
2022-05-27,73
2022-05-28,79
2022-05-29,80
2022-05-30,81
2022-05-31,73
2022-06-01,73
2022-06-02,75
2022-06-03,74
2022-06-04,79
2022-06-05,83
2022-06-06,78
2022-06-07,81
2022-06-08,76
2022-06-09,76
2022-06-10,78
2022-06-11,82
2022-06-12,85
2022-06-13,78
2022-06-14,81
2022-06-15,77
2022-06-16,78
2022-06-17,78
2022-06-18,83
2022-06-19,86
2022-06-20,84
2022-06-21,81
2022-06-22,85
2022-06-23,80
2022-06-24,80
2022-06-25,81
2022-06-26,84
2022-06-27,82
2022-06-28,79
2022-06-29,82
2022-06-30,77
2022-07-01,78
2022-07-02,88
2022-07-03,81
2022-07-04,88
2022-07-05,81
2022-07-06,79
2022-07-07,83
2022-07-08,80
2022-07-09,81
2022-07-10,89
2022-07-11,85
2022-07-12,81
2022-07-13,82
2022-07-14,84
2022-07-15,80
2022-07-16,83
2022-07-17,86
2022-07-18,83
2022-07-19,87
2022-07-20,83
2022-07-21,80
2022-07-22,81
2022-07-23,86
2022-07-24,85
2022-07-25,84
2022-07-26,81
2022-07-27,80
2022-07-28,81
2022-07-29,83
2022-07-30,80
2022-07-31,86
2022-08-01,85
2022-08-02,84
2022-08-03,82
2022-08-04,83
2022-08-05,82
2022-08-06,85
2022-08-07,92
2022-08-08,85
2022-08-09,81
2022-08-10,85
2022-08-11,92
2022-08-12,78
2022-08-13,79
2022-08-14,86
2022-08-15,85
2022-08-16,83
2022-08-17,78
2022-08-18,81
2022-08-19,82
2022-08-20,84
2022-08-21,90
2022-08-22,79
2022-08-23,86
2022-08-24,82
2022-08-25,83
2022-08-26,76
2022-08-27,84
2022-08-28,86
2022-08-29,80
2022-08-30,76
2022-08-31,77
2022-09-01,74
2022-09-02,75
2022-09-03,80
2022-09-04,83
2022-09-05,85
2022-09-06,81
2022-09-07,75
2022-09-08,75
2022-09-09,73
2022-09-10,79
2022-09-11,81
2022-09-12,79
2022-09-13,76
2022-09-14,77
2022-09-15,77
2022-09-16,73
2022-09-17,82
2022-09-18,81
2022-09-19,78
2022-09-20,76
2022-09-21,76
2022-09-22,78
2022-09-23,73
2022-09-24,82
2022-09-25,81
2022-09-26,78
2022-09-27,71
