Time,hogwarts legacy
2022-08-29,1
2022-08-30,1
2022-08-31,1
2022-09-01,1
2022-09-02,3
2022-09-03,3
2022-09-04,2
2022-09-05,1
2022-09-06,1
2022-09-07,1
2022-09-08,1
2022-09-09,1
2022-09-10,1
2022-09-11,1
2022-09-12,1
2022-09-13,1
2022-09-14,1
2022-09-15,1
2022-09-16,1
2022-09-17,1
2022-09-18,1
2022-09-19,1
2022-09-20,0
2022-09-21,0
2022-09-22,1
2022-09-23,0
2022-09-24,1
2022-09-25,1
2022-09-26,0
2022-09-27,0
2022-09-28,1
2022-09-29,0
2022-09-30,0
2022-10-01,1
2022-10-02,1
2022-10-03,0
2022-10-04,0
2022-10-05,0
2022-10-06,0
2022-10-07,0
2022-10-08,0
2022-10-09,0
2022-10-10,0
2022-10-11,0
2022-10-12,0
2022-10-13,0
2022-10-14,0
2022-10-15,0
2022-10-16,1
2022-10-17,0
2022-10-18,0
2022-10-19,1
2022-10-20,1
2022-10-21,1
2022-10-22,1
2022-10-23,1
2022-10-24,1
2022-10-25,1
2022-10-26,1
2022-10-27,0
2022-10-28,0
2022-10-29,0
2022-10-30,1
2022-10-31,1
2022-11-01,0
2022-11-02,0
2022-11-03,0
2022-11-04,1
2022-11-05,1
2022-11-06,1
2022-11-07,1
2022-11-08,1
2022-11-09,1
2022-11-10,1
2022-11-11,1
2022-11-12,2
2022-11-13,2
2022-11-14,1
2022-11-15,1
2022-11-16,1
2022-11-17,1
2022-11-18,1
2022-11-19,1
2022-11-20,1
2022-11-21,1
2022-11-22,1
2022-11-23,1
2022-11-24,1
2022-11-25,1
2022-11-26,1
2022-11-27,1
2022-11-28,1
2022-11-29,1
2022-11-30,1
2022-12-01,1
2022-12-02,1
2022-12-03,1
2022-12-04,1
2022-12-05,1
2022-12-06,1
2022-12-07,1
2022-12-08,1
2022-12-09,1
2022-12-10,1
2022-12-11,1
2022-12-12,1
2022-12-13,1
2022-12-14,2
2022-12-15,3
2022-12-16,2
2022-12-17,2
2022-12-18,2
2022-12-19,2
2022-12-20,2
2022-12-21,2
2022-12-22,1
2022-12-23,2
2022-12-24,2
2022-12-25,4
2022-12-26,3
2022-12-27,2
2022-12-28,2
2022-12-29,2
2022-12-30,2
2022-12-31,2
2023-01-01,2
2023-01-02,2
2023-01-03,2
2023-01-04,2
2023-01-05,2
2023-01-06,2
2023-01-07,2
2023-01-08,3
2023-01-09,3
2023-01-10,3
2023-01-11,3
2023-01-12,3
2023-01-13,3
2023-01-14,3
2023-01-15,3
2023-01-16,3
2023-01-17,3
2023-01-18,4
2023-01-19,5
2023-01-20,5
2023-01-21,4
2023-01-22,4
2023-01-23,4
2023-01-24,4
2023-01-25,6
2023-01-26,7
2023-01-27,6
2023-01-28,8
2023-01-29,8
2023-01-30,6
2023-01-31,6
2023-02-01,9
2023-02-02,10
2023-02-03,12
2023-02-04,15
2023-02-05,21
2023-02-06,36
2023-02-07,74
2023-02-08,72
2023-02-09,68
2023-02-10,81
2023-02-11,99
2023-02-12,100
2023-02-13,57
2023-02-14,53
2023-02-15,46
2023-02-16,42
2023-02-17,42
2023-02-18,53
2023-02-19,54
2023-02-20,41
2023-02-21,33
2023-02-22,29
2023-02-23,26
2023-02-24,25
2023-02-25,35
2023-02-26,37
2023-02-27,21
2023-02-28,20
2023-03-01,17
2023-03-02,16
2023-03-03,17
2023-03-04,22
2023-03-05,24
2023-03-06,15
2023-03-07,13
2023-03-08,13
2023-03-09,12
2023-03-10,12
2023-03-11,16
2023-03-12,17
2023-03-13,11
2023-03-14,10
2023-03-15,9
2023-03-16,8
2023-03-17,8
2023-03-18,12
2023-03-19,13
2023-03-20,8
2023-03-21,7
2023-03-22,6
2023-03-23,6
2023-03-24,7
2023-03-25,9
2023-03-26,10
2023-03-27,6
2023-03-28,5
2023-03-29,5
2023-03-30,5
2023-03-31,5
2023-04-01,7
2023-04-02,8
2023-04-03,6
2023-04-04,5
2023-04-05,5
2023-04-06,5
2023-04-07,5
2023-04-08,6
2023-04-09,6
2023-04-10,5
2023-04-11,4
2023-04-12,4
2023-04-13,4
2023-04-14,4
2023-04-15,5
2023-04-16,6
2023-04-17,4
2023-04-18,3
2023-04-19,3
2023-04-20,3
2023-04-21,3
2023-04-22,5
2023-04-23,5
2023-04-24,3
2023-04-25,3
2023-04-26,3
2023-04-27,3
2023-04-28,3
2023-04-29,4
2023-04-30,5
2023-05-01,3
2023-05-02,3
2023-05-03,3
2023-05-04,4
2023-05-05,7
2023-05-06,10
2023-05-07,11
2023-05-08,7
2023-05-09,6
2023-05-10,6
2023-05-11,6
2023-05-12,6
2023-05-13,7
2023-05-14,8
2023-05-15,5
2023-05-16,5
2023-05-17,5
2023-05-18,4
2023-05-19,5
2023-05-20,6
2023-05-21,6
2023-05-22,5
2023-05-23,4
2023-05-24,4
2023-05-25,4
