Time,hulu
2022-08-29,61
2022-08-30,61
2022-08-31,61
2022-09-01,64
2022-09-02,64
2022-09-03,88
2022-09-04,81
2022-09-05,85
2022-09-06,72
2022-09-07,73
2022-09-08,67
2022-09-09,66
2022-09-10,94
2022-09-11,100
2022-09-12,63
2022-09-13,64
2022-09-14,64
2022-09-15,62
2022-09-16,64
2022-09-17,80
2022-09-18,93
2022-09-19,63
2022-09-20,66
2022-09-21,72
2022-09-22,70
2022-09-23,69
2022-09-24,82
2022-09-25,89
2022-09-26,61
2022-09-27,61
2022-09-28,64
2022-09-29,64
2022-09-30,65
2022-10-01,88
2022-10-02,92
2022-10-03,64
2022-10-04,68
2022-10-05,63
2022-10-06,62
2022-10-07,66
2022-10-08,77
2022-10-09,79
2022-10-10,65
2022-10-11,66
2022-10-12,63
2022-10-13,60
2022-10-14,60
2022-10-15,73
2022-10-16,87
2022-10-17,64
2022-10-18,63
2022-10-19,63
2022-10-20,59
2022-10-21,55
2022-10-22,74
2022-10-23,78
2022-10-24,57
2022-10-25,58
2022-10-26,58
2022-10-27,60
2022-10-28,58
2022-10-29,69
2022-10-30,76
2022-10-31,55
2022-11-01,61
2022-11-02,62
2022-11-03,66
2022-11-04,61
2022-11-05,76
2022-11-06,71
2022-11-07,55
2022-11-08,54
2022-11-09,51
2022-11-10,54
2022-11-11,57
2022-11-12,70
2022-11-13,80
2022-11-14,64
2022-11-15,57
2022-11-16,56
2022-11-17,54
2022-11-18,55
2022-11-19,69
2022-11-20,89
2022-11-21,69
2022-11-22,63
2022-11-23,78
2022-11-24,97
2022-11-25,95
2022-11-26,93
2022-11-27,100
2022-11-28,75
2022-11-29,73
2022-11-30,58
2022-12-01,61
2022-12-02,54
2022-12-03,63
2022-12-04,66
2022-12-05,52
2022-12-06,49
2022-12-07,48
2022-12-08,49
2022-12-09,49
2022-12-10,60
2022-12-11,70
2022-12-12,51
2022-12-13,54
2022-12-14,55
2022-12-15,49
2022-12-16,52
2022-12-17,59
2022-12-18,67
2022-12-19,51
2022-12-20,54
2022-12-21,56
2022-12-22,57
2022-12-23,59
2022-12-24,64
2022-12-25,66
2022-12-26,69
2022-12-27,63
2022-12-28,59
2022-12-29,60
2022-12-30,60
2022-12-31,67
2023-01-01,80
2023-01-02,72
2023-01-03,56
2023-01-04,55
2023-01-05,58
2023-01-06,53
2023-01-07,61
2023-01-08,68
2023-01-09,53
2023-01-10,53
2023-01-11,50
2023-01-12,49
2023-01-13,52
2023-01-14,70
2023-01-15,69
2023-01-16,61
2023-01-17,50
2023-01-18,51
2023-01-19,51
2023-01-20,52
2023-01-21,63
2023-01-22,69
2023-01-23,53
2023-01-24,52
2023-01-25,51
2023-01-26,51
2023-01-27,49
2023-01-28,56
2023-01-29,66
2023-01-30,54
2023-01-31,53
2023-02-01,56
2023-02-02,51
2023-02-03,54
2023-02-04,62
2023-02-05,68
2023-02-06,51
2023-02-07,50
2023-02-08,49
2023-02-09,49
2023-02-10,50
2023-02-11,61
2023-02-12,99
2023-02-13,52
2023-02-14,46
2023-02-15,49
2023-02-16,48
2023-02-17,53
2023-02-18,61
2023-02-19,64
2023-02-20,52
2023-02-21,49
2023-02-22,49
2023-02-23,53
2023-02-24,51
2023-02-25,57
2023-02-26,64
2023-02-27,47
2023-02-28,46
2023-03-01,51
2023-03-02,50
2023-03-03,52
2023-03-04,63
2023-03-05,65
2023-03-06,48
2023-03-07,49
2023-03-08,50
2023-03-09,58
2023-03-10,54
2023-03-11,64
2023-03-12,70
2023-03-13,57
2023-03-14,52
2023-03-15,49
2023-03-16,59
2023-03-17,60
2023-03-18,71
2023-03-19,72
2023-03-20,55
2023-03-21,50
2023-03-22,49
2023-03-23,51
2023-03-24,53
2023-03-25,60
2023-03-26,68
2023-03-27,52
2023-03-28,54
2023-03-29,50
2023-03-30,51
2023-03-31,52
2023-04-01,61
2023-04-02,63
2023-04-03,49
2023-04-04,47
2023-04-05,49
2023-04-06,49
2023-04-07,55
2023-04-08,60
2023-04-09,61
2023-04-10,57
2023-04-11,55
2023-04-12,50
2023-04-13,49
2023-04-14,49
2023-04-15,58
2023-04-16,67
2023-04-17,47
2023-04-18,46
2023-04-19,47
2023-04-20,49
2023-04-21,51
2023-04-22,63
2023-04-23,66
2023-04-24,49
2023-04-25,48
2023-04-26,50
2023-04-27,54
2023-04-28,56
2023-04-29,65
2023-04-30,67
2023-05-01,52
2023-05-02,51
2023-05-03,47
2023-05-04,46
2023-05-05,47
2023-05-06,54
2023-05-07,58
2023-05-08,47
2023-05-09,45
2023-05-10,47
2023-05-11,50
2023-05-12,49
2023-05-13,58
2023-05-14,57
2023-05-15,49
2023-05-16,47
2023-05-17,48
2023-05-18,48
2023-05-19,50
2023-05-20,59
2023-05-21,61
2023-05-22,50
2023-05-23,50
2023-05-24,53
2023-05-25,54
