Time,ikea
2022-08-29,61
2022-08-30,59
2022-08-31,53
2022-09-01,54
2022-09-02,56
2022-09-03,79
2022-09-04,92
2022-09-05,100
2022-09-06,57
2022-09-07,50
2022-09-08,47
2022-09-09,48
2022-09-10,68
2022-09-11,76
2022-09-12,55
2022-09-13,49
2022-09-14,47
2022-09-15,49
2022-09-16,47
2022-09-17,67
2022-09-18,74
2022-09-19,52
2022-09-20,48
2022-09-21,46
2022-09-22,48
2022-09-23,47
2022-09-24,64
2022-09-25,73
2022-09-26,55
2022-09-27,48
2022-09-28,44
2022-09-29,45
2022-09-30,47
2022-10-01,64
2022-10-02,74
2022-10-03,53
2022-10-04,49
2022-10-05,47
2022-10-06,45
2022-10-07,48
2022-10-08,67
2022-10-09,72
2022-10-10,57
2022-10-11,50
2022-10-12,49
2022-10-13,47
2022-10-14,47
2022-10-15,65
2022-10-16,70
2022-10-17,53
2022-10-18,48
2022-10-19,46
2022-10-20,46
2022-10-21,48
2022-10-22,56
2022-10-23,69
2022-10-24,50
2022-10-25,47
2022-10-26,45
2022-10-27,46
2022-10-28,46
2022-10-29,64
2022-10-30,65
2022-10-31,47
2022-11-01,44
2022-11-02,46
2022-11-03,45
2022-11-04,50
2022-11-05,70
2022-11-06,75
2022-11-07,53
2022-11-08,47
2022-11-09,45
2022-11-10,44
2022-11-11,56
2022-11-12,70
2022-11-13,81
2022-11-14,56
2022-11-15,50
2022-11-16,48
2022-11-17,49
2022-11-18,49
2022-11-19,71
2022-11-20,79
2022-11-21,57
2022-11-22,56
2022-11-23,54
2022-11-24,52
2022-11-25,79
2022-11-26,77
2022-11-27,79
2022-11-28,57
2022-11-29,50
2022-11-30,43
2022-12-01,45
2022-12-02,47
2022-12-03,59
2022-12-04,69
2022-12-05,52
2022-12-06,45
2022-12-07,47
2022-12-08,47
2022-12-09,44
2022-12-10,61
2022-12-11,70
2022-12-12,50
2022-12-13,45
2022-12-14,43
2022-12-15,44
2022-12-16,45
2022-12-17,59
2022-12-18,64
2022-12-19,56
2022-12-20,50
2022-12-21,50
2022-12-22,45
2022-12-23,48
2022-12-24,47
2022-12-25,50
2022-12-26,83
2022-12-27,79
2022-12-28,74
2022-12-29,77
2022-12-30,76
2022-12-31,76
2023-01-01,84
2023-01-02,91
2023-01-03,67
2023-01-04,60
2023-01-05,58
2023-01-06,60
2023-01-07,85
2023-01-08,87
2023-01-09,63
2023-01-10,57
2023-01-11,57
2023-01-12,52
2023-01-13,58
2023-01-14,80
2023-01-15,90
2023-01-16,82
2023-01-17,58
2023-01-18,53
2023-01-19,55
2023-01-20,52
2023-01-21,73
2023-01-22,83
2023-01-23,58
2023-01-24,52
2023-01-25,49
2023-01-26,50
2023-01-27,53
2023-01-28,74
2023-01-29,76
2023-01-30,56
2023-01-31,48
2023-02-01,47
2023-02-02,50
2023-02-03,52
2023-02-04,72
2023-02-05,79
2023-02-06,55
2023-02-07,48
2023-02-08,47
2023-02-09,45
2023-02-10,47
2023-02-11,72
2023-02-12,68
2023-02-13,45
2023-02-14,41
2023-02-15,44
2023-02-16,48
2023-02-17,53
2023-02-18,74
2023-02-19,83
2023-02-20,69
2023-02-21,53
2023-02-22,49
2023-02-23,46
2023-02-24,50
2023-02-25,70
2023-02-26,81
2023-02-27,55
2023-02-28,48
2023-03-01,47
2023-03-02,45
2023-03-03,50
2023-03-04,69
2023-03-05,79
2023-03-06,61
2023-03-07,47
2023-03-08,46
2023-03-09,47
2023-03-10,52
2023-03-11,73
2023-03-12,79
2023-03-13,58
2023-03-14,53
2023-03-15,50
2023-03-16,49
2023-03-17,51
2023-03-18,68
2023-03-19,80
2023-03-20,56
2023-03-21,48
2023-03-22,46
2023-03-23,47
2023-03-24,46
2023-03-25,68
2023-03-26,73
2023-03-27,50
2023-03-28,46
2023-03-29,47
2023-03-30,45
2023-03-31,49
2023-04-01,65
2023-04-02,72
2023-04-03,54
2023-04-04,47
2023-04-05,45
2023-04-06,46
2023-04-07,50
2023-04-08,64
2023-04-09,69
2023-04-10,51
2023-04-11,48
2023-04-12,46
2023-04-13,45
2023-04-14,46
2023-04-15,63
2023-04-16,72
2023-04-17,48
2023-04-18,45
2023-04-19,48
2023-04-20,49
2023-04-21,51
2023-04-22,68
2023-04-23,76
2023-04-24,54
2023-04-25,46
2023-04-26,46
2023-04-27,43
2023-04-28,46
2023-04-29,64
2023-04-30,71
2023-05-01,51
2023-05-02,51
2023-05-03,48
2023-05-04,47
2023-05-05,44
2023-05-06,60
2023-05-07,67
2023-05-08,50
2023-05-09,46
2023-05-10,43
2023-05-11,43
2023-05-12,43
2023-05-13,60
2023-05-14,63
2023-05-15,51
2023-05-16,46
2023-05-17,44
2023-05-18,45
2023-05-19,46
2023-05-20,63
2023-05-21,71
2023-05-22,53
2023-05-23,47
2023-05-24,45
2023-05-25,47
