Time,indeed jobs
2024-08-18,67
2024-08-19,93
2024-08-20,100
2024-08-21,85
2024-08-22,84
2024-08-23,78
2024-08-24,64
2024-08-25,66
2024-08-26,92
2024-08-27,88
2024-08-28,92
2024-08-29,87
2024-08-30,74
2024-08-31,54
2024-09-01,56
2024-09-02,77
2024-09-03,86
2024-09-04,84
2024-09-05,82
2024-09-06,71
2024-09-07,56
2024-09-08,61
2024-09-09,82
2024-09-10,84
2024-09-11,79
2024-09-12,79
2024-09-13,68
2024-09-14,54
2024-09-15,53
2024-09-16,78
2024-09-17,83
2024-09-18,82
2024-09-19,78
2024-09-20,69
2024-09-21,56
2024-09-22,57
2024-09-23,82
2024-09-24,86
2024-09-25,80
2024-09-26,74
2024-09-27,64
2024-09-28,53
2024-09-29,56
2024-09-30,76
2024-10-01,83
2024-10-02,81
2024-10-03,77
2024-10-04,75
2024-10-05,54
2024-10-06,50
2024-10-07,74
2024-10-08,73
2024-10-09,72
2024-10-10,75
2024-10-11,66
2024-10-12,52
2024-10-13,53
2024-10-14,81
2024-10-15,98
2024-10-16,84
2024-10-17,76
2024-10-18,71
2024-10-19,53
2024-10-20,52
2024-10-21,88
2024-10-22,86
2024-10-23,81
2024-10-24,85
2024-10-25,68
2024-10-26,52
2024-10-27,53
2024-10-28,77
2024-10-29,78
2024-10-30,79
2024-10-31,73
2024-11-01,67
2024-11-02,54
2024-11-03,57
2024-11-04,82
2024-11-05,72
2024-11-06,57
2024-11-07,78
2024-11-08,72
2024-11-09,56
2024-11-10,55
2024-11-11,77
2024-11-12,83
2024-11-13,79
2024-11-14,74
2024-11-15,65
2024-11-16,47
2024-11-17,51
2024-11-18,76
2024-11-19,80
2024-11-20,75
2024-11-21,73
2024-11-22,61
2024-11-23,49
2024-11-24,45
2024-11-25,68
2024-11-26,65
2024-11-27,57
2024-11-28,34
2024-11-29,43
2024-11-30,45
2024-12-01,51
2024-12-02,73
2024-12-03,73
2024-12-04,73
2024-12-05,68
2024-12-06,63
2024-12-07,50
2024-12-08,50
2024-12-09,69
2024-12-10,71
2024-12-11,67
2024-12-12,67
2024-12-13,65
2024-12-14,47
2024-12-15,47
2024-12-16,69
2024-12-17,73
2024-12-18,80
2024-12-19,66
2024-12-20,61
2024-12-21,42
2024-12-22,45
2024-12-23,55
2024-12-24,42
2024-12-25,30
2024-12-26,65
2024-12-27,71
2024-12-28,57
2024-12-29,58
2024-12-30,77
2024-12-31,67
2025-01-01,57
2025-01-02,83
2025-01-03,80
2025-01-04,67
2025-01-05,66
2025-01-06,86
2025-01-07,85
2025-01-08,86
2025-01-09,81
2025-01-10,75
2025-01-11,61
2025-01-12,64
2025-01-13,87
2025-01-14,85
2025-01-15,84
2025-01-16,89
2025-01-17,82
2025-01-18,61
2025-01-19,59
2025-01-20,81
2025-01-21,84
2025-01-22,85
2025-01-23,79
2025-01-24,80
2025-01-25,65
2025-01-26,62
2025-01-27,87
2025-01-28,94
2025-01-29,97
2025-01-30,86
2025-01-31,78
2025-02-01,61
2025-02-02,64
2025-02-03,79
2025-02-04,90
2025-02-05,83
2025-02-06,88
2025-02-07,81
2025-02-08,58
2025-02-09,54
2025-02-10,79
2025-02-11,89
2025-02-12,81
2025-02-13,82
2025-02-14,70
2025-02-15,58
2025-02-16,64
2025-02-17,88
2025-02-18,85
2025-02-19,92
2025-02-20,86
2025-02-21,79
2025-02-22,60
2025-02-23,65
2025-02-24,79
2025-02-25,88
2025-02-26,85
2025-02-27,76
2025-02-28,72
2025-03-01,58
2025-03-02,61
2025-03-03,82
2025-03-04,88
2025-03-05,83
2025-03-06,83
2025-03-07,67
2025-03-08,60
2025-03-09,60
2025-03-10,85
2025-03-11,82
2025-03-12,81
2025-03-13,76
2025-03-14,67
2025-03-15,56
2025-03-16,56
2025-03-17,83
2025-03-18,95
2025-03-19,83
2025-03-20,80
2025-03-21,68
2025-03-22,59
2025-03-23,61
2025-03-24,81
2025-03-25,86
2025-03-26,82
2025-03-27,82
2025-03-28,72
2025-03-29,56
2025-03-30,56
2025-03-31,78
2025-04-01,81
2025-04-02,77
2025-04-03,73
2025-04-04,67
2025-04-05,53
2025-04-06,59
2025-04-07,75
2025-04-08,79
2025-04-09,72
2025-04-10,71
2025-04-11,73
2025-04-12,52
2025-04-13,51
2025-04-14,76
2025-04-15,82
2025-04-16,77
2025-04-17,74
2025-04-18,62
2025-04-19,50
2025-04-20,44
2025-04-21,73
2025-04-22,90
2025-04-23,83
2025-04-24,75
2025-04-25,60
2025-04-26,48
2025-04-27,55
2025-04-28,75
2025-04-29,86
2025-04-30,71
2025-05-01,72
2025-05-02,63
2025-05-03,50
2025-05-04,53
2025-05-05,74
2025-05-06,76
2025-05-07,72
2025-05-08,72
2025-05-09,75
2025-05-10,47
2025-05-11,46
2025-05-12,73
2025-05-13,81
2025-05-14,74
