Time,instagram
2022-01-01,98
2022-01-02,90
2022-01-03,82
2022-01-04,97
2022-01-05,86
2022-01-06,73
2022-01-07,85
2022-01-08,91
2022-01-09,85
2022-01-10,83
2022-01-11,86
2022-01-12,85
2022-01-13,80
2022-01-14,69
2022-01-15,85
2022-01-16,73
2022-01-17,73
2022-01-18,73
2022-01-19,72
2022-01-20,76
2022-01-21,79
2022-01-22,84
2022-01-23,81
2022-01-24,95
2022-01-25,68
2022-01-26,76
2022-01-27,72
2022-01-28,83
2022-01-29,88
2022-01-30,87
2022-01-31,84
2022-02-01,88
2022-02-02,78
2022-02-03,81
2022-02-04,80
2022-02-05,85
2022-02-06,83
2022-02-07,85
2022-02-08,85
2022-02-09,87
2022-02-10,71
2022-02-11,84
2022-02-12,89
2022-02-13,86
2022-02-14,90
2022-02-15,95
2022-02-16,86
2022-02-17,90
2022-02-18,86
2022-02-19,85
2022-02-20,89
2022-02-21,85
2022-02-22,85
2022-02-23,86
2022-02-24,84
2022-02-25,82
2022-02-26,90
2022-02-27,88
2022-02-28,84
2022-03-01,84
2022-03-02,79
2022-03-03,83
2022-03-04,80
2022-03-05,82
2022-03-06,87
2022-03-07,83
2022-03-08,78
2022-03-09,81
2022-03-10,76
2022-03-11,77
2022-03-12,81
2022-03-13,82
2022-03-14,80
2022-03-15,80
2022-03-16,84
2022-03-17,83
2022-03-18,83
2022-03-19,81
2022-03-20,84
2022-03-21,80
2022-03-22,77
2022-03-23,81
2022-03-24,77
2022-03-25,74
2022-03-26,84
2022-03-27,92
2022-03-28,79
2022-03-29,83
2022-03-30,75
2022-03-31,79
2022-04-01,77
2022-04-02,79
2022-04-03,84
2022-04-04,81
2022-04-05,77
2022-04-06,81
2022-04-07,79
2022-04-08,77
2022-04-09,85
2022-04-10,90
2022-04-11,85
2022-04-12,82
2022-04-13,78
2022-04-14,87
2022-04-15,85
2022-04-16,87
2022-04-17,81
2022-04-18,84
2022-04-19,78
2022-04-20,79
2022-04-21,80
2022-04-22,83
2022-04-23,84
2022-04-24,86
2022-04-25,83
2022-04-26,80
2022-04-27,79
2022-04-28,76
2022-04-29,77
2022-04-30,83
2022-05-01,86
2022-05-02,79
2022-05-03,79
2022-05-04,79
2022-05-05,77
2022-05-06,80
2022-05-07,86
2022-05-08,93
2022-05-09,81
2022-05-10,84
2022-05-11,83
2022-05-12,83
2022-05-13,79
2022-05-14,83
2022-05-15,88
2022-05-16,86
2022-05-17,81
2022-05-18,80
2022-05-19,83
2022-05-20,76
2022-05-21,87
2022-05-22,87
2022-05-23,82
2022-05-24,88
2022-05-25,88
2022-05-26,100
2022-05-27,79
2022-05-28,81
2022-05-29,88
2022-05-30,90
2022-05-31,83
2022-06-01,83
2022-06-02,83
2022-06-03,82
2022-06-04,83
2022-06-05,82
2022-06-06,83
2022-06-07,86
2022-06-08,82
2022-06-09,79
2022-06-10,80
2022-06-11,81
2022-06-12,85
2022-06-13,87
2022-06-14,83
2022-06-15,89
2022-06-16,83
2022-06-17,81
2022-06-18,79
2022-06-19,85
2022-06-20,84
2022-06-21,83
2022-06-22,80
2022-06-23,84
2022-06-24,80
2022-06-25,85
2022-06-26,95
2022-06-27,88
2022-06-28,87
2022-06-29,94
2022-06-30,87
2022-07-01,85
2022-07-02,84
2022-07-03,82
2022-07-04,89
2022-07-05,88
2022-07-06,91
2022-07-07,81
2022-07-08,81
2022-07-09,81
2022-07-10,89
2022-07-11,84
2022-07-12,79
2022-07-13,84
2022-07-14,88
2022-07-15,84
2022-07-16,91
2022-07-17,85
2022-07-18,85
2022-07-19,85
2022-07-20,79
2022-07-21,79
2022-07-22,83
2022-07-23,81
2022-07-24,85
2022-07-25,86
2022-07-26,90
2022-07-27,84
2022-07-28,88
2022-07-29,87
2022-07-30,78
2022-07-31,83
2022-08-01,81
2022-08-02,86
2022-08-03,81
2022-08-04,79
2022-08-05,82
2022-08-06,81
2022-08-07,86
2022-08-08,83
2022-08-09,86
2022-08-10,82
2022-08-11,91
2022-08-12,87
2022-08-13,80
2022-08-14,83
2022-08-15,79
2022-08-16,80
2022-08-17,82
2022-08-18,81
2022-08-19,79
2022-08-20,79
2022-08-21,86
2022-08-22,77
2022-08-23,78
2022-08-24,78
2022-08-25,83
2022-08-26,80
2022-08-27,84
2022-08-28,84
2022-08-29,78
2022-08-30,77
2022-08-31,78
2022-09-01,76
2022-09-02,78
2022-09-03,75
2022-09-04,82
2022-09-05,82
2022-09-06,75
2022-09-07,76
2022-09-08,76
2022-09-09,75
2022-09-10,77
2022-09-11,82
2022-09-12,79
2022-09-13,82
2022-09-14,81
2022-09-15,78
2022-09-16,78
2022-09-17,76
2022-09-18,76
2022-09-19,74
2022-09-20,74
2022-09-21,77
2022-09-22,79
2022-09-23,75
2022-09-24,72
2022-09-25,81
2022-09-26,77
2022-09-27,69
