Time,lamar jackson
2022-08-29,6
2022-08-30,10
2022-08-31,7
2022-09-01,8
2022-09-02,7
2022-09-03,6
2022-09-04,6
2022-09-05,8
2022-09-06,9
2022-09-07,9
2022-09-08,12
2022-09-09,22
2022-09-10,19
2022-09-11,29
2022-09-12,11
2022-09-13,6
2022-09-14,5
2022-09-15,6
2022-09-16,6
2022-09-17,7
2022-09-18,26
2022-09-19,11
2022-09-20,8
2022-09-21,7
2022-09-22,7
2022-09-23,6
2022-09-24,5
2022-09-25,19
2022-09-26,14
2022-09-27,9
2022-09-28,7
2022-09-29,6
2022-09-30,7
2022-10-01,5
2022-10-02,18
2022-10-03,8
2022-10-04,4
2022-10-05,4
2022-10-06,4
2022-10-07,4
2022-10-08,4
2022-10-09,13
2022-10-10,31
2022-10-11,5
2022-10-12,3
2022-10-13,3
2022-10-14,3
2022-10-15,3
2022-10-16,14
2022-10-17,5
2022-10-18,4
2022-10-19,3
2022-10-20,4
2022-10-21,3
2022-10-22,3
2022-10-23,10
2022-10-24,4
2022-10-25,4
2022-10-26,4
2022-10-27,13
2022-10-28,25
2022-10-29,4
2022-10-30,5
2022-10-31,4
2022-11-01,4
2022-11-02,3
2022-11-03,4
2022-11-04,3
2022-11-05,3
2022-11-06,4
2022-11-07,11
2022-11-08,27
2022-11-09,6
2022-11-10,4
2022-11-11,3
2022-11-12,3
2022-11-13,5
2022-11-14,5
2022-11-15,4
2022-11-16,3
2022-11-17,4
2022-11-18,7
2022-11-19,8
2022-11-20,14
2022-11-21,5
2022-11-22,4
2022-11-23,4
2022-11-24,6
2022-11-25,4
2022-11-26,4
2022-11-27,13
2022-11-28,32
2022-11-29,26
2022-11-30,25
2022-12-01,12
2022-12-02,9
2022-12-03,7
2022-12-04,73
2022-12-05,32
2022-12-06,19
2022-12-07,15
2022-12-08,10
2022-12-09,8
2022-12-10,7
2022-12-11,18
2022-12-12,7
2022-12-13,7
2022-12-14,6
2022-12-15,6
2022-12-16,7
2022-12-17,14
2022-12-18,12
2022-12-19,8
2022-12-20,8
2022-12-21,9
2022-12-22,11
2022-12-23,10
2022-12-24,13
2022-12-25,9
2022-12-26,8
2022-12-27,10
2022-12-28,11
2022-12-29,10
2022-12-30,8
2022-12-31,8
2023-01-01,19
2023-01-02,35
2023-01-03,15
2023-01-04,7
2023-01-05,12
2023-01-06,10
2023-01-07,11
2023-01-08,24
2023-01-09,21
2023-01-10,28
2023-01-11,28
2023-01-12,26
2023-01-13,24
2023-01-14,18
2023-01-15,27
2023-01-16,93
2023-01-17,26
2023-01-18,18
2023-01-19,16
2023-01-20,13
2023-01-21,13
2023-01-22,16
2023-01-23,14
2023-01-24,12
2023-01-25,13
2023-01-26,11
2023-01-27,11
2023-01-28,6
2023-01-29,5
2023-01-30,7
2023-01-31,9
2023-02-01,9
2023-02-02,9
2023-02-03,8
2023-02-04,6
2023-02-05,6
2023-02-06,8
2023-02-07,9
2023-02-08,7
2023-02-09,9
2023-02-10,5
2023-02-11,7
2023-02-12,13
2023-02-13,13
2023-02-14,13
2023-02-15,8
2023-02-16,11
2023-02-17,8
2023-02-18,6
2023-02-19,6
2023-02-20,12
2023-02-21,16
2023-02-22,11
2023-02-23,23
2023-02-24,16
2023-02-25,13
2023-02-26,12
2023-02-27,11
2023-02-28,8
2023-03-01,13
2023-03-02,13
2023-03-03,31
2023-03-04,46
2023-03-05,21
2023-03-06,22
2023-03-07,57
2023-03-08,65
2023-03-09,31
2023-03-10,27
2023-03-11,21
2023-03-12,18
2023-03-13,27
2023-03-14,30
2023-03-15,34
2023-03-16,31
2023-03-17,27
2023-03-18,25
2023-03-19,25
2023-03-20,30
2023-03-21,31
2023-03-22,25
2023-03-23,21
2023-03-24,19
2023-03-25,11
2023-03-26,15
2023-03-27,71
2023-03-28,61
2023-03-29,36
2023-03-30,26
2023-03-31,22
2023-04-01,31
2023-04-02,24
2023-04-03,17
2023-04-04,19
2023-04-05,20
2023-04-06,14
2023-04-07,18
2023-04-08,21
2023-04-09,21
2023-04-10,27
2023-04-11,13
2023-04-12,8
2023-04-13,9
2023-04-14,10
2023-04-15,13
2023-04-16,22
2023-04-17,24
2023-04-18,14
2023-04-19,13
2023-04-20,14
2023-04-21,13
2023-04-22,10
2023-04-23,8
2023-04-24,11
2023-04-25,9
2023-04-26,11
2023-04-27,100
2023-04-28,73
2023-04-29,19
2023-04-30,10
2023-05-01,6
2023-05-02,5
2023-05-03,5
2023-05-04,15
2023-05-05,9
2023-05-06,6
2023-05-07,5
2023-05-08,4
2023-05-09,4
2023-05-10,4
2023-05-11,6
2023-05-12,4
2023-05-13,3
2023-05-14,2
2023-05-15,2
2023-05-16,3
2023-05-17,2
2023-05-18,3
2023-05-19,2
2023-05-20,2
2023-05-21,2
2023-05-22,3
2023-05-23,4
2023-05-24,2
2023-05-25,3
