Time,map
2022-08-29,72
2022-08-30,77
2022-08-31,70
2022-09-01,65
2022-09-02,61
2022-09-03,54
2022-09-04,58
2022-09-05,60
2022-09-06,64
2022-09-07,66
2022-09-08,68
2022-09-09,69
2022-09-10,69
2022-09-11,63
2022-09-12,69
2022-09-13,63
2022-09-14,63
2022-09-15,65
2022-09-16,61
2022-09-17,56
2022-09-18,57
2022-09-19,64
2022-09-20,63
2022-09-21,62
2022-09-22,63
2022-09-23,59
2022-09-24,54
2022-09-25,57
2022-09-26,73
2022-09-27,82
2022-09-28,100
2022-09-29,88
2022-09-30,77
2022-10-01,64
2022-10-02,59
2022-10-03,62
2022-10-04,59
2022-10-05,58
2022-10-06,61
2022-10-07,57
2022-10-08,55
2022-10-09,53
2022-10-10,57
2022-10-11,58
2022-10-12,55
2022-10-13,54
2022-10-14,59
2022-10-15,51
2022-10-16,52
2022-10-17,58
2022-10-18,56
2022-10-19,56
2022-10-20,56
2022-10-21,52
2022-10-22,51
2022-10-23,48
2022-10-24,54
2022-10-25,53
2022-10-26,53
2022-10-27,54
2022-10-28,50
2022-10-29,47
2022-10-30,47
2022-10-31,50
2022-11-01,50
2022-11-02,52
2022-11-03,54
2022-11-04,58
2022-11-05,56
2022-11-06,54
2022-11-07,54
2022-11-08,59
2022-11-09,78
2022-11-10,62
2022-11-11,57
2022-11-12,51
2022-11-13,50
2022-11-14,55
2022-11-15,59
2022-11-16,58
2022-11-17,54
2022-11-18,53
2022-11-19,49
2022-11-20,48
2022-11-21,47
2022-11-22,48
2022-11-23,44
2022-11-24,40
2022-11-25,43
2022-11-26,45
2022-11-27,49
2022-11-28,50
2022-11-29,52
2022-11-30,54
2022-12-01,55
2022-12-02,49
2022-12-03,47
2022-12-04,48
2022-12-05,49
2022-12-06,52
2022-12-07,53
2022-12-08,53
2022-12-09,49
2022-12-10,47
2022-12-11,48
2022-12-12,51
2022-12-13,51
2022-12-14,50
2022-12-15,53
2022-12-16,50
2022-12-17,47
2022-12-18,45
2022-12-19,48
2022-12-20,48
2022-12-21,52
2022-12-22,54
2022-12-23,82
2022-12-24,70
2022-12-25,49
2022-12-26,53
2022-12-27,53
2022-12-28,55
2022-12-29,54
2022-12-30,52
2022-12-31,47
2023-01-01,55
2023-01-02,55
2023-01-03,56
2023-01-04,59
2023-01-05,63
2023-01-06,59
2023-01-07,51
2023-01-08,60
2023-01-09,66
2023-01-10,67
2023-01-11,60
2023-01-12,62
2023-01-13,58
2023-01-14,53
2023-01-15,52
2023-01-16,55
2023-01-17,61
2023-01-18,59
2023-01-19,61
2023-01-20,55
2023-01-21,49
2023-01-22,52
2023-01-23,59
2023-01-24,61
2023-01-25,61
2023-01-26,56
2023-01-27,56
2023-01-28,50
2023-01-29,52
2023-01-30,55
2023-01-31,60
2023-02-01,60
2023-02-02,62
2023-02-03,59
2023-02-04,52
2023-02-05,54
2023-02-06,64
2023-02-07,63
2023-02-08,56
2023-02-09,57
2023-02-10,59
2023-02-11,53
2023-02-12,54
2023-02-13,54
2023-02-14,60
2023-02-15,62
2023-02-16,63
2023-02-17,59
2023-02-18,55
2023-02-19,57
2023-02-20,57
2023-02-21,62
2023-02-22,65
2023-02-23,84
2023-02-24,72
2023-02-25,61
2023-02-26,59
2023-02-27,66
2023-02-28,61
2023-03-01,63
2023-03-02,61
2023-03-03,61
2023-03-04,68
2023-03-05,60
2023-03-06,64
2023-03-07,60
2023-03-08,58
2023-03-09,58
2023-03-10,59
2023-03-11,55
2023-03-12,57
2023-03-13,58
2023-03-14,63
2023-03-15,63
2023-03-16,63
2023-03-17,54
2023-03-18,55
2023-03-19,57
2023-03-20,58
2023-03-21,59
2023-03-22,62
2023-03-23,58
2023-03-24,60
2023-03-25,59
2023-03-26,60
2023-03-27,58
2023-03-28,59
2023-03-29,55
2023-03-30,56
2023-03-31,58
2023-04-01,66
2023-04-02,59
2023-04-03,59
2023-04-04,58
2023-04-05,59
2023-04-06,57
2023-04-07,53
2023-04-08,50
2023-04-09,50
2023-04-10,56
2023-04-11,54
2023-04-12,57
2023-04-13,57
2023-04-14,58
2023-04-15,54
2023-04-16,60
2023-04-17,57
2023-04-18,56
2023-04-19,57
2023-04-20,58
2023-04-21,57
2023-04-22,55
2023-04-23,57
2023-04-24,58
2023-04-25,56
2023-04-26,57
2023-04-27,55
2023-04-28,53
2023-04-29,49
2023-04-30,55
2023-05-01,57
2023-05-02,55
2023-05-03,55
2023-05-04,56
2023-05-05,54
2023-05-06,50
2023-05-07,51
2023-05-08,58
2023-05-09,58
2023-05-10,56
2023-05-11,54
2023-05-12,56
2023-05-13,53
2023-05-14,51
2023-05-15,59
2023-05-16,61
2023-05-17,60
2023-05-18,61
2023-05-19,58
2023-05-20,55
2023-05-21,58
2023-05-22,58
2023-05-23,62
2023-05-24,57
2023-05-25,58
