Time,march madness 2023
2023-04-26,97
2023-04-27,71
2023-04-28,66
2023-04-29,63
2023-04-30,69
2023-05-01,63
2023-05-02,67
2023-05-03,54
2023-05-04,52
2023-05-05,35
2023-05-06,51
2023-05-07,66
2023-05-08,51
2023-05-09,32
2023-05-10,51
2023-05-11,35
2023-05-12,39
2023-05-13,53
2023-05-14,40
2023-05-15,29
2023-05-16,30
2023-05-17,38
2023-05-18,39
2023-05-19,36
2023-05-20,34
2023-05-21,50
2023-05-22,41
2023-05-23,43
2023-05-24,44
2023-05-25,33
2023-05-26,30
2023-05-27,43
2023-05-28,48
2023-05-29,60
2023-05-30,48
2023-05-31,27
2023-06-01,28
2023-06-02,48
2023-06-03,35
2023-06-04,24
2023-06-05,41
2023-06-06,37
2023-06-07,31
2023-06-08,27
2023-06-09,25
2023-06-10,35
2023-06-11,35
2023-06-12,29
2023-06-13,50
2023-06-14,39
2023-06-15,0
2023-06-16,32
2023-06-17,29
2023-06-18,24
2023-06-19,25
2023-06-20,29
2023-06-21,40
2023-06-22,35
2023-06-23,100
2023-06-24,39
2023-06-25,0
2023-06-26,25
2023-06-27,34
2023-06-28,27
2023-06-29,30
2023-06-30,25
2023-07-01,23
2023-07-02,32
2023-07-03,0
2023-07-04,47
2023-07-05,0
2023-07-06,19
2023-07-07,23
2023-07-08,31
2023-07-09,29
2023-07-10,0
2023-07-11,0
2023-07-12,0
2023-07-13,30
2023-07-14,23
2023-07-15,0
2023-07-16,30
2023-07-17,0
2023-07-18,0
2023-07-19,21
2023-07-20,31
2023-07-21,39
2023-07-22,0
2023-07-23,0
2023-07-24,0
2023-07-25,23
2023-07-26,0
2023-07-27,21
2023-07-28,22
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,0
2023-08-02,0
2023-08-03,0
2023-08-04,26
2023-08-05,0
2023-08-06,0
2023-08-07,0
2023-08-08,0
2023-08-09,24
2023-08-10,21
2023-08-11,28
2023-08-12,0
2023-08-13,0
2023-08-14,23
2023-08-15,0
2023-08-16,21
2023-08-17,0
2023-08-18,0
2023-08-19,0
2023-08-20,31
2023-08-21,21
2023-08-22,0
2023-08-23,29
2023-08-24,0
2023-08-25,30
2023-08-26,21
2023-08-27,27
2023-08-28,0
2023-08-29,22
2023-08-30,23
2023-08-31,27
2023-09-01,21
2023-09-02,45
2023-09-03,29
2023-09-04,36
2023-09-05,0
2023-09-06,18
2023-09-07,22
2023-09-08,22
2023-09-09,25
2023-09-10,33
2023-09-11,0
2023-09-12,29
2023-09-13,19
2023-09-14,0
2023-09-15,25
2023-09-16,34
2023-09-17,21
2023-09-18,0
2023-09-19,25
2023-09-20,30
2023-09-21,0
2023-09-22,32
2023-09-23,0
2023-09-24,24
2023-09-25,22
2023-09-26,27
2023-09-27,0
2023-09-28,22
2023-09-29,27
2023-09-30,32
2023-10-01,0
2023-10-02,0
2023-10-03,28
2023-10-04,24
2023-10-05,38
2023-10-06,34
2023-10-07,0
2023-10-08,37
2023-10-09,19
2023-10-10,20
2023-10-11,29
2023-10-12,23
2023-10-13,27
2023-10-14,37
2023-10-15,0
2023-10-16,56
2023-10-17,38
2023-10-18,46
2023-10-19,23
2023-10-20,20
2023-10-21,42
2023-10-22,27
2023-10-23,20
2023-10-24,49
2023-10-25,42
2023-10-26,24
2023-10-27,29
2023-10-28,31
2023-10-29,25
2023-10-30,40
2023-10-31,26
2023-11-01,41
2023-11-02,35
2023-11-03,23
2023-11-04,0
2023-11-05,27
2023-11-06,62
2023-11-07,93
2023-11-08,69
2023-11-09,47
2023-11-10,54
2023-11-11,86
2023-11-12,47
2023-11-13,41
2023-11-14,62
2023-11-15,77
2023-11-16,37
2023-11-17,48
2023-11-18,59
2023-11-19,38
2023-11-20,38
2023-11-21,49
2023-11-22,100
2023-11-23,79
2023-11-24,73
2023-11-25,48
2023-11-26,32
2023-11-27,37
2023-11-28,54
2023-11-29,38
2023-11-30,49
2023-12-01,31
2023-12-02,68
2023-12-03,38
2023-12-04,40
2023-12-05,34
2023-12-06,71
2023-12-07,24
2023-12-08,33
2023-12-09,37
2023-12-10,38
2023-12-11,27
2023-12-12,26
2023-12-13,34
2023-12-14,27
2023-12-15,36
2023-12-16,53
2023-12-17,47
2023-12-18,26
2023-12-19,29
2023-12-20,36
2023-12-21,45
2023-12-22,50
2023-12-23,78
2023-12-24,0
2023-12-25,28
2023-12-26,23
2023-12-27,22
2023-12-28,26
2023-12-29,41
2023-12-30,66
2023-12-31,44
2024-01-01,0
2024-01-02,57
2024-01-03,43
2024-01-04,40
2024-01-05,22
2024-01-06,58
2024-01-07,41
2024-01-08,41
2024-01-09,39
2024-01-10,64
2024-01-11,44
2024-01-12,31
2024-01-13,47
2024-01-14,58
2024-01-15,38
2024-01-16,26
2024-01-17,56
2024-01-18,42
2024-01-19,38
2024-01-20,74
