Time,meatloaf singer
2022-08-29,22
2022-08-30,14
2022-08-31,27
2022-09-01,28
2022-09-02,18
2022-09-03,24
2022-09-04,31
2022-09-05,21
2022-09-06,20
2022-09-07,15
2022-09-08,20
2022-09-09,19
2022-09-10,27
2022-09-11,15
2022-09-12,0
2022-09-13,12
2022-09-14,15
2022-09-15,24
2022-09-16,34
2022-09-17,15
2022-09-18,43
2022-09-19,15
2022-09-20,20
2022-09-21,14
2022-09-22,13
2022-09-23,31
2022-09-24,34
2022-09-25,36
2022-09-26,14
2022-09-27,30
2022-09-28,24
2022-09-29,35
2022-09-30,19
2022-10-01,27
2022-10-02,30
2022-10-03,30
2022-10-04,14
2022-10-05,24
2022-10-06,23
2022-10-07,27
2022-10-08,26
2022-10-09,40
2022-10-10,13
2022-10-11,14
2022-10-12,28
2022-10-13,26
2022-10-14,26
2022-10-15,29
2022-10-16,31
2022-10-17,0
2022-10-18,16
2022-10-19,24
2022-10-20,22
2022-10-21,30
2022-10-22,40
2022-10-23,49
2022-10-24,10
2022-10-25,17
2022-10-26,16
2022-10-27,31
2022-10-28,30
2022-10-29,35
2022-10-30,54
2022-10-31,25
2022-11-01,27
2022-11-02,15
2022-11-03,9
2022-11-04,13
2022-11-05,25
2022-11-06,42
2022-11-07,22
2022-11-08,14
2022-11-09,30
2022-11-10,19
2022-11-11,11
2022-11-12,25
2022-11-13,36
2022-11-14,12
2022-11-15,12
2022-11-16,13
2022-11-17,14
2022-11-18,19
2022-11-19,26
2022-11-20,64
2022-11-21,15
2022-11-22,20
2022-11-23,31
2022-11-24,38
2022-11-25,32
2022-11-26,26
2022-11-27,22
2022-11-28,13
2022-11-29,12
2022-11-30,11
2022-12-01,13
2022-12-02,15
2022-12-03,16
2022-12-04,17
2022-12-05,18
2022-12-06,14
2022-12-07,25
2022-12-08,18
2022-12-09,15
2022-12-10,20
2022-12-11,14
2022-12-12,0
2022-12-13,20
2022-12-14,17
2022-12-15,0
2022-12-16,21
2022-12-17,17
2022-12-18,23
2022-12-19,11
2022-12-20,17
2022-12-21,15
2022-12-22,0
2022-12-23,17
2022-12-24,33
2022-12-25,26
2022-12-26,26
2022-12-27,29
2022-12-28,21
2022-12-29,21
2022-12-30,48
2022-12-31,44
2023-01-01,100
2023-01-02,35
2023-01-03,16
2023-01-04,20
2023-01-05,14
2023-01-06,14
2023-01-07,14
2023-01-08,19
2023-01-09,14
2023-01-10,14
2023-01-11,16
2023-01-12,14
2023-01-13,15
2023-01-14,20
2023-01-15,30
2023-01-16,10
2023-01-17,17
2023-01-18,12
2023-01-19,20
2023-01-20,40
2023-01-21,75
2023-01-22,61
2023-01-23,37
2023-01-24,30
2023-01-25,21
2023-01-26,22
2023-01-27,33
2023-01-28,45
2023-01-29,36
2023-01-30,25
2023-01-31,16
2023-02-01,11
2023-02-02,0
2023-02-03,21
2023-02-04,25
2023-02-05,20
2023-02-06,21
2023-02-07,13
2023-02-08,25
2023-02-09,25
2023-02-10,27
2023-02-11,29
2023-02-12,32
2023-02-13,21
2023-02-14,24
2023-02-15,21
2023-02-16,16
2023-02-17,22
2023-02-18,38
2023-02-19,29
2023-02-20,21
2023-02-21,20
2023-02-22,18
2023-02-23,12
2023-02-24,0
2023-02-25,24
2023-02-26,26
2023-02-27,15
2023-02-28,14
2023-03-01,0
2023-03-02,17
2023-03-03,16
2023-03-04,15
2023-03-05,17
2023-03-06,14
2023-03-07,0
2023-03-08,15
2023-03-09,17
2023-03-10,13
2023-03-11,22
2023-03-12,27
2023-03-13,10
2023-03-14,17
2023-03-15,23
2023-03-16,25
2023-03-17,16
2023-03-18,19
2023-03-19,22
2023-03-20,12
2023-03-21,10
2023-03-22,17
2023-03-23,12
2023-03-24,9
2023-03-25,27
2023-03-26,29
2023-03-27,0
2023-03-28,16
2023-03-29,14
2023-03-30,0
2023-03-31,12
2023-04-01,16
2023-04-02,17
2023-04-03,22
2023-04-04,10
2023-04-05,9
2023-04-06,32
2023-04-07,13
2023-04-08,20
2023-04-09,17
2023-04-10,19
2023-04-11,0
2023-04-12,14
2023-04-13,12
2023-04-14,12
2023-04-15,0
2023-04-16,22
2023-04-17,15
2023-04-18,15
2023-04-19,0
2023-04-20,0
2023-04-21,13
2023-04-22,20
2023-04-23,45
2023-04-24,19
2023-04-25,13
2023-04-26,20
2023-04-27,12
2023-04-28,26
2023-04-29,14
2023-04-30,17
2023-05-01,13
2023-05-02,10
2023-05-03,10
2023-05-04,15
2023-05-05,14
2023-05-06,20
2023-05-07,12
2023-05-08,13
2023-05-09,0
2023-05-10,0
2023-05-11,19
2023-05-12,0
2023-05-13,18
2023-05-14,15
2023-05-15,0
2023-05-16,15
2023-05-17,12
2023-05-18,10
2023-05-19,0
2023-05-20,0
2023-05-21,13
2023-05-22,15
2023-05-23,18
2023-05-24,16
2023-05-25,11
